,index,timestamp,open,high,low,close,volume
0,0,1693872000000,0.01694,0.01699,0.01692,0.01695,1998110
1,1,1693872060000,0.01695,0.01696,0.01693,0.01693,287269
2,2,1693872120000,0.01694,0.01694,0.01693,0.01693,115817
3,3,1693872180000,0.01694,0.01695,0.01694,0.01694,22886
4,4,1693872240000,0.01695,0.01695,0.01694,0.01695,77922
5,5,1693872300000,0.01695,0.01695,0.01693,0.01693,590035
6,6,1693872360000,0.01692,0.01694,0.01692,0.01694,304058
7,7,1693872420000,0.01695,0.01695,0.01692,0.01693,222965
8,8,1693872480000,0.01694,0.01694,0.01693,0.01694,188309
9,9,1693872540000,0.01695,0.01696,0.01695,0.01696,12227
10,10,1693872600000,0.01696,0.01696,0.01695,0.01695,33372
11,11,1693872660000,0.01696,0.01696,0.01696,0.01696,61169
12,12,1693872720000,0.01695,0.01695,0.01693,0.01694,164576
13,13,1693872780000,0.01694,0.01697,0.01694,0.01696,158875
14,14,1693872840000,0.01696,0.01697,0.01696,0.01697,25015
15,15,1693872900000,0.01696,0.01697,0.01695,0.01696,194375
16,16,1693872960000,0.01696,0.01696,0.01695,0.01696,120873
17,17,1693873020000,0.01696,0.01697,0.01696,0.01697,19268
18,18,1693873080000,0.01697,0.01697,0.01696,0.01696,88986
19,19,1693873140000,0.01696,0.01697,0.01696,0.01697,61083
20,20,1693873200000,0.01696,0.01697,0.01695,0.01695,146818
21,21,1693873260000,0.01694,0.01695,0.01693,0.01695,37177
22,22,1693873320000,0.01695,0.01696,0.01694,0.01696,96706
23,23,1693873380000,0.01695,0.01695,0.0169,0.0169,282864
24,24,1693873440000,0.0169,0.01692,0.01689,0.01692,252699
25,25,1693873500000,0.01692,0.01692,0.01691,0.01691,142358
26,26,1693873560000,0.01691,0.01692,0.0169,0.01691,220467
27,27,1693873620000,0.01691,0.01692,0.01691,0.01692,63194
28,28,1693873680000,0.01691,0.01693,0.01691,0.01692,81493
29,29,1693873740000,0.01693,0.01694,0.01692,0.01692,284172
30,30,1693873800000,0.01692,0.01692,0.0169,0.01692,119925
31,31,1693873860000,0.01691,0.01691,0.0169,0.01691,32657
32,32,1693873920000,0.01692,0.01693,0.01692,0.01693,270074
33,33,1693873980000,0.01694,0.01696,0.01694,0.01695,81786
34,34,1693874040000,0.01695,0.01695,0.01694,0.01694,118347
35,35,1693874100000,0.01694,0.01696,0.01694,0.01695,156026
36,36,1693874160000,0.01696,0.01696,0.01695,0.01696,20916
37,37,1693874220000,0.01696,0.01696,0.01696,0.01696,0
38,38,1693874280000,0.01695,0.01695,0.01695,0.01695,26121
39,39,1693874340000,0.01695,0.01696,0.01695,0.01695,31268
40,40,1693874400000,0.01695,0.01695,0.01692,0.01693,200096
