,index,timestamp,open,high,low,close,volume
0,0,1694044800000,0.06134,0.06135,0.06123,0.06124,214295
1,1,1694044860000,0.06123,0.06129,0.06116,0.06127,333685
2,2,1694044920000,0.06127,0.06135,0.06127,0.06132,212809
3,3,1694044980000,0.06131,0.06134,0.06126,0.06127,401080
4,4,1694045040000,0.06127,0.06129,0.06119,0.0612,299564
5,5,1694045100000,0.0612,0.06129,0.0612,0.06125,281672
6,6,1694045160000,0.06126,0.06127,0.06125,0.06125,73402
7,7,1694045220000,0.06124,0.06125,0.06121,0.06123,113390
8,8,1694045280000,0.06122,0.06122,0.06116,0.06119,74633
9,9,1694045340000,0.06118,0.06119,0.06118,0.06118,4241
10,10,1694045400000,0.06118,0.0612,0.06116,0.06118,73547
11,11,1694045460000,0.06118,0.06118,0.06118,0.06118,12413
12,12,1694045520000,0.06118,0.06118,0.06112,0.06113,192863
13,13,1694045580000,0.06113,0.06114,0.06108,0.06109,108388
14,14,1694045640000,0.06109,0.0611,0.06108,0.06109,22034
15,15,1694045700000,0.0611,0.06111,0.06105,0.06111,170484
16,16,1694045760000,0.06111,0.06111,0.06107,0.06109,61003
17,17,1694045820000,0.06109,0.0611,0.06105,0.06105,48561
18,18,1694045880000,0.06105,0.06106,0.06104,0.06104,20798
19,19,1694045940000,0.06104,0.06105,0.06102,0.06103,42684
20,20,1694046000000,0.06104,0.06105,0.06095,0.06098,344488
21,21,1694046060000,0.06097,0.06098,0.06096,0.06096,21723
22,22,1694046120000,0.06097,0.06097,0.06094,0.06094,80141
23,23,1694046180000,0.06093,0.06103,0.06093,0.06102,506659
24,24,1694046240000,0.06101,0.06102,0.06099,0.06101,27768
25,25,1694046300000,0.06102,0.06102,0.06099,0.06099,32392
26,26,1694046360000,0.061,0.06103,0.06099,0.06101,40400
27,27,1694046420000,0.061,0.061,0.06096,0.06098,70550
28,28,1694046480000,0.06099,0.06103,0.06098,0.06103,74991
29,29,1694046540000,0.06102,0.06102,0.06099,0.06099,38032
30,30,1694046600000,0.061,0.06104,0.06099,0.06103,208868
31,31,1694046660000,0.06103,0.06109,0.06103,0.06108,121701
32,32,1694046720000,0.06108,0.06113,0.06106,0.06112,219161
33,33,1694046780000,0.06113,0.0612,0.06111,0.06118,629548
34,34,1694046840000,0.06118,0.06124,0.06118,0.06124,156214
35,35,1694046900000,0.06125,0.06128,0.06124,0.06127,215772
36,36,1694046960000,0.06126,0.06128,0.06125,0.06128,30735
37,37,1694047020000,0.06128,0.0613,0.06126,0.06126,126502
38,38,1694047080000,0.06125,0.06127,0.06121,0.06126,479731
39,39,1694047140000,0.06126,0.06128,0.06123,0.06123,285470
40,40,1694047200000,0.06124,0.06125,0.06121,0.06123,232547
41,41,1694047260000,0.06123,0.06124,0.06121,0.06122,79378
42,42,1694047320000,0.06122,0.06126,0.06122,0.06126,85027
