,index,timestamp,open,high,low,close,volume
0,0,1688169600000,0.0016215,0.0016279,0.0016212,0.0016271,594309566
1,1,1688169660000,0.0016271,0.0016287,0.0016187,0.0016206,805841019
2,2,1688169720000,0.0016205,0.001621,0.0016124,0.0016175,1048979607
3,3,1688169780000,0.0016175,0.0016222,0.0016138,0.0016193,577234682
4,4,1688169840000,0.0016193,0.0016222,0.0016186,0.0016216,300706818
5,5,1688169900000,0.0016215,0.0016298,0.0016208,0.0016257,741599474
6,6,1688169960000,0.0016258,0.0016316,0.0016254,0.0016286,343185620
7,7,1688170020000,0.0016285,0.0016313,0.0016269,0.001631,165801603
8,8,1688170080000,0.0016308,0.0016314,0.0016285,0.0016288,203143610
9,9,1688170140000,0.0016288,0.0016363,0.0016288,0.0016299,639096857
10,10,1688170200000,0.0016299,0.0016306,0.0016232,0.0016255,609282921
11,11,1688170260000,0.0016255,0.0016258,0.0016213,0.0016217,335193152
12,12,1688170320000,0.0016216,0.0016245,0.0016159,0.0016161,455153239
13,13,1688170380000,0.0016161,0.0016164,0.0016065,0.0016085,952286680
14,14,1688170440000,0.001608,0.0016101,0.001601,0.0016054,970564380
15,15,1688170500000,0.0016054,0.0016104,0.0016038,0.0016098,704217161
16,16,1688170560000,0.0016103,0.0016103,0.0016051,0.0016051,280099898
17,17,1688170620000,0.0016052,0.0016058,0.001601,0.0016054,390805183
18,18,1688170680000,0.0016056,0.0016077,0.0016051,0.0016072,160611559
19,19,1688170740000,0.0016072,0.0016098,0.0016072,0.0016086,167735944
20,20,1688170800000,0.0016086,0.0016102,0.0016082,0.0016095,159005437
21,21,1688170860000,0.0016095,0.0016135,0.0016094,0.001612,445144667
22,22,1688170920000,0.0016119,0.0016124,0.0016103,0.0016114,116234314
23,23,1688170980000,0.0016115,0.0016126,0.0016104,0.0016111,135473470
24,24,1688171040000,0.0016112,0.0016125,0.0016103,0.0016112,154732833
25,25,1688171100000,0.0016109,0.0016117,0.0016099,0.0016102,195493685
26,26,1688171160000,0.0016103,0.0016124,0.0016096,0.0016115,200126180
27,27,1688171220000,0.0016115,0.001619,0.0016114,0.0016173,495723918
28,28,1688171280000,0.0016173,0.0016248,0.0016173,0.0016234,534351355
29,29,1688171340000,0.0016234,0.0016239,0.0016179,0.0016197,266817469
30,30,1688171400000,0.0016197,0.0016249,0.0016175,0.0016249,253090153
31,31,1688171460000,0.0016249,0.0016262,0.0016223,0.0016245,306675956
32,32,1688171520000,0.0016245,0.0016253,0.0016226,0.0016241,178961934
33,33,1688171580000,0.0016244,0.0016249,0.0016231,0.0016231,50885256
34,34,1688171640000,0.0016234,0.0016238,0.0016172,0.0016176,176923287
35,35,1688171700000,0.0016175,0.00162,0.0016151,0.00162,244438570
36,36,1688171760000,0.0016199,0.0016201,0.0016155,0.0016163,201672387
37,37,1688171820000,0.0016164,0.0016188,0.0016157,0.0016168,150279274
38,38,1688171880000,0.0016169,0.0016212,0.0016168,0.0016206,135829455
39,39,1688171940000,0.0016204,0.001626,0.0016196,0.0016258,269973267
40,40,1688172000000,0.0016257,0.0016258,0.001623,0.0016235,190249159
41,41,1688172060000,0.0016234,0.0016242,0.0016218,0.0016238,85584787
42,42,1688172120000,0.0016238,0.0016252,0.0016202,0.0016205,203360216
43,43,1688172180000,0.0016204,0.0016204,0.0016175,0.0016192,188820973
44,44,1688172240000,0.0016191,0.0016191,0.0016178,0.0016185,85228093
45,45,1688172300000,0.0016186,0.0016186,0.0016111,0.0016117,312266383
46,46,1688172360000,0.0016116,0.0016117,0.0016082,0.0016087,436383765
47,47,1688172420000,0.0016086,0.001614,0.0016076,0.0016108,300936667
48,48,1688172480000,0.0016108,0.0016117,0.0016083,0.0016088,242984663
49,49,1688172540000,0.0016092,0.0016129,0.001591,0.001597,1803317369
50,50,1688172600000,0.0015972,0.0016015,0.0015972,0.0016001,663981991
51,51,1688172660000,0.0016001,0.001601,0.0015958,0.001597,401171458
52,52,1688172720000,0.001597,0.0015997,0.0015923,0.0015997,415600731
53,53,1688172780000,0.0015996,0.001601,0.0015958,0.0015974,337292827
54,54,1688172840000,0.0015975,0.0015983,0.0015935,0.0015951,319751038
55,55,1688172900000,0.0015953,0.0015983,0.0015947,0.0015969,273422173
56,56,1688172960000,0.0015969,0.0015969,0.0015781,0.0015878,1522659823
57,57,1688173020000,0.0015878,0.0015911,0.0015762,0.0015819,926146089
58,58,1688173080000,0.0015819,0.0015858,0.00157,0.0015788,1582490044
59,59,1688173140000,0.0015788,0.0015819,0.001577,0.0015793,406219623
60,60,1688173200000,0.0015794,0.0015839,0.0015774,0.0015834,866839513
61,61,1688173260000,0.0015835,0.0015844,0.0015797,0.0015833,607140590
62,62,1688173320000,0.0015834,0.0015884,0.0015773,0.0015862,1382045671
63,63,1688173380000,0.001586,0.0015883,0.0015832,0.001585,564528875
64,64,1688173440000,0.001585,0.001585,0.0015804,0.0015813,320511808
65,65,1688173500000,0.0015812,0.001585,0.0015771,0.0015776,650574805
66,66,1688173560000,0.0015778,0.0015792,0.0015773,0.0015776,155035947
67,67,1688173620000,0.0015776,0.0015799,0.0015744,0.0015755,689058989
68,68,1688173680000,0.0015757,0.0015812,0.0015757,0.0015794,551127991
69,69,1688173740000,0.0015794,0.0015827,0.001579,0.0015815,314249620
70,70,1688173800000,0.0015814,0.0015851,0.001576,0.0015794,840848816
71,71,1688173860000,0.001579,0.0015851,0.0015772,0.0015779,781998287
72,72,1688173920000,0.001578,0.0015813,0.0015774,0.0015801,338822813
73,73,1688173980000,0.0015802,0.0015805,0.0015784,0.0015799,286813824
74,74,1688174040000,0.0015799,0.0015833,0.0015788,0.0015825,241613616
