,index,timestamp,open,high,low,close,volume
0,0,1688169600000,0.00755,0.007571,0.00755,0.007567,13553262
1,1,1688169660000,0.007566,0.007566,0.00755,0.007552,16912286
2,2,1688169720000,0.007553,0.00757,0.007553,0.007558,22566366
3,3,1688169780000,0.007558,0.007565,0.007558,0.007559,4632832
4,4,1688169840000,0.00756,0.007569,0.007557,0.007565,9833001
5,5,1688169900000,0.007565,0.007578,0.007563,0.007568,20739417
6,6,1688169960000,0.007568,0.007579,0.007567,0.007579,6669848
7,7,1688170020000,0.007579,0.007582,0.007577,0.007581,7351118
8,8,1688170080000,0.00758,0.00758,0.007563,0.007564,15225213
9,9,1688170140000,0.007564,0.007577,0.007564,0.007576,9997174
10,10,1688170200000,0.007575,0.007582,0.00757,0.007581,12273333
11,11,1688170260000,0.007581,0.007588,0.007581,0.007584,8975200
12,12,1688170320000,0.007584,0.007586,0.007568,0.00757,15083212
13,13,1688170380000,0.00757,0.00757,0.00754,0.007541,24884923
14,14,1688170440000,0.007541,0.007558,0.007536,0.007558,21508478
15,15,1688170500000,0.007559,0.00757,0.007553,0.00757,15154324
16,16,1688170560000,0.00757,0.007571,0.00756,0.00756,12834442
17,17,1688170620000,0.00756,0.00756,0.007553,0.007556,10196146
18,18,1688170680000,0.007556,0.007561,0.007554,0.007555,7293140
19,19,1688170740000,0.007555,0.007564,0.007555,0.007559,6835689
20,20,1688170800000,0.007559,0.007564,0.007557,0.007559,5316722
21,21,1688170860000,0.007558,0.007558,0.007543,0.007555,21931933
22,22,1688170920000,0.007556,0.007562,0.007552,0.00756,4778633
23,23,1688170980000,0.007561,0.007563,0.007558,0.007562,4159765
24,24,1688171040000,0.007562,0.007563,0.007559,0.007559,5433907
25,25,1688171100000,0.00756,0.007563,0.007553,0.007555,6857962
26,26,1688171160000,0.007555,0.007566,0.007552,0.007566,4762110
27,27,1688171220000,0.007567,0.007573,0.007565,0.007568,8586238
28,28,1688171280000,0.007569,0.007581,0.007569,0.00758,5739126
29,29,1688171340000,0.007581,0.007586,0.007579,0.007584,6707413
30,30,1688171400000,0.007584,0.007593,0.00758,0.007593,7562388
31,31,1688171460000,0.007593,0.007598,0.007592,0.007598,5364788
32,32,1688171520000,0.007597,0.007601,0.007593,0.0076,9575099
33,33,1688171580000,0.0076,0.007603,0.007598,0.007603,4632461
34,34,1688171640000,0.007603,0.007604,0.007601,0.007603,2788141
35,35,1688171700000,0.007603,0.007603,0.007587,0.007597,35019586
36,36,1688171760000,0.007596,0.007596,0.007587,0.007588,5213468
37,37,1688171820000,0.007589,0.007596,0.007589,0.007595,4849702
38,38,1688171880000,0.007595,0.007599,0.007593,0.007595,7859919
39,39,1688171940000,0.007595,0.007597,0.007588,0.007593,6831688
40,40,1688172000000,0.007594,0.007602,0.007593,0.007601,5918176
41,41,1688172060000,0.007602,0.007615,0.007602,0.007613,20956049
42,42,1688172120000,0.007613,0.007618,0.00761,0.007612,9945034
43,43,1688172180000,0.007613,0.007619,0.007612,0.007617,4602905
44,44,1688172240000,0.007617,0.007621,0.007613,0.007616,7421765
45,45,1688172300000,0.007615,0.007615,0.00759,0.00759,16837256
46,46,1688172360000,0.00759,0.007602,0.007581,0.007596,11469931
47,47,1688172420000,0.007595,0.007595,0.007591,0.007591,3189524
