,index,timestamp,open,high,low,close,volume
0,0,1694822400000,0.007444,0.007454,0.007443,0.007452,14471343
1,1,1694822460000,0.007451,0.007452,0.007447,0.00745,7548446
2,2,1694822520000,0.00745,0.007451,0.007441,0.007441,10786010
3,3,1694822580000,0.007442,0.007445,0.00744,0.00744,9405502
4,4,1694822640000,0.007439,0.00744,0.007436,0.007439,4570648
5,5,1694822700000,0.00744,0.007442,0.007435,0.007442,8018196
6,6,1694822760000,0.007443,0.007453,0.007442,0.007452,10588504
7,7,1694822820000,0.007452,0.007455,0.007451,0.007455,5633114
8,8,1694822880000,0.007455,0.007462,0.007454,0.007461,7961207
9,9,1694822940000,0.007461,0.007462,0.007456,0.007462,6030764
10,10,1694823000000,0.007463,0.007464,0.007461,0.007462,3336719
11,11,1694823060000,0.007462,0.007464,0.007461,0.007464,1738736
12,12,1694823120000,0.007464,0.007465,0.007461,0.007462,3461451
13,13,1694823180000,0.007462,0.007463,0.007458,0.007458,3350743
14,14,1694823240000,0.007458,0.007458,0.007455,0.007455,3823073
15,15,1694823300000,0.007454,0.007455,0.007449,0.00745,8229895
16,16,1694823360000,0.00745,0.007454,0.007449,0.007454,4252386
17,17,1694823420000,0.007455,0.007461,0.007454,0.007457,8028927
18,18,1694823480000,0.007458,0.007462,0.007458,0.007462,3105373
19,19,1694823540000,0.007463,0.007465,0.007462,0.007462,3064576
20,20,1694823600000,0.007463,0.007468,0.007463,0.007467,5389730
21,21,1694823660000,0.007466,0.007466,0.007463,0.007465,6900153
22,22,1694823720000,0.007465,0.007467,0.007465,0.007465,3567951
23,23,1694823780000,0.007466,0.007468,0.007466,0.007468,2143054
24,24,1694823840000,0.007467,0.007467,0.007459,0.007459,7736531
25,25,1694823900000,0.00746,0.007468,0.00746,0.007468,8233273
26,26,1694823960000,0.007468,0.007471,0.007467,0.00747,2516358
27,27,1694824020000,0.007471,0.007472,0.007469,0.007469,3918176
28,28,1694824080000,0.007469,0.00747,0.007468,0.007469,1283914
