,index,timestamp,open,high,low,close,volume
0,0,1694649600000,0.2341,0.2346,0.2341,0.2342,87053
1,1,1694649660000,0.2342,0.2346,0.2342,0.2344,38157
2,2,1694649720000,0.2345,0.2345,0.2342,0.2344,94289
3,3,1694649780000,0.2343,0.2343,0.2338,0.2338,31024
4,4,1694649840000,0.2339,0.234,0.2338,0.234,57523
5,5,1694649900000,0.234,0.234,0.2339,0.2339,33903
6,6,1694649960000,0.234,0.2341,0.234,0.234,36790
7,7,1694650020000,0.234,0.234,0.2334,0.2334,43741
8,8,1694650080000,0.2334,0.2335,0.2332,0.2335,129511
9,9,1694650140000,0.2336,0.2336,0.2336,0.2336,8628
10,10,1694650200000,0.2337,0.2339,0.2337,0.2338,7525
11,11,1694650260000,0.2337,0.2338,0.2336,0.2338,28437
12,12,1694650320000,0.2337,0.2337,0.2336,0.2337,11284
13,13,1694650380000,0.2337,0.2338,0.2337,0.2338,12171
14,14,1694650440000,0.2339,0.2346,0.2339,0.2345,116102
15,15,1694650500000,0.2345,0.2346,0.2343,0.2344,58385
16,16,1694650560000,0.2344,0.2344,0.2344,0.2344,27789
17,17,1694650620000,0.2345,0.2346,0.2345,0.2346,6796
18,18,1694650680000,0.2346,0.2346,0.2345,0.2345,19910
19,19,1694650740000,0.2345,0.2345,0.2344,0.2345,17662
20,20,1694650800000,0.2344,0.2344,0.234,0.2341,37391
21,21,1694650860000,0.2341,0.2341,0.2339,0.234,9247
22,22,1694650920000,0.2341,0.2342,0.2341,0.2341,26801
23,23,1694650980000,0.234,0.2342,0.234,0.2342,24947
24,24,1694651040000,0.2342,0.2342,0.234,0.2341,12671
25,25,1694651100000,0.2341,0.2341,0.234,0.234,10952
26,26,1694651160000,0.234,0.234,0.234,0.234,15209
27,27,1694651220000,0.234,0.2341,0.234,0.2341,9657
28,28,1694651280000,0.2342,0.2343,0.2342,0.2342,15613
29,29,1694651340000,0.2341,0.2342,0.2341,0.2342,7687
30,30,1694651400000,0.2341,0.2343,0.2341,0.2341,7729
31,31,1694651460000,0.2341,0.2341,0.2341,0.2341,2747
32,32,1694651520000,0.2342,0.2345,0.2342,0.2345,11246
33,33,1694651580000,0.2345,0.2345,0.2344,0.2345,10081
34,34,1694651640000,0.2344,0.2351,0.2344,0.235,72307
35,35,1694651700000,0.2351,0.2353,0.235,0.2352,108829
36,36,1694651760000,0.2353,0.2357,0.2353,0.2355,27553
37,37,1694651820000,0.2356,0.2359,0.2356,0.2358,72072
38,38,1694651880000,0.2358,0.2359,0.2356,0.2358,22413
39,39,1694651940000,0.2357,0.2358,0.2357,0.2358,13630
40,40,1694652000000,0.2358,0.2362,0.2358,0.236,128414
41,41,1694652060000,0.236,0.2361,0.2357,0.2359,51885
42,42,1694652120000,0.2358,0.2358,0.2353,0.2354,22493
43,43,1694652180000,0.2354,0.2356,0.2354,0.2356,52884
44,44,1694652240000,0.2355,0.2356,0.2355,0.2356,18232
45,45,1694652300000,0.2355,0.2356,0.2355,0.2355,23044
46,46,1694652360000,0.2356,0.2359,0.2355,0.2359,29615
47,47,1694652420000,0.2359,0.2363,0.2358,0.236,198431
48,48,1694652480000,0.236,0.2363,0.236,0.2361,121917
49,49,1694652540000,0.236,0.2361,0.236,0.236,28729
50,50,1694652600000,0.2359,0.2363,0.2359,0.2363,17936
51,51,1694652660000,0.2362,0.2363,0.2361,0.2363,44877
52,52,1694652720000,0.2363,0.2368,0.2361,0.2367,124544
53,53,1694652780000,0.2367,0.2368,0.2364,0.2364,43036
54,54,1694652840000,0.2364,0.2378,0.2364,0.2372,560636
55,55,1694652900000,0.2372,0.2373,0.2368,0.237,173514
56,56,1694652960000,0.2369,0.2371,0.2369,0.2371,22470
57,57,1694653020000,0.2371,0.2373,0.237,0.2373,25071
58,58,1694653080000,0.2373,0.2374,0.2372,0.2372,9495
59,59,1694653140000,0.2372,0.2376,0.2372,0.2376,31721
60,60,1694653200000,0.2376,0.2378,0.2371,0.2371,153531
61,61,1694653260000,0.237,0.2374,0.2366,0.2374,139538
62,62,1694653320000,0.2373,0.2373,0.2368,0.2368,57674
63,63,1694653380000,0.2368,0.2372,0.2367,0.2369,103174
64,64,1694653440000,0.2369,0.2371,0.2367,0.237,58969
65,65,1694653500000,0.237,0.2371,0.2368,0.2369,85535
66,66,1694653560000,0.2369,0.2369,0.2366,0.2366,61140
67,67,1694653620000,0.2366,0.2367,0.2363,0.2363,83343
68,68,1694653680000,0.2363,0.2365,0.2362,0.2364,92322
69,69,1694653740000,0.2363,0.2364,0.2362,0.2363,30790
70,70,1694653800000,0.2363,0.2364,0.2357,0.2357,53757
71,71,1694653860000,0.2357,0.2362,0.2357,0.2362,20787
72,72,1694653920000,0.2362,0.2363,0.2361,0.2362,15832
73,73,1694653980000,0.2363,0.2366,0.2363,0.2365,13786
74,74,1694654040000,0.2366,0.2366,0.2365,0.2366,26520
75,75,1694654100000,0.2366,0.2366,0.2361,0.2361,27134
76,76,1694654160000,0.2361,0.2362,0.2361,0.2361,8675
77,77,1694654220000,0.2361,0.2361,0.2357,0.2361,36524
78,78,1694654280000,0.236,0.236,0.2352,0.2352,110619
79,79,1694654340000,0.2353,0.2355,0.2352,0.2354,48377
80,80,1694654400000,0.2354,0.2354,0.2349,0.235,111109
81,81,1694654460000,0.235,0.2355,0.2349,0.2352,139433
82,82,1694654520000,0.2352,0.2353,0.2351,0.2351,34097
83,83,1694654580000,0.2352,0.2352,0.2349,0.235,37646
84,84,1694654640000,0.235,0.235,0.2349,0.235,8716
85,85,1694654700000,0.235,0.2351,0.2349,0.2351,24170
86,86,1694654760000,0.235,0.2354,0.235,0.2353,15985
87,87,1694654820000,0.2353,0.2355,0.2352,0.2354,33684
88,88,1694654880000,0.2354,0.2355,0.2354,0.2354,9242
89,89,1694654940000,0.2355,0.2357,0.2355,0.2357,31531
90,90,1694655000000,0.2356,0.2356,0.2353,0.2354,32281
91,91,1694655060000,0.2354,0.2357,0.2354,0.2357,44295
92,92,1694655120000,0.2358,0.2361,0.2357,0.236,43055
93,93,1694655180000,0.2359,0.2359,0.2356,0.2356,30620
94,94,1694655240000,0.2356,0.2356,0.2354,0.2355,28734
95,95,1694655300000,0.2354,0.2354,0.2352,0.2353,14973
96,96,1694655360000,0.2354,0.2354,0.2353,0.2354,22016
97,97,1694655420000,0.2354,0.2354,0.2353,0.2354,9396
98,98,1694655480000,0.2354,0.2354,0.2352,0.2352,16567
99,99,1694655540000,0.2352,0.2353,0.2352,0.2352,16055
100,100,1694655600000,0.2353,0.2353,0.235,0.235,20281
101,101,1694655660000,0.235,0.235,0.2349,0.235,11589
102,102,1694655720000,0.235,0.235,0.235,0.235,10022
103,103,1694655780000,0.2349,0.2351,0.2349,0.2351,17355
104,104,1694655840000,0.2351,0.2351,0.235,0.235,3184
105,105,1694655900000,0.235,0.235,0.2348,0.2349,22268
106,106,1694655960000,0.2349,0.2349,0.2346,0.2347,59399
107,107,1694656020000,0.2347,0.2347,0.2344,0.2346,67209
108,108,1694656080000,0.2347,0.2347,0.2345,0.2346,22562
109,109,1694656140000,0.2345,0.2345,0.2341,0.2343,19397
110,110,1694656200000,0.2344,0.2344,0.2342,0.2343,39489
111,111,1694656260000,0.2343,0.2344,0.2342,0.2344,9174
112,112,1694656320000,0.2344,0.2344,0.2343,0.2344,5215
113,113,1694656380000,0.2345,0.2347,0.2345,0.2347,23021
114,114,1694656440000,0.2346,0.2347,0.2346,0.2346,6938
115,115,1694656500000,0.2346,0.2346,0.2346,0.2346,1957
116,116,1694656560000,0.2346,0.2346,0.2341,0.2342,33234
117,117,1694656620000,0.2342,0.2342,0.234,0.2341,3505
118,118,1694656680000,0.2342,0.2342,0.2341,0.2341,3512
119,119,1694656740000,0.2341,0.2342,0.2339,0.2342,15368
120,120,1694656800000,0.2343,0.2345,0.2341,0.2341,29090
121,121,1694656860000,0.2342,0.2345,0.2342,0.2344,28168
122,122,1694656920000,0.2344,0.2347,0.2344,0.2345,24075
123,123,1694656980000,0.2345,0.2346,0.2342,0.2344,39332
124,124,1694657040000,0.2344,0.2344,0.2343,0.2344,23552
125,125,1694657100000,0.2345,0.2345,0.2344,0.2345,35855
126,126,1694657160000,0.2346,0.2348,0.2346,0.2348,19570
127,127,1694657220000,0.2348,0.235,0.2348,0.235,7642
128,128,1694657280000,0.235,0.235,0.2349,0.235,3145
129,129,1694657340000,0.235,0.2353,0.235,0.2352,25910
130,130,1694657400000,0.2352,0.2353,0.235,0.2351,44366
131,131,1694657460000,0.2351,0.2351,0.2349,0.2351,15431
132,132,1694657520000,0.2351,0.2351,0.235,0.235,169
133,133,1694657580000,0.235,0.235,0.2349,0.235,9540
134,134,1694657640000,0.235,0.2351,0.235,0.2351,34665
135,135,1694657700000,0.2351,0.2351,0.2347,0.2348,26716
136,136,1694657760000,0.2348,0.2348,0.2348,0.2348,153
137,137,1694657820000,0.2347,0.2348,0.2346,0.2346,26555
138,138,1694657880000,0.2347,0.2347,0.2347,0.2347,7832
139,139,1694657940000,0.2347,0.2347,0.2347,0.2347,113
140,140,1694658000000,0.2346,0.2347,0.2346,0.2346,4520
141,141,1694658060000,0.2347,0.2347,0.2345,0.2345,15640
142,142,1694658120000,0.2345,0.2345,0.2344,0.2345,11554
143,143,1694658180000,0.2345,0.2345,0.2344,0.2345,21005
144,144,1694658240000,0.2344,0.2344,0.2342,0.2343,11884
145,145,1694658300000,0.2343,0.2343,0.2341,0.2343,19380
146,146,1694658360000,0.2342,0.2344,0.2342,0.2344,4975
147,147,1694658420000,0.2344,0.2345,0.2344,0.2344,4901
148,148,1694658480000,0.2345,0.2346,0.2345,0.2346,4730
149,149,1694658540000,0.2347,0.2347,0.2345,0.2346,7662
150,150,1694658600000,0.2346,0.2347,0.2346,0.2347,24387
151,151,1694658660000,0.2347,0.2347,0.2347,0.2347,19187
152,152,1694658720000,0.2348,0.2348,0.2348,0.2348,6193
153,153,1694658780000,0.2349,0.2349,0.2349,0.2349,383
