,index,timestamp,open,high,low,close,volume
0,0,1694304000000,0.01421,0.01423,0.0142,0.01421,2505635
1,1,1694304060000,0.01422,0.01422,0.01417,0.01418,2073036
2,2,1694304120000,0.01417,0.01419,0.01417,0.01418,565523
3,3,1694304180000,0.01419,0.01419,0.01417,0.01417,490757
4,4,1694304240000,0.01416,0.01417,0.01416,0.01416,146753
5,5,1694304300000,0.01416,0.01418,0.01416,0.01418,1120502
6,6,1694304360000,0.01418,0.01419,0.01417,0.01417,939410
7,7,1694304420000,0.01417,0.01419,0.01417,0.01419,515568
8,8,1694304480000,0.01418,0.01419,0.01418,0.01418,508194
9,9,1694304540000,0.01419,0.01419,0.01418,0.01419,293542
10,10,1694304600000,0.01419,0.0142,0.01419,0.0142,530147
11,11,1694304660000,0.01419,0.0142,0.01419,0.01419,213924
12,12,1694304720000,0.0142,0.0142,0.01419,0.0142,262709
13,13,1694304780000,0.0142,0.01422,0.01419,0.01422,804548
14,14,1694304840000,0.01421,0.01422,0.01421,0.01421,126752
15,15,1694304900000,0.01422,0.01422,0.01421,0.01422,150069
16,16,1694304960000,0.01422,0.01422,0.0142,0.0142,2340331
17,17,1694305020000,0.01421,0.01421,0.01418,0.01418,1129452
18,18,1694305080000,0.01419,0.01419,0.01418,0.01418,304324
19,19,1694305140000,0.01418,0.01419,0.01417,0.01417,454299
20,20,1694305200000,0.01417,0.01418,0.01408,0.01409,3399741
21,21,1694305260000,0.01409,0.01414,0.01405,0.01413,9947611
22,22,1694305320000,0.01413,0.01417,0.01412,0.01414,4326973
23,23,1694305380000,0.01414,0.01415,0.01413,0.01414,1456243
24,24,1694305440000,0.01414,0.01414,0.01413,0.01413,542510
25,25,1694305500000,0.01413,0.01417,0.01413,0.01416,1580679
26,26,1694305560000,0.01417,0.01417,0.01416,0.01417,337132
27,27,1694305620000,0.01417,0.01417,0.01416,0.01417,103975
28,28,1694305680000,0.01416,0.01417,0.01415,0.01416,940733
29,29,1694305740000,0.01416,0.01417,0.01416,0.01416,287038
30,30,1694305800000,0.01417,0.01417,0.01417,0.01417,47322
31,31,1694305860000,0.01417,0.01418,0.01415,0.01415,2469724
32,32,1694305920000,0.01416,0.01417,0.01416,0.01416,663291
33,33,1694305980000,0.01416,0.0142,0.01416,0.0142,2174553
34,34,1694306040000,0.01419,0.0142,0.01419,0.01419,112401
35,35,1694306100000,0.01419,0.01421,0.01419,0.0142,550641
36,36,1694306160000,0.01421,0.01422,0.0142,0.01422,670374
37,37,1694306220000,0.01421,0.01421,0.0142,0.01421,1031187
38,38,1694306280000,0.01421,0.01422,0.01421,0.01422,518402
39,39,1694306340000,0.01422,0.01422,0.01421,0.01422,119763
40,40,1694306400000,0.01421,0.01421,0.0142,0.01421,1478306
41,41,1694306460000,0.01421,0.01421,0.0142,0.0142,463537
42,42,1694306520000,0.01421,0.01421,0.0142,0.01421,94631
43,43,1694306580000,0.0142,0.01421,0.0142,0.01421,28050
44,44,1694306640000,0.01421,0.01421,0.01421,0.01421,147450
45,45,1694306700000,0.01421,0.01421,0.0142,0.01421,11107
46,46,1694306760000,0.0142,0.0142,0.01416,0.01417,1279414
47,47,1694306820000,0.01417,0.01417,0.01416,0.01416,164184
48,48,1694306880000,0.01416,0.01416,0.01415,0.01415,202364
49,49,1694306940000,0.01416,0.01416,0.01415,0.01415,51807
50,50,1694307000000,0.01416,0.01416,0.01415,0.01416,65034
51,51,1694307060000,0.01415,0.01416,0.01414,0.01415,375537
52,52,1694307120000,0.01415,0.01415,0.01414,0.01414,175758
53,53,1694307180000,0.01415,0.01416,0.01414,0.01415,3558595
54,54,1694307240000,0.01416,0.01416,0.01415,0.01415,302893
55,55,1694307300000,0.01416,0.01416,0.01415,0.01416,201346
56,56,1694307360000,0.01415,0.01416,0.01415,0.01415,292299
57,57,1694307420000,0.01415,0.01417,0.01415,0.01417,1877094
58,58,1694307480000,0.01417,0.01417,0.01416,0.01417,165775
59,59,1694307540000,0.01416,0.01416,0.01414,0.01414,3353994
60,60,1694307600000,0.01414,0.01415,0.01413,0.01414,1422013
61,61,1694307660000,0.01414,0.01415,0.01414,0.01415,136950
62,62,1694307720000,0.01415,0.01415,0.01414,0.01415,395462
63,63,1694307780000,0.01415,0.01415,0.01414,0.01415,174606
64,64,1694307840000,0.01414,0.01414,0.01412,0.01412,1079085
65,65,1694307900000,0.01412,0.01413,0.01412,0.01412,569388
66,66,1694307960000,0.01412,0.01413,0.01409,0.01409,1553754
67,67,1694308020000,0.01409,0.01409,0.01405,0.01405,3383309
68,68,1694308080000,0.01406,0.01408,0.01405,0.01407,4653123
69,69,1694308140000,0.01406,0.01407,0.01406,0.01407,225822
70,70,1694308200000,0.01407,0.01409,0.01406,0.01408,1486100
71,71,1694308260000,0.01408,0.01408,0.01408,0.01408,158059
72,72,1694308320000,0.01408,0.01408,0.01407,0.01408,277111
73,73,1694308380000,0.01407,0.01408,0.01407,0.01407,610425
74,74,1694308440000,0.01407,0.01409,0.01407,0.01409,1094535
75,75,1694308500000,0.01408,0.0141,0.01408,0.01409,516837
76,76,1694308560000,0.01409,0.01409,0.01408,0.01409,642032
77,77,1694308620000,0.01409,0.0141,0.01408,0.0141,309822
78,78,1694308680000,0.01409,0.01411,0.01409,0.0141,670550
79,79,1694308740000,0.01409,0.01409,0.01408,0.01408,1126386
80,80,1694308800000,0.01408,0.0141,0.01408,0.01409,1400936
81,81,1694308860000,0.01409,0.01409,0.01406,0.01406,656192
82,82,1694308920000,0.01407,0.01408,0.01402,0.01405,5961042
83,83,1694308980000,0.01404,0.01404,0.01402,0.01403,844362
84,84,1694309040000,0.01404,0.01404,0.01402,0.01402,628227
85,85,1694309100000,0.01402,0.01403,0.01402,0.01402,1097805
86,86,1694309160000,0.01402,0.01402,0.01398,0.014,6204593
87,87,1694309220000,0.01401,0.01403,0.01401,0.01402,1645116
88,88,1694309280000,0.01403,0.01403,0.01402,0.01403,336641
89,89,1694309340000,0.01404,0.01405,0.01404,0.01404,475364
90,90,1694309400000,0.01404,0.01406,0.01402,0.01404,3195838
91,91,1694309460000,0.01403,0.01403,0.01398,0.01403,5081535
92,92,1694309520000,0.01403,0.01404,0.01403,0.01403,1428553
93,93,1694309580000,0.01404,0.01405,0.01402,0.01404,1721042
94,94,1694309640000,0.01404,0.01405,0.01404,0.01404,1088665
95,95,1694309700000,0.01404,0.01405,0.01404,0.01405,94476
96,96,1694309760000,0.01404,0.01405,0.01404,0.01405,142229
97,97,1694309820000,0.01405,0.01408,0.01405,0.01408,1281002
98,98,1694309880000,0.01408,0.01411,0.01408,0.01411,2161089
99,99,1694309940000,0.0141,0.01412,0.0141,0.01412,306605
100,100,1694310000000,0.01412,0.01413,0.01412,0.01413,767538
101,101,1694310060000,0.01412,0.01413,0.01411,0.01411,1761821
102,102,1694310120000,0.01411,0.01411,0.0141,0.0141,692742
103,103,1694310180000,0.01411,0.01411,0.0141,0.0141,22874
104,104,1694310240000,0.0141,0.01411,0.0141,0.01411,108071
105,105,1694310300000,0.0141,0.0141,0.01409,0.0141,544287
106,106,1694310360000,0.01409,0.0141,0.01409,0.01409,104446
107,107,1694310420000,0.0141,0.0141,0.01409,0.0141,173250
108,108,1694310480000,0.0141,0.0141,0.01409,0.01409,94317
109,109,1694310540000,0.0141,0.0141,0.01408,0.01408,296603
