,index,timestamp,open,high,low,close,volume
0,0,1694131200000,0.2579,0.2581,0.2577,0.2578,1822695
1,1,1694131260000,0.2578,0.2581,0.2578,0.258,897284
2,2,1694131320000,0.258,0.2581,0.2576,0.2576,345482
3,3,1694131380000,0.2577,0.2578,0.2576,0.2578,129618
4,4,1694131440000,0.2578,0.2579,0.2577,0.2577,392915
5,5,1694131500000,0.2577,0.2578,0.2577,0.2578,208098
6,6,1694131560000,0.2578,0.2579,0.2578,0.2578,170256
7,7,1694131620000,0.2579,0.2579,0.2576,0.2576,227475
8,8,1694131680000,0.2576,0.2576,0.2575,0.2575,70148
9,9,1694131740000,0.2575,0.2575,0.2574,0.2574,512790
10,10,1694131800000,0.2574,0.2575,0.2574,0.2574,48092
11,11,1694131860000,0.2574,0.2574,0.2573,0.2573,25788
12,12,1694131920000,0.2573,0.2574,0.2572,0.2573,268516
13,13,1694131980000,0.2574,0.2575,0.2573,0.2573,108845
14,14,1694132040000,0.2574,0.2574,0.2572,0.2574,234132
15,15,1694132100000,0.2574,0.2575,0.2573,0.2574,310964
16,16,1694132160000,0.2574,0.2574,0.2573,0.2574,244542
17,17,1694132220000,0.2574,0.2575,0.2573,0.2575,92897
18,18,1694132280000,0.2575,0.2575,0.2574,0.2575,18883
19,19,1694132340000,0.2575,0.2575,0.2573,0.2575,123372
20,20,1694132400000,0.2575,0.2578,0.2574,0.2578,263906
21,21,1694132460000,0.2577,0.258,0.2577,0.2579,80670
22,22,1694132520000,0.2579,0.258,0.2578,0.2579,149206
23,23,1694132580000,0.2579,0.2581,0.2579,0.2581,174654
24,24,1694132640000,0.258,0.2581,0.258,0.258,41910
25,25,1694132700000,0.258,0.2581,0.2579,0.2579,78421
26,26,1694132760000,0.2579,0.2581,0.2579,0.2581,90441
27,27,1694132820000,0.2582,0.2582,0.258,0.258,161405
28,28,1694132880000,0.2581,0.2581,0.2575,0.2576,890149
29,29,1694132940000,0.2576,0.2577,0.2576,0.2577,81067
30,30,1694133000000,0.2577,0.2577,0.2576,0.2577,229394
31,31,1694133060000,0.2576,0.2579,0.2576,0.2578,243931
32,32,1694133120000,0.2578,0.2579,0.2578,0.2578,25650
33,33,1694133180000,0.2578,0.2579,0.2578,0.2578,103851
34,34,1694133240000,0.2579,0.2581,0.2579,0.258,533643
35,35,1694133300000,0.258,0.2581,0.258,0.258,36004
36,36,1694133360000,0.258,0.2583,0.258,0.2581,237434
37,37,1694133420000,0.2582,0.2584,0.2581,0.2582,184805
38,38,1694133480000,0.2583,0.2585,0.2583,0.2583,333019
39,39,1694133540000,0.2583,0.2586,0.2583,0.2586,168446
40,40,1694133600000,0.2585,0.2589,0.2585,0.2589,743333
41,41,1694133660000,0.2589,0.259,0.2588,0.2589,506202
