,index,timestamp,open,high,low,close,volume
0,0,1694131200000,0.1967,0.1969,0.1963,0.1963,721715
1,1,1694131260000,0.1963,0.1964,0.1962,0.1962,264336
2,2,1694131320000,0.1961,0.1962,0.196,0.196,138002
3,3,1694131380000,0.196,0.196,0.1956,0.1958,151709
4,4,1694131440000,0.1959,0.196,0.1958,0.1959,153080
5,5,1694131500000,0.1958,0.196,0.1958,0.196,113140
6,6,1694131560000,0.1961,0.1961,0.1956,0.1958,108602
7,7,1694131620000,0.1958,0.1958,0.1955,0.1955,158937
8,8,1694131680000,0.1954,0.1957,0.1953,0.1957,244093
9,9,1694131740000,0.1958,0.1961,0.1957,0.1961,318140
10,10,1694131800000,0.1961,0.1961,0.1958,0.1958,193268
11,11,1694131860000,0.1957,0.1958,0.1956,0.1957,96640
12,12,1694131920000,0.1958,0.1961,0.1958,0.196,83865
13,13,1694131980000,0.1961,0.1962,0.1959,0.1959,41833
14,14,1694132040000,0.1958,0.1958,0.1955,0.1957,89738
15,15,1694132100000,0.1956,0.1956,0.1954,0.1954,53741
16,16,1694132160000,0.1954,0.1955,0.1953,0.1954,55951
17,17,1694132220000,0.1954,0.1956,0.1953,0.1956,83808
18,18,1694132280000,0.1956,0.1957,0.1955,0.1956,39994
19,19,1694132340000,0.1955,0.1956,0.1954,0.1955,31032
20,20,1694132400000,0.1955,0.1958,0.1955,0.1957,46658
21,21,1694132460000,0.1958,0.1962,0.1957,0.1961,191728
22,22,1694132520000,0.1962,0.1962,0.1959,0.196,322479
23,23,1694132580000,0.1961,0.1962,0.1959,0.196,86249
24,24,1694132640000,0.1961,0.1962,0.1959,0.196,41052
25,25,1694132700000,0.196,0.196,0.1959,0.196,62851
26,26,1694132760000,0.196,0.1962,0.1959,0.1962,94818
27,27,1694132820000,0.1962,0.1963,0.1961,0.1962,57762
28,28,1694132880000,0.1961,0.1961,0.1957,0.1959,108559
29,29,1694132940000,0.1959,0.1962,0.1959,0.196,47372
30,30,1694133000000,0.1961,0.1962,0.196,0.1961,65424
31,31,1694133060000,0.1961,0.1966,0.1961,0.1964,172803
32,32,1694133120000,0.1965,0.1969,0.1965,0.1967,143945
33,33,1694133180000,0.1968,0.1969,0.1967,0.1969,136110
34,34,1694133240000,0.1969,0.1973,0.1968,0.1973,257375
35,35,1694133300000,0.1973,0.1973,0.1971,0.1972,146023
36,36,1694133360000,0.1972,0.1973,0.1969,0.1972,246846
37,37,1694133420000,0.1971,0.1974,0.1971,0.1973,118599
38,38,1694133480000,0.1973,0.1973,0.1971,0.1972,138080
39,39,1694133540000,0.1971,0.1973,0.1971,0.1972,43764
40,40,1694133600000,0.1972,0.1976,0.1972,0.1976,172729
41,41,1694133660000,0.1977,0.1977,0.1975,0.1976,147793
42,42,1694133720000,0.1977,0.198,0.1976,0.1978,325723
43,43,1694133780000,0.1978,0.1981,0.1978,0.1978,588232
44,44,1694133840000,0.1978,0.198,0.1975,0.1975,305182
45,45,1694133900000,0.1974,0.1978,0.1973,0.1977,138251
46,46,1694133960000,0.1978,0.1978,0.1975,0.1975,151033
47,47,1694134020000,0.1975,0.1976,0.1973,0.1975,170950
48,48,1694134080000,0.1976,0.1977,0.1971,0.1972,61374
49,49,1694134140000,0.1972,0.1972,0.1966,0.1967,218764
50,50,1694134200000,0.1968,0.197,0.1965,0.1969,201352
51,51,1694134260000,0.1969,0.1972,0.1969,0.1971,194947
52,52,1694134320000,0.1971,0.1973,0.1971,0.1972,137127
53,53,1694134380000,0.1972,0.1974,0.1972,0.1973,31233
54,54,1694134440000,0.1972,0.1974,0.1971,0.1974,72327
55,55,1694134500000,0.1974,0.1975,0.1972,0.1972,62434
56,56,1694134560000,0.1972,0.1977,0.1972,0.1975,119053
57,57,1694134620000,0.1976,0.1978,0.1975,0.1978,119664
58,58,1694134680000,0.1979,0.1982,0.1972,0.1972,551243
59,59,1694134740000,0.1973,0.1973,0.197,0.1973,205574
60,60,1694134800000,0.1973,0.1975,0.197,0.1973,323216
61,61,1694134860000,0.1974,0.1974,0.1967,0.1969,130158
62,62,1694134920000,0.1968,0.1969,0.1965,0.1966,377553
63,63,1694134980000,0.1967,0.1968,0.1966,0.1967,86738
64,64,1694135040000,0.1968,0.1968,0.1964,0.1964,257731
65,65,1694135100000,0.1965,0.1965,0.1955,0.1955,679414
66,66,1694135160000,0.1957,0.1957,0.1954,0.1954,261494
67,67,1694135220000,0.1954,0.1954,0.1952,0.1952,97731
68,68,1694135280000,0.1952,0.1954,0.195,0.1953,186021
69,69,1694135340000,0.1952,0.1952,0.1951,0.1951,26102
70,70,1694135400000,0.1952,0.1953,0.1951,0.1952,90394
71,71,1694135460000,0.1952,0.1955,0.1952,0.1954,19168
