,index,timestamp,open,high,low,close,volume
0,0,1694476800000,0.5443,0.545,0.5437,0.5443,45139
1,1,1694476860000,0.5444,0.548,0.5444,0.5467,137026
2,2,1694476920000,0.5466,0.5471,0.5463,0.5471,28611
3,3,1694476980000,0.547,0.547,0.545,0.5456,65018
4,4,1694477040000,0.5457,0.5464,0.5455,0.5456,18104
5,5,1694477100000,0.5455,0.5455,0.5441,0.5441,47256
6,6,1694477160000,0.5442,0.5445,0.5431,0.5431,32707
7,7,1694477220000,0.5431,0.5437,0.5426,0.5437,27330
8,8,1694477280000,0.5435,0.544,0.5432,0.5434,25511
9,9,1694477340000,0.5433,0.5433,0.5418,0.5418,16644
10,10,1694477400000,0.5419,0.5432,0.5417,0.5432,25318
11,11,1694477460000,0.5432,0.5437,0.5429,0.5429,20847
12,12,1694477520000,0.5429,0.5433,0.5427,0.5432,5892
13,13,1694477580000,0.5431,0.5431,0.5423,0.5426,22431
14,14,1694477640000,0.5426,0.5433,0.5423,0.5432,9840
15,15,1694477700000,0.5432,0.5437,0.5429,0.5429,7354
16,16,1694477760000,0.543,0.5432,0.5416,0.5423,18498
17,17,1694477820000,0.5424,0.546,0.5417,0.5449,120977
18,18,1694477880000,0.5449,0.5449,0.5445,0.5448,16798
19,19,1694477940000,0.5449,0.5462,0.5446,0.5457,22070
20,20,1694478000000,0.5456,0.5459,0.5447,0.5453,43334
21,21,1694478060000,0.5453,0.5453,0.5438,0.5445,31423
22,22,1694478120000,0.5446,0.5454,0.544,0.5443,27280
23,23,1694478180000,0.5441,0.5445,0.5436,0.5438,14943
24,24,1694478240000,0.5439,0.5442,0.5436,0.5438,4346
25,25,1694478300000,0.5439,0.5439,0.5433,0.5436,4846
26,26,1694478360000,0.5437,0.5444,0.5435,0.5435,8613
27,27,1694478420000,0.5435,0.5437,0.5433,0.5436,2057
28,28,1694478480000,0.5434,0.5441,0.5433,0.5441,10606
29,29,1694478540000,0.5439,0.545,0.5439,0.545,13664
30,30,1694478600000,0.5449,0.5462,0.5449,0.5462,27277
31,31,1694478660000,0.5462,0.5466,0.5459,0.5466,12730
32,32,1694478720000,0.5466,0.5473,0.5462,0.5472,31344
33,33,1694478780000,0.547,0.5472,0.546,0.5463,33184
34,34,1694478840000,0.5465,0.5467,0.5461,0.5462,15157
35,35,1694478900000,0.5461,0.5462,0.5455,0.5462,12848
36,36,1694478960000,0.546,0.5475,0.5456,0.5475,22279
37,37,1694479020000,0.5474,0.5485,0.5473,0.5485,24272
38,38,1694479080000,0.5482,0.5492,0.5481,0.549,15061
39,39,1694479140000,0.549,0.5495,0.5483,0.5491,67727
40,40,1694479200000,0.5491,0.5516,0.549,0.5496,169634
41,41,1694479260000,0.5495,0.5497,0.5489,0.5489,19227
42,42,1694479320000,0.549,0.5491,0.548,0.5481,28119
43,43,1694479380000,0.548,0.5483,0.5472,0.5474,26127
44,44,1694479440000,0.5474,0.5487,0.5473,0.5481,20231
45,45,1694479500000,0.5481,0.5483,0.5471,0.5483,34590
46,46,1694479560000,0.5484,0.5502,0.5484,0.55,50832
47,47,1694479620000,0.55,0.5519,0.5495,0.5503,76610
48,48,1694479680000,0.5502,0.5512,0.5498,0.5512,57005
49,49,1694479740000,0.5513,0.5519,0.551,0.5511,28645
50,50,1694479800000,0.5512,0.5529,0.5508,0.5529,60142
51,51,1694479860000,0.5529,0.5544,0.551,0.5512,132973
52,52,1694479920000,0.5514,0.552,0.551,0.5515,32801
53,53,1694479980000,0.5516,0.5555,0.5516,0.5552,131291
54,54,1694480040000,0.5553,0.5589,0.5548,0.5579,217627
55,55,1694480100000,0.5577,0.5582,0.5553,0.5564,247123
56,56,1694480160000,0.5564,0.5566,0.5538,0.5539,68519
57,57,1694480220000,0.5538,0.5538,0.5525,0.553,91886
58,58,1694480280000,0.5531,0.5531,0.5518,0.5518,29094
59,59,1694480340000,0.5519,0.552,0.5511,0.552,62893
60,60,1694480400000,0.5521,0.5539,0.5521,0.5539,34220
61,61,1694480460000,0.5538,0.5539,0.5508,0.5508,58164
62,62,1694480520000,0.5509,0.5513,0.5496,0.5499,39963
63,63,1694480580000,0.55,0.55,0.5488,0.5488,56336
64,64,1694480640000,0.5489,0.5494,0.5487,0.5491,31460
65,65,1694480700000,0.5492,0.5503,0.549,0.5502,36372
66,66,1694480760000,0.5502,0.5508,0.5488,0.5491,37842
67,67,1694480820000,0.5491,0.5495,0.549,0.5494,16923
68,68,1694480880000,0.5494,0.5505,0.5492,0.5503,42476
69,69,1694480940000,0.5503,0.5515,0.5501,0.5506,50200
70,70,1694481000000,0.5508,0.5527,0.5506,0.5523,68310
71,71,1694481060000,0.5525,0.5546,0.5525,0.5544,45358
72,72,1694481120000,0.5545,0.5555,0.5538,0.5547,50466
73,73,1694481180000,0.5546,0.5548,0.5542,0.5546,21067
74,74,1694481240000,0.5545,0.5547,0.5531,0.5541,116403
75,75,1694481300000,0.5541,0.5564,0.5538,0.5547,116234
76,76,1694481360000,0.5545,0.5557,0.5542,0.5557,36352
77,77,1694481420000,0.5556,0.5558,0.5537,0.5551,84652
78,78,1694481480000,0.5552,0.5552,0.5543,0.5545,35279
79,79,1694481540000,0.5545,0.5545,0.5518,0.5522,78488
80,80,1694481600000,0.5522,0.5522,0.5515,0.5515,17581
81,81,1694481660000,0.5516,0.554,0.5516,0.5531,77677
82,82,1694481720000,0.5532,0.5535,0.5531,0.5532,7817
83,83,1694481780000,0.5532,0.5533,0.5522,0.5526,24556
84,84,1694481840000,0.5525,0.5548,0.552,0.554,60177
85,85,1694481900000,0.554,0.5541,0.5531,0.5531,16518
86,86,1694481960000,0.553,0.5538,0.5524,0.5537,17939
87,87,1694482020000,0.5537,0.5537,0.5505,0.5507,63616
88,88,1694482080000,0.5507,0.5512,0.5501,0.5512,23078
89,89,1694482140000,0.5513,0.552,0.5505,0.5519,30039
90,90,1694482200000,0.5518,0.5524,0.551,0.5522,31580
91,91,1694482260000,0.5519,0.5519,0.5513,0.5517,10523
