,index,timestamp,open,high,low,close,volume
0,0,1690848000000,0.1097,0.1098,0.1096,0.1096,172249.3
1,1,1690848060000,0.1096,0.1098,0.1096,0.1098,185267.0
2,2,1690848120000,0.1098,0.1098,0.1097,0.1097,99285.0
3,3,1690848180000,0.1098,0.1098,0.1097,0.1097,10778.1
4,4,1690848240000,0.1098,0.1098,0.1096,0.1096,207930.4
5,5,1690848300000,0.1097,0.1097,0.1093,0.1093,936802.1
6,6,1690848360000,0.1093,0.1094,0.1093,0.1093,35868.2
7,7,1690848420000,0.1093,0.1094,0.1093,0.1094,34446.2
8,8,1690848480000,0.1093,0.1094,0.1093,0.1094,40174.7
9,9,1690848540000,0.1094,0.1094,0.1093,0.1093,12114.0
10,10,1690848600000,0.1094,0.1097,0.1094,0.1097,1173076.6
11,11,1690848660000,0.1097,0.1097,0.1096,0.1097,82405.3
12,12,1690848720000,0.1097,0.1097,0.1096,0.1097,8952.5
13,13,1690848780000,0.1097,0.1098,0.1096,0.1098,164625.1
14,14,1690848840000,0.1098,0.1098,0.1097,0.1098,20974.1
15,15,1690848900000,0.1098,0.1099,0.1098,0.1099,105430.9
16,16,1690848960000,0.1098,0.1099,0.1098,0.1099,13851.4
17,17,1690849020000,0.1098,0.1099,0.1098,0.1099,4743.0
18,18,1690849080000,0.1098,0.1099,0.1098,0.1099,46575.3
19,19,1690849140000,0.1098,0.1099,0.1097,0.1099,714511.6
20,20,1690849200000,0.11,0.1101,0.1099,0.11,151404.8
21,21,1690849260000,0.1101,0.1102,0.11,0.1101,456613.0
22,22,1690849320000,0.1101,0.1102,0.11,0.11,92495.8
23,23,1690849380000,0.1101,0.1101,0.11,0.1101,61411.6
24,24,1690849440000,0.1101,0.1101,0.11,0.11,237734.8
25,25,1690849500000,0.11,0.1101,0.1099,0.1101,231265.3
26,26,1690849560000,0.1101,0.1102,0.11,0.1101,371018.8
27,27,1690849620000,0.11,0.1102,0.11,0.11,561870.4
28,28,1690849680000,0.1099,0.1099,0.1097,0.1098,585812.9
29,29,1690849740000,0.1099,0.1099,0.1098,0.1098,14770.2
30,30,1690849800000,0.1098,0.1099,0.1098,0.1099,262850.7
31,31,1690849860000,0.11,0.11,0.11,0.11,3147.8
32,32,1690849920000,0.11,0.11,0.1099,0.1099,14505.9
33,33,1690849980000,0.1099,0.11,0.1098,0.1099,359810.3
