,index,timestamp,open,high,low,close,volume
0,0,1694563200000,0.0894,0.0895,0.0893,0.0895,287240.8
1,1,1694563260000,0.0894,0.0895,0.0893,0.0893,126714.5
2,2,1694563320000,0.0894,0.0894,0.0892,0.0892,136368.0
3,3,1694563380000,0.0892,0.0893,0.0891,0.0891,588985.2
4,4,1694563440000,0.0891,0.0892,0.0891,0.0891,321365.6
5,5,1694563500000,0.0891,0.0892,0.089,0.0891,633516.3
6,6,1694563560000,0.089,0.0892,0.089,0.0891,273383.7
7,7,1694563620000,0.089,0.0892,0.089,0.0892,392459.8
8,8,1694563680000,0.0892,0.0893,0.0892,0.0893,119038.6
9,9,1694563740000,0.0893,0.0895,0.0893,0.0894,91623.6
10,10,1694563800000,0.0894,0.0894,0.0894,0.0894,418874.0
11,11,1694563860000,0.0895,0.0896,0.0894,0.0896,229397.2
12,12,1694563920000,0.0896,0.0897,0.0895,0.0896,131041.7
13,13,1694563980000,0.0895,0.0896,0.0895,0.0896,75570.2
14,14,1694564040000,0.0895,0.0895,0.0894,0.0894,398988.8
15,15,1694564100000,0.0895,0.0896,0.0894,0.0896,195393.6
16,16,1694564160000,0.0896,0.0896,0.0895,0.0896,218124.7
17,17,1694564220000,0.0896,0.0897,0.0895,0.0897,78995.9
18,18,1694564280000,0.0896,0.0897,0.0895,0.0896,175717.7
19,19,1694564340000,0.0896,0.0897,0.0896,0.0896,113836.4
20,20,1694564400000,0.0896,0.0897,0.0896,0.0896,85305.5
21,21,1694564460000,0.0896,0.0896,0.0896,0.0896,7568.9
22,22,1694564520000,0.0896,0.0897,0.0896,0.0896,22513.7
23,23,1694564580000,0.0897,0.0897,0.0896,0.0896,6842.0
24,24,1694564640000,0.0896,0.0898,0.0896,0.0898,261337.9
25,25,1694564700000,0.0898,0.0898,0.0897,0.0897,120107.7
26,26,1694564760000,0.0897,0.0897,0.0897,0.0897,6452.9
27,27,1694564820000,0.0897,0.0897,0.0896,0.0897,93946.7
28,28,1694564880000,0.0896,0.0897,0.0896,0.0897,19090.7
29,29,1694564940000,0.0897,0.0897,0.0896,0.0896,7804.2
30,30,1694565000000,0.0896,0.0898,0.0896,0.0897,224821.4
31,31,1694565060000,0.0897,0.0898,0.0896,0.0896,157464.0
32,32,1694565120000,0.0896,0.0897,0.0896,0.0896,155280.7
33,33,1694565180000,0.0896,0.0896,0.0895,0.0896,153195.7
34,34,1694565240000,0.0895,0.0896,0.0895,0.0895,206349.6
35,35,1694565300000,0.0896,0.0898,0.0895,0.0898,303939.8
36,36,1694565360000,0.0897,0.0898,0.0897,0.0897,234786.3
37,37,1694565420000,0.0897,0.0899,0.0897,0.0898,407395.3
38,38,1694565480000,0.0897,0.0899,0.0897,0.0899,84156.6
39,39,1694565540000,0.0899,0.0899,0.0898,0.0899,139075.3
40,40,1694565600000,0.0898,0.0899,0.0898,0.0898,9377.8
41,41,1694565660000,0.0898,0.09,0.0898,0.0899,633750.1
42,42,1694565720000,0.09,0.09,0.0899,0.09,316971.3
43,43,1694565780000,0.09,0.09,0.0898,0.0898,149565.4
44,44,1694565840000,0.0899,0.0899,0.0898,0.0898,13651.3
45,45,1694565900000,0.0898,0.0898,0.0897,0.0898,107853.7
46,46,1694565960000,0.0897,0.0898,0.0897,0.0897,13615.6
47,47,1694566020000,0.0897,0.0898,0.0897,0.0897,212126.3
48,48,1694566080000,0.0896,0.0898,0.0896,0.0897,203381.6
49,49,1694566140000,0.0897,0.0898,0.0897,0.0898,110667.7
50,50,1694566200000,0.0897,0.0898,0.0897,0.0898,110632.4
51,51,1694566260000,0.0897,0.0898,0.0897,0.0897,8717.8
52,52,1694566320000,0.0897,0.0899,0.0897,0.0899,464069.5
53,53,1694566380000,0.0898,0.0899,0.0898,0.0899,66913.2
54,54,1694566440000,0.0898,0.0899,0.0898,0.0898,7013.8
55,55,1694566500000,0.0899,0.0899,0.0898,0.0898,71315.8
56,56,1694566560000,0.0899,0.0899,0.0898,0.0899,19861.9
57,57,1694566620000,0.0898,0.0898,0.0897,0.0897,161489.9
58,58,1694566680000,0.0897,0.0898,0.0897,0.0898,225970.3
59,59,1694566740000,0.0897,0.0898,0.0897,0.0897,13987.3
60,60,1694566800000,0.0898,0.0898,0.0896,0.0897,632730.6
61,61,1694566860000,0.0897,0.0897,0.0895,0.0895,400882.9
62,62,1694566920000,0.0896,0.0897,0.0895,0.0895,430828.4
63,63,1694566980000,0.0896,0.0897,0.0896,0.0896,284394.6
64,64,1694567040000,0.0897,0.0897,0.0896,0.0897,92823.5
65,65,1694567100000,0.0896,0.0897,0.0896,0.0897,112025.3
66,66,1694567160000,0.0897,0.0898,0.0897,0.0897,88278.0
67,67,1694567220000,0.0897,0.0898,0.0897,0.0898,2079.5
68,68,1694567280000,0.0898,0.0898,0.0897,0.0898,46031.2
69,69,1694567340000,0.0897,0.0898,0.0897,0.0897,38256.6
70,70,1694567400000,0.0897,0.0898,0.0897,0.0897,11689.9
71,71,1694567460000,0.0898,0.0898,0.0897,0.0897,7427.7
72,72,1694567520000,0.0897,0.0899,0.0897,0.0899,182551.5
73,73,1694567580000,0.0898,0.09,0.0898,0.09,166600.2
74,74,1694567640000,0.0899,0.09,0.0899,0.0899,40518.6
