,index,timestamp,open,high,low,close,volume
0,0,1694044800000,0.781,0.782,0.78,0.781,24314.2
1,1,1694044860000,0.781,0.781,0.78,0.781,7927.4
2,2,1694044920000,0.782,0.782,0.781,0.782,10182.2
3,3,1694044980000,0.782,0.783,0.78,0.783,24893.7
4,4,1694045040000,0.783,0.783,0.782,0.783,15561.5
5,5,1694045100000,0.783,0.784,0.782,0.784,17107.7
6,6,1694045160000,0.784,0.784,0.783,0.784,12588.3
7,7,1694045220000,0.783,0.783,0.783,0.783,105.3
8,8,1694045280000,0.783,0.783,0.783,0.783,150.7
9,9,1694045340000,0.783,0.783,0.783,0.783,380.9
10,10,1694045400000,0.783,0.784,0.783,0.783,765.6
11,11,1694045460000,0.783,0.783,0.783,0.783,357.2
12,12,1694045520000,0.783,0.784,0.783,0.783,4763.2
13,13,1694045580000,0.783,0.783,0.782,0.782,9348.6
14,14,1694045640000,0.782,0.782,0.782,0.782,241.1
15,15,1694045700000,0.782,0.783,0.782,0.782,408.0
16,16,1694045760000,0.782,0.782,0.781,0.781,5749.3
17,17,1694045820000,0.781,0.781,0.78,0.78,10284.3
18,18,1694045880000,0.78,0.78,0.779,0.78,11166.6
19,19,1694045940000,0.78,0.781,0.78,0.781,3272.3
20,20,1694046000000,0.781,0.781,0.778,0.779,7191.4
21,21,1694046060000,0.779,0.78,0.779,0.779,2354.1
22,22,1694046120000,0.779,0.779,0.778,0.778,2406.7
23,23,1694046180000,0.778,0.779,0.778,0.779,9962.7
24,24,1694046240000,0.779,0.781,0.779,0.781,5845.8
25,25,1694046300000,0.781,0.781,0.78,0.781,1957.3
26,26,1694046360000,0.78,0.781,0.779,0.78,16491.8
27,27,1694046420000,0.78,0.781,0.78,0.78,1082.3
28,28,1694046480000,0.78,0.781,0.78,0.781,1241.8
29,29,1694046540000,0.78,0.781,0.78,0.78,1072.3
30,30,1694046600000,0.78,0.784,0.78,0.784,14039.7
31,31,1694046660000,0.783,0.784,0.783,0.783,20615.8
32,32,1694046720000,0.783,0.784,0.783,0.783,11187.2
33,33,1694046780000,0.783,0.784,0.783,0.783,4006.5
34,34,1694046840000,0.783,0.784,0.783,0.783,3913.3
35,35,1694046900000,0.784,0.784,0.783,0.783,773.9
36,36,1694046960000,0.783,0.784,0.783,0.784,1151.9
37,37,1694047020000,0.784,0.784,0.783,0.783,72.1
38,38,1694047080000,0.783,0.783,0.783,0.783,177.4
39,39,1694047140000,0.783,0.784,0.783,0.783,672.9
40,40,1694047200000,0.783,0.784,0.782,0.784,8683.0
41,41,1694047260000,0.783,0.784,0.783,0.784,1411.9
42,42,1694047320000,0.784,0.784,0.783,0.784,21625.3
43,43,1694047380000,0.783,0.784,0.783,0.784,1944.4
44,44,1694047440000,0.783,0.784,0.783,0.783,1214.5
45,45,1694047500000,0.783,0.784,0.783,0.784,3310.7
46,46,1694047560000,0.783,0.784,0.783,0.783,931.8
47,47,1694047620000,0.784,0.784,0.783,0.784,925.4
