,index,timestamp,open,high,low,close,volume
0,0,1693958400000,0.08132,0.08138,0.08118,0.08119,342571
1,1,1693958460000,0.0812,0.08127,0.08105,0.08122,410009
2,2,1693958520000,0.08122,0.08126,0.08117,0.08123,258250
3,3,1693958580000,0.08123,0.08127,0.08114,0.08115,230342
4,4,1693958640000,0.08113,0.08131,0.08108,0.08131,333463
5,5,1693958700000,0.08132,0.08149,0.08123,0.08126,386695
6,6,1693958760000,0.08128,0.08141,0.08127,0.08131,231091
7,7,1693958820000,0.08134,0.08144,0.08134,0.08142,144868
8,8,1693958880000,0.08143,0.0815,0.08138,0.08141,226827
9,9,1693958940000,0.08142,0.08154,0.08141,0.08152,440064
10,10,1693959000000,0.08146,0.0815,0.08139,0.0814,158045
11,11,1693959060000,0.0814,0.08153,0.0814,0.08146,259138
12,12,1693959120000,0.08142,0.08154,0.08135,0.08143,558904
13,13,1693959180000,0.08144,0.08172,0.08144,0.08161,538181
14,14,1693959240000,0.0816,0.08167,0.08157,0.0816,79674
15,15,1693959300000,0.08158,0.0816,0.08146,0.0815,160475
16,16,1693959360000,0.08151,0.0818,0.08151,0.08176,414896
17,17,1693959420000,0.08176,0.08183,0.08166,0.08177,550605
18,18,1693959480000,0.08177,0.08213,0.08176,0.08208,1000570
19,19,1693959540000,0.08208,0.08211,0.08189,0.082,808331
20,20,1693959600000,0.08198,0.08212,0.08179,0.08195,640390
21,21,1693959660000,0.08197,0.08201,0.08184,0.08196,223117
22,22,1693959720000,0.08194,0.08196,0.08178,0.08183,208408
23,23,1693959780000,0.08182,0.08187,0.08169,0.08179,495277
24,24,1693959840000,0.08177,0.08202,0.08175,0.08202,349741
25,25,1693959900000,0.082,0.08218,0.08196,0.08201,715303
26,26,1693959960000,0.08201,0.08205,0.08184,0.08189,482524
27,27,1693960020000,0.0819,0.08194,0.08174,0.08175,341231
28,28,1693960080000,0.08174,0.08175,0.08163,0.08167,480205
29,29,1693960140000,0.08167,0.08167,0.08146,0.08155,342734
30,30,1693960200000,0.08158,0.08175,0.08152,0.08153,177022
31,31,1693960260000,0.08153,0.08157,0.08119,0.08129,653771
32,32,1693960320000,0.08128,0.0813,0.0807,0.08083,2373131
33,33,1693960380000,0.08081,0.08127,0.08078,0.08115,1142685
34,34,1693960440000,0.08115,0.0813,0.08107,0.08125,337183
35,35,1693960500000,0.08125,0.08141,0.08119,0.08123,487990
36,36,1693960560000,0.08125,0.0814,0.08119,0.08132,236022
37,37,1693960620000,0.08133,0.08137,0.08121,0.08121,308624
38,38,1693960680000,0.08124,0.08126,0.08109,0.08112,228090
39,39,1693960740000,0.08114,0.08136,0.08112,0.08134,341592
40,40,1693960800000,0.08133,0.08167,0.08132,0.08155,601751
41,41,1693960860000,0.08157,0.08193,0.08157,0.08189,404354
42,42,1693960920000,0.08187,0.08206,0.08169,0.082,763243
43,43,1693960980000,0.08199,0.08236,0.08192,0.08223,935909
44,44,1693961040000,0.08224,0.0825,0.08209,0.08243,1821068
45,45,1693961100000,0.08236,0.0824,0.08225,0.08232,804989
46,46,1693961160000,0.08228,0.08231,0.08219,0.08221,455519
47,47,1693961220000,0.08221,0.08222,0.0819,0.08196,1426725
48,48,1693961280000,0.08195,0.08207,0.08192,0.08192,308780
49,49,1693961340000,0.08192,0.08203,0.08185,0.0819,245967
50,50,1693961400000,0.0819,0.08196,0.0818,0.08184,391369
51,51,1693961460000,0.08183,0.08189,0.08171,0.08171,152483
52,52,1693961520000,0.08173,0.08173,0.08144,0.08146,398604
53,53,1693961580000,0.08148,0.08171,0.08143,0.0815,589207
54,54,1693961640000,0.08152,0.08165,0.08147,0.08162,202748
55,55,1693961700000,0.0816,0.08163,0.0815,0.08151,108509
56,56,1693961760000,0.0815,0.08155,0.08142,0.08147,276926
57,57,1693961820000,0.08147,0.08163,0.08145,0.08162,118189
58,58,1693961880000,0.08162,0.08174,0.08162,0.08174,106786
59,59,1693961940000,0.08176,0.08189,0.08176,0.08181,148356
60,60,1693962000000,0.0818,0.08181,0.08159,0.08168,287050
61,61,1693962060000,0.08168,0.08175,0.08157,0.0816,180040
62,62,1693962120000,0.08156,0.08158,0.08149,0.08151,167848
63,63,1693962180000,0.08151,0.08153,0.08142,0.08145,144958
64,64,1693962240000,0.08145,0.08148,0.0814,0.0814,246561
65,65,1693962300000,0.08141,0.08155,0.0814,0.08151,157275
66,66,1693962360000,0.08151,0.0816,0.08151,0.08153,114661
67,67,1693962420000,0.08154,0.08168,0.08149,0.08168,192463
68,68,1693962480000,0.08168,0.08171,0.08166,0.08168,57667
69,69,1693962540000,0.08167,0.08169,0.08158,0.08162,201732
70,70,1693962600000,0.0816,0.08165,0.08156,0.0816,119766
71,71,1693962660000,0.08161,0.08172,0.08154,0.08172,281571
72,72,1693962720000,0.08172,0.08179,0.08156,0.08157,216596
73,73,1693962780000,0.08157,0.0816,0.08152,0.08154,82715
74,74,1693962840000,0.08155,0.08158,0.0815,0.08153,125917
75,75,1693962900000,0.08151,0.08152,0.08149,0.0815,100445
76,76,1693962960000,0.08149,0.0815,0.08145,0.08146,55016
77,77,1693963020000,0.08145,0.08147,0.08134,0.08135,386372
78,78,1693963080000,0.08135,0.08149,0.08135,0.08146,136274
79,79,1693963140000,0.08147,0.08159,0.08147,0.08157,40874
80,80,1693963200000,0.08157,0.08168,0.08157,0.08167,87678
81,81,1693963260000,0.08167,0.08174,0.08166,0.08167,150887
82,82,1693963320000,0.08167,0.08177,0.08167,0.08177,161121
83,83,1693963380000,0.08175,0.08177,0.08175,0.08175,4477
84,84,1693963440000,0.08175,0.08175,0.08166,0.08172,252932
85,85,1693963500000,0.08173,0.08177,0.08152,0.08158,186261
86,86,1693963560000,0.08158,0.08158,0.08149,0.08149,68822
87,87,1693963620000,0.08149,0.0816,0.08149,0.08153,132372
88,88,1693963680000,0.08153,0.08161,0.08152,0.08159,37017
89,89,1693963740000,0.08159,0.08159,0.08142,0.08151,235319
90,90,1693963800000,0.08152,0.08162,0.08151,0.08162,72828
91,91,1693963860000,0.08163,0.08168,0.08162,0.08167,108176
92,92,1693963920000,0.08167,0.08195,0.08153,0.08188,947495
93,93,1693963980000,0.08188,0.08188,0.0817,0.08174,360790
