,index,timestamp,open,high,low,close,volume
0,0,1693785600000,0.0182,0.01822,0.0182,0.01822,837946
1,1,1693785660000,0.01822,0.01822,0.01821,0.01822,177178
2,2,1693785720000,0.01821,0.01823,0.0182,0.01823,783899
3,3,1693785780000,0.01823,0.01823,0.01823,0.01823,82728
4,4,1693785840000,0.01824,0.01825,0.01823,0.01825,247151
5,5,1693785900000,0.01825,0.01826,0.01825,0.01826,289402
6,6,1693785960000,0.01826,0.01827,0.01824,0.01824,697192
7,7,1693786020000,0.01824,0.01825,0.01824,0.01824,415503
8,8,1693786080000,0.01824,0.01825,0.01822,0.01824,581789
9,9,1693786140000,0.01823,0.01823,0.01822,0.01823,342222
10,10,1693786200000,0.01823,0.01823,0.01822,0.01822,317765
11,11,1693786260000,0.01821,0.01823,0.01821,0.01823,526934
12,12,1693786320000,0.01822,0.01825,0.01822,0.01824,254669
13,13,1693786380000,0.01825,0.01825,0.01825,0.01825,39683
14,14,1693786440000,0.01825,0.01827,0.01825,0.01827,215744
15,15,1693786500000,0.01828,0.01828,0.01826,0.01826,1391476
16,16,1693786560000,0.01826,0.01827,0.01826,0.01827,408517
17,17,1693786620000,0.01826,0.01826,0.01826,0.01826,1090
18,18,1693786680000,0.01826,0.01827,0.01826,0.01826,170818
19,19,1693786740000,0.01826,0.01827,0.01826,0.01827,286632
20,20,1693786800000,0.01827,0.01828,0.01826,0.01828,201952
21,21,1693786860000,0.01828,0.0183,0.01828,0.0183,524869
22,22,1693786920000,0.0183,0.0183,0.01829,0.0183,298880
23,23,1693786980000,0.0183,0.0183,0.01829,0.0183,70185
24,24,1693787040000,0.01829,0.01831,0.01829,0.01831,84166
25,25,1693787100000,0.0183,0.01832,0.01829,0.01831,330235
26,26,1693787160000,0.01831,0.01831,0.0183,0.01831,82973
27,27,1693787220000,0.01831,0.01832,0.01831,0.01831,269595
28,28,1693787280000,0.01832,0.01832,0.01831,0.01831,109146
29,29,1693787340000,0.01831,0.01833,0.0183,0.01831,571082
30,30,1693787400000,0.01832,0.01834,0.01832,0.01834,809622
31,31,1693787460000,0.01833,0.01833,0.01833,0.01833,3068
32,32,1693787520000,0.01833,0.01835,0.01833,0.01835,153763
