,index,timestamp,open,high,low,close,volume
0,0,1694304000000,4.304,4.307,4.303,4.305,1259.3
1,1,1694304060000,4.306,4.306,4.291,4.292,8299.1
2,2,1694304120000,4.293,4.298,4.292,4.295,2473.0
3,3,1694304180000,4.295,4.297,4.293,4.293,682.2
4,4,1694304240000,4.293,4.295,4.293,4.294,229.2
5,5,1694304300000,4.294,4.295,4.293,4.293,372.8
6,6,1694304360000,4.293,4.294,4.287,4.287,2955.5
7,7,1694304420000,4.289,4.293,4.286,4.288,2211.3
8,8,1694304480000,4.287,4.293,4.287,4.293,2634.8
9,9,1694304540000,4.291,4.291,4.288,4.289,2182.9
10,10,1694304600000,4.29,4.293,4.29,4.293,679.6
11,11,1694304660000,4.293,4.294,4.293,4.293,1205.5
12,12,1694304720000,4.294,4.294,4.294,4.294,25.5
13,13,1694304780000,4.293,4.293,4.289,4.291,2295.3
14,14,1694304840000,4.292,4.295,4.292,4.293,1234.4
15,15,1694304900000,4.293,4.295,4.293,4.294,570.7
16,16,1694304960000,4.294,4.294,4.292,4.293,416.3
17,17,1694305020000,4.292,4.293,4.292,4.293,584.8
18,18,1694305080000,4.294,4.294,4.293,4.294,59.3
19,19,1694305140000,4.293,4.293,4.287,4.288,1404.4
20,20,1694305200000,4.288,4.288,4.258,4.266,27470.4
21,21,1694305260000,4.266,4.276,4.261,4.269,19454.2
22,22,1694305320000,4.27,4.272,4.266,4.268,10121.7
23,23,1694305380000,4.267,4.269,4.266,4.266,2498.3
24,24,1694305440000,4.266,4.268,4.264,4.265,1193.2
25,25,1694305500000,4.265,4.27,4.264,4.27,1742.3
26,26,1694305560000,4.27,4.27,4.266,4.269,2646.7
27,27,1694305620000,4.269,4.269,4.267,4.267,600.3
28,28,1694305680000,4.267,4.272,4.264,4.271,3663.5
29,29,1694305740000,4.271,4.272,4.27,4.271,439.9
30,30,1694305800000,4.271,4.276,4.27,4.274,960.9
31,31,1694305860000,4.275,4.276,4.271,4.271,1725.5
32,32,1694305920000,4.272,4.274,4.272,4.273,915.7
33,33,1694305980000,4.273,4.274,4.273,4.274,264.3
34,34,1694306040000,4.274,4.279,4.274,4.276,1382.5
35,35,1694306100000,4.276,4.279,4.276,4.278,1523.1
36,36,1694306160000,4.279,4.279,4.279,4.279,32.2
37,37,1694306220000,4.279,4.279,4.275,4.276,2016.6
