,index,timestamp,open,high,low,close,volume
0,0,1694304000000,1.32,1.321,1.319,1.319,55896
1,1,1694304060000,1.319,1.32,1.317,1.317,142023
2,2,1694304120000,1.318,1.318,1.317,1.318,48716
3,3,1694304180000,1.317,1.318,1.316,1.317,31928
4,4,1694304240000,1.317,1.318,1.316,1.317,34533
5,5,1694304300000,1.317,1.318,1.317,1.317,6088
6,6,1694304360000,1.317,1.318,1.314,1.314,220273
7,7,1694304420000,1.314,1.315,1.313,1.314,67148
8,8,1694304480000,1.314,1.315,1.314,1.314,12921
9,9,1694304540000,1.314,1.315,1.313,1.314,47046
10,10,1694304600000,1.314,1.315,1.313,1.314,67488
11,11,1694304660000,1.315,1.315,1.313,1.313,39972
12,12,1694304720000,1.314,1.314,1.305,1.308,784055
13,13,1694304780000,1.308,1.311,1.308,1.31,111064
14,14,1694304840000,1.31,1.312,1.31,1.311,38751
15,15,1694304900000,1.311,1.312,1.311,1.311,27737
16,16,1694304960000,1.311,1.313,1.311,1.313,43671
17,17,1694305020000,1.313,1.316,1.312,1.315,161135
18,18,1694305080000,1.315,1.315,1.313,1.314,44884
19,19,1694305140000,1.313,1.314,1.311,1.311,82276
20,20,1694305200000,1.311,1.312,1.287,1.299,2006697
21,21,1694305260000,1.3,1.307,1.298,1.303,621289
22,22,1694305320000,1.303,1.307,1.302,1.303,284613
23,23,1694305380000,1.303,1.306,1.301,1.303,213295
24,24,1694305440000,1.302,1.303,1.301,1.301,95527
25,25,1694305500000,1.301,1.306,1.301,1.304,138953
26,26,1694305560000,1.304,1.305,1.302,1.305,78027
27,27,1694305620000,1.305,1.307,1.305,1.305,50601
28,28,1694305680000,1.305,1.307,1.304,1.306,68279
29,29,1694305740000,1.307,1.308,1.306,1.308,23770
30,30,1694305800000,1.307,1.308,1.306,1.307,117645
31,31,1694305860000,1.308,1.309,1.305,1.305,88931
32,32,1694305920000,1.305,1.306,1.305,1.305,23336
33,33,1694305980000,1.305,1.307,1.305,1.307,48753
34,34,1694306040000,1.308,1.308,1.307,1.308,40473
35,35,1694306100000,1.307,1.309,1.307,1.309,58671
36,36,1694306160000,1.309,1.31,1.308,1.31,149574
37,37,1694306220000,1.309,1.31,1.308,1.309,45170
38,38,1694306280000,1.309,1.311,1.309,1.31,68111
39,39,1694306340000,1.311,1.311,1.309,1.309,19543
40,40,1694306400000,1.309,1.31,1.306,1.308,72277
41,41,1694306460000,1.307,1.308,1.307,1.308,61675
42,42,1694306520000,1.307,1.308,1.307,1.308,16958
43,43,1694306580000,1.309,1.309,1.307,1.307,15175
44,44,1694306640000,1.307,1.308,1.307,1.307,15519
45,45,1694306700000,1.308,1.311,1.307,1.311,49701
46,46,1694306760000,1.31,1.311,1.307,1.308,77355
47,47,1694306820000,1.308,1.309,1.307,1.308,50823
48,48,1694306880000,1.309,1.311,1.308,1.311,28096
49,49,1694306940000,1.31,1.311,1.309,1.31,58604
50,50,1694307000000,1.31,1.311,1.309,1.309,26493
51,51,1694307060000,1.309,1.31,1.309,1.309,9876
52,52,1694307120000,1.309,1.311,1.309,1.311,35418
53,53,1694307180000,1.311,1.312,1.31,1.312,18943
54,54,1694307240000,1.311,1.312,1.31,1.311,49070
55,55,1694307300000,1.311,1.312,1.31,1.31,18069
56,56,1694307360000,1.31,1.311,1.31,1.31,8321
57,57,1694307420000,1.311,1.312,1.311,1.312,15027
58,58,1694307480000,1.311,1.312,1.311,1.312,19133
59,59,1694307540000,1.312,1.312,1.311,1.312,9622
60,60,1694307600000,1.311,1.311,1.309,1.31,100177
61,61,1694307660000,1.31,1.312,1.31,1.312,50405
