,index,timestamp,open,high,low,close,volume
0,0,1688169600000,1.053,1.055,1.052,1.055,15849.0
1,1,1688169660000,1.054,1.054,1.051,1.051,4298.2
2,2,1688169720000,1.052,1.053,1.051,1.051,14799.3
3,3,1688169780000,1.052,1.052,1.05,1.05,13165.1
4,4,1688169840000,1.05,1.051,1.05,1.051,2447.8
5,5,1688169900000,1.051,1.051,1.051,1.051,1094.5
6,6,1688169960000,1.051,1.053,1.051,1.051,5820.8
7,7,1688170020000,1.052,1.053,1.052,1.053,3315.8
8,8,1688170080000,1.053,1.054,1.052,1.052,1993.7
9,9,1688170140000,1.052,1.054,1.052,1.053,3344.5
10,10,1688170200000,1.053,1.053,1.052,1.053,3138.5
11,11,1688170260000,1.053,1.053,1.053,1.053,3552.3
12,12,1688170320000,1.053,1.053,1.053,1.053,42.8
13,13,1688170380000,1.052,1.052,1.045,1.047,16585.0
14,14,1688170440000,1.047,1.047,1.046,1.047,19366.4
15,15,1688170500000,1.047,1.048,1.046,1.048,8495.5
16,16,1688170560000,1.048,1.049,1.048,1.048,5369.0
17,17,1688170620000,1.047,1.047,1.046,1.047,5898.6
18,18,1688170680000,1.047,1.047,1.047,1.047,620.1
19,19,1688170740000,1.047,1.049,1.047,1.049,4365.5
20,20,1688170800000,1.048,1.049,1.048,1.048,2282.0
21,21,1688170860000,1.048,1.049,1.047,1.049,1989.6
22,22,1688170920000,1.049,1.05,1.049,1.05,4040.0
23,23,1688170980000,1.051,1.052,1.05,1.051,2760.5
24,24,1688171040000,1.051,1.051,1.051,1.051,1455.1
25,25,1688171100000,1.051,1.051,1.05,1.05,1634.3
26,26,1688171160000,1.05,1.051,1.05,1.051,318.8
27,27,1688171220000,1.051,1.051,1.051,1.051,494.1
28,28,1688171280000,1.051,1.052,1.051,1.052,2234.6
29,29,1688171340000,1.052,1.053,1.052,1.052,597.5
30,30,1688171400000,1.052,1.052,1.051,1.052,6673.1
31,31,1688171460000,1.052,1.053,1.052,1.053,2782.2
32,32,1688171520000,1.052,1.053,1.052,1.053,6582.2
33,33,1688171580000,1.054,1.054,1.052,1.053,2545.9
34,34,1688171640000,1.053,1.053,1.052,1.053,990.8
