,index,timestamp,open,high,low,close,volume
0,0,1693785600000,5.463,5.465,5.461,5.463,7268.9
1,1,1693785660000,5.463,5.464,5.462,5.463,3677.2
2,2,1693785720000,5.462,5.466,5.46,5.466,8963.0
3,3,1693785780000,5.466,5.466,5.462,5.463,20076.6
4,4,1693785840000,5.463,5.463,5.461,5.462,15085.1
5,5,1693785900000,5.462,5.463,5.458,5.46,11763.9
6,6,1693785960000,5.459,5.459,5.455,5.455,4359.7
7,7,1693786020000,5.455,5.458,5.455,5.458,2531.5
8,8,1693786080000,5.457,5.458,5.454,5.454,2430.7
9,9,1693786140000,5.454,5.454,5.452,5.453,3223.5
10,10,1693786200000,5.453,5.454,5.45,5.451,4523.9
11,11,1693786260000,5.45,5.451,5.449,5.451,1868.8
12,12,1693786320000,5.45,5.455,5.45,5.454,5483.6
13,13,1693786380000,5.455,5.456,5.454,5.455,2580.1
14,14,1693786440000,5.456,5.459,5.456,5.459,1629.3
15,15,1693786500000,5.46,5.463,5.452,5.452,13514.3
16,16,1693786560000,5.453,5.455,5.452,5.452,10050.6
17,17,1693786620000,5.453,5.453,5.45,5.452,4310.2
18,18,1693786680000,5.451,5.451,5.448,5.448,4677.3
19,19,1693786740000,5.449,5.45,5.449,5.45,1684.9
20,20,1693786800000,5.451,5.452,5.45,5.452,675.3
21,21,1693786860000,5.453,5.458,5.452,5.458,1875.7
22,22,1693786920000,5.459,5.459,5.457,5.458,2853.6
23,23,1693786980000,5.459,5.459,5.457,5.457,1132.0
24,24,1693787040000,5.457,5.457,5.454,5.456,1618.5
25,25,1693787100000,5.457,5.459,5.457,5.459,3399.8
26,26,1693787160000,5.459,5.459,5.457,5.458,696.7
27,27,1693787220000,5.458,5.461,5.457,5.46,1006.5
28,28,1693787280000,5.461,5.462,5.46,5.461,4813.7
29,29,1693787340000,5.461,5.464,5.461,5.463,1274.7
30,30,1693787400000,5.464,5.464,5.46,5.46,5061.1
31,31,1693787460000,5.461,5.461,5.458,5.458,1656.8
32,32,1693787520000,5.459,5.459,5.456,5.457,827.1
33,33,1693787580000,5.457,5.457,5.456,5.456,339.1
34,34,1693787640000,5.457,5.457,5.454,5.455,3208.2
35,35,1693787700000,5.456,5.457,5.456,5.456,563.6
36,36,1693787760000,5.457,5.457,5.456,5.456,1530.1
37,37,1693787820000,5.457,5.46,5.457,5.458,2854.6
38,38,1693787880000,5.459,5.462,5.458,5.462,2551.4
39,39,1693787940000,5.463,5.467,5.463,5.466,2969.3
40,40,1693788000000,5.467,5.475,5.466,5.473,34721.4
41,41,1693788060000,5.474,5.475,5.474,5.474,1646.8
42,42,1693788120000,5.475,5.477,5.475,5.477,14158.2
43,43,1693788180000,5.477,5.479,5.475,5.478,3813.9
44,44,1693788240000,5.478,5.49,5.477,5.487,24004.9
45,45,1693788300000,5.488,5.491,5.488,5.491,12039.4
46,46,1693788360000,5.491,5.492,5.478,5.48,19444.6
47,47,1693788420000,5.481,5.486,5.48,5.486,7280.2
48,48,1693788480000,5.486,5.486,5.484,5.485,2009.1
49,49,1693788540000,5.485,5.485,5.481,5.484,6543.5
50,50,1693788600000,5.485,5.485,5.478,5.478,3089.3
51,51,1693788660000,5.479,5.479,5.472,5.473,17453.2
52,52,1693788720000,5.473,5.475,5.47,5.471,3844.0
53,53,1693788780000,5.472,5.473,5.471,5.473,6681.5
54,54,1693788840000,5.473,5.473,5.471,5.473,1699.7
55,55,1693788900000,5.473,5.473,5.471,5.472,2479.9
56,56,1693788960000,5.472,5.472,5.471,5.471,2973.7
57,57,1693789020000,5.472,5.473,5.47,5.47,6724.0
58,58,1693789080000,5.47,5.473,5.469,5.473,1798.8
59,59,1693789140000,5.473,5.476,5.472,5.476,506.9
60,60,1693789200000,5.476,5.476,5.472,5.473,2319.7
