,index,timestamp,open,high,low,close,volume
0,0,1693699200000,0.4245,0.4258,0.4243,0.4254,157799
1,1,1693699260000,0.4253,0.4253,0.4231,0.4234,209585
2,2,1693699320000,0.4233,0.4234,0.4229,0.4232,145875
3,3,1693699380000,0.4232,0.4234,0.4231,0.4234,28509
4,4,1693699440000,0.4235,0.424,0.4221,0.4222,168694
5,5,1693699500000,0.4223,0.4232,0.4222,0.4231,140808
6,6,1693699560000,0.4232,0.4232,0.4222,0.423,84323
7,7,1693699620000,0.4229,0.4233,0.4227,0.4232,39038
8,8,1693699680000,0.4232,0.4234,0.423,0.4234,45363
9,9,1693699740000,0.4234,0.4234,0.423,0.423,21149
10,10,1693699800000,0.423,0.4243,0.4228,0.4242,62335
11,11,1693699860000,0.4242,0.4242,0.4235,0.424,58060
12,12,1693699920000,0.4239,0.4243,0.4237,0.4243,42888
13,13,1693699980000,0.4243,0.4264,0.4242,0.4261,201328
14,14,1693700040000,0.4262,0.4271,0.4259,0.4271,107942
15,15,1693700100000,0.427,0.427,0.4261,0.4261,65179
16,16,1693700160000,0.4261,0.4262,0.425,0.425,67684
17,17,1693700220000,0.425,0.425,0.4241,0.4242,63652
18,18,1693700280000,0.4241,0.4242,0.4238,0.4239,32273
19,19,1693700340000,0.4238,0.4241,0.4236,0.4241,73488
20,20,1693700400000,0.4241,0.4242,0.4238,0.424,34388
21,21,1693700460000,0.424,0.424,0.4226,0.4227,77413
22,22,1693700520000,0.4225,0.423,0.4225,0.4227,34852
23,23,1693700580000,0.4225,0.4226,0.4221,0.4223,48162
24,24,1693700640000,0.4224,0.423,0.4223,0.4226,94705
25,25,1693700700000,0.4225,0.4241,0.4225,0.4241,72936
26,26,1693700760000,0.4241,0.4242,0.4238,0.4239,13005
27,27,1693700820000,0.4238,0.4238,0.4227,0.4236,34515
28,28,1693700880000,0.4235,0.4235,0.4229,0.4231,15148
29,29,1693700940000,0.423,0.423,0.4224,0.4224,21343
30,30,1693701000000,0.4224,0.4226,0.422,0.4224,51886
31,31,1693701060000,0.4225,0.4227,0.4173,0.4187,880945
32,32,1693701120000,0.4187,0.4194,0.4175,0.4184,253565
33,33,1693701180000,0.4185,0.4193,0.4184,0.4185,121132
34,34,1693701240000,0.4185,0.4186,0.4181,0.4183,69387
35,35,1693701300000,0.4183,0.4188,0.4179,0.418,143604
36,36,1693701360000,0.4183,0.4188,0.418,0.4186,50428
37,37,1693701420000,0.4187,0.4187,0.4172,0.4184,110515
38,38,1693701480000,0.4184,0.4199,0.4183,0.419,163775
39,39,1693701540000,0.4191,0.4193,0.4186,0.4186,69232
40,40,1693701600000,0.4186,0.4198,0.4185,0.4193,112577
41,41,1693701660000,0.4194,0.4198,0.4194,0.4196,35984
42,42,1693701720000,0.4195,0.4195,0.4189,0.4192,18693
43,43,1693701780000,0.4192,0.4192,0.4182,0.4184,58634
44,44,1693701840000,0.4183,0.4185,0.4179,0.4179,32198
45,45,1693701900000,0.4179,0.4186,0.4179,0.4179,80323
46,46,1693701960000,0.418,0.418,0.414,0.4161,681193
47,47,1693702020000,0.416,0.4177,0.416,0.4177,142817
48,48,1693702080000,0.4177,0.4186,0.4176,0.4184,129068
49,49,1693702140000,0.4184,0.4188,0.4176,0.4182,109621
50,50,1693702200000,0.4183,0.4189,0.4178,0.4189,75436
51,51,1693702260000,0.4189,0.4201,0.4189,0.4201,78493
52,52,1693702320000,0.4201,0.4208,0.42,0.4208,107438
53,53,1693702380000,0.4208,0.4209,0.4201,0.4208,54954
54,54,1693702440000,0.4209,0.421,0.4206,0.4208,28780
55,55,1693702500000,0.4209,0.4233,0.4209,0.4233,164081
56,56,1693702560000,0.4233,0.4243,0.4233,0.4243,137262
57,57,1693702620000,0.4243,0.4249,0.4242,0.4248,95851
58,58,1693702680000,0.4249,0.425,0.4241,0.4247,72500
59,59,1693702740000,0.4247,0.4249,0.4244,0.4244,56073
60,60,1693702800000,0.4244,0.4254,0.4239,0.4239,161152
61,61,1693702860000,0.4239,0.4245,0.4223,0.423,152655
62,62,1693702920000,0.4231,0.4258,0.423,0.4257,279463
63,63,1693702980000,0.4257,0.4267,0.4252,0.4259,209361
64,64,1693703040000,0.4259,0.4267,0.4259,0.4264,76023
65,65,1693703100000,0.4264,0.4267,0.4245,0.4245,103380
66,66,1693703160000,0.4245,0.4246,0.4234,0.4234,93805
67,67,1693703220000,0.4234,0.4241,0.4234,0.4238,79862
68,68,1693703280000,0.4239,0.4239,0.4231,0.4232,67511
69,69,1693703340000,0.4232,0.4265,0.4231,0.4262,348357
70,70,1693703400000,0.4262,0.4263,0.4245,0.4246,122189
71,71,1693703460000,0.4246,0.425,0.4245,0.4248,76982
72,72,1693703520000,0.4249,0.425,0.4247,0.4248,28938
73,73,1693703580000,0.4247,0.4248,0.4242,0.4244,55908
74,74,1693703640000,0.4243,0.4243,0.4241,0.4242,20742
75,75,1693703700000,0.4242,0.4245,0.4236,0.4238,72057
76,76,1693703760000,0.4238,0.424,0.4226,0.4226,70490
77,77,1693703820000,0.4227,0.4227,0.4221,0.4221,32741
78,78,1693703880000,0.4221,0.4228,0.422,0.422,71667
79,79,1693703940000,0.422,0.422,0.4215,0.4217,49188
80,80,1693704000000,0.4216,0.4217,0.4207,0.4207,55872
81,81,1693704060000,0.4207,0.421,0.4205,0.421,47818
82,82,1693704120000,0.421,0.4216,0.4209,0.4216,18395
83,83,1693704180000,0.4216,0.4221,0.4213,0.4221,45955
84,84,1693704240000,0.4221,0.4222,0.4213,0.4221,71764
85,85,1693704300000,0.422,0.4231,0.4219,0.4231,89341
86,86,1693704360000,0.4231,0.4237,0.423,0.4237,43880
87,87,1693704420000,0.4237,0.424,0.4237,0.424,25560
88,88,1693704480000,0.424,0.424,0.4228,0.4233,76650
89,89,1693704540000,0.4232,0.4236,0.4231,0.4235,37124
90,90,1693704600000,0.4236,0.4236,0.4231,0.4232,14231
91,91,1693704660000,0.4232,0.4235,0.423,0.423,27475
92,92,1693704720000,0.423,0.4231,0.4227,0.4228,28882
93,93,1693704780000,0.4228,0.4228,0.4215,0.4216,38247
94,94,1693704840000,0.4215,0.4217,0.4211,0.4215,31380
95,95,1693704900000,0.4215,0.4231,0.4213,0.423,85313
96,96,1693704960000,0.4231,0.4239,0.423,0.4235,73500
97,97,1693705020000,0.4236,0.4239,0.423,0.4231,45242
98,98,1693705080000,0.4232,0.4232,0.4223,0.4227,19593
99,99,1693705140000,0.4226,0.4233,0.4224,0.4233,45586
100,100,1693705200000,0.4232,0.4235,0.4232,0.4234,43133
101,101,1693705260000,0.4233,0.4233,0.4222,0.4224,21891
102,102,1693705320000,0.4223,0.4224,0.422,0.422,34454
103,103,1693705380000,0.4221,0.4228,0.4221,0.4227,27728
104,104,1693705440000,0.4227,0.4233,0.4225,0.4233,36304
105,105,1693705500000,0.4234,0.4235,0.4227,0.4227,98599
106,106,1693705560000,0.4226,0.4238,0.4225,0.4237,105128
107,107,1693705620000,0.4238,0.4245,0.4237,0.4245,52195
108,108,1693705680000,0.4244,0.4249,0.4242,0.4243,57956
109,109,1693705740000,0.4244,0.4248,0.4244,0.4248,22761
110,110,1693705800000,0.4248,0.4251,0.4242,0.4245,64129
111,111,1693705860000,0.4245,0.4247,0.4244,0.4244,17328
112,112,1693705920000,0.4243,0.4243,0.424,0.424,10629
113,113,1693705980000,0.424,0.4242,0.4236,0.4241,33040
114,114,1693706040000,0.4241,0.4253,0.4238,0.4253,65100
115,115,1693706100000,0.4254,0.426,0.425,0.4253,141376
116,116,1693706160000,0.4254,0.4261,0.4253,0.4256,77034
117,117,1693706220000,0.4256,0.4256,0.4252,0.4253,27329
118,118,1693706280000,0.4252,0.4253,0.4249,0.425,5632
119,119,1693706340000,0.4249,0.4249,0.4246,0.4246,10162
120,120,1693706400000,0.4245,0.4253,0.4243,0.4249,134044
121,121,1693706460000,0.425,0.4254,0.4248,0.4249,145444
122,122,1693706520000,0.425,0.4251,0.4248,0.4251,28896
123,123,1693706580000,0.4252,0.4254,0.4251,0.4254,80679
124,124,1693706640000,0.4254,0.4256,0.4246,0.4246,123691
125,125,1693706700000,0.4246,0.4247,0.4236,0.4237,65972
126,126,1693706760000,0.4236,0.4236,0.4226,0.4227,108312
127,127,1693706820000,0.4227,0.4227,0.4213,0.4223,112705
128,128,1693706880000,0.4223,0.4223,0.4213,0.4213,43883
129,129,1693706940000,0.4215,0.4219,0.4212,0.4214,63272
130,130,1693707000000,0.4214,0.4223,0.4214,0.4216,52819
131,131,1693707060000,0.4216,0.4216,0.4202,0.4203,97447
132,132,1693707120000,0.4204,0.4213,0.4204,0.4212,73991
133,133,1693707180000,0.4213,0.422,0.4208,0.4219,84299
134,134,1693707240000,0.422,0.422,0.4219,0.422,5585
135,135,1693707300000,0.4219,0.4222,0.4218,0.4222,41321
136,136,1693707360000,0.4222,0.4225,0.4221,0.4222,27245
137,137,1693707420000,0.4221,0.4223,0.421,0.421,58479
138,138,1693707480000,0.4211,0.4211,0.4198,0.4203,162208
139,139,1693707540000,0.4203,0.4211,0.4203,0.4209,29046
140,140,1693707600000,0.4208,0.4212,0.4206,0.4208,29175
141,141,1693707660000,0.4208,0.4209,0.4202,0.4204,47266
142,142,1693707720000,0.4203,0.4207,0.4201,0.4202,31933
143,143,1693707780000,0.4203,0.4209,0.4166,0.4184,465267
144,144,1693707840000,0.4184,0.4189,0.4184,0.4187,50799
145,145,1693707900000,0.4188,0.4188,0.4183,0.4186,38096
146,146,1693707960000,0.4185,0.4191,0.4185,0.4191,33888
147,147,1693708020000,0.419,0.4193,0.4187,0.4187,56017
148,148,1693708080000,0.4187,0.4191,0.4187,0.4189,44307
149,149,1693708140000,0.4188,0.4194,0.4188,0.4191,24134
150,150,1693708200000,0.419,0.4191,0.4181,0.4182,43433
151,151,1693708260000,0.4181,0.4181,0.4173,0.4173,37400
152,152,1693708320000,0.4173,0.4177,0.4169,0.4172,77889
153,153,1693708380000,0.4172,0.4174,0.4167,0.4171,55670
154,154,1693708440000,0.417,0.4177,0.4169,0.4177,38387
155,155,1693708500000,0.4177,0.4177,0.4172,0.4172,29472
156,156,1693708560000,0.4172,0.4175,0.417,0.4172,34696
157,157,1693708620000,0.4171,0.4174,0.4169,0.4172,52741
158,158,1693708680000,0.4173,0.4174,0.4163,0.4163,127378
159,159,1693708740000,0.4163,0.4164,0.4145,0.4148,393270
160,160,1693708800000,0.4147,0.4163,0.4147,0.4163,182279
161,161,1693708860000,0.4162,0.4166,0.4151,0.4151,201815
162,162,1693708920000,0.4151,0.416,0.4136,0.4153,368443
163,163,1693708980000,0.4153,0.4171,0.4152,0.4171,188887
164,164,1693709040000,0.4171,0.4171,0.4166,0.417,50239
165,165,1693709100000,0.4171,0.4173,0.4166,0.417,42178
166,166,1693709160000,0.417,0.4174,0.417,0.4171,36956
167,167,1693709220000,0.4171,0.4174,0.4169,0.4173,32504
168,168,1693709280000,0.4174,0.4191,0.4174,0.4191,89822
169,169,1693709340000,0.4191,0.4195,0.4188,0.4195,50150
170,170,1693709400000,0.4194,0.4195,0.4193,0.4193,32422
171,171,1693709460000,0.4194,0.4195,0.4188,0.4195,46887
172,172,1693709520000,0.4194,0.4194,0.4182,0.4182,52855
173,173,1693709580000,0.4183,0.4192,0.4183,0.419,42194
174,174,1693709640000,0.419,0.4196,0.4188,0.4189,100064
175,175,1693709700000,0.4189,0.4194,0.4189,0.419,38241
176,176,1693709760000,0.4189,0.419,0.4185,0.419,19174
177,177,1693709820000,0.419,0.4196,0.419,0.4196,86459
178,178,1693709880000,0.4195,0.4197,0.4194,0.4194,37640
179,179,1693709940000,0.4194,0.4197,0.419,0.4191,35838
180,180,1693710000000,0.419,0.4193,0.4182,0.4182,73483
181,181,1693710060000,0.4181,0.4194,0.4177,0.4193,86510
182,182,1693710120000,0.4192,0.4196,0.4192,0.4193,33002
183,183,1693710180000,0.4193,0.4196,0.4191,0.4194,28494
184,184,1693710240000,0.4195,0.4205,0.4194,0.4205,69036
185,185,1693710300000,0.4205,0.4205,0.4195,0.4195,79748
186,186,1693710360000,0.4196,0.4205,0.4195,0.4205,107347
187,187,1693710420000,0.4206,0.4206,0.4201,0.4206,35484
188,188,1693710480000,0.4205,0.4206,0.4203,0.4204,39516
189,189,1693710540000,0.4204,0.4205,0.42,0.42,26306
190,190,1693710600000,0.42,0.4215,0.42,0.4213,123741
191,191,1693710660000,0.4213,0.4214,0.4213,0.4213,33682
192,192,1693710720000,0.4213,0.4215,0.4212,0.4215,33164
193,193,1693710780000,0.4215,0.4216,0.4214,0.4215,13731
194,194,1693710840000,0.4215,0.4215,0.4209,0.4209,46157
195,195,1693710900000,0.4208,0.4211,0.4207,0.421,11806
196,196,1693710960000,0.4209,0.4214,0.4207,0.4207,59091
197,197,1693711020000,0.4208,0.4208,0.4196,0.4196,53539
198,198,1693711080000,0.4195,0.4195,0.4191,0.4191,26860
199,199,1693711140000,0.4191,0.4203,0.4191,0.4203,98428
200,200,1693711200000,0.4203,0.4211,0.4202,0.4207,96996
201,201,1693711260000,0.4207,0.4207,0.4202,0.4204,51460
202,202,1693711320000,0.4204,0.4212,0.4204,0.4208,33226
203,203,1693711380000,0.4208,0.4213,0.4207,0.4211,35695
204,204,1693711440000,0.421,0.4214,0.4208,0.4213,43188
205,205,1693711500000,0.4213,0.4218,0.421,0.4211,56117
206,206,1693711560000,0.4211,0.4211,0.4202,0.4207,55531
207,207,1693711620000,0.4207,0.4226,0.4207,0.4218,169899
208,208,1693711680000,0.4218,0.422,0.4211,0.422,53664
209,209,1693711740000,0.4221,0.4226,0.4221,0.4221,66383
210,210,1693711800000,0.4222,0.4224,0.4215,0.4216,66196
211,211,1693711860000,0.4217,0.4217,0.4212,0.4212,34005
212,212,1693711920000,0.4213,0.4215,0.4209,0.4213,40097
213,213,1693711980000,0.4214,0.4214,0.4206,0.4206,55045
214,214,1693712040000,0.4206,0.4214,0.4206,0.4213,78980
215,215,1693712100000,0.4214,0.4222,0.421,0.421,70683
216,216,1693712160000,0.4211,0.4212,0.4206,0.4206,74998
217,217,1693712220000,0.4205,0.4205,0.4189,0.4192,208669
218,218,1693712280000,0.4192,0.4193,0.4187,0.4189,29748
219,219,1693712340000,0.4189,0.4202,0.4189,0.4198,47178
220,220,1693712400000,0.4198,0.4203,0.4188,0.4189,60139
221,221,1693712460000,0.4189,0.4193,0.418,0.4193,87965
222,222,1693712520000,0.4192,0.4195,0.4183,0.4188,56609
223,223,1693712580000,0.4187,0.4193,0.4185,0.4193,52757
224,224,1693712640000,0.4193,0.4193,0.4184,0.4184,58714
225,225,1693712700000,0.4184,0.4187,0.4178,0.4178,90186
226,226,1693712760000,0.4178,0.4183,0.4176,0.4183,60208
227,227,1693712820000,0.4183,0.4197,0.4182,0.4197,109713
228,228,1693712880000,0.4197,0.4201,0.4195,0.4196,50169
229,229,1693712940000,0.4195,0.4195,0.4186,0.4187,24648
230,230,1693713000000,0.4187,0.4202,0.4185,0.4201,65304
231,231,1693713060000,0.4202,0.421,0.4202,0.421,40514
232,232,1693713120000,0.4209,0.4212,0.4208,0.4212,20931
233,233,1693713180000,0.4212,0.4212,0.4209,0.4209,6069
234,234,1693713240000,0.421,0.422,0.421,0.4219,90620
235,235,1693713300000,0.4219,0.422,0.4206,0.421,87282
236,236,1693713360000,0.421,0.4216,0.4209,0.4212,78359
237,237,1693713420000,0.4212,0.4217,0.4209,0.4209,33396
238,238,1693713480000,0.4209,0.4209,0.4194,0.4194,100711
239,239,1693713540000,0.4195,0.4195,0.419,0.4191,68012
240,240,1693713600000,0.4191,0.42,0.4187,0.4193,107470
241,241,1693713660000,0.4194,0.42,0.4189,0.419,66949
242,242,1693713720000,0.4188,0.419,0.4179,0.418,69583
243,243,1693713780000,0.4179,0.4183,0.4179,0.4182,43341
244,244,1693713840000,0.4182,0.4184,0.4177,0.4178,64779
245,245,1693713900000,0.4179,0.418,0.4173,0.4176,87983
246,246,1693713960000,0.4176,0.4179,0.4174,0.4176,29376
247,247,1693714020000,0.4176,0.4177,0.4171,0.4173,31194
248,248,1693714080000,0.4172,0.4177,0.4171,0.4174,37661
249,249,1693714140000,0.4175,0.418,0.4175,0.4178,27335
250,250,1693714200000,0.4178,0.4183,0.4177,0.418,14962
251,251,1693714260000,0.4181,0.4193,0.418,0.4193,98321
252,252,1693714320000,0.4193,0.4196,0.4193,0.4196,24078
253,253,1693714380000,0.4196,0.4196,0.4186,0.419,90349
254,254,1693714440000,0.419,0.421,0.419,0.421,183936
255,255,1693714500000,0.4211,0.4216,0.4205,0.4212,132194
256,256,1693714560000,0.4213,0.4237,0.4212,0.4235,615425
257,257,1693714620000,0.4235,0.4246,0.4233,0.4242,271757
258,258,1693714680000,0.4241,0.4258,0.4239,0.4252,252288
259,259,1693714740000,0.4253,0.4269,0.4253,0.4268,241729
260,260,1693714800000,0.4268,0.4268,0.4244,0.4244,229827
261,261,1693714860000,0.4244,0.4252,0.424,0.4241,132067
262,262,1693714920000,0.424,0.424,0.4224,0.4224,124601
263,263,1693714980000,0.4225,0.4229,0.422,0.4222,125488
264,264,1693715040000,0.4222,0.4222,0.4213,0.4216,83344
265,265,1693715100000,0.4216,0.4218,0.4209,0.4209,76521
266,266,1693715160000,0.4209,0.4213,0.4207,0.4212,42447
267,267,1693715220000,0.4213,0.4213,0.4209,0.4212,60693
268,268,1693715280000,0.4212,0.4212,0.4208,0.4211,29592
269,269,1693715340000,0.4211,0.4222,0.4211,0.4221,58679
270,270,1693715400000,0.4222,0.4222,0.4212,0.4216,106699
