,index,timestamp,open,high,low,close,volume
0,0,1694736000000,4.086,4.095,4.085,4.092,3594.7
1,1,1694736060000,4.093,4.094,4.089,4.093,1156.1
2,2,1694736120000,4.092,4.094,4.089,4.092,585.3
3,3,1694736180000,4.09,4.092,4.09,4.092,166.6
4,4,1694736240000,4.093,4.096,4.092,4.093,1477.9
5,5,1694736300000,4.094,4.097,4.091,4.091,997.4
6,6,1694736360000,4.091,4.094,4.091,4.094,307.0
7,7,1694736420000,4.095,4.095,4.094,4.094,71.3
8,8,1694736480000,4.094,4.095,4.094,4.095,232.3
9,9,1694736540000,4.094,4.094,4.09,4.09,370.1
10,10,1694736600000,4.09,4.09,4.075,4.076,4210.5
11,11,1694736660000,4.075,4.08,4.074,4.08,1195.0
12,12,1694736720000,4.08,4.08,4.076,4.076,354.6
13,13,1694736780000,4.075,4.075,4.072,4.072,1255.4
14,14,1694736840000,4.073,4.077,4.073,4.074,2008.0
15,15,1694736900000,4.073,4.08,4.072,4.079,1486.8
16,16,1694736960000,4.08,4.083,4.075,4.083,1254.8
17,17,1694737020000,4.082,4.085,4.082,4.085,407.7
18,18,1694737080000,4.085,4.092,4.085,4.092,1601.8
19,19,1694737140000,4.089,4.089,4.088,4.088,235.9
20,20,1694737200000,4.089,4.092,4.089,4.092,897.0
21,21,1694737260000,4.091,4.091,4.086,4.089,690.0
22,22,1694737320000,4.089,4.091,4.089,4.091,571.3
23,23,1694737380000,4.09,4.09,4.085,4.087,1348.1
24,24,1694737440000,4.088,4.088,4.079,4.083,1451.4
25,25,1694737500000,4.084,4.085,4.081,4.081,598.3
26,26,1694737560000,4.081,4.081,4.081,4.081,169.2
27,27,1694737620000,4.081,4.081,4.081,4.081,2.7
28,28,1694737680000,4.081,4.083,4.081,4.083,185.2
29,29,1694737740000,4.083,4.083,4.083,4.083,128.3
30,30,1694737800000,4.083,4.094,4.083,4.094,1945.2
31,31,1694737860000,4.094,4.097,4.094,4.096,851.8
32,32,1694737920000,4.097,4.097,4.092,4.093,862.5
33,33,1694737980000,4.094,4.097,4.093,4.093,1644.0
34,34,1694738040000,4.093,4.094,4.093,4.094,308.8
35,35,1694738100000,4.094,4.096,4.094,4.094,599.2
36,36,1694738160000,4.093,4.096,4.093,4.096,459.6
37,37,1694738220000,4.095,4.096,4.089,4.09,1353.2
38,38,1694738280000,4.089,4.09,4.089,4.089,419.7
39,39,1694738340000,4.088,4.088,4.082,4.082,1947.4
40,40,1694738400000,4.085,4.086,4.083,4.083,715.6
41,41,1694738460000,4.082,4.085,4.082,4.085,476.8
42,42,1694738520000,4.085,4.087,4.084,4.084,477.9
43,43,1694738580000,4.083,4.083,4.082,4.082,121.0
44,44,1694738640000,4.082,4.084,4.082,4.082,211.7
45,45,1694738700000,4.082,4.083,4.079,4.083,647.3
46,46,1694738760000,4.082,4.082,4.078,4.078,966.0
47,47,1694738820000,4.078,4.079,4.077,4.077,1064.3
48,48,1694738880000,4.077,4.082,4.077,4.082,579.8
49,49,1694738940000,4.08,4.08,4.079,4.079,122.6
50,50,1694739000000,4.079,4.079,4.078,4.078,31.2
51,51,1694739060000,4.078,4.079,4.075,4.075,917.7
52,52,1694739120000,4.076,4.076,4.075,4.076,452.9
53,53,1694739180000,4.076,4.076,4.075,4.075,326.9
54,54,1694739240000,4.076,4.076,4.076,4.076,3.3
55,55,1694739300000,4.076,4.078,4.073,4.076,2474.1
56,56,1694739360000,4.075,4.077,4.073,4.075,550.6
57,57,1694739420000,4.075,4.075,4.068,4.069,3343.6
58,58,1694739480000,4.07,4.07,4.061,4.063,1084.2
59,59,1694739540000,4.064,4.067,4.062,4.062,1536.7
60,60,1694739600000,4.064,4.068,4.063,4.067,1652.2
61,61,1694739660000,4.066,4.07,4.065,4.07,764.7
62,62,1694739720000,4.07,4.08,4.069,4.08,1414.2
63,63,1694739780000,4.079,4.079,4.071,4.076,1855.7
64,64,1694739840000,4.075,4.075,4.073,4.073,1469.5
