,index,timestamp,open,high,low,close,volume
0,0,1693612800000,0.05653,0.0567,0.05653,0.05669,637754
1,1,1693612860000,0.05669,0.05681,0.05667,0.05681,317027
2,2,1693612920000,0.05681,0.05682,0.05669,0.05674,290869
3,3,1693612980000,0.05674,0.05676,0.05671,0.05671,245136
4,4,1693613040000,0.05671,0.05671,0.0566,0.0566,271362
5,5,1693613100000,0.05661,0.05665,0.05645,0.05646,936466
6,6,1693613160000,0.05647,0.05652,0.05646,0.05652,178834
7,7,1693613220000,0.05653,0.05665,0.05653,0.05663,677933
8,8,1693613280000,0.05664,0.05671,0.05664,0.05669,318515
9,9,1693613340000,0.05668,0.0567,0.05665,0.05666,328626
10,10,1693613400000,0.05665,0.05667,0.05664,0.05666,123810
11,11,1693613460000,0.05666,0.05669,0.05665,0.05669,216128
12,12,1693613520000,0.0567,0.05672,0.05669,0.05669,82639
13,13,1693613580000,0.0567,0.05678,0.0567,0.05671,258689
14,14,1693613640000,0.05671,0.05672,0.05671,0.05672,29127
15,15,1693613700000,0.05672,0.05674,0.0566,0.0566,245978
16,16,1693613760000,0.0566,0.05661,0.05654,0.05654,145136
17,17,1693613820000,0.05654,0.05656,0.05653,0.05653,40432
18,18,1693613880000,0.05653,0.05657,0.05652,0.05657,102374
19,19,1693613940000,0.05659,0.05663,0.05657,0.05657,131047
20,20,1693614000000,0.05657,0.0566,0.05653,0.05655,127626
21,21,1693614060000,0.05656,0.05658,0.05654,0.05655,59425
22,22,1693614120000,0.05655,0.05659,0.05653,0.05658,196321
23,23,1693614180000,0.05659,0.0566,0.05653,0.05658,282928
24,24,1693614240000,0.05657,0.05661,0.05649,0.05649,603218
25,25,1693614300000,0.05648,0.05651,0.05636,0.05639,304965
26,26,1693614360000,0.05639,0.05641,0.05637,0.0564,59529
27,27,1693614420000,0.05639,0.05642,0.05639,0.05641,175944
28,28,1693614480000,0.05641,0.05643,0.05624,0.0563,681011
29,29,1693614540000,0.05631,0.05633,0.05626,0.05629,195044
30,30,1693614600000,0.05626,0.05632,0.05619,0.0562,648595
31,31,1693614660000,0.05619,0.05619,0.05599,0.05599,1441568
32,32,1693614720000,0.05599,0.056,0.05579,0.05582,1210320
33,33,1693614780000,0.05583,0.05594,0.05583,0.0559,447076
34,34,1693614840000,0.0559,0.05603,0.05589,0.0559,844461
35,35,1693614900000,0.05591,0.05592,0.05585,0.0559,230768
36,36,1693614960000,0.0559,0.05593,0.05589,0.05592,72032
37,37,1693615020000,0.05592,0.05601,0.05592,0.05598,131580
38,38,1693615080000,0.05599,0.05608,0.05599,0.05607,305796
39,39,1693615140000,0.05608,0.05611,0.05606,0.05609,199944
40,40,1693615200000,0.05609,0.05611,0.05602,0.05604,129056
41,41,1693615260000,0.05604,0.05604,0.05593,0.05598,164112
42,42,1693615320000,0.05599,0.05603,0.05596,0.05597,147282
43,43,1693615380000,0.05599,0.05605,0.05597,0.056,153875
44,44,1693615440000,0.056,0.05605,0.056,0.05602,102795
45,45,1693615500000,0.05602,0.05602,0.05597,0.05599,86043
46,46,1693615560000,0.05598,0.05598,0.05588,0.0559,149741
47,47,1693615620000,0.05589,0.05594,0.05579,0.05581,369151
48,48,1693615680000,0.05582,0.05587,0.05567,0.05573,739925
49,49,1693615740000,0.05572,0.05572,0.05546,0.05556,844511
50,50,1693615800000,0.05557,0.05564,0.05556,0.05561,468454
51,51,1693615860000,0.05562,0.05568,0.05559,0.05565,213586
52,52,1693615920000,0.05564,0.05567,0.05556,0.05557,288518
53,53,1693615980000,0.05556,0.05561,0.05552,0.05556,832097
54,54,1693616040000,0.05555,0.05558,0.05553,0.05558,129268
55,55,1693616100000,0.05556,0.05559,0.05555,0.05559,69570
56,56,1693616160000,0.0556,0.05564,0.05556,0.05558,165155
57,57,1693616220000,0.05558,0.05563,0.05558,0.05563,38810
58,58,1693616280000,0.05562,0.05569,0.05562,0.05569,281475
59,59,1693616340000,0.05569,0.05576,0.05568,0.05572,403292
60,60,1693616400000,0.05572,0.05574,0.05565,0.05569,257930
61,61,1693616460000,0.05571,0.05574,0.05566,0.05566,273092
62,62,1693616520000,0.05566,0.05579,0.05565,0.05578,351173
63,63,1693616580000,0.05579,0.0558,0.05535,0.05539,1973225
64,64,1693616640000,0.05539,0.05542,0.05531,0.05542,864173
65,65,1693616700000,0.05542,0.05544,0.05539,0.05539,453247
66,66,1693616760000,0.05539,0.0554,0.05536,0.05537,145509
67,67,1693616820000,0.05536,0.05536,0.05531,0.05532,329832
68,68,1693616880000,0.05533,0.05544,0.05533,0.05541,697201
69,69,1693616940000,0.05541,0.05553,0.05539,0.05539,910379
70,70,1693617000000,0.05537,0.05537,0.05532,0.05534,196291
71,71,1693617060000,0.05533,0.05535,0.05531,0.05535,86959
72,72,1693617120000,0.05535,0.05545,0.05532,0.05541,852482
73,73,1693617180000,0.05542,0.05557,0.05542,0.05557,997128
74,74,1693617240000,0.05557,0.05561,0.05551,0.05551,132350
75,75,1693617300000,0.05552,0.05555,0.05551,0.05554,239881
76,76,1693617360000,0.05553,0.05555,0.05543,0.05544,280569
77,77,1693617420000,0.05543,0.05543,0.05541,0.05541,74100
78,78,1693617480000,0.0554,0.0554,0.05533,0.05534,361435
79,79,1693617540000,0.05534,0.05534,0.05532,0.05532,30090
