,index,timestamp,open,high,low,close,volume
0,0,1690848000000,8.856,8.856,8.846,8.848,8785.53
1,1,1690848060000,8.848,8.851,8.848,8.85,1253.03
2,2,1690848120000,8.85,8.852,8.846,8.85,3815.2
3,3,1690848180000,8.849,8.849,8.836,8.842,12805.15
4,4,1690848240000,8.842,8.846,8.842,8.844,6207.66
5,5,1690848300000,8.844,8.844,8.82,8.825,19478.59
6,6,1690848360000,8.826,8.833,8.825,8.833,4484.61
7,7,1690848420000,8.833,8.833,8.827,8.827,2011.11
8,8,1690848480000,8.827,8.83,8.827,8.829,1806.52
9,9,1690848540000,8.83,8.835,8.83,8.834,1937.5
10,10,1690848600000,8.835,8.844,8.835,8.839,8728.78
11,11,1690848660000,8.84,8.843,8.84,8.843,1218.58
12,12,1690848720000,8.843,8.846,8.843,8.845,2154.9
13,13,1690848780000,8.845,8.85,8.845,8.85,3448.51
14,14,1690848840000,8.851,8.854,8.849,8.853,1497.65
15,15,1690848900000,8.854,8.863,8.854,8.863,3485.57
16,16,1690848960000,8.863,8.868,8.863,8.867,1718.67
17,17,1690849020000,8.867,8.874,8.865,8.866,6706.0
18,18,1690849080000,8.865,8.866,8.863,8.863,1199.68
19,19,1690849140000,8.862,8.865,8.856,8.865,3522.06
20,20,1690849200000,8.866,8.882,8.865,8.879,22936.45
21,21,1690849260000,8.88,8.885,8.879,8.881,6197.24
22,22,1690849320000,8.881,8.881,8.877,8.877,2465.78
23,23,1690849380000,8.878,8.882,8.877,8.878,5323.52
24,24,1690849440000,8.877,8.877,8.872,8.875,1799.65
25,25,1690849500000,8.876,8.879,8.875,8.877,1708.68
26,26,1690849560000,8.878,8.879,8.876,8.876,1720.66
27,27,1690849620000,8.876,8.876,8.873,8.873,1531.77
28,28,1690849680000,8.873,8.873,8.866,8.872,7933.23
29,29,1690849740000,8.872,8.876,8.867,8.876,5982.16
30,30,1690849800000,8.877,8.885,8.872,8.885,5687.39
31,31,1690849860000,8.885,8.888,8.885,8.887,738.0
32,32,1690849920000,8.887,8.887,8.884,8.885,1392.72
33,33,1690849980000,8.885,8.885,8.884,8.885,150.61
34,34,1690850040000,8.885,8.886,8.884,8.885,1065.41
35,35,1690850100000,8.886,8.887,8.884,8.885,2407.02
36,36,1690850160000,8.886,8.886,8.88,8.88,1593.98
37,37,1690850220000,8.881,8.882,8.881,8.881,583.49
38,38,1690850280000,8.881,8.886,8.876,8.886,5510.82
39,39,1690850340000,8.886,8.894,8.886,8.893,7729.83
40,40,1690850400000,8.892,8.893,8.887,8.888,2567.36
41,41,1690850460000,8.888,8.894,8.888,8.894,4046.7
42,42,1690850520000,8.893,8.894,8.889,8.892,1261.19
43,43,1690850580000,8.892,8.894,8.889,8.893,5092.23
44,44,1690850640000,8.893,8.895,8.893,8.895,2372.77
45,45,1690850700000,8.896,8.903,8.896,8.901,11125.86
46,46,1690850760000,8.9,8.902,8.897,8.898,6128.41
47,47,1690850820000,8.897,8.898,8.892,8.897,5960.59
48,48,1690850880000,8.898,8.898,8.889,8.893,6335.42
49,49,1690850940000,8.892,8.893,8.888,8.889,3878.28
50,50,1690851000000,8.889,8.891,8.884,8.884,6383.49
51,51,1690851060000,8.885,8.888,8.885,8.886,5592.75
52,52,1690851120000,8.886,8.886,8.872,8.873,5691.96
53,53,1690851180000,8.874,8.877,8.873,8.876,6652.29
54,54,1690851240000,8.876,8.877,8.872,8.875,4506.59
55,55,1690851300000,8.876,8.876,8.873,8.874,3904.82
56,56,1690851360000,8.874,8.874,8.871,8.871,3503.46
57,57,1690851420000,8.872,8.879,8.872,8.879,3457.39
58,58,1690851480000,8.88,8.883,8.88,8.88,1589.14
59,59,1690851540000,8.879,8.883,8.878,8.879,2418.88
60,60,1690851600000,8.879,8.889,8.878,8.882,5626.11
61,61,1690851660000,8.882,8.882,8.877,8.879,2128.54
62,62,1690851720000,8.879,8.88,8.877,8.877,1358.24
63,63,1690851780000,8.877,8.877,8.872,8.876,3050.67
64,64,1690851840000,8.876,8.891,8.875,8.889,8880.38
65,65,1690851900000,8.889,8.892,8.88,8.883,4189.33
66,66,1690851960000,8.885,8.894,8.885,8.894,3167.7
67,67,1690852020000,8.893,8.893,8.886,8.887,2682.61
68,68,1690852080000,8.886,8.891,8.886,8.891,980.96
69,69,1690852140000,8.892,8.892,8.887,8.887,1836.81
70,70,1690852200000,8.887,8.892,8.887,8.889,998.6
71,71,1690852260000,8.89,8.9,8.89,8.898,10183.51
72,72,1690852320000,8.898,8.898,8.892,8.893,4697.9
73,73,1690852380000,8.894,8.894,8.892,8.892,1761.69
74,74,1690852440000,8.892,8.892,8.889,8.889,420.27
75,75,1690852500000,8.889,8.891,8.876,8.876,4676.55
76,76,1690852560000,8.875,8.881,8.874,8.878,3003.5
77,77,1690852620000,8.878,8.879,8.875,8.878,1897.41
78,78,1690852680000,8.877,8.878,8.87,8.872,3274.52
79,79,1690852740000,8.871,8.878,8.871,8.878,2128.49
80,80,1690852800000,8.878,8.878,8.874,8.875,1626.33
81,81,1690852860000,8.875,8.875,8.865,8.866,2220.77
82,82,1690852920000,8.866,8.87,8.865,8.867,2859.84
83,83,1690852980000,8.867,8.868,8.863,8.865,2334.99
84,84,1690853040000,8.865,8.866,8.858,8.862,1634.45
85,85,1690853100000,8.861,8.865,8.861,8.864,1007.54
86,86,1690853160000,8.864,8.865,8.854,8.86,18396.29
87,87,1690853220000,8.86,8.865,8.86,8.864,4518.34
88,88,1690853280000,8.863,8.863,8.859,8.859,1076.12
89,89,1690853340000,8.859,8.861,8.859,8.859,958.4
90,90,1690853400000,8.859,8.864,8.859,8.859,3026.28
91,91,1690853460000,8.859,8.859,8.848,8.85,10315.64
92,92,1690853520000,8.849,8.849,8.842,8.844,2647.11
93,93,1690853580000,8.844,8.844,8.828,8.83,6495.89
94,94,1690853640000,8.829,8.843,8.829,8.838,9576.13
95,95,1690853700000,8.838,8.85,8.838,8.846,3897.22
96,96,1690853760000,8.846,8.852,8.844,8.848,5866.19
97,97,1690853820000,8.848,8.856,8.845,8.853,3569.4
98,98,1690853880000,8.854,8.868,8.853,8.866,3935.85
99,99,1690853940000,8.866,8.87,8.864,8.867,3169.45
100,100,1690854000000,8.866,8.868,8.859,8.862,4432.08
101,101,1690854060000,8.861,8.861,8.856,8.857,915.89
102,102,1690854120000,8.856,8.856,8.844,8.853,8059.75
103,103,1690854180000,8.852,8.858,8.852,8.854,2489.82
104,104,1690854240000,8.854,8.862,8.854,8.862,1162.21
105,105,1690854300000,8.862,8.865,8.855,8.858,3687.97
106,106,1690854360000,8.857,8.857,8.852,8.853,1181.17
107,107,1690854420000,8.853,8.858,8.851,8.858,1160.37
108,108,1690854480000,8.858,8.86,8.855,8.86,2739.87
109,109,1690854540000,8.86,8.862,8.86,8.86,968.83
110,110,1690854600000,8.859,8.859,8.848,8.848,4185.81
111,111,1690854660000,8.848,8.858,8.847,8.852,2920.84
112,112,1690854720000,8.852,8.857,8.85,8.852,3597.93
113,113,1690854780000,8.851,8.851,8.826,8.829,8914.63
114,114,1690854840000,8.829,8.833,8.814,8.829,19755.85
115,115,1690854900000,8.828,8.828,8.82,8.82,4665.76
