,index,timestamp,open,high,low,close,volume
0,0,1694131200000,6.944,6.952,6.942,6.943,17618.21
1,1,1694131260000,6.942,6.943,6.939,6.94,9213.09
2,2,1694131320000,6.939,6.941,6.935,6.936,8914.48
3,3,1694131380000,6.937,6.938,6.933,6.935,4957.44
4,4,1694131440000,6.936,6.938,6.933,6.934,3457.22
5,5,1694131500000,6.935,6.936,6.931,6.935,5875.97
6,6,1694131560000,6.935,6.935,6.926,6.927,5347.93
7,7,1694131620000,6.927,6.927,6.921,6.922,6831.17
8,8,1694131680000,6.921,6.921,6.917,6.918,4229.27
9,9,1694131740000,6.918,6.923,6.915,6.921,4515.48
10,10,1694131800000,6.922,6.924,6.919,6.923,5715.54
11,11,1694131860000,6.923,6.925,6.923,6.925,1584.62
12,12,1694131920000,6.926,6.926,6.921,6.924,3139.75
13,13,1694131980000,6.924,6.926,6.921,6.921,1999.55
14,14,1694132040000,6.92,6.924,6.918,6.924,2082.27
15,15,1694132100000,6.923,6.928,6.922,6.927,1524.66
16,16,1694132160000,6.928,6.933,6.928,6.932,1782.69
17,17,1694132220000,6.932,6.936,6.93,6.935,3029.9
18,18,1694132280000,6.935,6.935,6.933,6.933,943.36
19,19,1694132340000,6.933,6.933,6.932,6.933,117.29
20,20,1694132400000,6.933,6.94,6.933,6.939,7951.67
21,21,1694132460000,6.94,6.94,6.939,6.94,2332.64
22,22,1694132520000,6.939,6.94,6.938,6.938,1453.04
23,23,1694132580000,6.938,6.946,6.938,6.945,3822.19
24,24,1694132640000,6.945,6.946,6.944,6.944,838.32
25,25,1694132700000,6.943,6.943,6.942,6.942,2445.11
26,26,1694132760000,6.941,6.945,6.941,6.945,1038.66
27,27,1694132820000,6.945,6.945,6.945,6.945,460.68
28,28,1694132880000,6.944,6.944,6.938,6.942,5531.72
29,29,1694132940000,6.942,6.942,6.939,6.939,1506.77
30,30,1694133000000,6.938,6.939,6.937,6.939,1042.34
31,31,1694133060000,6.938,6.941,6.937,6.941,4217.43
32,32,1694133120000,6.942,6.945,6.942,6.945,2031.16
33,33,1694133180000,6.945,6.947,6.944,6.947,154.74
34,34,1694133240000,6.947,6.954,6.947,6.954,13789.06
35,35,1694133300000,6.953,6.953,6.95,6.953,3949.56
36,36,1694133360000,6.952,6.958,6.952,6.957,4170.14
37,37,1694133420000,6.956,6.96,6.956,6.958,3506.72
38,38,1694133480000,6.957,6.961,6.957,6.96,4671.68
39,39,1694133540000,6.96,6.965,6.96,6.963,3174.58
40,40,1694133600000,6.964,6.971,6.964,6.971,6754.73
41,41,1694133660000,6.971,6.974,6.969,6.971,5852.69
42,42,1694133720000,6.972,6.978,6.971,6.973,8526.08
43,43,1694133780000,6.974,6.976,6.973,6.974,2282.41
44,44,1694133840000,6.974,6.975,6.972,6.972,1562.44
45,45,1694133900000,6.971,6.975,6.97,6.975,1477.65
46,46,1694133960000,6.975,6.977,6.973,6.973,3325.04
47,47,1694134020000,6.973,6.973,6.97,6.972,1773.51
48,48,1694134080000,6.972,6.974,6.965,6.966,2018.3
49,49,1694134140000,6.966,6.966,6.96,6.96,6810.4
50,50,1694134200000,6.96,6.967,6.958,6.967,3347.45
51,51,1694134260000,6.969,6.971,6.965,6.967,3967.48
52,52,1694134320000,6.969,6.973,6.969,6.972,4528.47
53,53,1694134380000,6.973,6.978,6.973,6.973,2600.8
54,54,1694134440000,6.973,6.978,6.972,6.978,2245.19
55,55,1694134500000,6.978,6.981,6.977,6.978,4021.79
56,56,1694134560000,6.978,6.981,6.977,6.981,1547.73
57,57,1694134620000,6.982,6.992,6.979,6.99,17737.26
58,58,1694134680000,6.991,6.998,6.982,6.985,21787.7
59,59,1694134740000,6.985,6.985,6.979,6.982,4032.96
60,60,1694134800000,6.983,6.989,6.983,6.988,5358.66
61,61,1694134860000,6.988,6.989,6.973,6.979,7616.02
62,62,1694134920000,6.979,6.981,6.97,6.971,4465.82
63,63,1694134980000,6.97,6.979,6.97,6.977,3620.64
64,64,1694135040000,6.978,6.98,6.975,6.978,4328.4
65,65,1694135100000,6.979,6.979,6.969,6.97,4212.96
66,66,1694135160000,6.971,6.972,6.96,6.961,6066.07
67,67,1694135220000,6.96,6.963,6.96,6.963,2499.05
68,68,1694135280000,6.964,6.967,6.961,6.964,4571.86
69,69,1694135340000,6.965,6.966,6.961,6.961,2065.04
70,70,1694135400000,6.961,6.966,6.961,6.963,5696.92
71,71,1694135460000,6.964,6.968,6.963,6.968,630.0
72,72,1694135520000,6.968,6.968,6.959,6.959,1884.79
73,73,1694135580000,6.959,6.962,6.958,6.961,2378.22
74,74,1694135640000,6.961,6.967,6.961,6.967,1225.29
75,75,1694135700000,6.966,6.967,6.962,6.966,1597.55
76,76,1694135760000,6.967,6.967,6.964,6.964,1490.68
77,77,1694135820000,6.964,6.967,6.963,6.965,726.38
78,78,1694135880000,6.965,6.967,6.962,6.967,1616.35
79,79,1694135940000,6.969,6.969,6.964,6.965,1124.8
80,80,1694136000000,6.964,6.964,6.959,6.961,2853.59
81,81,1694136060000,6.961,6.963,6.96,6.963,2157.14
82,82,1694136120000,6.963,6.965,6.958,6.958,1635.33
83,83,1694136180000,6.958,6.959,6.956,6.958,840.88
84,84,1694136240000,6.958,6.963,6.958,6.963,1063.2
85,85,1694136300000,6.962,6.962,6.956,6.957,1609.07
86,86,1694136360000,6.957,6.959,6.956,6.957,776.45
87,87,1694136420000,6.957,6.959,6.953,6.955,1327.28
88,88,1694136480000,6.955,6.959,6.952,6.957,11788.06
89,89,1694136540000,6.958,6.959,6.955,6.957,1429.79
90,90,1694136600000,6.957,6.959,6.957,6.959,228.24
91,91,1694136660000,6.959,6.961,6.959,6.961,1776.88
92,92,1694136720000,6.961,6.963,6.958,6.959,2844.76
93,93,1694136780000,6.958,6.958,6.953,6.955,4645.6
94,94,1694136840000,6.955,6.962,6.955,6.961,2949.07
95,95,1694136900000,6.961,6.961,6.959,6.96,1528.93
96,96,1694136960000,6.96,6.963,6.96,6.963,652.65
97,97,1694137020000,6.962,6.966,6.962,6.966,2116.37
98,98,1694137080000,6.967,6.967,6.962,6.962,2102.23
99,99,1694137140000,6.962,6.962,6.955,6.958,3104.46
100,100,1694137200000,6.957,6.961,6.957,6.96,977.02
101,101,1694137260000,6.96,6.961,6.956,6.959,1552.2
102,102,1694137320000,6.958,6.958,6.956,6.956,260.12
103,103,1694137380000,6.956,6.958,6.953,6.957,1661.84
104,104,1694137440000,6.957,6.957,6.954,6.955,178.66
105,105,1694137500000,6.954,6.954,6.948,6.948,3689.4
106,106,1694137560000,6.948,6.949,6.946,6.947,2022.5
107,107,1694137620000,6.946,6.947,6.942,6.945,4375.12
108,108,1694137680000,6.946,6.948,6.941,6.947,11395.26
109,109,1694137740000,6.947,6.947,6.941,6.941,1674.5
110,110,1694137800000,6.942,6.943,6.938,6.941,4107.26
111,111,1694137860000,6.94,6.945,6.94,6.941,1798.75
112,112,1694137920000,6.941,6.943,6.941,6.942,665.35
113,113,1694137980000,6.942,6.943,6.939,6.941,3331.43
114,114,1694138040000,6.941,6.942,6.939,6.941,1435.75
115,115,1694138100000,6.941,6.944,6.941,6.942,3449.56
116,116,1694138160000,6.942,6.943,6.938,6.939,821.33
117,117,1694138220000,6.938,6.939,6.935,6.935,5558.47
118,118,1694138280000,6.936,6.938,6.934,6.938,2274.8
119,119,1694138340000,6.937,6.938,6.936,6.938,959.59
120,120,1694138400000,6.937,6.942,6.937,6.938,5355.26
121,121,1694138460000,6.937,6.941,6.937,6.94,1234.73
122,122,1694138520000,6.941,6.943,6.94,6.943,2059.5
123,123,1694138580000,6.943,6.948,6.943,6.946,3854.22
124,124,1694138640000,6.947,6.948,6.946,6.946,1493.76
125,125,1694138700000,6.946,6.951,6.946,6.948,4245.66
126,126,1694138760000,6.947,6.95,6.946,6.947,1464.34
127,127,1694138820000,6.947,6.948,6.944,6.944,1068.68
128,128,1694138880000,6.944,6.947,6.944,6.947,1471.15
129,129,1694138940000,6.947,6.947,6.944,6.944,353.35
130,130,1694139000000,6.944,6.946,6.944,6.945,679.87
131,131,1694139060000,6.945,6.948,6.945,6.946,2278.85
132,132,1694139120000,6.946,6.946,6.939,6.941,3200.67
133,133,1694139180000,6.941,6.941,6.939,6.939,472.2
134,134,1694139240000,6.94,6.94,6.937,6.937,1200.2
135,135,1694139300000,6.937,6.939,6.937,6.938,1238.76
136,136,1694139360000,6.939,6.939,6.938,6.939,132.28
137,137,1694139420000,6.939,6.939,6.937,6.938,1510.99
138,138,1694139480000,6.937,6.937,6.932,6.934,2617.01
139,139,1694139540000,6.933,6.935,6.932,6.934,1257.82
140,140,1694139600000,6.934,6.935,6.927,6.927,2810.48
141,141,1694139660000,6.927,6.932,6.926,6.932,1233.77
142,142,1694139720000,6.932,6.933,6.931,6.933,295.27
143,143,1694139780000,6.933,6.934,6.933,6.934,244.59
144,144,1694139840000,6.934,6.936,6.933,6.935,241.54
145,145,1694139900000,6.935,6.935,6.932,6.932,313.58
146,146,1694139960000,6.933,6.934,6.932,6.932,637.62
147,147,1694140020000,6.932,6.938,6.932,6.936,3574.52
148,148,1694140080000,6.935,6.935,6.932,6.932,1335.84
149,149,1694140140000,6.932,6.932,6.929,6.931,550.21
150,150,1694140200000,6.93,6.931,6.926,6.928,2699.96
151,151,1694140260000,6.927,6.929,6.927,6.929,796.41
152,152,1694140320000,6.928,6.928,6.926,6.926,679.9
153,153,1694140380000,6.927,6.927,6.922,6.922,1110.39
154,154,1694140440000,6.922,6.925,6.922,6.923,866.09
155,155,1694140500000,6.923,6.923,6.921,6.921,2371.57
156,156,1694140560000,6.921,6.924,6.918,6.923,13128.93
