,index,timestamp,open,high,low,close,volume
0,0,1694995200000,0.151,0.1512,0.1509,0.1512,193183
1,1,1694995260000,0.1512,0.1513,0.1509,0.1509,90110
2,2,1694995320000,0.151,0.1511,0.1508,0.1509,39555
3,3,1694995380000,0.1509,0.1511,0.1508,0.151,51404
4,4,1694995440000,0.151,0.1511,0.1509,0.1509,25440
5,5,1694995500000,0.1509,0.151,0.1508,0.1508,40013
6,6,1694995560000,0.1509,0.151,0.1509,0.151,7711
7,7,1694995620000,0.151,0.1512,0.151,0.1512,82194
8,8,1694995680000,0.1513,0.1514,0.1513,0.1513,29936
9,9,1694995740000,0.1513,0.1513,0.1512,0.1512,2711
10,10,1694995800000,0.1513,0.1513,0.1511,0.1512,22403
11,11,1694995860000,0.1512,0.1512,0.151,0.151,11306
12,12,1694995920000,0.151,0.151,0.1506,0.1507,85223
13,13,1694995980000,0.1507,0.1507,0.1505,0.1506,88923
14,14,1694996040000,0.1506,0.1508,0.1506,0.1507,68465
15,15,1694996100000,0.1508,0.151,0.1507,0.151,36779
16,16,1694996160000,0.151,0.151,0.1508,0.1508,49874
17,17,1694996220000,0.1509,0.151,0.1508,0.1509,24715
18,18,1694996280000,0.1509,0.1509,0.1508,0.1508,16777
19,19,1694996340000,0.1508,0.1509,0.1507,0.1508,10930
20,20,1694996400000,0.1507,0.1508,0.1505,0.1506,28112
21,21,1694996460000,0.1507,0.1508,0.1502,0.1502,86828
22,22,1694996520000,0.1502,0.1502,0.15,0.1502,165165
23,23,1694996580000,0.1502,0.1502,0.15,0.1501,25854
24,24,1694996640000,0.1501,0.1502,0.15,0.1502,16937
25,25,1694996700000,0.1501,0.1501,0.1497,0.1499,99499
26,26,1694996760000,0.1498,0.15,0.1498,0.1499,32229
27,27,1694996820000,0.1498,0.1499,0.1498,0.1499,36171
28,28,1694996880000,0.1499,0.15,0.1499,0.1499,34016
29,29,1694996940000,0.1499,0.1499,0.1496,0.1497,190681
30,30,1694997000000,0.1498,0.1499,0.1492,0.1497,431690
31,31,1694997060000,0.1497,0.15,0.149,0.15,550459
32,32,1694997120000,0.15,0.15,0.1496,0.1497,177218
33,33,1694997180000,0.1496,0.1497,0.1494,0.1496,236068
34,34,1694997240000,0.1496,0.1496,0.1494,0.1495,160558
35,35,1694997300000,0.1495,0.1498,0.1495,0.1497,86864
36,36,1694997360000,0.1497,0.1497,0.1495,0.1496,98052
37,37,1694997420000,0.1497,0.1497,0.1495,0.1496,83157
38,38,1694997480000,0.1496,0.1497,0.1494,0.1496,84712
39,39,1694997540000,0.1496,0.1496,0.1494,0.1494,64600
40,40,1694997600000,0.1494,0.1494,0.1492,0.1493,45889
41,41,1694997660000,0.1493,0.1497,0.1492,0.1496,42557
42,42,1694997720000,0.1496,0.1499,0.1496,0.1498,26605
43,43,1694997780000,0.1499,0.1503,0.1499,0.1503,20662
44,44,1694997840000,0.1502,0.1502,0.1499,0.1499,40786
45,45,1694997900000,0.1499,0.15,0.1497,0.1498,102475
46,46,1694997960000,0.1498,0.1498,0.1497,0.1497,9775
47,47,1694998020000,0.1497,0.1499,0.1497,0.1499,32165
48,48,1694998080000,0.1498,0.1503,0.1498,0.1503,82805
49,49,1694998140000,0.1504,0.1505,0.1502,0.1503,54975
50,50,1694998200000,0.1503,0.1506,0.1503,0.1506,46305
51,51,1694998260000,0.1506,0.1509,0.1506,0.1508,74020
52,52,1694998320000,0.1508,0.1508,0.1506,0.1506,10454
53,53,1694998380000,0.1506,0.1506,0.1504,0.1504,11211
54,54,1694998440000,0.1504,0.1506,0.1504,0.1505,24608
55,55,1694998500000,0.1506,0.1506,0.1503,0.1503,18022
56,56,1694998560000,0.1504,0.1504,0.1501,0.1501,20957
57,57,1694998620000,0.1501,0.1502,0.1501,0.1501,21797
58,58,1694998680000,0.15,0.1501,0.1499,0.1501,20278
59,59,1694998740000,0.15,0.1501,0.15,0.1501,16527
60,60,1694998800000,0.15,0.1502,0.1499,0.1501,50311
61,61,1694998860000,0.1502,0.1503,0.15,0.1503,63487
