,index,timestamp,open,high,low,close,volume
0,0,1693785600000,9.869,9.874,9.867,9.874,16332
1,1,1693785660000,9.872,9.874,9.869,9.873,2960
2,2,1693785720000,9.873,9.874,9.868,9.872,8886
3,3,1693785780000,9.873,9.873,9.866,9.869,5343
4,4,1693785840000,9.869,9.877,9.868,9.875,8733
5,5,1693785900000,9.876,9.877,9.874,9.874,3258
6,6,1693785960000,9.875,9.875,9.869,9.869,10118
7,7,1693786020000,9.87,9.87,9.866,9.867,7609
8,8,1693786080000,9.868,9.87,9.864,9.866,3139
9,9,1693786140000,9.866,9.866,9.864,9.866,1438
10,10,1693786200000,9.866,9.869,9.859,9.859,5385
11,11,1693786260000,9.859,9.861,9.858,9.858,3119
12,12,1693786320000,9.858,9.861,9.856,9.86,9393
13,13,1693786380000,9.86,9.87,9.86,9.87,5016
14,14,1693786440000,9.871,9.879,9.87,9.877,3667
15,15,1693786500000,9.877,9.878,9.865,9.865,5907
16,16,1693786560000,9.865,9.871,9.865,9.87,3326
17,17,1693786620000,9.871,9.875,9.868,9.873,5535
18,18,1693786680000,9.874,9.874,9.869,9.869,1168
19,19,1693786740000,9.87,9.873,9.87,9.871,2610
20,20,1693786800000,9.872,9.874,9.87,9.874,1156
21,21,1693786860000,9.874,9.88,9.873,9.88,3330
22,22,1693786920000,9.881,9.882,9.876,9.878,3065
23,23,1693786980000,9.88,9.88,9.876,9.877,1097
24,24,1693787040000,9.877,9.877,9.873,9.876,1908
25,25,1693787100000,9.877,9.881,9.877,9.88,627
26,26,1693787160000,9.88,9.881,9.876,9.876,1296
27,27,1693787220000,9.877,9.88,9.876,9.878,2867
28,28,1693787280000,9.878,9.879,9.875,9.875,1216
29,29,1693787340000,9.876,9.879,9.875,9.875,1597
30,30,1693787400000,9.876,9.876,9.869,9.869,2466
31,31,1693787460000,9.869,9.871,9.869,9.87,1117
32,32,1693787520000,9.871,9.873,9.871,9.872,932
33,33,1693787580000,9.872,9.873,9.871,9.871,937
34,34,1693787640000,9.872,9.879,9.872,9.879,5551
35,35,1693787700000,9.88,9.882,9.88,9.881,733
36,36,1693787760000,9.881,9.882,9.878,9.879,2007
37,37,1693787820000,9.878,9.878,9.871,9.872,2786
38,38,1693787880000,9.872,9.882,9.872,9.882,2987
39,39,1693787940000,9.882,9.884,9.882,9.884,1978
40,40,1693788000000,9.885,9.885,9.883,9.885,906
41,41,1693788060000,9.885,9.886,9.884,9.885,586
42,42,1693788120000,9.886,9.892,9.886,9.891,2513
43,43,1693788180000,9.892,9.892,9.889,9.892,4482
44,44,1693788240000,9.892,9.903,9.891,9.902,7240
45,45,1693788300000,9.901,9.907,9.901,9.906,2646
46,46,1693788360000,9.907,9.908,9.898,9.9,13502
