,index,timestamp,open,high,low,close,volume
0,0,1694304000000,4.543,4.545,4.542,4.543,3961
1,1,1694304060000,4.543,4.543,4.533,4.534,23518
2,2,1694304120000,4.534,4.537,4.534,4.536,4038
3,3,1694304180000,4.536,4.536,4.534,4.535,1552
4,4,1694304240000,4.536,4.536,4.535,4.535,863
5,5,1694304300000,4.535,4.535,4.531,4.533,4980
6,6,1694304360000,4.533,4.534,4.527,4.528,7319
7,7,1694304420000,4.527,4.532,4.527,4.53,10693
8,8,1694304480000,4.529,4.531,4.528,4.53,3155
9,9,1694304540000,4.53,4.53,4.523,4.524,5916
10,10,1694304600000,4.523,4.526,4.516,4.525,16521
11,11,1694304660000,4.524,4.524,4.522,4.522,1508
12,12,1694304720000,4.522,4.522,4.521,4.522,382
13,13,1694304780000,4.522,4.522,4.52,4.521,1047
14,14,1694304840000,4.521,4.523,4.521,4.523,3177
15,15,1694304900000,4.522,4.522,4.519,4.519,3462
16,16,1694304960000,4.52,4.52,4.517,4.517,2289
17,17,1694305020000,4.517,4.52,4.516,4.519,4786
18,18,1694305080000,4.519,4.519,4.511,4.514,12892
19,19,1694305140000,4.514,4.514,4.507,4.51,10754
20,20,1694305200000,4.509,4.51,4.46,4.479,145769
21,21,1694305260000,4.479,4.496,4.477,4.493,51542
22,22,1694305320000,4.492,4.503,4.489,4.498,29045
23,23,1694305380000,4.498,4.5,4.496,4.496,6292
24,24,1694305440000,4.497,4.498,4.496,4.496,4647
25,25,1694305500000,4.497,4.503,4.497,4.502,9737
26,26,1694305560000,4.502,4.504,4.501,4.504,3314
27,27,1694305620000,4.504,4.507,4.504,4.506,3101
28,28,1694305680000,4.506,4.506,4.503,4.505,14931
29,29,1694305740000,4.506,4.511,4.504,4.511,9490
30,30,1694305800000,4.511,4.513,4.508,4.512,6222
31,31,1694305860000,4.513,4.519,4.512,4.514,11894
32,32,1694305920000,4.514,4.515,4.513,4.514,5031
33,33,1694305980000,4.515,4.518,4.515,4.517,2814
34,34,1694306040000,4.518,4.52,4.516,4.517,3559
35,35,1694306100000,4.518,4.524,4.518,4.524,4621
36,36,1694306160000,4.523,4.523,4.522,4.522,1033
37,37,1694306220000,4.522,4.522,4.518,4.518,3399
38,38,1694306280000,4.518,4.519,4.518,4.519,795
39,39,1694306340000,4.518,4.518,4.516,4.516,1541
40,40,1694306400000,4.516,4.518,4.511,4.518,13796
41,41,1694306460000,4.518,4.518,4.515,4.515,2551
42,42,1694306520000,4.516,4.518,4.516,4.518,2240
43,43,1694306580000,4.518,4.518,4.515,4.518,5179
44,44,1694306640000,4.518,4.521,4.518,4.52,2586
45,45,1694306700000,4.52,4.521,4.519,4.521,2106
46,46,1694306760000,4.52,4.52,4.516,4.516,4177
47,47,1694306820000,4.516,4.516,4.515,4.516,1274
48,48,1694306880000,4.516,4.52,4.516,4.519,2445
49,49,1694306940000,4.519,4.52,4.519,4.52,577
50,50,1694307000000,4.521,4.521,4.52,4.521,728
51,51,1694307060000,4.521,4.521,4.521,4.521,42
52,52,1694307120000,4.521,4.521,4.521,4.521,0
53,53,1694307180000,4.522,4.524,4.522,4.524,1393
54,54,1694307240000,4.524,4.524,4.523,4.524,152
55,55,1694307300000,4.524,4.525,4.522,4.522,3392
56,56,1694307360000,4.522,4.522,4.521,4.521,391
57,57,1694307420000,4.522,4.523,4.522,4.523,1058
58,58,1694307480000,4.524,4.524,4.523,4.523,329
59,59,1694307540000,4.524,4.525,4.523,4.523,2067
60,60,1694307600000,4.523,4.523,4.519,4.522,5013
61,61,1694307660000,4.523,4.523,4.522,4.522,2172
62,62,1694307720000,4.522,4.522,4.521,4.522,863
63,63,1694307780000,4.523,4.523,4.522,4.523,13
64,64,1694307840000,4.522,4.522,4.519,4.52,4232
65,65,1694307900000,4.52,4.52,4.514,4.517,9269
66,66,1694307960000,4.516,4.517,4.512,4.513,4178
67,67,1694308020000,4.513,4.514,4.506,4.508,11101
68,68,1694308080000,4.507,4.515,4.507,4.513,6171
69,69,1694308140000,4.514,4.514,4.512,4.513,1787
70,70,1694308200000,4.513,4.515,4.512,4.513,3950
71,71,1694308260000,4.513,4.514,4.513,4.514,1749
72,72,1694308320000,4.514,4.514,4.512,4.514,1399
73,73,1694308380000,4.515,4.515,4.515,4.515,907
74,74,1694308440000,4.515,4.515,4.511,4.511,1849
75,75,1694308500000,4.511,4.511,4.509,4.511,2763
76,76,1694308560000,4.511,4.514,4.511,4.514,2274
77,77,1694308620000,4.514,4.514,4.513,4.514,204
78,78,1694308680000,4.513,4.514,4.51,4.512,3154
79,79,1694308740000,4.512,4.512,4.508,4.509,3047
80,80,1694308800000,4.51,4.51,4.509,4.509,183
81,81,1694308860000,4.51,4.51,4.507,4.508,1468
82,82,1694308920000,4.508,4.511,4.508,4.511,1817
83,83,1694308980000,4.511,4.511,4.509,4.511,2513
