,index,timestamp,open,high,low,close,volume
0,0,1693526400000,0.0934,0.0934,0.0931,0.0931,1717769
1,1,1693526460000,0.0931,0.0933,0.0931,0.0933,99092
2,2,1693526520000,0.0933,0.0935,0.0933,0.0933,651159
3,3,1693526580000,0.0934,0.0936,0.0933,0.0933,433648
4,4,1693526640000,0.0933,0.0934,0.0933,0.0934,381940
5,5,1693526700000,0.0934,0.0935,0.0933,0.0934,230427
6,6,1693526760000,0.0934,0.0935,0.0932,0.0933,568768
7,7,1693526820000,0.0933,0.0933,0.0933,0.0933,176978
8,8,1693526880000,0.0933,0.0933,0.0933,0.0933,5767
9,9,1693526940000,0.0933,0.0934,0.0933,0.0934,362876
10,10,1693527000000,0.0933,0.0934,0.0933,0.0934,24398
11,11,1693527060000,0.0933,0.0934,0.0933,0.0933,115008
12,12,1693527120000,0.0933,0.0933,0.0932,0.0933,331817
13,13,1693527180000,0.0933,0.0934,0.0933,0.0933,53225
14,14,1693527240000,0.0933,0.0934,0.0932,0.0934,203725
15,15,1693527300000,0.0934,0.0934,0.0932,0.0933,179913
16,16,1693527360000,0.0933,0.0933,0.0932,0.0933,203235
17,17,1693527420000,0.0933,0.0935,0.0933,0.0935,518734
18,18,1693527480000,0.0935,0.0935,0.0934,0.0935,355786
19,19,1693527540000,0.0935,0.0935,0.0934,0.0935,106940
20,20,1693527600000,0.0935,0.0935,0.0933,0.0934,227439
21,21,1693527660000,0.0935,0.0935,0.0934,0.0935,93680
22,22,1693527720000,0.0934,0.0935,0.0932,0.0933,256297
23,23,1693527780000,0.0933,0.0933,0.0932,0.0933,110461
24,24,1693527840000,0.0932,0.0933,0.0931,0.0932,255007
25,25,1693527900000,0.0931,0.0932,0.093,0.0931,633169
26,26,1693527960000,0.093,0.0931,0.093,0.093,171487
27,27,1693528020000,0.093,0.0931,0.0929,0.0931,702228
28,28,1693528080000,0.0931,0.0931,0.093,0.0931,267925
29,29,1693528140000,0.093,0.0932,0.093,0.0931,216171
30,30,1693528200000,0.0931,0.0931,0.093,0.0931,426319
31,31,1693528260000,0.093,0.0933,0.093,0.0932,749654
32,32,1693528320000,0.0932,0.0932,0.0931,0.0932,158050
33,33,1693528380000,0.0932,0.0932,0.0931,0.0931,58415
34,34,1693528440000,0.0932,0.0932,0.093,0.0931,302260
35,35,1693528500000,0.093,0.0931,0.0929,0.0929,122437
36,36,1693528560000,0.0929,0.0931,0.0929,0.093,322957
37,37,1693528620000,0.093,0.0931,0.0929,0.093,233970
38,38,1693528680000,0.093,0.0931,0.093,0.093,57691
39,39,1693528740000,0.093,0.0931,0.093,0.0931,60617
40,40,1693528800000,0.093,0.0932,0.093,0.0931,416733
41,41,1693528860000,0.0932,0.0936,0.0932,0.0934,697972
42,42,1693528920000,0.0934,0.0935,0.0933,0.0933,372005
43,43,1693528980000,0.0933,0.0934,0.0933,0.0934,57033
44,44,1693529040000,0.0933,0.0934,0.0933,0.0934,80336
45,45,1693529100000,0.0933,0.0934,0.0933,0.0934,122255
46,46,1693529160000,0.0933,0.0934,0.0933,0.0934,71567
47,47,1693529220000,0.0933,0.0934,0.0933,0.0933,62823
48,48,1693529280000,0.0933,0.0934,0.0932,0.0932,195766
49,49,1693529340000,0.0932,0.0933,0.0932,0.0933,83568
50,50,1693529400000,0.0932,0.0933,0.0931,0.0932,213138
51,51,1693529460000,0.0932,0.0932,0.0931,0.0931,136807
52,52,1693529520000,0.0931,0.0932,0.093,0.093,192334
53,53,1693529580000,0.093,0.0931,0.093,0.093,186444
54,54,1693529640000,0.093,0.0931,0.093,0.093,109442
55,55,1693529700000,0.093,0.0931,0.093,0.093,85173
56,56,1693529760000,0.093,0.0931,0.093,0.0931,50483
57,57,1693529820000,0.093,0.0931,0.0929,0.0929,233499
58,58,1693529880000,0.0929,0.093,0.0929,0.093,62655
59,59,1693529940000,0.0929,0.093,0.0929,0.093,80291
60,60,1693530000000,0.093,0.093,0.0928,0.0928,108094
61,61,1693530060000,0.0929,0.093,0.0928,0.0929,443187
62,62,1693530120000,0.093,0.093,0.0929,0.093,20734
63,63,1693530180000,0.0929,0.093,0.0929,0.093,168003
64,64,1693530240000,0.0929,0.093,0.0929,0.0929,69013
65,65,1693530300000,0.0929,0.0929,0.0928,0.0929,282487
66,66,1693530360000,0.0928,0.0929,0.0928,0.0928,126666
67,67,1693530420000,0.0929,0.0929,0.0927,0.0927,209588
68,68,1693530480000,0.0928,0.0928,0.0926,0.0927,116066
69,69,1693530540000,0.0926,0.0927,0.0926,0.0927,92808
70,70,1693530600000,0.0926,0.0927,0.0925,0.0927,596560
71,71,1693530660000,0.0926,0.0927,0.0926,0.0927,377936
72,72,1693530720000,0.0926,0.0928,0.0926,0.0928,479705
73,73,1693530780000,0.0928,0.0928,0.0927,0.0927,35463
74,74,1693530840000,0.0928,0.0929,0.0926,0.0927,270767
75,75,1693530900000,0.0926,0.0927,0.0925,0.0925,92398
76,76,1693530960000,0.0926,0.0927,0.0926,0.0926,307711
77,77,1693531020000,0.0927,0.0927,0.0927,0.0927,38769
78,78,1693531080000,0.0927,0.0927,0.0927,0.0927,105554
79,79,1693531140000,0.0928,0.0928,0.0926,0.0927,101504
80,80,1693531200000,0.0927,0.0928,0.0927,0.0928,78449
81,81,1693531260000,0.0927,0.0928,0.0927,0.0927,24214
82,82,1693531320000,0.0928,0.0928,0.0927,0.0928,43614
83,83,1693531380000,0.0928,0.0928,0.0927,0.0927,30917
84,84,1693531440000,0.0928,0.0929,0.0927,0.0928,112054
85,85,1693531500000,0.0929,0.093,0.0929,0.093,239664
86,86,1693531560000,0.0929,0.0929,0.0927,0.0927,286806
87,87,1693531620000,0.0927,0.0928,0.0925,0.0926,375634
88,88,1693531680000,0.0926,0.0928,0.0926,0.0928,240786
89,89,1693531740000,0.0928,0.0929,0.0928,0.0928,224319
90,90,1693531800000,0.0928,0.0929,0.0927,0.0927,220771
91,91,1693531860000,0.0927,0.0927,0.0924,0.0925,485767
92,92,1693531920000,0.0925,0.0927,0.0925,0.0926,371544
93,93,1693531980000,0.0925,0.0926,0.0925,0.0926,167880
94,94,1693532040000,0.0926,0.0926,0.0924,0.0925,170760
95,95,1693532100000,0.0924,0.0926,0.0924,0.0925,97782
96,96,1693532160000,0.0926,0.0926,0.0925,0.0926,118022
97,97,1693532220000,0.0926,0.0927,0.0925,0.0926,241806
98,98,1693532280000,0.0925,0.0927,0.0925,0.0927,80960
99,99,1693532340000,0.0927,0.0929,0.0927,0.0929,303497
100,100,1693532400000,0.0928,0.0929,0.0927,0.0927,185929
101,101,1693532460000,0.0928,0.0928,0.0928,0.0928,14512
102,102,1693532520000,0.0927,0.0927,0.0927,0.0927,6440
103,103,1693532580000,0.0928,0.0928,0.0927,0.0927,11341
104,104,1693532640000,0.0928,0.0928,0.0927,0.0927,43000
105,105,1693532700000,0.0928,0.093,0.0928,0.0929,356452
106,106,1693532760000,0.0929,0.0929,0.0928,0.0929,444599
107,107,1693532820000,0.0929,0.0929,0.0929,0.0929,2884
108,108,1693532880000,0.0929,0.093,0.0928,0.0929,254651
109,109,1693532940000,0.093,0.0931,0.093,0.093,492695
110,110,1693533000000,0.0931,0.0932,0.093,0.0931,79061
111,111,1693533060000,0.0932,0.0934,0.0932,0.0933,535746
112,112,1693533120000,0.0933,0.0933,0.0932,0.0933,223082
113,113,1693533180000,0.0933,0.0935,0.0933,0.0934,717811
114,114,1693533240000,0.0933,0.0933,0.0932,0.0933,334417
115,115,1693533300000,0.0933,0.0933,0.0932,0.0933,408511
116,116,1693533360000,0.0933,0.0933,0.093,0.0931,338076
117,117,1693533420000,0.0931,0.0932,0.0931,0.0931,9259
118,118,1693533480000,0.0931,0.0932,0.0931,0.0931,134602
119,119,1693533540000,0.0932,0.0932,0.093,0.093,93182
120,120,1693533600000,0.0931,0.0931,0.0929,0.0931,243377
121,121,1693533660000,0.0931,0.0931,0.093,0.0931,16248
122,122,1693533720000,0.0931,0.0932,0.0931,0.0932,426540
123,123,1693533780000,0.0931,0.0932,0.093,0.0932,316942
