,index,timestamp,open,high,low,close,volume
0,0,1693958400000,3.371,3.372,3.363,3.367,4711.8
1,1,1693958460000,3.367,3.369,3.365,3.368,2704.3
2,2,1693958520000,3.369,3.371,3.368,3.371,807.7
3,3,1693958580000,3.371,3.372,3.371,3.371,2038.9
4,4,1693958640000,3.37,3.372,3.37,3.372,2246.2
5,5,1693958700000,3.372,3.376,3.372,3.373,1694.4
6,6,1693958760000,3.374,3.374,3.373,3.374,763.5
7,7,1693958820000,3.375,3.377,3.374,3.377,810.1
8,8,1693958880000,3.377,3.378,3.377,3.377,399.2
9,9,1693958940000,3.378,3.378,3.377,3.378,383.0
10,10,1693959000000,3.38,3.382,3.379,3.382,2257.6
11,11,1693959060000,3.382,3.382,3.377,3.377,2249.4
12,12,1693959120000,3.378,3.379,3.377,3.379,557.2
13,13,1693959180000,3.378,3.379,3.375,3.375,1419.3
14,14,1693959240000,3.377,3.377,3.376,3.377,832.3
15,15,1693959300000,3.378,3.379,3.375,3.375,919.2
16,16,1693959360000,3.375,3.377,3.375,3.376,497.1
17,17,1693959420000,3.377,3.377,3.376,3.377,294.9
18,18,1693959480000,3.377,3.377,3.376,3.376,179.9
19,19,1693959540000,3.377,3.378,3.376,3.376,577.8
20,20,1693959600000,3.375,3.376,3.375,3.375,181.9
21,21,1693959660000,3.376,3.381,3.375,3.376,2301.7
22,22,1693959720000,3.377,3.377,3.376,3.377,45.6
23,23,1693959780000,3.376,3.377,3.376,3.377,113.8
24,24,1693959840000,3.376,3.377,3.376,3.376,139.0
25,25,1693959900000,3.377,3.38,3.373,3.375,1316.7
26,26,1693959960000,3.374,3.374,3.373,3.373,310.3
27,27,1693960020000,3.374,3.374,3.374,3.374,131.7
28,28,1693960080000,3.374,3.374,3.372,3.372,375.4
29,29,1693960140000,3.373,3.373,3.372,3.372,421.8
30,30,1693960200000,3.372,3.374,3.372,3.374,198.0
31,31,1693960260000,3.373,3.373,3.361,3.361,9894.7
32,32,1693960320000,3.361,3.361,3.354,3.356,2206.4
33,33,1693960380000,3.356,3.36,3.356,3.359,1123.6
34,34,1693960440000,3.359,3.365,3.359,3.365,1409.0
35,35,1693960500000,3.364,3.367,3.364,3.367,630.7
36,36,1693960560000,3.366,3.367,3.364,3.367,1483.7
37,37,1693960620000,3.366,3.367,3.364,3.364,497.0
38,38,1693960680000,3.364,3.364,3.362,3.363,173.4
39,39,1693960740000,3.362,3.364,3.362,3.363,187.3
40,40,1693960800000,3.364,3.365,3.362,3.365,414.2
41,41,1693960860000,3.365,3.366,3.365,3.366,68.3
42,42,1693960920000,3.366,3.366,3.365,3.366,79.8
43,43,1693960980000,3.367,3.368,3.367,3.368,298.5
44,44,1693961040000,3.367,3.367,3.365,3.365,650.1
45,45,1693961100000,3.364,3.365,3.363,3.365,737.3
46,46,1693961160000,3.365,3.365,3.365,3.365,23.6
47,47,1693961220000,3.365,3.365,3.364,3.364,23.5
48,48,1693961280000,3.364,3.364,3.364,3.364,38.4
49,49,1693961340000,3.365,3.368,3.365,3.367,811.9
50,50,1693961400000,3.367,3.367,3.364,3.364,1319.0
51,51,1693961460000,3.364,3.365,3.362,3.362,196.7
52,52,1693961520000,3.362,3.363,3.361,3.362,555.5
53,53,1693961580000,3.361,3.362,3.361,3.362,113.4
54,54,1693961640000,3.362,3.363,3.362,3.363,293.9
55,55,1693961700000,3.362,3.363,3.362,3.363,52.6
56,56,1693961760000,3.362,3.362,3.36,3.36,611.1
57,57,1693961820000,3.36,3.362,3.36,3.362,413.0
58,58,1693961880000,3.362,3.364,3.362,3.363,327.0
59,59,1693961940000,3.363,3.364,3.363,3.363,677.8
60,60,1693962000000,3.363,3.363,3.361,3.363,1005.4
61,61,1693962060000,3.362,3.362,3.36,3.362,856.3
62,62,1693962120000,3.361,3.362,3.361,3.361,106.0
63,63,1693962180000,3.362,3.362,3.361,3.362,1071.4
64,64,1693962240000,3.362,3.362,3.36,3.36,177.0
65,65,1693962300000,3.361,3.365,3.361,3.365,3447.1
66,66,1693962360000,3.366,3.366,3.366,3.366,125.6
67,67,1693962420000,3.366,3.369,3.366,3.369,655.0
68,68,1693962480000,3.368,3.371,3.368,3.371,920.8
69,69,1693962540000,3.371,3.372,3.371,3.372,464.6
70,70,1693962600000,3.372,3.375,3.371,3.375,336.1
71,71,1693962660000,3.374,3.378,3.374,3.377,1298.5
72,72,1693962720000,3.378,3.379,3.373,3.373,624.2
73,73,1693962780000,3.374,3.377,3.374,3.374,790.0
74,74,1693962840000,3.375,3.376,3.375,3.376,528.2
75,75,1693962900000,3.377,3.377,3.376,3.376,410.2
76,76,1693962960000,3.375,3.375,3.369,3.369,1931.6
77,77,1693963020000,3.369,3.37,3.369,3.369,183.8
78,78,1693963080000,3.369,3.37,3.369,3.37,47.5
79,79,1693963140000,3.369,3.37,3.369,3.37,58.4
80,80,1693963200000,3.369,3.37,3.369,3.37,45.9
81,81,1693963260000,3.369,3.37,3.369,3.37,59.8
82,82,1693963320000,3.369,3.369,3.368,3.369,1035.2
83,83,1693963380000,3.369,3.371,3.369,3.371,1577.6
84,84,1693963440000,3.37,3.372,3.37,3.372,942.3
85,85,1693963500000,3.372,3.373,3.372,3.373,147.2
86,86,1693963560000,3.372,3.372,3.371,3.372,718.1
87,87,1693963620000,3.372,3.373,3.372,3.372,188.6
88,88,1693963680000,3.371,3.372,3.371,3.371,89.7
89,89,1693963740000,3.371,3.371,3.37,3.37,64.2
90,90,1693963800000,3.371,3.372,3.371,3.372,119.2
91,91,1693963860000,3.371,3.372,3.371,3.372,13.4
92,92,1693963920000,3.371,3.371,3.366,3.369,3572.4
93,93,1693963980000,3.369,3.37,3.369,3.37,42.7
94,94,1693964040000,3.37,3.372,3.37,3.372,370.6
95,95,1693964100000,3.372,3.372,3.372,3.372,251.3
96,96,1693964160000,3.373,3.373,3.373,3.373,4.1
97,97,1693964220000,3.373,3.373,3.373,3.373,4.1
98,98,1693964280000,3.372,3.372,3.372,3.372,230.1
99,99,1693964340000,3.372,3.372,3.372,3.372,6.6
100,100,1693964400000,3.372,3.372,3.371,3.372,278.9
101,101,1693964460000,3.372,3.374,3.372,3.373,713.8
102,102,1693964520000,3.372,3.373,3.37,3.37,569.1
103,103,1693964580000,3.372,3.372,3.37,3.37,203.1
104,104,1693964640000,3.37,3.371,3.368,3.368,887.8
105,105,1693964700000,3.369,3.369,3.364,3.365,1286.6
106,106,1693964760000,3.365,3.366,3.363,3.365,684.3
107,107,1693964820000,3.364,3.364,3.363,3.363,377.3
108,108,1693964880000,3.364,3.365,3.364,3.365,87.8
109,109,1693964940000,3.364,3.364,3.364,3.364,263.8
110,110,1693965000000,3.363,3.364,3.363,3.364,117.0
111,111,1693965060000,3.363,3.364,3.363,3.364,69.7
112,112,1693965120000,3.364,3.364,3.364,3.364,77.2
113,113,1693965180000,3.363,3.364,3.363,3.364,37.6
114,114,1693965240000,3.363,3.365,3.363,3.365,194.6
115,115,1693965300000,3.365,3.365,3.364,3.365,85.3
116,116,1693965360000,3.364,3.364,3.362,3.363,309.3
117,117,1693965420000,3.363,3.364,3.362,3.363,155.3
118,118,1693965480000,3.363,3.365,3.362,3.365,500.7
119,119,1693965540000,3.364,3.364,3.364,3.364,72.6
120,120,1693965600000,3.364,3.365,3.363,3.363,706.7
121,121,1693965660000,3.362,3.363,3.361,3.362,591.8
122,122,1693965720000,3.363,3.364,3.362,3.362,155.5
123,123,1693965780000,3.362,3.362,3.361,3.361,264.2
124,124,1693965840000,3.36,3.361,3.36,3.36,531.3
125,125,1693965900000,3.361,3.361,3.36,3.36,31.7
126,126,1693965960000,3.36,3.362,3.36,3.361,578.5
127,127,1693966020000,3.361,3.363,3.361,3.361,1060.5
128,128,1693966080000,3.36,3.36,3.36,3.36,5.6
129,129,1693966140000,3.36,3.36,3.36,3.36,37.6
130,130,1693966200000,3.36,3.361,3.359,3.359,626.8
131,131,1693966260000,3.358,3.359,3.357,3.358,594.8
132,132,1693966320000,3.359,3.359,3.358,3.358,37.1
133,133,1693966380000,3.358,3.36,3.358,3.36,401.1
134,134,1693966440000,3.361,3.361,3.361,3.361,150.2
135,135,1693966500000,3.36,3.36,3.358,3.359,90.7
136,136,1693966560000,3.358,3.358,3.358,3.358,1.8
137,137,1693966620000,3.359,3.361,3.359,3.361,253.5
138,138,1693966680000,3.361,3.361,3.36,3.361,806.6
139,139,1693966740000,3.361,3.364,3.361,3.361,727.8
140,140,1693966800000,3.361,3.362,3.361,3.361,368.5
141,141,1693966860000,3.361,3.361,3.359,3.36,495.3
142,142,1693966920000,3.36,3.362,3.359,3.362,257.4
143,143,1693966980000,3.361,3.367,3.361,3.367,603.4
144,144,1693967040000,3.367,3.367,3.364,3.364,238.4
145,145,1693967100000,3.364,3.366,3.364,3.365,281.7
146,146,1693967160000,3.365,3.365,3.365,3.365,153.0
147,147,1693967220000,3.363,3.363,3.363,3.363,107.8
148,148,1693967280000,3.362,3.362,3.36,3.36,233.6
149,149,1693967340000,3.36,3.364,3.36,3.362,859.6
150,150,1693967400000,3.362,3.365,3.362,3.365,257.5
151,151,1693967460000,3.365,3.366,3.364,3.364,126.4
152,152,1693967520000,3.364,3.365,3.364,3.365,37.7
153,153,1693967580000,3.365,3.368,3.365,3.368,280.2
154,154,1693967640000,3.367,3.367,3.367,3.367,18.7
155,155,1693967700000,3.368,3.368,3.367,3.367,46.2
156,156,1693967760000,3.367,3.367,3.366,3.367,461.9
157,157,1693967820000,3.368,3.369,3.368,3.368,248.6
158,158,1693967880000,3.367,3.367,3.364,3.364,252.5
159,159,1693967940000,3.363,3.363,3.363,3.363,55.9
160,160,1693968000000,3.364,3.366,3.364,3.366,268.3
161,161,1693968060000,3.366,3.366,3.366,3.366,57.8
162,162,1693968120000,3.367,3.368,3.367,3.368,23.1
163,163,1693968180000,3.369,3.369,3.369,3.369,66.1
164,164,1693968240000,3.369,3.37,3.368,3.368,317.2
165,165,1693968300000,3.368,3.369,3.368,3.368,118.1
166,166,1693968360000,3.366,3.366,3.366,3.366,31.2
167,167,1693968420000,3.367,3.369,3.367,3.368,476.0
168,168,1693968480000,3.368,3.369,3.365,3.365,370.6
169,169,1693968540000,3.365,3.365,3.365,3.365,0.0
170,170,1693968600000,3.366,3.366,3.366,3.366,12.4
171,171,1693968660000,3.366,3.366,3.366,3.366,6.8
172,172,1693968720000,3.366,3.366,3.366,3.366,35.4
173,173,1693968780000,3.367,3.368,3.367,3.368,58.9
174,174,1693968840000,3.369,3.369,3.368,3.369,23.1
175,175,1693968900000,3.368,3.368,3.367,3.367,36.8
176,176,1693968960000,3.368,3.368,3.368,3.368,78.7
177,177,1693969020000,3.37,3.372,3.37,3.372,209.4
178,178,1693969080000,3.371,3.371,3.37,3.37,64.7
179,179,1693969140000,3.371,3.371,3.37,3.371,57.9
180,180,1693969200000,3.37,3.373,3.37,3.373,308.4
181,181,1693969260000,3.372,3.373,3.372,3.372,544.3
182,182,1693969320000,3.373,3.375,3.372,3.375,756.3
183,183,1693969380000,3.375,3.376,3.374,3.374,300.0
184,184,1693969440000,3.375,3.375,3.375,3.375,123.9
185,185,1693969500000,3.375,3.375,3.374,3.374,188.7
186,186,1693969560000,3.375,3.375,3.374,3.375,785.4
187,187,1693969620000,3.374,3.375,3.374,3.375,66.9
188,188,1693969680000,3.374,3.375,3.374,3.375,314.0
189,189,1693969740000,3.375,3.375,3.374,3.374,546.2
190,190,1693969800000,3.374,3.374,3.371,3.372,1561.4
191,191,1693969860000,3.371,3.371,3.368,3.368,414.8
192,192,1693969920000,3.368,3.369,3.368,3.368,90.0
193,193,1693969980000,3.368,3.369,3.368,3.368,70.6
194,194,1693970040000,3.368,3.368,3.367,3.368,89.7
195,195,1693970100000,3.369,3.371,3.369,3.371,312.4
196,196,1693970160000,3.37,3.37,3.37,3.37,194.2
197,197,1693970220000,3.37,3.372,3.37,3.371,471.1
198,198,1693970280000,3.37,3.37,3.37,3.37,19.5
199,199,1693970340000,3.37,3.37,3.367,3.368,265.8
200,200,1693970400000,3.368,3.369,3.367,3.369,234.5
201,201,1693970460000,3.368,3.368,3.368,3.368,51.4
202,202,1693970520000,3.369,3.369,3.368,3.368,21.1
203,203,1693970580000,3.368,3.368,3.368,3.368,17.8
204,204,1693970640000,3.368,3.368,3.368,3.368,23.4
205,205,1693970700000,3.369,3.369,3.368,3.369,17.3
206,206,1693970760000,3.368,3.368,3.368,3.368,22.7
207,207,1693970820000,3.367,3.367,3.367,3.367,339.8
208,208,1693970880000,3.366,3.366,3.364,3.364,202.6
209,209,1693970940000,3.364,3.364,3.362,3.362,374.1
210,210,1693971000000,3.362,3.364,3.362,3.364,865.8
211,211,1693971060000,3.364,3.365,3.363,3.363,993.2
212,212,1693971120000,3.364,3.366,3.364,3.366,1093.0
213,213,1693971180000,3.366,3.366,3.363,3.364,811.1
214,214,1693971240000,3.364,3.364,3.357,3.358,730.9
215,215,1693971300000,3.358,3.358,3.343,3.349,12671.4
216,216,1693971360000,3.348,3.349,3.346,3.349,360.9
217,217,1693971420000,3.349,3.35,3.348,3.348,259.1
218,218,1693971480000,3.349,3.353,3.349,3.352,500.5
219,219,1693971540000,3.352,3.354,3.35,3.35,1297.3
220,220,1693971600000,3.352,3.353,3.352,3.353,199.6
221,221,1693971660000,3.353,3.354,3.353,3.353,254.3
222,222,1693971720000,3.352,3.352,3.348,3.348,537.5
223,223,1693971780000,3.348,3.349,3.348,3.348,218.6
224,224,1693971840000,3.349,3.35,3.349,3.35,195.2
225,225,1693971900000,3.351,3.351,3.35,3.35,338.4
226,226,1693971960000,3.351,3.351,3.349,3.35,386.8
227,227,1693972020000,3.349,3.35,3.349,3.35,19.5
228,228,1693972080000,3.349,3.349,3.349,3.349,9.8
229,229,1693972140000,3.35,3.352,3.35,3.352,549.4
230,230,1693972200000,3.351,3.351,3.349,3.349,138.4
231,231,1693972260000,3.349,3.349,3.344,3.345,657.8
232,232,1693972320000,3.345,3.345,3.343,3.345,489.3
233,233,1693972380000,3.345,3.345,3.343,3.343,114.8
234,234,1693972440000,3.344,3.346,3.344,3.346,144.8
235,235,1693972500000,3.345,3.347,3.345,3.346,639.8
236,236,1693972560000,3.345,3.345,3.343,3.343,835.4
237,237,1693972620000,3.343,3.345,3.343,3.345,580.8
238,238,1693972680000,3.346,3.346,3.344,3.345,116.9
239,239,1693972740000,3.344,3.344,3.343,3.343,398.8
240,240,1693972800000,3.342,3.345,3.338,3.342,4275.9
241,241,1693972860000,3.342,3.342,3.338,3.338,1110.8
242,242,1693972920000,3.338,3.341,3.338,3.341,918.6
243,243,1693972980000,3.342,3.342,3.341,3.342,298.7
244,244,1693973040000,3.343,3.344,3.343,3.344,123.2
245,245,1693973100000,3.343,3.343,3.342,3.343,407.5
246,246,1693973160000,3.343,3.343,3.342,3.343,263.5
247,247,1693973220000,3.342,3.342,3.341,3.341,344.7
248,248,1693973280000,3.34,3.34,3.338,3.338,350.7
249,249,1693973340000,3.338,3.339,3.338,3.338,109.1
250,250,1693973400000,3.34,3.341,3.34,3.341,133.5
251,251,1693973460000,3.341,3.342,3.341,3.342,71.0
252,252,1693973520000,3.34,3.34,3.339,3.339,70.2
253,253,1693973580000,3.34,3.34,3.339,3.34,53.9
254,254,1693973640000,3.341,3.343,3.341,3.342,205.9
255,255,1693973700000,3.341,3.341,3.34,3.34,93.1
256,256,1693973760000,3.34,3.34,3.338,3.338,316.6
257,257,1693973820000,3.339,3.339,3.339,3.339,74.3
258,258,1693973880000,3.339,3.34,3.339,3.339,91.9
259,259,1693973940000,3.339,3.339,3.338,3.338,103.3
260,260,1693974000000,3.338,3.339,3.338,3.339,235.7
261,261,1693974060000,3.34,3.34,3.34,3.34,128.1
262,262,1693974120000,3.34,3.34,3.34,3.34,17.3
263,263,1693974180000,3.34,3.341,3.34,3.341,23.2
264,264,1693974240000,3.341,3.342,3.341,3.342,300.0
