,index,timestamp,open,high,low,close,volume
0,0,1688169600000,1.2703,1.2734,1.27,1.2721,19887.0
1,1,1688169660000,1.2721,1.2721,1.2685,1.2689,14290.8
2,2,1688169720000,1.2689,1.2727,1.2689,1.271,8881.6
3,3,1688169780000,1.2704,1.2713,1.2693,1.2696,6135.5
4,4,1688169840000,1.2696,1.2704,1.2695,1.2698,3673.7
5,5,1688169900000,1.2699,1.2699,1.2684,1.2684,9915.8
6,6,1688169960000,1.2685,1.2702,1.2685,1.2695,3070.6
7,7,1688170020000,1.2695,1.2702,1.269,1.2701,5781.2
8,8,1688170080000,1.2702,1.2706,1.2681,1.2684,8815.6
9,9,1688170140000,1.2683,1.2712,1.2683,1.2707,5779.6
10,10,1688170200000,1.2708,1.2712,1.2699,1.2704,6527.5
11,11,1688170260000,1.2705,1.2716,1.2701,1.271,3056.6
12,12,1688170320000,1.2713,1.2728,1.2694,1.2695,11391.0
13,13,1688170380000,1.2694,1.2694,1.2626,1.2637,16341.2
14,14,1688170440000,1.2626,1.2668,1.2624,1.2668,10703.6
15,15,1688170500000,1.2671,1.268,1.2646,1.2673,15208.6
16,16,1688170560000,1.2671,1.2675,1.2642,1.2642,14158.6
17,17,1688170620000,1.2643,1.2661,1.2634,1.2657,6415.7
18,18,1688170680000,1.266,1.2663,1.265,1.2655,3127.6
19,19,1688170740000,1.265,1.2682,1.265,1.2671,3245.0
20,20,1688170800000,1.267,1.2672,1.2648,1.2648,3576.3
21,21,1688170860000,1.2649,1.2679,1.2641,1.2679,3445.9
22,22,1688170920000,1.2677,1.2677,1.2659,1.2676,3270.2
23,23,1688170980000,1.2677,1.2691,1.2669,1.2675,5379.7
24,24,1688171040000,1.2675,1.2686,1.2674,1.2677,3498.4
25,25,1688171100000,1.2675,1.2679,1.2666,1.2676,9018.0
26,26,1688171160000,1.2679,1.2692,1.2671,1.2692,1974.1
27,27,1688171220000,1.2689,1.2708,1.2685,1.2694,3668.3
28,28,1688171280000,1.2691,1.2711,1.2691,1.271,1436.1
29,29,1688171340000,1.2712,1.2716,1.27,1.2704,2426.2
30,30,1688171400000,1.2703,1.2721,1.269,1.2721,9237.0
31,31,1688171460000,1.2725,1.2735,1.271,1.2729,16983.3
32,32,1688171520000,1.2733,1.274,1.2719,1.2738,5826.4
33,33,1688171580000,1.274,1.2756,1.2739,1.2755,6928.9
34,34,1688171640000,1.2755,1.2756,1.2728,1.2734,2954.3
35,35,1688171700000,1.2732,1.2736,1.2708,1.2736,6634.1
36,36,1688171760000,1.2737,1.2749,1.2715,1.2715,4071.2
37,37,1688171820000,1.2721,1.2751,1.2717,1.2738,43623.4
38,38,1688171880000,1.2739,1.2754,1.2734,1.2751,2417.2
39,39,1688171940000,1.2748,1.2755,1.274,1.2755,1692.5
40,40,1688172000000,1.2758,1.2773,1.2755,1.2772,15334.9
41,41,1688172060000,1.2772,1.2777,1.2758,1.2777,3678.4
42,42,1688172120000,1.2778,1.2797,1.2778,1.278,14200.8
43,43,1688172180000,1.2785,1.2797,1.2785,1.2796,3566.2
44,44,1688172240000,1.2793,1.2803,1.2791,1.2799,5073.5
45,45,1688172300000,1.2799,1.2799,1.2752,1.2753,12462.2
46,46,1688172360000,1.2745,1.2746,1.2724,1.2741,3823.2
47,47,1688172420000,1.2739,1.2739,1.2723,1.2726,3220.1
48,48,1688172480000,1.2727,1.2735,1.2713,1.2732,4159.3
49,49,1688172540000,1.2736,1.2756,1.2735,1.2736,6037.0
50,50,1688172600000,1.2735,1.2735,1.2714,1.2729,6416.2
51,51,1688172660000,1.2729,1.2738,1.2722,1.2722,647.1
52,52,1688172720000,1.2722,1.2728,1.2717,1.2724,2220.0
53,53,1688172780000,1.2728,1.2734,1.2699,1.2718,4096.6
54,54,1688172840000,1.272,1.272,1.2698,1.2698,1280.6
55,55,1688172900000,1.2698,1.2698,1.2677,1.2693,2956.7
56,56,1688172960000,1.2696,1.2698,1.2665,1.2676,4111.4
57,57,1688173020000,1.2675,1.2678,1.267,1.2675,4535.0
58,58,1688173080000,1.2673,1.2685,1.2654,1.2683,4044.3
59,59,1688173140000,1.268,1.2692,1.2675,1.2683,2684.3
60,60,1688173200000,1.2685,1.2712,1.2685,1.2708,10463.2
61,61,1688173260000,1.2709,1.2709,1.269,1.2709,4642.2
62,62,1688173320000,1.2707,1.2713,1.27,1.2705,2585.2
63,63,1688173380000,1.27,1.2726,1.2693,1.2721,7918.1
64,64,1688173440000,1.2722,1.2724,1.2702,1.2707,2282.2
65,65,1688173500000,1.2703,1.2708,1.2664,1.2676,12788.6
66,66,1688173560000,1.267,1.2677,1.2664,1.2664,3508.8
67,67,1688173620000,1.2657,1.2661,1.2631,1.2635,13799.9
68,68,1688173680000,1.2633,1.2658,1.2615,1.2658,12444.0
69,69,1688173740000,1.2653,1.2667,1.2646,1.2659,2742.9
70,70,1688173800000,1.2659,1.2672,1.2659,1.267,2703.2
71,71,1688173860000,1.2667,1.2713,1.2664,1.2713,8199.4
72,72,1688173920000,1.2717,1.2728,1.2705,1.2724,3501.2
73,73,1688173980000,1.272,1.2738,1.2714,1.2738,4487.1
74,74,1688174040000,1.2737,1.2737,1.2714,1.2722,5566.0
75,75,1688174100000,1.2723,1.2723,1.2698,1.2703,11749.2
76,76,1688174160000,1.2696,1.2719,1.2676,1.2719,9849.8
77,77,1688174220000,1.2719,1.2743,1.2649,1.2687,25566.1
78,78,1688174280000,1.2681,1.2742,1.2672,1.2739,20238.0
79,79,1688174340000,1.2737,1.274,1.2682,1.2684,8242.9
80,80,1688174400000,1.2688,1.2714,1.2663,1.2663,14764.6
81,81,1688174460000,1.2663,1.2691,1.2652,1.2676,11848.2
82,82,1688174520000,1.2677,1.2683,1.2634,1.2641,27896.3
83,83,1688174580000,1.2643,1.2644,1.2575,1.2603,48042.7
84,84,1688174640000,1.2597,1.2606,1.2569,1.2589,13477.6
85,85,1688174700000,1.2591,1.2645,1.2588,1.2624,13558.1
86,86,1688174760000,1.2617,1.263,1.2599,1.2613,5567.3
87,87,1688174820000,1.2613,1.2655,1.2613,1.2625,16943.0
88,88,1688174880000,1.2624,1.2643,1.2619,1.2634,4042.7
89,89,1688174940000,1.2634,1.2656,1.2628,1.2652,2209.4
90,90,1688175000000,1.2653,1.2685,1.2638,1.2678,9525.3
91,91,1688175060000,1.268,1.268,1.2647,1.2661,8250.9
92,92,1688175120000,1.2663,1.2663,1.2646,1.2646,8025.8
93,93,1688175180000,1.2646,1.2702,1.2646,1.2701,13989.7
94,94,1688175240000,1.27,1.2716,1.2688,1.2706,9042.0
95,95,1688175300000,1.2709,1.2716,1.2705,1.2711,2357.9
96,96,1688175360000,1.2711,1.2727,1.2686,1.2716,20422.5
97,97,1688175420000,1.2722,1.2732,1.2694,1.2694,17992.9
98,98,1688175480000,1.2695,1.2698,1.2683,1.2691,3224.7
99,99,1688175540000,1.269,1.2695,1.2679,1.2695,3218.7
100,100,1688175600000,1.2691,1.2709,1.2667,1.2697,10951.1
101,101,1688175660000,1.2696,1.2721,1.2696,1.2714,7187.0
102,102,1688175720000,1.2713,1.2713,1.2694,1.2704,3223.5
103,103,1688175780000,1.2705,1.271,1.2699,1.2709,1214.8
104,104,1688175840000,1.2707,1.2714,1.2697,1.2711,2140.3
105,105,1688175900000,1.2705,1.2717,1.2682,1.2708,11066.5
106,106,1688175960000,1.271,1.271,1.2702,1.2703,1431.1
107,107,1688176020000,1.2705,1.2731,1.2705,1.2726,5891.9
108,108,1688176080000,1.2728,1.2744,1.2728,1.2736,3614.0
109,109,1688176140000,1.2735,1.2745,1.2725,1.2745,4302.3
110,110,1688176200000,1.2746,1.275,1.2737,1.2738,3663.0
111,111,1688176260000,1.2744,1.2746,1.273,1.2733,1591.6
112,112,1688176320000,1.2736,1.275,1.2736,1.275,1126.6
113,113,1688176380000,1.275,1.2756,1.2732,1.2739,2586.8
114,114,1688176440000,1.274,1.2759,1.274,1.2755,1441.6
115,115,1688176500000,1.2755,1.2771,1.2735,1.2767,11995.2
116,116,1688176560000,1.2768,1.277,1.2755,1.2768,3069.5
117,117,1688176620000,1.2769,1.2775,1.2744,1.2744,7022.1
118,118,1688176680000,1.2744,1.2754,1.2738,1.275,3288.2
119,119,1688176740000,1.2751,1.2762,1.2751,1.2761,1090.1
120,120,1688176800000,1.276,1.2797,1.276,1.2788,9682.8
121,121,1688176860000,1.2787,1.2789,1.2741,1.2741,16014.0
122,122,1688176920000,1.2743,1.2752,1.2743,1.2745,1863.0
123,123,1688176980000,1.2744,1.2744,1.2715,1.272,12346.7
124,124,1688177040000,1.272,1.2724,1.2708,1.2711,6772.0
125,125,1688177100000,1.2709,1.2721,1.2696,1.2721,13255.2
126,126,1688177160000,1.2715,1.2715,1.2659,1.2659,9983.0
