,index,timestamp,open,high,low,close,volume
0,0,1694563200000,0.9788,0.9796,0.9781,0.9794,16627.6
1,1,1694563260000,0.9793,0.9796,0.9768,0.9768,5489.6
2,2,1694563320000,0.9765,0.977,0.9759,0.9761,4651.7
3,3,1694563380000,0.976,0.9763,0.975,0.9752,10435.6
4,4,1694563440000,0.9753,0.9753,0.9733,0.9733,26106.1
5,5,1694563500000,0.9734,0.9751,0.9733,0.9745,8430.5
6,6,1694563560000,0.9745,0.9752,0.9743,0.9749,8467.9
7,7,1694563620000,0.9748,0.9762,0.9745,0.9759,5986.0
8,8,1694563680000,0.9756,0.976,0.9753,0.9759,1335.0
9,9,1694563740000,0.9761,0.9764,0.9754,0.9764,8367.0
10,10,1694563800000,0.9765,0.977,0.9764,0.977,11544.2
11,11,1694563860000,0.9771,0.98,0.9771,0.9798,7003.3
12,12,1694563920000,0.9797,0.9797,0.9784,0.9784,5906.3
13,13,1694563980000,0.9784,0.9785,0.9777,0.978,6903.1
14,14,1694564040000,0.9778,0.9778,0.976,0.9763,8282.2
15,15,1694564100000,0.9763,0.9775,0.9763,0.9775,2271.7
16,16,1694564160000,0.9775,0.9793,0.9775,0.9789,3652.9
17,17,1694564220000,0.9786,0.9798,0.978,0.9794,5583.4
18,18,1694564280000,0.9793,0.9793,0.9781,0.9781,780.6
19,19,1694564340000,0.978,0.9787,0.978,0.9786,2968.6
20,20,1694564400000,0.9788,0.9794,0.978,0.978,2664.6
21,21,1694564460000,0.9783,0.9793,0.978,0.9793,1507.6
22,22,1694564520000,0.9797,0.9799,0.9796,0.9798,678.7
23,23,1694564580000,0.9797,0.98,0.9795,0.9799,2510.5
24,24,1694564640000,0.9799,0.9817,0.9797,0.9817,6902.5
25,25,1694564700000,0.9815,0.9815,0.9798,0.9807,4052.5
26,26,1694564760000,0.9807,0.9813,0.9802,0.9809,4595.5
27,27,1694564820000,0.9807,0.9807,0.9797,0.9801,1956.6
28,28,1694564880000,0.9806,0.9806,0.9802,0.9802,291.1
29,29,1694564940000,0.98,0.981,0.9798,0.9807,2616.8
30,30,1694565000000,0.9808,0.9815,0.9804,0.9811,3551.6
31,31,1694565060000,0.9806,0.9807,0.9791,0.9793,4284.1
32,32,1694565120000,0.9794,0.9802,0.9793,0.9801,3013.8
33,33,1694565180000,0.9799,0.9799,0.9793,0.9793,462.2
34,34,1694565240000,0.9793,0.98,0.9793,0.9797,1365.3
35,35,1694565300000,0.9794,0.982,0.9794,0.982,3937.8
36,36,1694565360000,0.982,0.982,0.9801,0.9804,2056.4
37,37,1694565420000,0.9805,0.9824,0.9805,0.9822,5412.7
38,38,1694565480000,0.9821,0.9829,0.9821,0.9829,1734.0
39,39,1694565540000,0.983,0.9834,0.9829,0.9829,1857.2
40,40,1694565600000,0.9829,0.9838,0.9829,0.9837,2369.7
41,41,1694565660000,0.9837,0.9853,0.9833,0.9852,7060.3
42,42,1694565720000,0.9852,0.9861,0.984,0.9845,5393.5
43,43,1694565780000,0.9847,0.9847,0.9833,0.9835,2739.6
44,44,1694565840000,0.9839,0.9841,0.983,0.9838,1125.2
45,45,1694565900000,0.9835,0.9835,0.9826,0.9832,4372.6
46,46,1694565960000,0.983,0.9833,0.9828,0.9828,1883.1
47,47,1694566020000,0.9828,0.9828,0.9817,0.982,1339.6
48,48,1694566080000,0.9821,0.9825,0.9818,0.9821,1787.1
49,49,1694566140000,0.982,0.9834,0.982,0.983,3704.5
50,50,1694566200000,0.983,0.9832,0.9823,0.9831,5976.2
51,51,1694566260000,0.983,0.985,0.983,0.9849,13285.8
52,52,1694566320000,0.9849,0.9854,0.9842,0.9853,2030.7
53,53,1694566380000,0.9852,0.9855,0.9849,0.9853,7209.0
54,54,1694566440000,0.9854,0.9854,0.9847,0.9853,1026.4
55,55,1694566500000,0.9854,0.9859,0.9847,0.9858,2081.2
56,56,1694566560000,0.9859,0.9859,0.9856,0.9858,837.1
57,57,1694566620000,0.9858,0.9858,0.9851,0.9856,843.6
58,58,1694566680000,0.9856,0.9856,0.9851,0.9851,371.8
59,59,1694566740000,0.9849,0.985,0.9846,0.9846,833.4
60,60,1694566800000,0.9846,0.9861,0.9841,0.9847,5855.8
61,61,1694566860000,0.9849,0.9849,0.9821,0.983,7910.4
62,62,1694566920000,0.983,0.983,0.9816,0.9825,1262.3
63,63,1694566980000,0.9826,0.983,0.9825,0.983,879.7
64,64,1694567040000,0.9831,0.9835,0.9831,0.9835,662.9
65,65,1694567100000,0.9833,0.9841,0.9833,0.9838,3258.3
66,66,1694567160000,0.9836,0.9836,0.9834,0.9834,784.8
67,67,1694567220000,0.9835,0.9835,0.9832,0.9834,1393.5
68,68,1694567280000,0.9834,0.9834,0.9828,0.9834,6602.5
69,69,1694567340000,0.9834,0.9834,0.9831,0.9831,660.0
70,70,1694567400000,0.9829,0.9832,0.9829,0.9832,1211.2
71,71,1694567460000,0.9832,0.9836,0.9832,0.9833,1558.3
72,72,1694567520000,0.9833,0.9842,0.9833,0.9842,882.7
73,73,1694567580000,0.9846,0.986,0.9846,0.9859,2976.0
74,74,1694567640000,0.9859,0.986,0.9849,0.9849,1462.2
75,75,1694567700000,0.985,0.985,0.9841,0.9843,1944.5
76,76,1694567760000,0.9843,0.9857,0.9843,0.9854,1267.2
77,77,1694567820000,0.9855,0.9861,0.9854,0.986,372.1
78,78,1694567880000,0.9861,0.9868,0.9861,0.9868,2565.6
79,79,1694567940000,0.9867,0.9867,0.9862,0.9866,1457.8
80,80,1694568000000,0.9865,0.9871,0.9865,0.987,1013.9
81,81,1694568060000,0.987,0.9872,0.987,0.9871,1010.8
82,82,1694568120000,0.9871,0.9871,0.9867,0.9867,908.0
83,83,1694568180000,0.9867,0.9868,0.986,0.986,4006.8
84,84,1694568240000,0.9859,0.986,0.9856,0.986,740.5
85,85,1694568300000,0.986,0.986,0.9846,0.9847,654.1
86,86,1694568360000,0.9847,0.9847,0.9829,0.9832,5602.9
87,87,1694568420000,0.9832,0.9832,0.9815,0.9816,3814.8
