,index,timestamp,open,high,low,close,volume
0,0,1690848000000,0.2055,0.2056,0.2054,0.2055,193973.0
1,1,1690848060000,0.2055,0.2055,0.2053,0.2053,55306.0
2,2,1690848120000,0.2053,0.2055,0.2053,0.2055,34492.2
3,3,1690848180000,0.2054,0.2055,0.2054,0.2054,8429.0
4,4,1690848240000,0.2054,0.2054,0.2048,0.2048,127135.3
5,5,1690848300000,0.2049,0.2049,0.2041,0.2042,183560.8
6,6,1690848360000,0.2043,0.2044,0.2042,0.2043,33318.3
7,7,1690848420000,0.2042,0.2043,0.204,0.204,23063.1
8,8,1690848480000,0.204,0.2041,0.204,0.204,9306.8
9,9,1690848540000,0.2041,0.2042,0.2039,0.204,200419.2
10,10,1690848600000,0.2041,0.2043,0.2041,0.2042,64515.3
11,11,1690848660000,0.2042,0.2043,0.204,0.2041,17917.3
12,12,1690848720000,0.2041,0.2041,0.204,0.204,18682.0
13,13,1690848780000,0.2041,0.2042,0.204,0.204,58004.7
14,14,1690848840000,0.204,0.2041,0.204,0.2041,42573.5
15,15,1690848900000,0.2041,0.2042,0.2039,0.204,73536.4
16,16,1690848960000,0.2041,0.2042,0.2038,0.204,122521.9
17,17,1690849020000,0.204,0.2042,0.204,0.2041,133191.9
18,18,1690849080000,0.204,0.2042,0.204,0.2041,42231.0
19,19,1690849140000,0.2041,0.2043,0.204,0.2042,92180.1
20,20,1690849200000,0.2042,0.2043,0.2041,0.2042,41095.3
21,21,1690849260000,0.2043,0.2047,0.2043,0.2045,231889.7
22,22,1690849320000,0.2045,0.2045,0.2044,0.2044,5394.0
23,23,1690849380000,0.2044,0.2045,0.2044,0.2045,25765.2
24,24,1690849440000,0.2044,0.2044,0.2042,0.2042,46504.4
25,25,1690849500000,0.2042,0.2043,0.204,0.2041,103782.1
26,26,1690849560000,0.2041,0.2042,0.2041,0.2042,26441.3
27,27,1690849620000,0.2042,0.2042,0.2041,0.2041,22820.8
28,28,1690849680000,0.2041,0.2041,0.2038,0.2039,40177.9
29,29,1690849740000,0.204,0.204,0.2039,0.204,15504.8
30,30,1690849800000,0.204,0.2041,0.2039,0.2041,38088.7
31,31,1690849860000,0.2041,0.2044,0.2041,0.2044,16916.3
32,32,1690849920000,0.2043,0.2045,0.2043,0.2045,70284.8
33,33,1690849980000,0.2044,0.2045,0.2043,0.2044,49392.2
34,34,1690850040000,0.2044,0.2045,0.2043,0.2043,32459.2
35,35,1690850100000,0.2044,0.2045,0.2044,0.2045,11017.9
36,36,1690850160000,0.2045,0.2045,0.2043,0.2043,24457.8
37,37,1690850220000,0.2044,0.2044,0.2043,0.2043,1192.0
38,38,1690850280000,0.2043,0.2044,0.2043,0.2044,29399.6
39,39,1690850340000,0.2045,0.2046,0.2044,0.2046,5204.6
40,40,1690850400000,0.2046,0.2046,0.2045,0.2046,14617.7
41,41,1690850460000,0.2046,0.2047,0.2045,0.2047,5865.3
42,42,1690850520000,0.2047,0.2047,0.2047,0.2047,1018.9
