,index,timestamp,open,high,low,close,volume
0,0,1693958400000,0.1682,0.1684,0.1681,0.1681,114309.0
1,1,1693958460000,0.1681,0.1681,0.168,0.168,37042.2
2,2,1693958520000,0.168,0.1682,0.168,0.1681,24158.2
3,3,1693958580000,0.1682,0.1694,0.1681,0.1687,659685.1
4,4,1693958640000,0.1687,0.1687,0.1686,0.1686,48590.9
5,5,1693958700000,0.1687,0.1688,0.1686,0.1686,37687.6
6,6,1693958760000,0.1687,0.1688,0.1686,0.1686,25398.6
7,7,1693958820000,0.1687,0.1687,0.1686,0.1687,59733.9
8,8,1693958880000,0.1687,0.1689,0.1686,0.1689,55369.2
9,9,1693958940000,0.1689,0.1691,0.1689,0.1691,119827.4
10,10,1693959000000,0.169,0.1693,0.169,0.1692,46437.4
11,11,1693959060000,0.1693,0.1695,0.1693,0.1694,40917.3
12,12,1693959120000,0.1694,0.1695,0.1694,0.1694,5110.3
13,13,1693959180000,0.1695,0.1695,0.1693,0.1693,45768.8
14,14,1693959240000,0.1693,0.1694,0.1693,0.1693,22425.1
15,15,1693959300000,0.1693,0.1693,0.1691,0.1691,56915.7
16,16,1693959360000,0.1691,0.1692,0.1691,0.1691,5027.0
17,17,1693959420000,0.1692,0.1692,0.1691,0.1692,2358.6
18,18,1693959480000,0.1691,0.1691,0.169,0.1691,36292.1
19,19,1693959540000,0.1691,0.1691,0.169,0.169,31615.6
20,20,1693959600000,0.1689,0.1689,0.1689,0.1689,516.2
21,21,1693959660000,0.169,0.169,0.1689,0.1689,43000.2
22,22,1693959720000,0.1689,0.169,0.1689,0.1689,3575.2
23,23,1693959780000,0.169,0.169,0.1689,0.169,3172.6
24,24,1693959840000,0.1689,0.169,0.1689,0.169,4988.4
25,25,1693959900000,0.169,0.1691,0.1688,0.1689,137146.6
26,26,1693959960000,0.1688,0.1689,0.1685,0.1686,42484.6
27,27,1693960020000,0.1686,0.1687,0.1686,0.1686,19717.3
28,28,1693960080000,0.1686,0.1686,0.1685,0.1685,26886.9
29,29,1693960140000,0.1684,0.1686,0.1684,0.1685,62166.0
30,30,1693960200000,0.1685,0.1687,0.1685,0.1685,28006.5
31,31,1693960260000,0.1686,0.1687,0.1685,0.1685,40242.2
32,32,1693960320000,0.1685,0.1686,0.1681,0.1681,71757.0
33,33,1693960380000,0.1681,0.1683,0.1681,0.1683,32628.6
34,34,1693960440000,0.1684,0.1686,0.1684,0.1685,37829.3
35,35,1693960500000,0.1685,0.1687,0.1685,0.1686,20646.3
36,36,1693960560000,0.1686,0.1688,0.1686,0.1688,15225.4
37,37,1693960620000,0.1687,0.1689,0.1687,0.1688,56410.9
38,38,1693960680000,0.1688,0.1688,0.1687,0.1687,14607.3
39,39,1693960740000,0.1687,0.1688,0.1687,0.1688,7025.7
40,40,1693960800000,0.1687,0.1688,0.1687,0.1688,12018.6
41,41,1693960860000,0.1688,0.1689,0.1688,0.1689,17572.6
42,42,1693960920000,0.169,0.169,0.169,0.169,15652.2
43,43,1693960980000,0.169,0.1692,0.169,0.1691,27109.2
44,44,1693961040000,0.1691,0.1692,0.1689,0.1689,32788.3
45,45,1693961100000,0.169,0.1692,0.169,0.1692,52873.5
46,46,1693961160000,0.1693,0.1693,0.1692,0.1692,7025.4
47,47,1693961220000,0.1692,0.1693,0.1692,0.1692,2732.5
48,48,1693961280000,0.1692,0.1692,0.1691,0.1691,25656.8
49,49,1693961340000,0.1691,0.1692,0.1691,0.1692,6860.0
50,50,1693961400000,0.1691,0.1691,0.1689,0.1691,78517.3
51,51,1693961460000,0.169,0.1691,0.1689,0.1689,21674.8
52,52,1693961520000,0.1689,0.1689,0.1687,0.1687,6774.4
53,53,1693961580000,0.1687,0.1688,0.1687,0.1688,9976.8
54,54,1693961640000,0.1687,0.1688,0.1686,0.1688,32764.2
55,55,1693961700000,0.1688,0.1689,0.1688,0.1688,10534.6
56,56,1693961760000,0.1688,0.1689,0.1687,0.1688,24857.7
57,57,1693961820000,0.1689,0.1691,0.1689,0.1691,29056.8
58,58,1693961880000,0.1691,0.1691,0.169,0.169,14750.0
59,59,1693961940000,0.1691,0.1691,0.169,0.1691,15083.8
60,60,1693962000000,0.1692,0.1692,0.1689,0.1689,32623.2
61,61,1693962060000,0.1689,0.1691,0.1688,0.1691,20341.3
62,62,1693962120000,0.169,0.169,0.1689,0.1689,12559.5
63,63,1693962180000,0.1689,0.169,0.1689,0.1689,12330.4
64,64,1693962240000,0.169,0.169,0.1688,0.1689,15272.4
65,65,1693962300000,0.1689,0.1692,0.1689,0.1692,8208.3
66,66,1693962360000,0.1692,0.1692,0.1692,0.1692,13385.5
67,67,1693962420000,0.1693,0.1696,0.1693,0.1695,29175.1
68,68,1693962480000,0.1696,0.1698,0.1695,0.1698,34180.5
69,69,1693962540000,0.1697,0.1697,0.1697,0.1697,34313.3
70,70,1693962600000,0.1698,0.1701,0.1697,0.1699,75032.8
71,71,1693962660000,0.17,0.17,0.1696,0.1699,36803.3
72,72,1693962720000,0.17,0.1701,0.1698,0.1698,40721.8
73,73,1693962780000,0.1698,0.17,0.1698,0.17,4840.0
74,74,1693962840000,0.17,0.17,0.1699,0.1699,6909.8
75,75,1693962900000,0.17,0.17,0.1698,0.1698,27930.7
76,76,1693962960000,0.1698,0.1698,0.1696,0.1697,28920.7
77,77,1693963020000,0.1697,0.1697,0.1695,0.1696,36884.3
78,78,1693963080000,0.1696,0.1697,0.1695,0.1696,22142.6
79,79,1693963140000,0.1697,0.1698,0.1696,0.1698,21105.5
80,80,1693963200000,0.1699,0.1699,0.1698,0.1698,25717.0
81,81,1693963260000,0.1699,0.17,0.1698,0.1698,16707.0
82,82,1693963320000,0.1699,0.1699,0.1697,0.1698,22991.7
83,83,1693963380000,0.1698,0.1699,0.1698,0.1699,4001.1
84,84,1693963440000,0.1698,0.1699,0.1698,0.1699,24714.7
85,85,1693963500000,0.17,0.1701,0.1699,0.1699,40921.0
86,86,1693963560000,0.1699,0.1699,0.1698,0.1698,8930.8
87,87,1693963620000,0.1698,0.17,0.1698,0.1698,30958.3
88,88,1693963680000,0.1698,0.1699,0.1698,0.1698,5280.5
89,89,1693963740000,0.1697,0.1698,0.1697,0.1698,11723.8
90,90,1693963800000,0.1697,0.1698,0.1697,0.1698,4777.8
91,91,1693963860000,0.1697,0.1698,0.1697,0.1698,7955.9
92,92,1693963920000,0.1698,0.1698,0.1696,0.1697,7084.4
93,93,1693963980000,0.1696,0.1696,0.1695,0.1695,4579.7
94,94,1693964040000,0.1695,0.1697,0.1695,0.1696,14427.6
95,95,1693964100000,0.1697,0.1698,0.1697,0.1697,5961.2
