,index,timestamp,open,high,low,close,volume
0,0,1688169600000,304.01,305.57,303.85,305.08,11570.534
1,1,1688169660000,305.08,305.11,304.32,304.38,6248.493
2,2,1688169720000,304.38,306.66,304.37,306.49,9293.794
3,3,1688169780000,306.5,308.35,306.5,306.84,16860.39
4,4,1688169840000,306.83,307.65,306.68,307.14,7130.992
5,5,1688169900000,307.16,307.28,304.97,305.08,11850.623
6,6,1688169960000,305.08,305.4,304.31,304.52,8610.758
7,7,1688170020000,304.53,307.0,304.43,306.83,8341.613
8,8,1688170080000,306.81,307.1,306.27,306.61,7124.958
9,9,1688170140000,306.61,307.35,306.4,306.54,5602.374
10,10,1688170200000,306.55,306.71,304.63,305.29,14300.7
11,11,1688170260000,305.3,305.43,304.12,304.79,12024.204
12,12,1688170320000,304.79,305.32,302.86,303.42,11428.713
13,13,1688170380000,303.42,303.42,298.58,299.73,44359.799
14,14,1688170440000,299.72,300.64,299.18,300.53,21703.046
15,15,1688170500000,300.53,302.77,300.04,302.68,17274.463
16,16,1688170560000,302.68,303.86,301.93,303.2,15998.141
17,17,1688170620000,303.2,303.69,302.62,303.37,8469.219
18,18,1688170680000,303.37,303.53,302.4,302.44,6573.868
19,19,1688170740000,302.44,303.69,302.4,303.57,6713.304
20,20,1688170800000,303.58,304.47,303.37,303.61,7839.941
21,21,1688170860000,303.6,304.98,303.29,304.68,6468.255
22,22,1688170920000,304.7,306.13,304.23,305.92,10527.096
23,23,1688170980000,305.92,308.58,305.83,307.8,22935.165
24,24,1688171040000,307.79,309.78,307.66,308.66,20251.341
25,25,1688171100000,308.66,308.71,307.1,307.76,10719.157
26,26,1688171160000,307.76,308.38,306.32,307.96,11689.003
27,27,1688171220000,307.96,309.4,307.92,308.38,10865.371
28,28,1688171280000,308.38,308.99,307.92,307.99,6068.973
29,29,1688171340000,308.0,308.33,307.0,307.14,7617.084
30,30,1688171400000,307.15,307.84,307.02,307.37,5107.255
31,31,1688171460000,307.37,307.53,306.21,306.43,6111.192
32,32,1688171520000,306.43,306.68,306.01,306.26,5153.116
33,33,1688171580000,306.26,307.78,306.22,307.11,6321.366
34,34,1688171640000,307.12,307.56,305.64,305.93,9063.915
35,35,1688171700000,305.94,306.47,305.72,306.09,5275.44
36,36,1688171760000,306.1,306.23,305.45,305.48,3103.415
37,37,1688171820000,305.49,305.72,304.31,304.66,10189.372
38,38,1688171880000,304.66,306.92,304.24,306.59,7629.606
39,39,1688171940000,306.59,306.88,306.32,306.71,5931.596
40,40,1688172000000,306.71,306.71,305.83,305.83,3725.565
