,index,timestamp,open,high,low,close,volume
0,0,1694736000000,207.71,207.9,207.64,207.8,1176.071
1,1,1694736060000,207.79,207.79,207.55,207.65,951.452
2,2,1694736120000,207.64,207.7,207.09,207.1,3630.284
3,3,1694736180000,207.11,207.16,207.02,207.15,886.31
4,4,1694736240000,207.16,207.39,207.14,207.29,1017.122
5,5,1694736300000,207.3,207.34,207.15,207.17,597.055
6,6,1694736360000,207.17,207.28,207.07,207.08,1090.002
7,7,1694736420000,207.09,207.22,207.09,207.21,887.832
8,8,1694736480000,207.21,207.26,207.17,207.19,405.879
9,9,1694736540000,207.19,207.26,207.1,207.1,520.62
10,10,1694736600000,207.1,207.15,207.0,207.0,820.341
11,11,1694736660000,207.0,207.04,206.89,206.92,1178.394
12,12,1694736720000,206.93,207.0,206.78,206.83,718.284
13,13,1694736780000,206.83,206.95,206.74,206.85,786.289
14,14,1694736840000,206.85,206.96,206.65,206.66,1370.1
15,15,1694736900000,206.65,206.98,206.59,206.92,1576.709
16,16,1694736960000,206.94,206.94,206.78,206.78,970.515
17,17,1694737020000,206.78,206.86,206.66,206.86,459.688
18,18,1694737080000,206.86,206.9,206.61,206.64,647.281
19,19,1694737140000,206.63,206.64,206.43,206.55,1204.589
20,20,1694737200000,206.55,206.71,206.52,206.52,891.774
21,21,1694737260000,206.53,206.54,205.76,206.17,5582.434
22,22,1694737320000,206.18,206.41,206.09,206.36,1721.357
23,23,1694737380000,206.36,206.44,206.32,206.36,355.95
24,24,1694737440000,206.37,206.56,206.37,206.51,1065.328
25,25,1694737500000,206.5,206.67,206.5,206.57,968.813
26,26,1694737560000,206.58,206.64,206.38,206.45,840.339
27,27,1694737620000,206.44,206.51,206.33,206.33,326.898
28,28,1694737680000,206.33,206.61,206.33,206.61,642.096
29,29,1694737740000,206.62,206.94,206.62,206.93,1620.233
30,30,1694737800000,206.93,207.59,206.93,207.55,2379.624
31,31,1694737860000,207.55,207.64,207.35,207.41,1971.324
32,32,1694737920000,207.4,207.55,207.28,207.55,488.427
33,33,1694737980000,207.55,207.71,207.3,207.32,1167.601
34,34,1694738040000,207.33,207.34,206.99,207.22,2502.463
35,35,1694738100000,207.22,207.48,207.06,207.08,1651.225
36,36,1694738160000,207.09,207.41,207.04,207.37,635.123
37,37,1694738220000,207.36,207.47,207.08,207.09,1181.491
38,38,1694738280000,207.09,207.16,207.06,207.09,228.04
39,39,1694738340000,207.09,207.26,207.0,207.1,720.667
40,40,1694738400000,207.1,207.17,206.98,207.01,595.156
41,41,1694738460000,207.02,207.3,206.92,207.21,1218.993
42,42,1694738520000,207.21,207.26,207.07,207.09,315.473
43,43,1694738580000,207.09,207.18,207.09,207.15,367.646
44,44,1694738640000,207.15,207.3,207.15,207.22,359.78
45,45,1694738700000,207.22,207.76,207.15,207.75,1596.269
46,46,1694738760000,207.75,207.76,207.53,207.65,1527.43
47,47,1694738820000,207.65,207.79,207.54,207.72,1072.604
48,48,1694738880000,207.73,208.13,207.73,208.06,3057.01
49,49,1694738940000,208.07,208.31,207.96,207.96,2421.414
50,50,1694739000000,207.95,207.95,207.74,207.83,840.961
51,51,1694739060000,207.83,208.01,207.63,207.75,1185.189
52,52,1694739120000,207.74,207.92,207.65,207.75,557.957
53,53,1694739180000,207.75,207.81,207.65,207.8,454.256
54,54,1694739240000,207.8,207.8,207.75,207.75,267.271
55,55,1694739300000,207.76,207.84,207.71,207.84,425.456
56,56,1694739360000,207.83,207.96,207.78,207.81,422.18
57,57,1694739420000,207.82,207.9,207.41,207.42,1497.93
58,58,1694739480000,207.41,207.43,206.79,206.89,4944.229
59,59,1694739540000,206.89,207.0,206.8,206.98,1110.869
60,60,1694739600000,206.98,207.26,206.9,207.26,935.934
61,61,1694739660000,207.25,207.33,207.12,207.3,601.095
62,62,1694739720000,207.3,207.35,207.18,207.24,458.432
63,63,1694739780000,207.24,207.28,206.98,207.23,819.809
64,64,1694739840000,207.23,207.23,206.8,206.82,547.638
65,65,1694739900000,206.83,206.86,206.63,206.67,904.118
66,66,1694739960000,206.67,206.77,206.38,206.44,1470.827
67,67,1694740020000,206.45,206.79,206.24,206.78,4608.565
68,68,1694740080000,206.78,207.03,206.76,206.97,1293.129
69,69,1694740140000,206.97,207.29,206.97,207.29,804.98
70,70,1694740200000,207.29,207.44,207.09,207.11,1580.356
71,71,1694740260000,207.11,207.11,206.93,207.03,523.382
72,72,1694740320000,207.02,207.44,207.0,207.02,1518.475
73,73,1694740380000,207.03,207.11,206.98,206.99,316.304
74,74,1694740440000,206.98,206.99,206.73,206.88,571.626
75,75,1694740500000,206.89,206.89,206.57,206.64,432.953
76,76,1694740560000,206.64,207.08,206.61,206.97,3459.203
77,77,1694740620000,206.96,206.96,206.66,206.75,1359.099
78,78,1694740680000,206.74,206.97,206.74,206.96,645.333
79,79,1694740740000,206.96,207.07,206.9,207.03,251.131
80,80,1694740800000,207.04,207.08,206.93,207.06,384.824
81,81,1694740860000,207.06,207.4,207.06,207.39,969.347
82,82,1694740920000,207.39,207.54,207.35,207.5,823.894
83,83,1694740980000,207.49,207.63,207.45,207.61,1202.002
84,84,1694741040000,207.61,207.76,207.55,207.65,1990.708
85,85,1694741100000,207.65,207.95,207.56,207.85,1317.665
86,86,1694741160000,207.86,208.0,207.77,207.93,1367.066
87,87,1694741220000,207.94,208.18,207.89,207.89,1639.734
88,88,1694741280000,207.89,208.14,207.89,208.1,471.652
89,89,1694741340000,208.1,208.14,208.0,208.14,515.444
90,90,1694741400000,208.14,208.27,208.11,208.18,1249.855
91,91,1694741460000,208.18,208.5,208.18,208.4,2230.11
92,92,1694741520000,208.39,208.4,208.04,208.18,1178.436
93,93,1694741580000,208.19,208.19,208.04,208.08,452.619
94,94,1694741640000,208.07,208.09,207.8,207.82,1511.687
95,95,1694741700000,207.81,208.0,207.75,208.0,747.509
96,96,1694741760000,208.0,208.08,208.0,208.0,486.698
97,97,1694741820000,208.01,208.45,207.96,208.39,2275.949
98,98,1694741880000,208.4,208.6,208.34,208.55,1022.245
99,99,1694741940000,208.54,208.56,208.38,208.46,1106.52
100,100,1694742000000,208.45,208.69,208.45,208.66,1264.926
101,101,1694742060000,208.67,209.1,208.67,209.06,5571.075
102,102,1694742120000,209.06,209.15,208.98,209.04,1829.98
103,103,1694742180000,209.04,209.1,208.93,209.03,1935.186
104,104,1694742240000,209.04,209.1,208.68,208.93,1170.348
105,105,1694742300000,208.93,209.03,208.83,208.99,931.385
106,106,1694742360000,209.0,209.05,208.91,208.99,892.561
107,107,1694742420000,209.0,209.02,208.69,208.69,1186.593
108,108,1694742480000,208.69,208.76,208.48,208.55,1891.995
109,109,1694742540000,208.55,208.71,208.44,208.52,1651.706
110,110,1694742600000,208.51,208.82,208.48,208.5,765.281
