,index,timestamp,open,high,low,close,volume
0,0,1690848000000,0.6725,0.6727,0.6716,0.6716,32964
1,1,1690848060000,0.6716,0.6719,0.6713,0.6718,21125
2,2,1690848120000,0.6717,0.6725,0.6717,0.6725,23389
3,3,1690848180000,0.6724,0.6724,0.6722,0.6723,2143
4,4,1690848240000,0.6722,0.6724,0.672,0.6724,13503
5,5,1690848300000,0.6724,0.6724,0.6698,0.6705,68229
6,6,1690848360000,0.6705,0.6707,0.6703,0.6704,31180
7,7,1690848420000,0.6705,0.6707,0.6702,0.6704,8664
8,8,1690848480000,0.6703,0.6711,0.6703,0.6709,10815
9,9,1690848540000,0.671,0.6718,0.671,0.6718,18136
10,10,1690848600000,0.6718,0.6736,0.6718,0.6731,62788
11,11,1690848660000,0.6733,0.6735,0.6728,0.673,38364
12,12,1690848720000,0.673,0.673,0.6726,0.6728,16044
13,13,1690848780000,0.6727,0.6731,0.6726,0.6731,13540
14,14,1690848840000,0.673,0.6731,0.6728,0.6729,7549
15,15,1690848900000,0.673,0.6731,0.6729,0.673,3472
16,16,1690848960000,0.6731,0.6736,0.6731,0.6736,34498
17,17,1690849020000,0.6736,0.6737,0.6735,0.6736,5045
18,18,1690849080000,0.6735,0.6736,0.6727,0.6727,14835
19,19,1690849140000,0.6726,0.6731,0.6721,0.6731,22100
20,20,1690849200000,0.6731,0.6742,0.673,0.6741,40361
21,21,1690849260000,0.6741,0.675,0.6741,0.6747,30365
22,22,1690849320000,0.6748,0.6748,0.6742,0.6744,11769
23,23,1690849380000,0.6744,0.6746,0.6742,0.6743,9700
24,24,1690849440000,0.6742,0.6742,0.6734,0.6738,23467
25,25,1690849500000,0.6737,0.6742,0.6731,0.6732,20717
26,26,1690849560000,0.6732,0.6737,0.6731,0.6731,51025
27,27,1690849620000,0.6731,0.6735,0.673,0.6731,11908
28,28,1690849680000,0.673,0.6732,0.6727,0.6732,54186
29,29,1690849740000,0.6732,0.6738,0.6732,0.6738,16884
30,30,1690849800000,0.6738,0.675,0.6735,0.675,28925
