,index,timestamp,open,high,low,close,volume
0,0,1694217600000,5.986,5.991,5.986,5.987,458.2
1,1,1694217660000,5.986,5.988,5.986,5.988,40.2
2,2,1694217720000,5.989,5.99,5.987,5.99,44.1
3,3,1694217780000,5.99,5.99,5.99,5.99,0.0
4,4,1694217840000,5.99,5.99,5.988,5.988,25.7
5,5,1694217900000,5.988,5.988,5.988,5.988,0.1
6,6,1694217960000,5.99,5.99,5.985,5.986,380.9
7,7,1694218020000,5.987,5.987,5.983,5.983,6.5
8,8,1694218080000,5.984,5.984,5.983,5.983,35.7
9,9,1694218140000,5.982,5.982,5.982,5.982,21.0
10,10,1694218200000,5.98,5.98,5.98,5.98,15.6
11,11,1694218260000,5.98,5.98,5.98,5.98,0.0
12,12,1694218320000,5.98,5.981,5.979,5.98,27.5
13,13,1694218380000,5.98,5.98,5.98,5.98,0.0
14,14,1694218440000,5.98,5.98,5.98,5.98,10.1
15,15,1694218500000,5.98,5.981,5.979,5.979,26.8
16,16,1694218560000,5.979,5.979,5.979,5.979,8.7
17,17,1694218620000,5.98,5.98,5.98,5.98,9.4
18,18,1694218680000,5.979,5.979,5.979,5.979,1.1
19,19,1694218740000,5.98,5.98,5.98,5.98,12.7
20,20,1694218800000,5.981,5.982,5.98,5.982,37.7
21,21,1694218860000,5.981,5.981,5.981,5.981,7.7
22,22,1694218920000,5.981,5.981,5.981,5.981,0.0
23,23,1694218980000,5.982,5.983,5.982,5.983,23.9
24,24,1694219040000,5.984,5.984,5.981,5.981,136.7
25,25,1694219100000,5.982,5.984,5.982,5.983,203.6
26,26,1694219160000,5.983,5.983,5.983,5.983,20.2
27,27,1694219220000,5.983,5.983,5.983,5.983,0.0
28,28,1694219280000,5.983,5.983,5.983,5.983,0.0
29,29,1694219340000,5.983,5.983,5.983,5.983,0.0
30,30,1694219400000,5.982,5.982,5.98,5.98,20.0
31,31,1694219460000,5.98,5.98,5.98,5.98,0.0
32,32,1694219520000,5.98,5.981,5.98,5.981,20.0
33,33,1694219580000,5.982,5.982,5.98,5.98,2.9
34,34,1694219640000,5.98,5.98,5.98,5.98,0.0
35,35,1694219700000,5.98,5.98,5.979,5.979,9.5
36,36,1694219760000,5.979,5.979,5.978,5.978,378.3
37,37,1694219820000,5.976,5.976,5.976,5.976,54.0
38,38,1694219880000,5.975,5.975,5.975,5.975,7.9
39,39,1694219940000,5.977,5.978,5.977,5.978,9.5
40,40,1694220000000,5.976,5.976,5.976,5.976,7.4
41,41,1694220060000,5.977,5.979,5.976,5.976,36.6
42,42,1694220120000,5.978,5.979,5.978,5.979,31.5
43,43,1694220180000,5.979,5.979,5.978,5.979,40.3
44,44,1694220240000,5.979,5.979,5.978,5.978,22.8
45,45,1694220300000,5.977,5.977,5.975,5.975,24.8
46,46,1694220360000,5.976,5.977,5.976,5.976,16.5
47,47,1694220420000,5.976,5.976,5.976,5.976,0.0
48,48,1694220480000,5.975,5.975,5.975,5.975,1.8
49,49,1694220540000,5.975,5.976,5.975,5.976,13.4
50,50,1694220600000,5.975,5.975,5.975,5.975,3.6
51,51,1694220660000,5.975,5.975,5.975,5.975,0.0
52,52,1694220720000,5.975,5.975,5.975,5.975,0.0
53,53,1694220780000,5.975,5.975,5.975,5.975,0.0
54,54,1694220840000,5.976,5.977,5.976,5.977,1.8
55,55,1694220900000,5.977,5.977,5.974,5.975,18.1
56,56,1694220960000,5.975,5.975,5.975,5.975,0.0
57,57,1694221020000,5.974,5.974,5.974,5.974,7.2
58,58,1694221080000,5.973,5.974,5.973,5.974,2.7
59,59,1694221140000,5.974,5.975,5.974,5.975,222.0
60,60,1694221200000,5.975,5.976,5.974,5.975,202.8
61,61,1694221260000,5.976,5.976,5.975,5.975,67.1
62,62,1694221320000,5.975,5.975,5.975,5.975,0.0
63,63,1694221380000,5.975,5.975,5.975,5.975,0.0
64,64,1694221440000,5.976,5.976,5.976,5.976,377.2
65,65,1694221500000,5.979,5.979,5.979,5.979,1.1
66,66,1694221560000,5.979,5.979,5.979,5.979,0.0
67,67,1694221620000,5.978,5.979,5.978,5.979,12.4
68,68,1694221680000,5.978,5.978,5.978,5.978,1.4
69,69,1694221740000,5.979,5.979,5.979,5.979,92.2
70,70,1694221800000,5.979,5.98,5.979,5.98,15.7
71,71,1694221860000,5.98,5.98,5.98,5.98,0.0
72,72,1694221920000,5.98,5.98,5.98,5.98,0.0
73,73,1694221980000,5.98,5.98,5.98,5.98,0.0
74,74,1694222040000,5.98,5.98,5.98,5.98,0.0
75,75,1694222100000,5.984,5.984,5.981,5.981,118.6
76,76,1694222160000,5.982,5.982,5.982,5.982,2.7
77,77,1694222220000,5.982,5.982,5.982,5.982,0.0
78,78,1694222280000,5.98,5.98,5.98,5.98,6.3
79,79,1694222340000,5.98,5.98,5.98,5.98,0.9
80,80,1694222400000,5.981,5.981,5.981,5.981,12.4
81,81,1694222460000,5.982,5.982,5.98,5.98,74.1
82,82,1694222520000,5.98,5.98,5.98,5.98,0.0
83,83,1694222580000,5.98,5.98,5.98,5.98,0.0
84,84,1694222640000,5.98,5.98,5.98,5.98,0.0
85,85,1694222700000,5.98,5.98,5.98,5.98,26.6
86,86,1694222760000,5.98,5.981,5.978,5.98,103.5
87,87,1694222820000,5.98,5.98,5.98,5.98,0.0
88,88,1694222880000,5.98,5.98,5.98,5.98,0.0
89,89,1694222940000,5.98,5.98,5.98,5.98,0.0
90,90,1694223000000,5.98,5.98,5.98,5.98,0.0
91,91,1694223060000,5.98,5.98,5.98,5.98,0.0
92,92,1694223120000,5.98,5.98,5.98,5.98,0.0
93,93,1694223180000,5.981,5.981,5.981,5.981,24.2
94,94,1694223240000,5.981,5.981,5.981,5.981,0.0
95,95,1694223300000,5.981,5.981,5.981,5.981,0.0
96,96,1694223360000,5.981,5.981,5.981,5.981,0.0
97,97,1694223420000,5.981,5.981,5.981,5.981,0.0
98,98,1694223480000,5.984,5.984,5.984,5.984,104.3
99,99,1694223540000,5.984,5.984,5.984,5.984,0.0
100,100,1694223600000,5.985,5.985,5.985,5.985,19.3
101,101,1694223660000,5.986,5.986,5.986,5.986,13.1
102,102,1694223720000,5.986,5.986,5.986,5.986,0.0
103,103,1694223780000,5.985,5.985,5.985,5.985,9.9
104,104,1694223840000,5.985,5.985,5.985,5.985,0.0
105,105,1694223900000,5.985,5.986,5.985,5.986,26.8
106,106,1694223960000,5.986,5.986,5.986,5.986,0.0
107,107,1694224020000,5.986,5.986,5.986,5.986,0.0
108,108,1694224080000,5.986,5.986,5.986,5.986,0.0
109,109,1694224140000,5.986,5.986,5.986,5.986,0.0
110,110,1694224200000,5.986,5.986,5.986,5.986,63.9
111,111,1694224260000,5.987,5.987,5.986,5.987,26.7
112,112,1694224320000,5.988,5.988,5.987,5.987,7.2
113,113,1694224380000,5.987,5.987,5.987,5.987,51.8
114,114,1694224440000,5.988,5.988,5.987,5.987,96.0
115,115,1694224500000,5.989,5.989,5.989,5.989,7.0
116,116,1694224560000,5.988,5.988,5.986,5.986,142.9
117,117,1694224620000,5.986,5.987,5.983,5.983,35.4
118,118,1694224680000,5.985,5.985,5.985,5.985,4.2
119,119,1694224740000,5.985,5.987,5.985,5.986,7.8
120,120,1694224800000,5.987,5.992,5.987,5.991,454.9
121,121,1694224860000,5.991,5.992,5.991,5.991,18.5
122,122,1694224920000,5.991,5.991,5.991,5.991,86.4
123,123,1694224980000,5.991,5.992,5.99,5.99,23.2
124,124,1694225040000,5.99,5.991,5.99,5.991,10.9
125,125,1694225100000,5.99,5.99,5.986,5.986,17.3
126,126,1694225160000,5.986,5.986,5.986,5.986,0.0
127,127,1694225220000,5.987,5.987,5.986,5.986,4.7
128,128,1694225280000,5.987,5.987,5.987,5.987,1.1
129,129,1694225340000,5.987,5.987,5.987,5.987,61.8
130,130,1694225400000,5.986,5.987,5.985,5.985,42.2
131,131,1694225460000,5.985,5.985,5.985,5.985,4.4
132,132,1694225520000,5.985,5.985,5.985,5.985,15.4
133,133,1694225580000,5.987,5.987,5.987,5.987,1.6
134,134,1694225640000,5.987,5.987,5.987,5.987,0.0
135,135,1694225700000,5.988,5.988,5.988,5.988,2.6
136,136,1694225760000,5.988,5.988,5.988,5.988,0.0
137,137,1694225820000,5.989,5.989,5.989,5.989,8.6
138,138,1694225880000,5.989,5.989,5.989,5.989,0.0
139,139,1694225940000,5.988,5.988,5.988,5.988,2.7
140,140,1694226000000,5.988,5.988,5.988,5.988,0.0
141,141,1694226060000,5.985,5.985,5.985,5.985,76.7
142,142,1694226120000,5.987,5.989,5.987,5.989,118.3
143,143,1694226180000,5.989,5.989,5.989,5.989,69.0
144,144,1694226240000,5.989,5.989,5.989,5.989,0.0
145,145,1694226300000,5.989,5.99,5.989,5.99,32.5
146,146,1694226360000,5.99,5.99,5.99,5.99,0.0
147,147,1694226420000,5.99,5.99,5.99,5.99,2.7
148,148,1694226480000,5.99,5.99,5.99,5.99,0.0
149,149,1694226540000,5.99,5.99,5.99,5.99,43.2
150,150,1694226600000,5.99,5.99,5.988,5.989,9.4
151,151,1694226660000,5.989,5.989,5.989,5.989,0.0
152,152,1694226720000,5.989,5.989,5.989,5.989,0.0
153,153,1694226780000,5.988,5.988,5.988,5.988,1.2
154,154,1694226840000,5.99,5.99,5.99,5.99,1.0
155,155,1694226900000,5.99,5.99,5.99,5.99,4.1
156,156,1694226960000,5.99,5.99,5.99,5.99,0.0
157,157,1694227020000,5.99,5.99,5.99,5.99,0.0
158,158,1694227080000,5.99,5.99,5.99,5.99,0.0
159,159,1694227140000,5.993,5.994,5.993,5.994,27.3
160,160,1694227200000,5.995,5.995,5.995,5.995,27.5
161,161,1694227260000,5.995,5.995,5.995,5.995,0.0
162,162,1694227320000,5.995,5.995,5.995,5.995,0.0
163,163,1694227380000,5.995,5.995,5.995,5.995,0.0
164,164,1694227440000,5.994,5.994,5.994,5.994,2.5
165,165,1694227500000,5.995,5.996,5.995,5.996,66.0
166,166,1694227560000,5.997,5.997,5.997,5.997,20.0
167,167,1694227620000,5.997,5.997,5.997,5.997,0.0
168,168,1694227680000,5.997,5.997,5.997,5.997,0.0
169,169,1694227740000,5.995,5.995,5.994,5.994,3.5
170,170,1694227800000,5.994,5.994,5.994,5.994,4.3
171,171,1694227860000,5.995,5.995,5.995,5.995,1.8
172,172,1694227920000,5.995,5.995,5.995,5.995,2.7
173,173,1694227980000,5.994,5.994,5.994,5.994,1.1
174,174,1694228040000,5.994,5.994,5.994,5.994,0.0
175,175,1694228100000,5.994,5.994,5.994,5.994,0.0
176,176,1694228160000,5.995,5.995,5.995,5.995,19.6
177,177,1694228220000,5.996,5.996,5.996,5.996,197.7
178,178,1694228280000,5.996,5.996,5.996,5.996,10.5
179,179,1694228340000,5.996,5.997,5.996,5.997,503.1
180,180,1694228400000,5.997,5.997,5.996,5.997,172.6
181,181,1694228460000,5.996,5.997,5.996,5.996,20.3
182,182,1694228520000,5.997,5.997,5.996,5.996,4.6
183,183,1694228580000,5.997,5.997,5.997,5.997,148.7
184,184,1694228640000,5.998,5.998,5.998,5.998,1.8
185,185,1694228700000,5.997,5.997,5.996,5.996,28.8
186,186,1694228760000,5.997,5.998,5.997,5.998,332.2
187,187,1694228820000,5.998,5.998,5.997,5.997,29.2
188,188,1694228880000,5.997,5.997,5.995,5.995,53.1
189,189,1694228940000,5.995,5.995,5.995,5.995,2.9
190,190,1694229000000,5.995,5.995,5.994,5.994,3.8
191,191,1694229060000,5.988,5.988,5.988,5.988,5.4
192,192,1694229120000,5.99,5.991,5.99,5.991,163.6
193,193,1694229180000,5.991,5.991,5.991,5.991,0.0
194,194,1694229240000,5.991,5.991,5.991,5.991,0.0
195,195,1694229300000,5.991,5.991,5.991,5.991,1.0
196,196,1694229360000,5.99,5.991,5.988,5.991,8.9
197,197,1694229420000,5.988,5.988,5.987,5.987,44.7
198,198,1694229480000,5.987,5.987,5.986,5.986,125.8
199,199,1694229540000,5.986,5.986,5.984,5.984,56.0
