,index,timestamp,open,high,low,close,volume
0,0,1693526400000,0.2059,0.2061,0.2055,0.2056,298275
1,1,1693526460000,0.2057,0.2058,0.2054,0.2054,122043
2,2,1693526520000,0.2055,0.206,0.2054,0.2059,293422
3,3,1693526580000,0.2059,0.2059,0.2056,0.2057,126989
4,4,1693526640000,0.2058,0.2062,0.2057,0.2062,205291
5,5,1693526700000,0.2061,0.2063,0.206,0.2063,63700
6,6,1693526760000,0.2062,0.2063,0.2062,0.2063,131758
7,7,1693526820000,0.2063,0.2064,0.2063,0.2064,62594
8,8,1693526880000,0.2065,0.2065,0.2063,0.2063,58828
9,9,1693526940000,0.2064,0.2066,0.2063,0.2065,104536
10,10,1693527000000,0.2064,0.2065,0.2063,0.2064,19556
11,11,1693527060000,0.2063,0.2063,0.2061,0.2062,36471
12,12,1693527120000,0.2062,0.2063,0.2061,0.2062,108828
13,13,1693527180000,0.2061,0.2062,0.2061,0.2061,18457
14,14,1693527240000,0.206,0.2061,0.206,0.2061,48998
15,15,1693527300000,0.2062,0.2062,0.206,0.2061,63713
16,16,1693527360000,0.2061,0.2061,0.2056,0.2057,155394
17,17,1693527420000,0.2058,0.2058,0.2053,0.2055,187439
18,18,1693527480000,0.2056,0.2057,0.2053,0.2053,119498
19,19,1693527540000,0.2053,0.2053,0.2051,0.2051,75255
20,20,1693527600000,0.2052,0.2055,0.2052,0.2054,66081
21,21,1693527660000,0.2054,0.2054,0.2052,0.2052,51989
22,22,1693527720000,0.2052,0.2052,0.2048,0.2048,63747
23,23,1693527780000,0.2049,0.2051,0.2049,0.205,134887
24,24,1693527840000,0.205,0.2053,0.205,0.2053,79126
25,25,1693527900000,0.2053,0.2054,0.205,0.2051,308348
26,26,1693527960000,0.205,0.2054,0.205,0.2054,312305
27,27,1693528020000,0.2054,0.2056,0.2054,0.2056,41849
28,28,1693528080000,0.2055,0.2055,0.2054,0.2054,44158
29,29,1693528140000,0.2055,0.2055,0.2052,0.2052,25439
30,30,1693528200000,0.2053,0.2054,0.2052,0.2052,70526
31,31,1693528260000,0.2052,0.2053,0.2051,0.2053,53412
32,32,1693528320000,0.2053,0.2055,0.2053,0.2055,37411
33,33,1693528380000,0.2055,0.2055,0.2055,0.2055,0
34,34,1693528440000,0.2056,0.2057,0.2055,0.2055,39267
35,35,1693528500000,0.2055,0.2055,0.2052,0.2053,40963
36,36,1693528560000,0.2053,0.2054,0.2053,0.2053,66966
37,37,1693528620000,0.2053,0.2055,0.2053,0.2055,47921
38,38,1693528680000,0.2055,0.2055,0.2054,0.2054,14646
39,39,1693528740000,0.2054,0.2054,0.2054,0.2054,994
40,40,1693528800000,0.2055,0.2056,0.2054,0.2056,115908
41,41,1693528860000,0.2055,0.2058,0.2055,0.2056,93749
42,42,1693528920000,0.2056,0.2057,0.2055,0.2056,52657
43,43,1693528980000,0.2056,0.2056,0.2056,0.2056,4639
