,index,timestamp,open,high,low,close,volume
0,0,1694390400000,212.35,212.37,212.35,212.37,12.32
1,1,1694390460000,212.36,212.36,212.3,212.31,34.81
2,2,1694390520000,212.3,212.3,212.24,212.24,49.89
3,3,1694390580000,212.25,212.25,212.25,212.25,9.44
4,4,1694390640000,212.25,212.25,212.25,212.25,0.0
5,5,1694390700000,212.24,212.24,212.24,212.24,0.03
6,6,1694390760000,212.25,212.32,212.25,212.32,32.96
7,7,1694390820000,212.32,212.32,212.32,212.32,0.0
8,8,1694390880000,212.32,212.38,212.32,212.38,18.09
9,9,1694390940000,212.39,212.41,212.39,212.41,11.87
10,10,1694391000000,212.41,212.47,212.41,212.47,35.08
11,11,1694391060000,212.48,212.51,212.48,212.51,5.89
12,12,1694391120000,212.51,212.52,212.51,212.52,1.76
13,13,1694391180000,212.52,212.65,212.52,212.65,19.08
14,14,1694391240000,212.66,212.67,212.66,212.67,35.46
15,15,1694391300000,212.67,212.67,212.64,212.64,61.42
16,16,1694391360000,212.64,212.64,212.6,212.6,16.85
17,17,1694391420000,212.6,212.6,212.6,212.6,0.0
18,18,1694391480000,212.6,212.61,212.6,212.61,2.37
19,19,1694391540000,212.61,212.61,212.57,212.57,16.12
20,20,1694391600000,212.58,212.62,212.58,212.62,9.58
21,21,1694391660000,212.63,212.66,212.62,212.62,24.52
22,22,1694391720000,212.61,212.61,212.44,212.44,98.92
23,23,1694391780000,212.42,212.42,212.31,212.34,58.14
24,24,1694391840000,212.33,212.33,212.24,212.28,23.29
25,25,1694391900000,212.28,212.28,212.28,212.28,0.27
26,26,1694391960000,212.28,212.28,212.28,212.28,0.0
27,27,1694392020000,212.28,212.28,212.28,212.28,0.0
28,28,1694392080000,212.28,212.28,212.16,212.16,34.23
29,29,1694392140000,212.17,212.18,212.17,212.18,3.61
30,30,1694392200000,212.19,212.2,212.19,212.2,2.55
31,31,1694392260000,212.2,212.3,212.2,212.3,23.18
32,32,1694392320000,212.3,212.32,212.29,212.32,9.67
33,33,1694392380000,212.32,212.43,212.32,212.43,20.14
34,34,1694392440000,212.43,212.43,212.25,212.25,91.81
35,35,1694392500000,212.24,212.29,212.24,212.27,30.64
36,36,1694392560000,212.27,212.27,212.1,212.1,43.59
37,37,1694392620000,212.09,212.09,211.98,211.98,99.58
38,38,1694392680000,211.98,211.98,211.7,211.71,75.52
39,39,1694392740000,211.71,211.71,211.5,211.66,194.13
40,40,1694392800000,211.65,211.76,211.58,211.76,62.39
41,41,1694392860000,211.77,211.8,211.77,211.8,31.42
42,42,1694392920000,211.8,211.8,211.8,211.8,5.51
43,43,1694392980000,211.79,211.79,211.55,211.61,70.08
44,44,1694393040000,211.61,211.63,211.59,211.59,18.6
45,45,1694393100000,211.58,211.58,211.46,211.51,43.24
46,46,1694393160000,211.5,211.5,211.13,211.22,257.76
47,47,1694393220000,211.23,211.57,211.23,211.57,148.81
48,48,1694393280000,211.57,211.6,211.57,211.58,15.82
49,49,1694393340000,211.59,211.63,211.58,211.63,24.61
50,50,1694393400000,211.63,211.72,211.63,211.72,16.63
51,51,1694393460000,211.73,211.85,211.73,211.8,26.29
52,52,1694393520000,211.8,211.88,211.8,211.88,15.21
53,53,1694393580000,211.88,211.92,211.88,211.92,13.47
54,54,1694393640000,211.93,211.94,211.93,211.94,6.28
55,55,1694393700000,211.95,211.96,211.95,211.96,11.93
56,56,1694393760000,211.96,211.97,211.94,211.94,58.07
57,57,1694393820000,211.93,211.93,211.89,211.89,19.86
58,58,1694393880000,211.88,211.88,211.76,211.76,37.13
59,59,1694393940000,211.76,211.83,211.76,211.83,24.91
60,60,1694394000000,211.83,211.92,211.83,211.89,38.23
61,61,1694394060000,211.88,211.88,211.86,211.86,12.22
62,62,1694394120000,211.86,211.86,211.72,211.72,34.11
63,63,1694394180000,211.72,211.77,211.72,211.77,47.14
64,64,1694394240000,211.76,211.81,211.76,211.78,7.89
65,65,1694394300000,211.78,211.78,211.74,211.74,6.45
66,66,1694394360000,211.73,211.73,211.58,211.58,18.91
67,67,1694394420000,211.57,211.58,211.57,211.58,0.61
68,68,1694394480000,211.58,211.59,211.58,211.59,14.37
69,69,1694394540000,211.6,211.65,211.6,211.65,21.39
70,70,1694394600000,211.65,211.78,211.65,211.78,16.81
71,71,1694394660000,211.79,211.85,211.79,211.85,14.8
72,72,1694394720000,211.86,211.86,211.86,211.86,5.91
73,73,1694394780000,211.86,211.88,211.79,211.88,68.06
74,74,1694394840000,211.89,211.89,211.89,211.89,0.94
75,75,1694394900000,211.9,211.95,211.9,211.95,40.21
76,76,1694394960000,211.95,212.01,211.95,212.01,8.03
77,77,1694395020000,212.02,212.12,212.02,212.12,26.35
78,78,1694395080000,212.13,212.13,212.13,212.13,2.02
79,79,1694395140000,212.14,212.16,212.14,212.15,49.28
80,80,1694395200000,212.15,212.15,212.07,212.07,27.1
81,81,1694395260000,212.07,212.07,212.07,212.07,0.0
82,82,1694395320000,212.07,212.07,212.07,212.07,0.66
83,83,1694395380000,212.06,212.06,211.91,211.91,27.33
84,84,1694395440000,211.91,211.99,211.91,211.99,35.62
85,85,1694395500000,212.0,212.01,212.0,212.01,5.31
86,86,1694395560000,212.02,212.12,212.02,212.12,17.04
87,87,1694395620000,212.13,212.19,212.13,212.19,36.7
88,88,1694395680000,212.2,212.2,212.14,212.14,14.9
89,89,1694395740000,212.14,212.14,212.04,212.04,29.39
90,90,1694395800000,212.04,212.04,212.03,212.04,1.14
91,91,1694395860000,212.03,212.03,211.93,211.93,41.98
92,92,1694395920000,211.92,211.92,211.83,211.89,68.1
93,93,1694395980000,211.89,211.89,211.83,211.83,10.3
94,94,1694396040000,211.82,211.82,211.76,211.76,6.9
95,95,1694396100000,211.75,211.75,211.69,211.69,6.31
96,96,1694396160000,211.69,211.69,211.49,211.56,77.37
97,97,1694396220000,211.56,211.56,211.5,211.51,28.22
98,98,1694396280000,211.5,211.59,211.5,211.59,43.68
99,99,1694396340000,211.59,211.59,211.58,211.58,183.8
100,100,1694396400000,211.58,211.59,211.53,211.59,137.54
