,index,timestamp,open,high,low,close,volume
0,0,1693612800000,0.413,0.4132,0.413,0.4132,1138
1,1,1693612860000,0.4132,0.4134,0.4132,0.4134,10065
2,2,1693612920000,0.4134,0.4135,0.4133,0.4135,2399
3,3,1693612980000,0.4135,0.4136,0.4135,0.4136,261
4,4,1693613040000,0.4135,0.4135,0.4135,0.4135,139
5,5,1693613100000,0.4133,0.4133,0.4133,0.4133,298
6,6,1693613160000,0.4133,0.4133,0.4133,0.4133,0
7,7,1693613220000,0.4131,0.4133,0.4131,0.4133,473
8,8,1693613280000,0.4134,0.4134,0.4134,0.4134,200
9,9,1693613340000,0.4134,0.4134,0.4134,0.4134,102
10,10,1693613400000,0.4134,0.4134,0.4134,0.4134,0
11,11,1693613460000,0.4134,0.4134,0.4134,0.4134,61
12,12,1693613520000,0.4134,0.4134,0.4134,0.4134,1148
13,13,1693613580000,0.4134,0.4134,0.4134,0.4134,827
14,14,1693613640000,0.4134,0.4134,0.4134,0.4134,0
15,15,1693613700000,0.4134,0.4134,0.4134,0.4134,650
16,16,1693613760000,0.4134,0.4134,0.413,0.4131,15907
17,17,1693613820000,0.4131,0.4131,0.4131,0.4131,0
18,18,1693613880000,0.413,0.413,0.413,0.413,982
19,19,1693613940000,0.413,0.413,0.413,0.413,298
20,20,1693614000000,0.413,0.413,0.4128,0.4129,2745
21,21,1693614060000,0.4131,0.4134,0.4131,0.4134,682
22,22,1693614120000,0.4135,0.4135,0.4135,0.4135,165
23,23,1693614180000,0.4136,0.4137,0.4136,0.4137,6533
24,24,1693614240000,0.4138,0.4145,0.4138,0.4142,10284
25,25,1693614300000,0.4142,0.4142,0.4139,0.4139,1107
26,26,1693614360000,0.4139,0.4139,0.4139,0.4139,76
27,27,1693614420000,0.4139,0.4139,0.4139,0.4139,93
28,28,1693614480000,0.4139,0.4139,0.4139,0.4139,0
29,29,1693614540000,0.414,0.4141,0.4139,0.4141,893
30,30,1693614600000,0.4141,0.4145,0.4141,0.4142,1188
31,31,1693614660000,0.4143,0.4145,0.4143,0.4145,630
32,32,1693614720000,0.4145,0.4146,0.4145,0.4146,386
33,33,1693614780000,0.4144,0.4144,0.4144,0.4144,569
34,34,1693614840000,0.4143,0.4143,0.4142,0.4142,259
35,35,1693614900000,0.4143,0.4144,0.4143,0.4143,364
36,36,1693614960000,0.4143,0.4145,0.4143,0.4145,312
37,37,1693615020000,0.4146,0.4148,0.4146,0.4148,1120
38,38,1693615080000,0.4149,0.4156,0.4149,0.4152,7073
39,39,1693615140000,0.4155,0.4166,0.4155,0.4164,95229
40,40,1693615200000,0.4165,0.4169,0.4165,0.4165,8121
41,41,1693615260000,0.4166,0.4166,0.4164,0.4164,2301
42,42,1693615320000,0.4164,0.4164,0.4164,0.4164,534
43,43,1693615380000,0.4163,0.4163,0.4161,0.4162,1180
44,44,1693615440000,0.4162,0.4162,0.4154,0.4154,3540
45,45,1693615500000,0.4153,0.4154,0.415,0.415,5797
46,46,1693615560000,0.4151,0.4151,0.4144,0.4144,1655
47,47,1693615620000,0.4143,0.4145,0.4142,0.4143,3882
48,48,1693615680000,0.4142,0.4142,0.4136,0.4136,6810
49,49,1693615740000,0.4136,0.4136,0.4133,0.4135,4241
50,50,1693615800000,0.4134,0.4137,0.4133,0.4137,2111
51,51,1693615860000,0.4137,0.4139,0.4137,0.4138,846
52,52,1693615920000,0.4138,0.4138,0.4138,0.4138,0
53,53,1693615980000,0.4138,0.4139,0.4138,0.4139,1286
54,54,1693616040000,0.414,0.4141,0.414,0.4141,3255
55,55,1693616100000,0.4141,0.4143,0.4141,0.4141,1327
56,56,1693616160000,0.4142,0.4146,0.4142,0.4145,12222
57,57,1693616220000,0.4147,0.415,0.4147,0.415,10842
58,58,1693616280000,0.4148,0.4151,0.4146,0.4148,19792
59,59,1693616340000,0.4148,0.4156,0.4146,0.4156,23757
60,60,1693616400000,0.4156,0.4156,0.4149,0.4151,9289
61,61,1693616460000,0.4151,0.4151,0.4151,0.4151,1345
62,62,1693616520000,0.4149,0.415,0.4149,0.4149,1534
63,63,1693616580000,0.4151,0.4151,0.4146,0.4146,11390
64,64,1693616640000,0.4145,0.4146,0.4143,0.4143,2508
65,65,1693616700000,0.4144,0.4148,0.4144,0.4148,9078
66,66,1693616760000,0.4148,0.4152,0.4148,0.415,7622
67,67,1693616820000,0.415,0.4151,0.415,0.415,578
68,68,1693616880000,0.4151,0.4153,0.4151,0.4153,494
69,69,1693616940000,0.4153,0.4158,0.4153,0.4157,3061
70,70,1693617000000,0.4155,0.4156,0.4152,0.4154,1935
71,71,1693617060000,0.4154,0.4154,0.4154,0.4154,0
72,72,1693617120000,0.4154,0.4154,0.4153,0.4153,1169
73,73,1693617180000,0.4153,0.4154,0.4153,0.4154,251
74,74,1693617240000,0.4154,0.4154,0.4154,0.4154,0
75,75,1693617300000,0.4155,0.4155,0.4154,0.4154,1217
76,76,1693617360000,0.4159,0.4161,0.4158,0.416,2512
77,77,1693617420000,0.416,0.416,0.416,0.416,78
78,78,1693617480000,0.416,0.416,0.4158,0.4159,2364
79,79,1693617540000,0.4156,0.4156,0.4153,0.4153,7521
80,80,1693617600000,0.4154,0.4154,0.4153,0.4153,3999
81,81,1693617660000,0.4153,0.4153,0.4147,0.4147,3414
82,82,1693617720000,0.4146,0.4146,0.4146,0.4146,24
83,83,1693617780000,0.4146,0.4146,0.4146,0.4146,72
84,84,1693617840000,0.4146,0.4147,0.4146,0.4147,1464
85,85,1693617900000,0.4146,0.4148,0.4145,0.4148,1427
86,86,1693617960000,0.4148,0.4148,0.4148,0.4148,0
87,87,1693618020000,0.4147,0.4147,0.4146,0.4146,570
88,88,1693618080000,0.4146,0.4146,0.4141,0.4142,19279
89,89,1693618140000,0.4143,0.4143,0.4143,0.4143,350
90,90,1693618200000,0.4144,0.4144,0.4143,0.4143,312
91,91,1693618260000,0.4143,0.4143,0.4143,0.4143,152
92,92,1693618320000,0.4145,0.4154,0.4145,0.4152,44811
93,93,1693618380000,0.4151,0.4151,0.4151,0.4151,73
94,94,1693618440000,0.4151,0.4151,0.4151,0.4151,0
95,95,1693618500000,0.4151,0.4151,0.4151,0.4151,0
96,96,1693618560000,0.4151,0.4151,0.4151,0.4151,0
97,97,1693618620000,0.4151,0.4151,0.4151,0.4151,148
98,98,1693618680000,0.4151,0.4151,0.4151,0.4151,260
99,99,1693618740000,0.4152,0.4158,0.4152,0.4157,15616
100,100,1693618800000,0.4157,0.4157,0.4157,0.4157,0
101,101,1693618860000,0.4157,0.4157,0.4157,0.4157,0
102,102,1693618920000,0.4157,0.4157,0.4157,0.4157,31
103,103,1693618980000,0.4157,0.4157,0.4157,0.4157,2583
104,104,1693619040000,0.4156,0.4156,0.4155,0.4155,556
105,105,1693619100000,0.4152,0.4153,0.4152,0.4153,91
106,106,1693619160000,0.4152,0.4152,0.4148,0.4148,8414
107,107,1693619220000,0.4143,0.4144,0.4143,0.4144,752
108,108,1693619280000,0.4143,0.4143,0.4141,0.4141,788
109,109,1693619340000,0.4142,0.4142,0.4142,0.4142,298
110,110,1693619400000,0.4142,0.4145,0.4141,0.4145,3293
111,111,1693619460000,0.4146,0.4146,0.4146,0.4146,31
112,112,1693619520000,0.4146,0.4151,0.4146,0.4151,5976
113,113,1693619580000,0.415,0.415,0.4147,0.4149,5452
114,114,1693619640000,0.4148,0.4148,0.4144,0.4144,1078
115,115,1693619700000,0.4144,0.4145,0.4144,0.4145,1112
116,116,1693619760000,0.4144,0.4144,0.4143,0.4143,350
117,117,1693619820000,0.4143,0.4145,0.4141,0.4143,4859
118,118,1693619880000,0.4141,0.4141,0.4133,0.4134,33273
119,119,1693619940000,0.4137,0.4137,0.4134,0.4136,30510
120,120,1693620000000,0.4135,0.4138,0.4135,0.4136,4506
121,121,1693620060000,0.4137,0.4137,0.4134,0.4135,642
122,122,1693620120000,0.4135,0.4135,0.4134,0.4134,328
123,123,1693620180000,0.4134,0.4134,0.4134,0.4134,12
124,124,1693620240000,0.4134,0.4134,0.4134,0.4134,0
125,125,1693620300000,0.4134,0.4135,0.4133,0.4133,6719
126,126,1693620360000,0.4133,0.4133,0.4132,0.4132,126
127,127,1693620420000,0.4133,0.4133,0.413,0.4131,1658
128,128,1693620480000,0.413,0.413,0.4123,0.4128,10842
129,129,1693620540000,0.413,0.413,0.413,0.413,472
130,130,1693620600000,0.4132,0.4132,0.4132,0.4132,27
131,131,1693620660000,0.4132,0.4132,0.4132,0.4132,0
132,132,1693620720000,0.4132,0.4132,0.4132,0.4132,0
133,133,1693620780000,0.4132,0.4132,0.4132,0.4132,63
134,134,1693620840000,0.4133,0.4134,0.4133,0.4133,2264
135,135,1693620900000,0.4134,0.4135,0.4128,0.413,17709
136,136,1693620960000,0.413,0.413,0.4126,0.4129,17783
137,137,1693621020000,0.4129,0.4129,0.4129,0.4129,0
138,138,1693621080000,0.4128,0.4128,0.4125,0.4127,6501
139,139,1693621140000,0.4127,0.4129,0.4127,0.4129,3722
140,140,1693621200000,0.4129,0.4129,0.4127,0.4127,1743
141,141,1693621260000,0.4127,0.4127,0.4127,0.4127,689
142,142,1693621320000,0.4127,0.4127,0.4127,0.4127,0
143,143,1693621380000,0.4127,0.4127,0.4127,0.4127,0
144,144,1693621440000,0.4127,0.4128,0.4126,0.4128,3342
145,145,1693621500000,0.4129,0.4129,0.4129,0.4129,62
146,146,1693621560000,0.4129,0.413,0.4129,0.413,366
147,147,1693621620000,0.4132,0.4132,0.413,0.4132,6458
148,148,1693621680000,0.4132,0.4132,0.4132,0.4132,435
149,149,1693621740000,0.4132,0.4132,0.4132,0.4132,0
150,150,1693621800000,0.4132,0.4132,0.4132,0.4132,0
151,151,1693621860000,0.4132,0.4132,0.413,0.413,2090
152,152,1693621920000,0.4129,0.4129,0.4129,0.4129,1912
153,153,1693621980000,0.4125,0.4125,0.4124,0.4124,1931
154,154,1693622040000,0.4124,0.4124,0.4124,0.4124,0
