,index,timestamp,open,high,low,close,volume
0,0,1693872000000,0.1909,0.191,0.1907,0.1907,45698.8
1,1,1693872060000,0.1907,0.1907,0.1905,0.1907,25434.3
2,2,1693872120000,0.1907,0.1907,0.1906,0.1906,233.7
3,3,1693872180000,0.1906,0.1908,0.1906,0.1908,4531.7
4,4,1693872240000,0.1908,0.1908,0.1907,0.1907,2341.9
5,5,1693872300000,0.1906,0.1906,0.1904,0.1904,10284.9
6,6,1693872360000,0.1905,0.1906,0.1905,0.1905,838.3
7,7,1693872420000,0.1906,0.1906,0.1904,0.1905,6150.5
8,8,1693872480000,0.1906,0.1906,0.1903,0.1904,23318.4
9,9,1693872540000,0.1904,0.1905,0.1904,0.1905,4208.3
10,10,1693872600000,0.1904,0.1905,0.1902,0.1903,15528.0
11,11,1693872660000,0.1904,0.1905,0.1904,0.1905,1539.1
12,12,1693872720000,0.1904,0.1904,0.1902,0.1902,953.7
13,13,1693872780000,0.1903,0.1903,0.1903,0.1903,3583.1
14,14,1693872840000,0.1903,0.1903,0.1903,0.1903,52.9
15,15,1693872900000,0.1903,0.1903,0.1903,0.1903,2397.4
16,16,1693872960000,0.1903,0.1903,0.1903,0.1903,3596.8
17,17,1693873020000,0.1903,0.1903,0.1903,0.1903,0.0
18,18,1693873080000,0.1904,0.1904,0.1904,0.1904,31.3
19,19,1693873140000,0.1903,0.1903,0.1903,0.1903,420.0
20,20,1693873200000,0.1903,0.1903,0.1901,0.1901,6193.2
21,21,1693873260000,0.1901,0.1901,0.19,0.19,5802.0
22,22,1693873320000,0.1899,0.19,0.1899,0.19,239.9
23,23,1693873380000,0.1899,0.1899,0.1896,0.1896,23286.5
24,24,1693873440000,0.1895,0.1896,0.1895,0.1896,19701.8
25,25,1693873500000,0.1896,0.1896,0.1896,0.1896,346.6
26,26,1693873560000,0.1896,0.1896,0.1896,0.1896,6868.4
27,27,1693873620000,0.1896,0.1896,0.1895,0.1895,3726.8
28,28,1693873680000,0.1896,0.1896,0.1895,0.1895,1295.8
29,29,1693873740000,0.1895,0.1895,0.1894,0.1895,628.8
30,30,1693873800000,0.1895,0.1895,0.1894,0.1894,1939.1
31,31,1693873860000,0.1894,0.1896,0.1894,0.1896,2440.8
32,32,1693873920000,0.1895,0.1897,0.1895,0.1897,4218.3
33,33,1693873980000,0.1897,0.1899,0.1897,0.1898,14387.3
34,34,1693874040000,0.1898,0.1898,0.1898,0.1898,315.0
35,35,1693874100000,0.1899,0.1899,0.1899,0.1899,1673.9
36,36,1693874160000,0.1899,0.19,0.1899,0.19,2542.8
37,37,1693874220000,0.19,0.19,0.1899,0.1899,2673.1
38,38,1693874280000,0.1899,0.1899,0.1899,0.1899,1843.2
39,39,1693874340000,0.19,0.1901,0.1899,0.1899,5676.2
40,40,1693874400000,0.19,0.1901,0.1898,0.1898,20711.7
41,41,1693874460000,0.1899,0.1899,0.1899,0.1899,1370.4
42,42,1693874520000,0.1899,0.1899,0.1899,0.1899,1190.0
43,43,1693874580000,0.1899,0.1899,0.1899,0.1899,63.1
44,44,1693874640000,0.1898,0.1898,0.1895,0.1895,9194.6
45,45,1693874700000,0.1896,0.1897,0.1896,0.1897,496.2
46,46,1693874760000,0.1896,0.1896,0.1896,0.1896,2921.5
47,47,1693874820000,0.1896,0.1896,0.1894,0.1894,11861.7
48,48,1693874880000,0.1894,0.1894,0.1894,0.1894,33.1
49,49,1693874940000,0.1894,0.1895,0.1894,0.1895,8723.9
50,50,1693875000000,0.1894,0.1894,0.1894,0.1894,105.9
51,51,1693875060000,0.1894,0.1894,0.1893,0.1893,7873.1
52,52,1693875120000,0.1894,0.1894,0.1894,0.1894,400.0
53,53,1693875180000,0.1894,0.1895,0.1894,0.1895,1057.8
54,54,1693875240000,0.1894,0.1894,0.1893,0.1893,11219.2
55,55,1693875300000,0.1893,0.1894,0.1893,0.1894,4416.4
56,56,1693875360000,0.1895,0.1895,0.1894,0.1894,2726.9
57,57,1693875420000,0.1895,0.1895,0.1894,0.1894,667.0
58,58,1693875480000,0.1893,0.1894,0.1893,0.1894,1998.7
59,59,1693875540000,0.1895,0.1895,0.1895,0.1895,49.2
60,60,1693875600000,0.1894,0.1897,0.1893,0.1897,29405.8
61,61,1693875660000,0.1897,0.1897,0.1897,0.1897,337.0
62,62,1693875720000,0.1897,0.1898,0.1896,0.1898,6859.5
63,63,1693875780000,0.1898,0.1898,0.1898,0.1898,529.8
64,64,1693875840000,0.1898,0.1898,0.1898,0.1898,0.0
65,65,1693875900000,0.1899,0.1899,0.1897,0.1897,3761.3
66,66,1693875960000,0.1897,0.1897,0.1896,0.1897,6584.6
67,67,1693876020000,0.1897,0.1897,0.1897,0.1897,0.0
68,68,1693876080000,0.1897,0.1897,0.1897,0.1897,0.0
69,69,1693876140000,0.1897,0.1897,0.1896,0.1896,3707.8
70,70,1693876200000,0.1896,0.1896,0.1895,0.1895,838.3
71,71,1693876260000,0.1894,0.1895,0.1894,0.1895,1759.9
72,72,1693876320000,0.1895,0.1895,0.1895,0.1895,0.0
73,73,1693876380000,0.1895,0.1895,0.1894,0.1894,3222.2
74,74,1693876440000,0.1894,0.1894,0.1894,0.1894,0.0
75,75,1693876500000,0.1893,0.1893,0.1893,0.1893,30.0
76,76,1693876560000,0.1893,0.1895,0.1893,0.1895,10573.2
77,77,1693876620000,0.1894,0.1894,0.1893,0.1893,2874.0
