,index,timestamp,open,high,low,close,volume
0,0,1694304000000,25884.9,25885.6,25884.9,25885.6,0.736
1,1,1694304060000,25885.6,25885.6,25885.5,25885.5,0.024
2,2,1694304120000,25885.6,25885.8,25885.6,25885.8,2.117
3,3,1694304180000,25885.7,25885.8,25880.9,25880.9,9.483
4,4,1694304240000,25880.8,25880.9,25880.6,25880.6,0.278
5,5,1694304300000,25880.5,25880.5,25879.4,25879.4,0.455
6,6,1694304360000,25879.4,25879.4,25876.5,25876.5,1.949
7,7,1694304420000,25876.5,25876.5,25876.5,25876.5,1.005
8,8,1694304480000,25876.5,25880.4,25876.5,25880.3,7.84
9,9,1694304540000,25880.3,25880.3,25879.4,25879.4,0.571
10,10,1694304600000,25879.3,25879.4,25879.3,25879.4,0.08
11,11,1694304660000,25879.4,25879.4,25879.3,25879.4,0.399
12,12,1694304720000,25879.3,25879.4,25879.3,25879.4,0.074
13,13,1694304780000,25879.4,25879.4,25879.4,25879.4,1.185
14,14,1694304840000,25879.3,25879.4,25879.3,25879.4,0.007
15,15,1694304900000,25879.3,25879.4,25879.3,25879.4,0.159
16,16,1694304960000,25879.4,25879.4,25875.5,25875.5,2.251
17,17,1694305020000,25875.4,25875.4,25871.0,25871.0,6.949
18,18,1694305080000,25871.1,25871.1,25866.6,25866.6,3.898
19,19,1694305140000,25866.6,25866.6,25865.5,25865.5,0.704
20,20,1694305200000,25865.5,25865.5,25851.8,25851.8,19.956
21,21,1694305260000,25851.8,25855.4,25851.8,25854.0,6.922
22,22,1694305320000,25853.9,25859.0,25853.9,25859.0,1.674
23,23,1694305380000,25859.0,25859.1,25859.0,25859.1,3.218
24,24,1694305440000,25859.0,25859.1,25859.0,25859.0,0.154
25,25,1694305500000,25859.1,25862.1,25859.0,25862.0,6.432
26,26,1694305560000,25862.0,25862.1,25862.0,25862.0,0.129
27,27,1694305620000,25862.1,25862.1,25862.0,25862.0,2.114
28,28,1694305680000,25862.0,25862.0,25856.8,25856.8,4.435
29,29,1694305740000,25856.8,25856.9,25856.8,25856.9,0.978
30,30,1694305800000,25856.8,25856.9,25851.9,25851.9,4.457
31,31,1694305860000,25852.0,25852.0,25851.7,25851.7,1.728
32,32,1694305920000,25851.8,25851.8,25847.1,25847.6,5.204
33,33,1694305980000,25847.6,25849.3,25847.6,25849.3,9.266
34,34,1694306040000,25849.4,25852.1,25849.4,25852.0,4.464
35,35,1694306100000,25852.1,25852.1,25852.0,25852.1,2.472
36,36,1694306160000,25852.1,25852.1,25852.0,25852.0,0.04
37,37,1694306220000,25852.0,25852.1,25852.0,25852.1,0.039
38,38,1694306280000,25852.0,25852.1,25852.0,25852.1,0.22
39,39,1694306340000,25852.1,25852.1,25852.0,25852.0,0.062
40,40,1694306400000,25852.0,25852.1,25852.0,25852.1,1.623
41,41,1694306460000,25852.0,25852.0,25849.9,25849.9,2.473
42,42,1694306520000,25850.0,25850.0,25849.9,25849.9,0.208
43,43,1694306580000,25849.9,25850.0,25849.9,25850.0,0.058
44,44,1694306640000,25850.0,25850.0,25849.9,25850.0,0.511
45,45,1694306700000,25849.9,25850.0,25849.9,25849.9,0.069
46,46,1694306760000,25850.0,25850.0,25849.9,25849.9,1.83
47,47,1694306820000,25849.9,25849.9,25849.9,25849.9,0.003
48,48,1694306880000,25850.0,25850.0,25849.9,25849.9,0.39
49,49,1694306940000,25850.0,25850.0,25849.9,25849.9,0.39
50,50,1694307000000,25850.0,25850.0,25849.9,25850.0,1.375
51,51,1694307060000,25850.0,25850.0,25849.9,25850.0,0.67
52,52,1694307120000,25850.0,25850.0,25849.9,25849.9,0.069
53,53,1694307180000,25850.0,25850.0,25849.9,25850.0,0.301
54,54,1694307240000,25849.9,25850.0,25849.9,25850.0,0.005
55,55,1694307300000,25849.9,25850.0,25849.9,25849.9,0.126
56,56,1694307360000,25850.0,25850.0,25849.9,25850.0,0.008
57,57,1694307420000,25849.9,25854.9,25849.9,25854.9,2.291
58,58,1694307480000,25854.8,25854.8,25854.8,25854.8,0.004
59,59,1694307540000,25854.9,25854.9,25854.8,25854.8,0.007
60,60,1694307600000,25854.8,25854.8,25852.9,25852.9,5.027
61,61,1694307660000,25853.0,25853.0,25852.9,25852.9,0.02
62,62,1694307720000,25852.9,25852.9,25852.9,25852.9,0.005
63,63,1694307780000,25852.9,25852.9,25852.9,25852.9,0.003
64,64,1694307840000,25852.9,25852.9,25847.7,25847.7,5.49
65,65,1694307900000,25847.7,25847.7,25844.2,25844.2,2.142
66,66,1694307960000,25844.2,25844.2,25843.0,25843.0,0.253
67,67,1694308020000,25843.0,25843.0,25841.1,25841.1,1.334
68,68,1694308080000,25841.0,25843.7,25840.9,25843.6,12.375
69,69,1694308140000,25843.7,25843.7,25843.6,25843.7,1.183
70,70,1694308200000,25843.7,25843.7,25843.6,25843.6,0.264
71,71,1694308260000,25843.6,25843.6,25843.6,25843.6,0.063
72,72,1694308320000,25843.6,25843.6,25843.6,25843.6,0.0
73,73,1694308380000,25843.6,25843.6,25843.6,25843.6,0.0
74,74,1694308440000,25843.6,25843.7,25843.6,25843.7,0.012
75,75,1694308500000,25843.7,25843.7,25843.6,25843.6,0.616
76,76,1694308560000,25843.6,25843.7,25843.6,25843.7,0.08
77,77,1694308620000,25843.7,25843.7,25843.7,25843.7,0.01
78,78,1694308680000,25843.6,25843.6,25843.6,25843.6,0.017
79,79,1694308740000,25843.7,25843.7,25843.6,25843.7,0.066
80,80,1694308800000,25843.6,25843.7,25843.6,25843.6,0.01
81,81,1694308860000,25843.7,25843.7,25841.4,25841.4,2.604
82,82,1694308920000,25841.5,25841.5,25841.4,25841.4,0.811
83,83,1694308980000,25841.4,25841.4,25841.3,25841.3,0.674
84,84,1694309040000,25841.4,25841.4,25840.7,25840.7,0.231
85,85,1694309100000,25840.8,25840.8,25840.5,25840.5,0.261
86,86,1694309160000,25840.4,25840.4,25819.4,25824.2,22.112
87,87,1694309220000,25824.2,25832.9,25824.2,25832.9,11.941
88,88,1694309280000,25833.0,25833.0,25833.0,25833.0,0.052
89,89,1694309340000,25833.0,25833.0,25832.9,25832.9,0.565
90,90,1694309400000,25832.9,25833.0,25827.1,25827.1,7.493
91,91,1694309460000,25827.2,25827.2,25822.4,25822.4,8.443
92,92,1694309520000,25822.5,25827.7,25822.5,25827.6,4.644
93,93,1694309580000,25827.6,25827.7,25827.6,25827.6,0.259
94,94,1694309640000,25827.7,25827.7,25827.6,25827.6,0.258
95,95,1694309700000,25827.6,25827.7,25827.6,25827.7,0.054
96,96,1694309760000,25827.7,25827.7,25827.6,25827.6,0.103
97,97,1694309820000,25827.6,25827.7,25827.6,25827.6,0.058
98,98,1694309880000,25827.6,25827.7,25827.6,25827.6,4.547
99,99,1694309940000,25827.6,25829.5,25827.6,25829.4,3.078
100,100,1694310000000,25829.5,25834.6,25829.5,25834.6,3.854
101,101,1694310060000,25834.6,25834.6,25834.5,25834.5,2.621
102,102,1694310120000,25834.6,25834.6,25834.5,25834.5,0.049
103,103,1694310180000,25834.5,25834.5,25834.5,25834.5,0.024
104,104,1694310240000,25834.5,25834.6,25834.5,25834.6,0.586
105,105,1694310300000,25834.6,25835.2,25834.6,25835.2,0.735
106,106,1694310360000,25835.1,25835.2,25828.5,25828.5,11.409
107,107,1694310420000,25828.6,25828.6,25828.6,25828.6,0.129
108,108,1694310480000,25828.5,25828.6,25828.5,25828.5,0.512
109,109,1694310540000,25828.5,25828.6,25828.5,25828.5,0.387
110,110,1694310600000,25828.6,25828.6,25828.5,25828.6,0.997
111,111,1694310660000,25828.6,25831.6,25828.6,25831.6,3.222
112,112,1694310720000,25831.6,25831.6,25831.6,25831.6,0.0
113,113,1694310780000,25831.7,25831.7,25831.6,25831.6,0.072
114,114,1694310840000,25831.6,25831.6,25831.6,25831.6,0.011
115,115,1694310900000,25831.6,25831.7,25831.6,25831.6,0.238
116,116,1694310960000,25831.7,25831.7,25831.6,25831.6,2.024
117,117,1694311020000,25831.6,25834.8,25831.6,25834.7,6.528
118,118,1694311080000,25834.7,25834.7,25834.7,25834.7,0.016
119,119,1694311140000,25834.7,25834.8,25834.7,25834.7,8.426
120,120,1694311200000,25834.7,25834.8,25834.7,25834.7,0.235
121,121,1694311260000,25834.7,25836.7,25834.7,25836.7,1.236
122,122,1694311320000,25836.7,25838.0,25836.6,25837.9,0.798
123,123,1694311380000,25837.9,25838.0,25837.9,25837.9,0.134
124,124,1694311440000,25837.9,25838.0,25837.9,25837.9,3.905
125,125,1694311500000,25837.9,25838.0,25837.9,25837.9,1.007
126,126,1694311560000,25837.9,25838.0,25837.9,25837.9,1.863
127,127,1694311620000,25838.0,25838.0,25837.9,25837.9,0.869
128,128,1694311680000,25837.9,25838.0,25837.9,25837.9,0.06
129,129,1694311740000,25837.9,25838.0,25837.9,25838.0,0.529
130,130,1694311800000,25837.9,25838.0,25837.9,25837.9,0.067
131,131,1694311860000,25838.0,25838.0,25838.0,25838.0,0.292
132,132,1694311920000,25837.9,25838.1,25837.9,25838.1,2.003
133,133,1694311980000,25838.1,25838.1,25838.1,25838.1,0.245
134,134,1694312040000,25838.2,25838.2,25838.1,25838.1,0.264
135,135,1694312100000,25838.2,25838.2,25835.9,25835.9,3.093
136,136,1694312160000,25835.9,25835.9,25835.0,25835.0,0.56
137,137,1694312220000,25834.9,25835.0,25834.9,25835.0,0.066
138,138,1694312280000,25834.9,25835.0,25830.4,25830.4,3.826
139,139,1694312340000,25830.3,25838.3,25830.3,25838.3,5.335
140,140,1694312400000,25838.2,25838.2,25832.8,25833.9,6.614
141,141,1694312460000,25834.0,25834.1,25833.9,25834.1,1.937
142,142,1694312520000,25834.1,25834.1,25834.1,25834.1,0.036
143,143,1694312580000,25834.1,25839.3,25834.1,25839.3,2.154
144,144,1694312640000,25839.3,25839.3,25839.3,25839.3,2.602
145,145,1694312700000,25839.3,25839.3,25839.2,25839.2,2.037
146,146,1694312760000,25839.3,25839.3,25839.3,25839.3,0.014
147,147,1694312820000,25839.2,25839.2,25835.2,25835.2,3.494
148,148,1694312880000,25835.1,25835.2,25835.0,25835.0,0.066
149,149,1694312940000,25835.0,25835.0,25834.9,25834.9,0.005
150,150,1694313000000,25835.0,25835.0,25833.1,25833.2,1.291
151,151,1694313060000,25833.1,25833.1,25832.8,25832.8,0.222
152,152,1694313120000,25832.8,25832.8,25832.7,25832.7,0.29
153,153,1694313180000,25832.7,25832.8,25832.7,25832.8,0.004
154,154,1694313240000,25832.8,25832.8,25832.7,25832.8,0.048
155,155,1694313300000,25832.7,25832.8,25832.6,25832.6,0.223
156,156,1694313360000,25832.6,25832.7,25832.6,25832.6,0.014
157,157,1694313420000,25832.7,25832.7,25832.7,25832.7,0.001
158,158,1694313480000,25832.6,25832.7,25832.6,25832.7,0.003
159,159,1694313540000,25832.6,25832.6,25831.1,25831.1,0.28
160,160,1694313600000,25831.0,25831.1,25831.0,25831.1,0.031
161,161,1694313660000,25831.1,25831.1,25828.8,25828.8,2.522
162,162,1694313720000,25828.8,25828.8,25827.8,25827.8,0.208
163,163,1694313780000,25827.8,25827.8,25827.8,25827.8,0.023
164,164,1694313840000,25827.8,25827.8,25827.8,25827.8,0.0
165,165,1694313900000,25827.9,25827.9,25827.8,25827.9,2.32
166,166,1694313960000,25827.9,25827.9,25827.8,25827.8,0.007
167,167,1694314020000,25827.8,25827.8,25827.8,25827.8,0.001
168,168,1694314080000,25827.9,25827.9,25827.9,25827.9,0.031
169,169,1694314140000,25827.9,25827.9,25827.9,25827.9,0.0
170,170,1694314200000,25827.9,25831.7,25827.8,25831.7,3.667
171,171,1694314260000,25831.7,25832.7,25831.7,25832.6,0.417
172,172,1694314320000,25832.7,25833.7,25832.7,25833.7,1.166
173,173,1694314380000,25833.7,25834.0,25833.7,25834.0,0.361
174,174,1694314440000,25833.9,25834.0,25833.9,25834.0,2.559
175,175,1694314500000,25834.0,25834.0,25833.9,25833.9,0.042
176,176,1694314560000,25834.0,25834.0,25833.9,25834.0,0.994
177,177,1694314620000,25834.0,25834.0,25833.9,25834.0,0.385
178,178,1694314680000,25833.9,25833.9,25833.9,25833.9,0.001
179,179,1694314740000,25834.0,25834.0,25833.9,25834.0,0.084
180,180,1694314800000,25834.0,25834.0,25833.9,25834.0,0.408
181,181,1694314860000,25833.9,25834.0,25833.9,25834.0,0.594
182,182,1694314920000,25834.0,25834.0,25833.9,25833.9,0.617
183,183,1694314980000,25834.0,25834.0,25834.0,25834.0,0.005
184,184,1694315040000,25834.0,25834.0,25833.9,25833.9,0.391
185,185,1694315100000,25834.0,25835.9,25834.0,25835.8,3.159
186,186,1694315160000,25835.8,25835.8,25835.8,25835.8,0.026
187,187,1694315220000,25835.9,25842.2,25835.9,25842.2,6.196
188,188,1694315280000,25842.2,25842.2,25842.1,25842.1,0.39
189,189,1694315340000,25842.2,25842.2,25842.2,25842.2,0.198
190,190,1694315400000,25842.2,25842.2,25842.1,25842.2,0.119
191,191,1694315460000,25842.2,25842.2,25842.1,25842.1,0.412
192,192,1694315520000,25842.2,25842.2,25842.2,25842.2,0.016
193,193,1694315580000,25842.1,25842.2,25842.1,25842.1,2.07
194,194,1694315640000,25842.1,25842.1,25840.3,25840.3,4.101
195,195,1694315700000,25840.3,25840.4,25840.3,25840.3,0.117
196,196,1694315760000,25840.3,25840.3,25834.2,25834.2,9.025
197,197,1694315820000,25834.2,25834.2,25832.0,25832.0,2.707
198,198,1694315880000,25832.0,25832.1,25832.0,25832.1,2.351
199,199,1694315940000,25832.0,25832.1,25832.0,25832.1,2.536
200,200,1694316000000,25832.1,25832.1,25832.0,25832.0,0.01
201,201,1694316060000,25832.0,25832.0,25832.0,25832.0,0.077
202,202,1694316120000,25832.0,25832.1,25832.0,25832.1,0.064
203,203,1694316180000,25832.0,25832.1,25832.0,25832.1,0.063
204,204,1694316240000,25832.0,25832.1,25832.0,25832.0,0.024
