,index,timestamp,open,high,low,close,volume
0,0,1694649600000,1909.7,1909.7,1909.2,1909.2,0.87
1,1,1694649660000,1909.2,1909.4,1908.7,1908.8,3.882
2,2,1694649720000,1908.7,1908.7,1908.3,1908.3,0.546
3,3,1694649780000,1908.4,1908.6,1908.1,1908.3,1.261
4,4,1694649840000,1908.7,1908.7,1908.3,1908.4,0.152
5,5,1694649900000,1908.3,1908.3,1907.7,1907.7,1.566
6,6,1694649960000,1907.6,1907.9,1907.5,1907.9,0.706
7,7,1694650020000,1907.9,1907.9,1907.5,1907.6,1.733
8,8,1694650080000,1907.7,1907.7,1907.5,1907.5,0.047
9,9,1694650140000,1907.6,1907.6,1907.6,1907.6,0.036
10,10,1694650200000,1907.5,1907.5,1907.2,1907.2,0.104
11,11,1694650260000,1907.3,1907.4,1907.3,1907.4,0.068
12,12,1694650320000,1907.3,1907.3,1907.1,1907.1,0.362
13,13,1694650380000,1907.2,1907.2,1907.0,1907.0,1.115
14,14,1694650440000,1906.5,1906.5,1905.6,1905.7,2.867
15,15,1694650500000,1905.6,1906.0,1905.5,1906.0,0.375
16,16,1694650560000,1905.9,1905.9,1905.9,1905.9,0.021
17,17,1694650620000,1905.8,1905.8,1905.8,1905.8,0.041
18,18,1694650680000,1905.8,1906.0,1905.6,1905.7,2.802
19,19,1694650740000,1905.7,1905.8,1905.6,1905.8,0.038
20,20,1694650800000,1906.0,1906.1,1905.9,1906.1,1.433
21,21,1694650860000,1906.1,1906.1,1906.1,1906.1,0.0
22,22,1694650920000,1906.0,1906.0,1905.7,1905.8,0.664
23,23,1694650980000,1906.0,1906.0,1906.0,1906.0,0.004
24,24,1694651040000,1905.9,1906.0,1905.9,1906.0,0.042
25,25,1694651100000,1906.0,1906.0,1905.9,1905.9,0.141
26,26,1694651160000,1906.0,1906.0,1906.0,1906.0,0.007
27,27,1694651220000,1905.9,1906.0,1905.6,1905.6,0.284
28,28,1694651280000,1905.6,1905.6,1905.3,1905.3,1.915
29,29,1694651340000,1905.3,1905.3,1905.1,1905.1,1.258
30,30,1694651400000,1905.1,1905.2,1905.1,1905.2,0.067
31,31,1694651460000,1905.2,1905.4,1905.2,1905.4,0.086
32,32,1694651520000,1905.3,1905.3,1905.0,1905.0,2.022
33,33,1694651580000,1905.0,1905.0,1902.1,1903.4,39.855
34,34,1694651640000,1903.5,1903.5,1900.8,1900.8,3.486
35,35,1694651700000,1900.8,1902.0,1900.8,1902.0,0.788
36,36,1694651760000,1901.7,1901.9,1900.1,1900.2,3.078
37,37,1694651820000,1900.4,1901.2,1900.0,1901.2,3.439
38,38,1694651880000,1901.4,1901.6,1901.4,1901.6,0.11
39,39,1694651940000,1901.4,1901.4,1901.1,1901.1,0.596
40,40,1694652000000,1900.6,1901.3,1900.6,1901.0,0.688
41,41,1694652060000,1901.2,1901.3,1900.0,1901.1,9.464
42,42,1694652120000,1901.7,1902.4,1901.7,1902.4,5.479
43,43,1694652180000,1902.1,1902.1,1901.3,1901.9,2.916
44,44,1694652240000,1901.7,1901.9,1901.3,1901.3,0.115
45,45,1694652300000,1901.3,1901.7,1901.2,1901.3,0.286
46,46,1694652360000,1901.3,1901.6,1899.8,1899.8,3.262
47,47,1694652420000,1899.8,1901.6,1899.4,1899.7,8.173
48,48,1694652480000,1899.7,1900.0,1898.7,1899.0,4.554
49,49,1694652540000,1898.7,1900.1,1898.7,1900.0,3.094
50,50,1694652600000,1900.0,1900.4,1899.8,1900.2,0.527
51,51,1694652660000,1899.9,1899.9,1898.0,1898.2,7.061
52,52,1694652720000,1898.3,1898.5,1897.5,1897.8,2.941
53,53,1694652780000,1898.6,1899.1,1898.6,1898.9,0.501
54,54,1694652840000,1899.2,1899.8,1898.0,1898.9,10.03
55,55,1694652900000,1898.8,1899.3,1897.4,1898.8,19.091
56,56,1694652960000,1898.7,1898.9,1897.6,1898.7,8.578
57,57,1694653020000,1898.8,1899.3,1898.3,1899.3,4.294
58,58,1694653080000,1899.5,1900.6,1899.5,1900.6,0.916
59,59,1694653140000,1900.8,1901.1,1900.2,1900.2,0.999
60,60,1694653200000,1900.7,1900.8,1899.6,1899.6,3.35
61,61,1694653260000,1899.6,1899.7,1898.0,1898.7,2.844
62,62,1694653320000,1898.6,1898.7,1898.5,1898.5,0.562
63,63,1694653380000,1898.5,1900.8,1898.5,1900.8,4.55
64,64,1694653440000,1900.7,1901.9,1900.1,1901.9,3.116
65,65,1694653500000,1902.0,1902.0,1899.1,1899.1,3.389
66,66,1694653560000,1899.4,1899.6,1898.4,1898.4,0.603
67,67,1694653620000,1898.1,1899.1,1898.0,1898.8,3.084
68,68,1694653680000,1899.2,1900.0,1896.2,1897.0,23.822
69,69,1694653740000,1896.9,1897.4,1896.9,1897.4,0.024
70,70,1694653800000,1897.8,1897.8,1896.5,1897.0,5.98
71,71,1694653860000,1896.6,1897.2,1896.3,1896.8,6.253
72,72,1694653920000,1896.9,1897.8,1896.9,1897.6,2.016
73,73,1694653980000,1897.5,1897.5,1896.6,1896.6,1.305
74,74,1694654040000,1896.6,1896.7,1896.1,1896.4,4.017
75,75,1694654100000,1896.3,1896.7,1896.3,1896.3,2.397
76,76,1694654160000,1896.7,1896.8,1896.3,1896.6,6.751
77,77,1694654220000,1896.4,1896.9,1895.7,1896.9,4.953
78,78,1694654280000,1896.9,1898.7,1896.0,1898.7,9.25
79,79,1694654340000,1898.4,1898.4,1897.1,1897.2,1.481
80,80,1694654400000,1897.2,1897.7,1894.5,1895.0,5.342
81,81,1694654460000,1894.5,1896.6,1894.0,1895.1,8.716
82,82,1694654520000,1894.0,1894.5,1893.5,1893.5,7.668
83,83,1694654580000,1893.3,1894.4,1893.1,1894.0,12.903
84,84,1694654640000,1894.0,1894.3,1894.0,1894.3,1.859
85,85,1694654700000,1894.2,1894.4,1894.2,1894.4,0.014
86,86,1694654760000,1894.5,1895.2,1894.5,1894.8,6.015
87,87,1694654820000,1894.8,1895.3,1894.8,1895.1,0.494
88,88,1694654880000,1894.7,1894.7,1894.5,1894.6,0.869
89,89,1694654940000,1894.6,1894.9,1894.6,1894.9,0.301
90,90,1694655000000,1894.8,1894.8,1894.6,1894.6,1.035
91,91,1694655060000,1894.9,1895.8,1894.9,1895.4,5.489
92,92,1694655120000,1895.2,1895.7,1894.8,1895.7,0.873
93,93,1694655180000,1895.7,1896.8,1895.7,1896.1,12.393
94,94,1694655240000,1896.1,1896.1,1895.9,1896.0,1.199
95,95,1694655300000,1896.5,1896.5,1896.1,1896.1,0.854
96,96,1694655360000,1896.3,1896.3,1896.2,1896.2,1.059
97,97,1694655420000,1896.3,1896.3,1895.4,1895.5,1.362
98,98,1694655480000,1896.1,1897.4,1896.1,1897.0,5.08
99,99,1694655540000,1896.9,1896.9,1895.8,1895.8,2.444
100,100,1694655600000,1895.9,1896.1,1895.9,1896.0,1.138
101,101,1694655660000,1895.8,1895.8,1895.8,1895.8,0.063
102,102,1694655720000,1895.8,1896.5,1895.4,1895.4,3.246
103,103,1694655780000,1895.4,1895.4,1895.4,1895.4,0.0
104,104,1694655840000,1895.4,1895.4,1895.4,1895.4,0.0
105,105,1694655900000,1895.8,1895.8,1895.4,1895.5,6.533
106,106,1694655960000,1895.4,1895.6,1895.3,1895.6,1.38
107,107,1694656020000,1895.5,1895.5,1895.2,1895.2,1.328
108,108,1694656080000,1895.2,1895.2,1895.2,1895.2,0.0
109,109,1694656140000,1895.3,1895.3,1895.2,1895.2,0.015
110,110,1694656200000,1895.2,1895.8,1895.2,1895.8,0.46
111,111,1694656260000,1895.9,1896.0,1895.6,1895.6,0.146
112,112,1694656320000,1895.6,1895.6,1895.6,1895.6,0.004
113,113,1694656380000,1895.6,1895.6,1895.6,1895.6,0.0
114,114,1694656440000,1895.4,1895.4,1895.4,1895.4,0.027
115,115,1694656500000,1895.1,1895.1,1895.1,1895.1,0.093
116,116,1694656560000,1894.9,1894.9,1894.9,1894.9,0.125
117,117,1694656620000,1894.8,1895.2,1894.8,1895.2,0.024
118,118,1694656680000,1895.2,1895.5,1895.2,1895.5,0.442
119,119,1694656740000,1895.5,1895.6,1895.2,1895.2,0.224
120,120,1694656800000,1895.1,1896.2,1894.7,1896.2,2.593
121,121,1694656860000,1896.2,1896.2,1895.7,1895.9,1.639
122,122,1694656920000,1895.9,1895.9,1895.7,1895.7,0.074
123,123,1694656980000,1895.7,1896.7,1895.6,1896.7,3.471
124,124,1694657040000,1896.6,1897.1,1896.6,1897.0,1.188
125,125,1694657100000,1896.6,1896.7,1896.5,1896.7,0.913
126,126,1694657160000,1896.5,1896.5,1896.4,1896.5,0.327
127,127,1694657220000,1896.8,1896.9,1896.5,1896.9,0.182
128,128,1694657280000,1896.9,1896.9,1896.9,1896.9,0.0
129,129,1694657340000,1897.1,1897.1,1896.8,1896.8,0.364
130,130,1694657400000,1896.4,1896.4,1896.4,1896.4,0.049
131,131,1694657460000,1896.5,1896.8,1896.4,1896.8,1.091
132,132,1694657520000,1896.8,1896.8,1896.8,1896.8,0.0
133,133,1694657580000,1896.9,1896.9,1896.9,1896.9,0.196
134,134,1694657640000,1896.7,1896.7,1896.6,1896.6,0.817
135,135,1694657700000,1896.6,1896.6,1896.6,1896.6,0.0
136,136,1694657760000,1896.5,1896.5,1896.5,1896.5,0.027
137,137,1694657820000,1896.5,1896.5,1896.5,1896.5,0.0
138,138,1694657880000,1896.5,1896.5,1896.5,1896.5,0.0
139,139,1694657940000,1896.5,1897.0,1896.5,1896.9,2.354
140,140,1694658000000,1896.9,1897.2,1896.9,1897.2,1.539
141,141,1694658060000,1897.2,1897.8,1897.1,1897.8,3.601
142,142,1694658120000,1897.9,1898.1,1897.9,1898.1,0.589
143,143,1694658180000,1898.2,1898.3,1898.2,1898.3,0.401
144,144,1694658240000,1898.3,1898.6,1898.3,1898.6,0.15
145,145,1694658300000,1898.7,1898.7,1898.7,1898.7,1.07
146,146,1694658360000,1898.8,1898.9,1898.8,1898.9,0.067
147,147,1694658420000,1898.8,1898.8,1898.7,1898.7,0.386
