,index,timestamp,open,high,low,close,volume
0,0,1694390400000,25828.4,25835.8,25828.1,25835.7,152.568
1,1,1694390460000,25835.8,25835.8,25820.3,25820.4,121.519
2,2,1694390520000,25820.4,25828.4,25818.4,25823.5,102.191
3,3,1694390580000,25823.5,25838.7,25823.4,25836.6,112.531
4,4,1694390640000,25836.5,25836.6,25829.7,25831.9,47.271
5,5,1694390700000,25831.9,25833.4,25831.7,25833.3,52.604
6,6,1694390760000,25833.4,25838.3,25830.5,25834.3,54.31
7,7,1694390820000,25834.4,25834.4,25830.5,25830.6,25.519
8,8,1694390880000,25830.5,25842.8,25830.5,25842.8,96.92
9,9,1694390940000,25842.8,25853.0,25842.7,25849.2,249.248
10,10,1694391000000,25849.3,25853.9,25849.2,25853.8,90.163
11,11,1694391060000,25853.8,25854.9,25852.3,25852.6,78.409
12,12,1694391120000,25852.6,25855.5,25852.5,25855.5,88.411
13,13,1694391180000,25855.5,25861.9,25855.4,25861.0,109.84
14,14,1694391240000,25860.9,25861.6,25859.0,25861.6,53.739
15,15,1694391300000,25861.7,25864.9,25858.4,25859.7,114.834
16,16,1694391360000,25859.7,25859.8,25855.4,25855.4,39.117
17,17,1694391420000,25855.4,25855.5,25851.8,25851.9,84.887
18,18,1694391480000,25851.9,25863.0,25851.5,25857.6,164.223
19,19,1694391540000,25857.7,25857.7,25831.7,25833.7,763.903
20,20,1694391600000,25833.8,25848.0,25830.2,25832.2,349.94
21,21,1694391660000,25832.3,25843.1,25830.2,25833.5,119.357
22,22,1694391720000,25833.5,25835.5,25802.3,25811.9,741.672
23,23,1694391780000,25811.9,25814.7,25780.0,25805.8,1104.891
24,24,1694391840000,25805.9,25808.8,25783.9,25799.9,575.189
25,25,1694391900000,25799.9,25806.9,25793.5,25803.1,108.092
26,26,1694391960000,25803.1,25803.1,25797.3,25797.3,54.735
27,27,1694392020000,25797.4,25797.4,25782.6,25795.8,193.972
28,28,1694392080000,25795.8,25795.8,25765.8,25777.4,601.017
29,29,1694392140000,25777.5,25790.7,25770.7,25782.4,363.293
30,30,1694392200000,25782.5,25788.7,25775.5,25787.1,202.585
31,31,1694392260000,25787.1,25793.1,25784.7,25784.8,140.905
32,32,1694392320000,25784.8,25790.2,25784.8,25790.0,40.57
33,33,1694392380000,25790.0,25790.1,25775.7,25775.7,222.961
34,34,1694392440000,25775.7,25775.8,25749.5,25761.7,872.711
35,35,1694392500000,25761.8,25765.2,25754.3,25755.2,206.155
36,36,1694392560000,25755.2,25755.2,25715.6,25719.2,1455.351
37,37,1694392620000,25719.2,25730.9,25708.0,25708.1,434.656
38,38,1694392680000,25708.1,25727.5,25692.8,25701.6,1108.536
39,39,1694392740000,25701.5,25701.6,25672.1,25693.5,981.687
40,40,1694392800000,25693.6,25713.3,25674.1,25711.1,573.806
41,41,1694392860000,25711.1,25711.1,25695.6,25710.2,329.371
42,42,1694392920000,25710.2,25712.7,25703.0,25705.6,239.779
43,43,1694392980000,25705.6,25708.3,25675.3,25685.0,326.597
44,44,1694393040000,25684.9,25691.6,25678.4,25691.5,194.117
45,45,1694393100000,25691.6,25694.5,25672.1,25685.0,293.118
46,46,1694393160000,25685.0,25685.0,25639.8,25662.2,1263.05
47,47,1694393220000,25662.2,25687.5,25661.7,25679.5,430.433
48,48,1694393280000,25679.4,25686.2,25675.8,25675.8,327.371
49,49,1694393340000,25675.8,25690.0,25672.9,25690.0,184.596
50,50,1694393400000,25690.0,25690.0,25672.5,25684.8,179.026
51,51,1694393460000,25684.9,25705.8,25684.9,25701.6,268.367
52,52,1694393520000,25701.6,25719.4,25701.5,25713.7,184.04
53,53,1694393580000,25713.6,25721.8,25710.0,25721.8,162.537
54,54,1694393640000,25721.7,25721.7,25717.0,25720.3,82.973
55,55,1694393700000,25720.3,25720.3,25704.4,25714.5,146.635
56,56,1694393760000,25714.6,25714.6,25705.9,25705.9,63.375
