,index,timestamp,open,high,low,close,volume
0,0,1690848000000,29595.7,29595.7,29590.9,29590.9,0.235
1,1,1690848060000,29591.0,29591.0,29591.0,29591.0,0.071
2,2,1690848120000,29591.0,29593.8,29591.0,29593.7,0.069
3,3,1690848180000,29591.0,29598.3,29580.0,29598.3,11.021
4,4,1690848240000,29593.0,29593.7,29593.0,29593.7,0.094
5,5,1690848300000,29595.8,29595.8,29586.4,29586.4,0.175
6,6,1690848360000,29577.9,29579.1,29577.9,29577.9,0.015
7,7,1690848420000,29577.9,29581.0,29577.8,29581.0,0.233
8,8,1690848480000,29581.0,29581.0,29581.0,29581.0,0.0
9,9,1690848540000,29579.8,29579.8,29579.8,29579.8,0.006
10,10,1690848600000,29579.0,29583.0,29577.5,29581.9,0.174
11,11,1690848660000,29583.0,29583.4,29583.0,29583.4,0.01
12,12,1690848720000,29586.9,29586.9,29586.9,29586.9,0.008
13,13,1690848780000,29587.2,29589.3,29587.2,29589.3,0.084
14,14,1690848840000,29591.0,29591.0,29590.9,29590.9,0.016
15,15,1690848900000,29592.6,29593.7,29592.6,29593.5,0.017
16,16,1690848960000,29593.5,29596.0,29593.5,29596.0,0.045
17,17,1690849020000,29596.0,29596.0,29596.0,29596.0,0.0
18,18,1690849080000,29596.0,29596.7,29596.0,29596.7,0.013
19,19,1690849140000,29596.3,29601.4,29589.0,29601.4,0.187
20,20,1690849200000,29602.7,29602.7,29600.4,29600.4,0.063
21,21,1690849260000,29609.2,29616.1,29609.2,29616.1,2.121
22,22,1690849320000,29616.4,29616.4,29612.2,29612.2,0.012
23,23,1690849380000,29609.4,29609.4,29601.0,29601.0,0.367
24,24,1690849440000,29601.5,29601.5,29601.4,29601.4,0.016
25,25,1690849500000,29603.4,29609.1,29603.4,29609.1,0.015
26,26,1690849560000,29607.6,29607.7,29607.6,29607.7,0.139
27,27,1690849620000,29605.2,29605.2,29602.3,29602.9,0.007
28,28,1690849680000,29600.0,29605.6,29594.0,29604.7,0.486
29,29,1690849740000,29604.9,29608.7,29604.2,29604.2,0.059
30,30,1690849800000,29607.4,29611.8,29604.2,29608.7,0.099
31,31,1690849860000,29612.4,29618.4,29612.4,29618.3,0.099
32,32,1690849920000,29616.8,29616.8,29616.8,29616.8,0.095
33,33,1690849980000,29620.1,29620.1,29616.6,29616.6,0.07
