,index,timestamp,open,high,low,close,volume
0,0,1694131200000,0.1432,0.1434,0.1431,0.1432,262236
1,1,1694131260000,0.1432,0.1433,0.1431,0.1432,120586
2,2,1694131320000,0.1432,0.1432,0.1428,0.1428,82993
3,3,1694131380000,0.1428,0.1429,0.1428,0.1428,48587
4,4,1694131440000,0.1429,0.1429,0.1428,0.1428,69919
5,5,1694131500000,0.1428,0.143,0.1428,0.1429,159066
6,6,1694131560000,0.1429,0.143,0.1429,0.1429,19732
7,7,1694131620000,0.1428,0.1428,0.1426,0.1427,60038
8,8,1694131680000,0.1427,0.1427,0.1425,0.1425,79353
9,9,1694131740000,0.1425,0.1426,0.1424,0.1426,121890
10,10,1694131800000,0.1427,0.1427,0.1426,0.1426,102482
11,11,1694131860000,0.1425,0.1427,0.1425,0.1427,54800
12,12,1694131920000,0.1426,0.1427,0.1425,0.1425,45601
13,13,1694131980000,0.1426,0.1427,0.1426,0.1427,120347
14,14,1694132040000,0.1426,0.1426,0.1425,0.1426,49355
15,15,1694132100000,0.1426,0.1427,0.1425,0.1426,40881
16,16,1694132160000,0.1425,0.1425,0.1424,0.1424,17248
17,17,1694132220000,0.1424,0.1425,0.1424,0.1425,108699
18,18,1694132280000,0.1425,0.1425,0.1422,0.1424,95954
19,19,1694132340000,0.1424,0.1424,0.1423,0.1423,89035
20,20,1694132400000,0.1424,0.1425,0.1424,0.1425,120259
21,21,1694132460000,0.1425,0.1427,0.1425,0.1427,123859
22,22,1694132520000,0.1427,0.1427,0.1426,0.1426,33666
23,23,1694132580000,0.1426,0.1427,0.1426,0.1427,62534
24,24,1694132640000,0.1426,0.1426,0.1426,0.1426,16554
25,25,1694132700000,0.1427,0.1429,0.1427,0.1427,122403
26,26,1694132760000,0.1427,0.1428,0.1426,0.1427,81436
27,27,1694132820000,0.1427,0.1427,0.1426,0.1426,87404
28,28,1694132880000,0.1426,0.1426,0.1424,0.1424,199159
29,29,1694132940000,0.1425,0.1425,0.1423,0.1423,52247
30,30,1694133000000,0.1424,0.1425,0.1424,0.1425,48858
31,31,1694133060000,0.1425,0.1427,0.1425,0.1427,173078
32,32,1694133120000,0.1427,0.1427,0.1426,0.1427,40814
33,33,1694133180000,0.1427,0.1427,0.1426,0.1426,34653
34,34,1694133240000,0.1427,0.1429,0.1427,0.1428,145333
35,35,1694133300000,0.1428,0.1428,0.1427,0.1428,56902
36,36,1694133360000,0.1428,0.1428,0.1427,0.1428,63903
37,37,1694133420000,0.1428,0.1431,0.1428,0.143,141381
38,38,1694133480000,0.143,0.1431,0.1429,0.143,95502
39,39,1694133540000,0.143,0.143,0.1429,0.1429,100204
40,40,1694133600000,0.143,0.1432,0.143,0.1432,48863
41,41,1694133660000,0.1432,0.1433,0.1431,0.1432,95573
42,42,1694133720000,0.1433,0.1433,0.1432,0.1432,34890
43,43,1694133780000,0.1433,0.1434,0.1433,0.1434,75170
44,44,1694133840000,0.1434,0.1435,0.1433,0.1433,104709
45,45,1694133900000,0.1433,0.1434,0.1432,0.1434,101359
46,46,1694133960000,0.1434,0.1434,0.1432,0.1433,75346
47,47,1694134020000,0.1433,0.1433,0.143,0.143,377804
48,48,1694134080000,0.1429,0.1431,0.1429,0.1429,137238
49,49,1694134140000,0.1429,0.1429,0.1428,0.1429,165433
50,50,1694134200000,0.1429,0.143,0.1429,0.143,44790
51,51,1694134260000,0.1429,0.1431,0.1429,0.1431,92110
52,52,1694134320000,0.1432,0.1432,0.1432,0.1432,55669
53,53,1694134380000,0.1433,0.1433,0.1433,0.1433,39554
