,index,timestamp,open,high,low,close,volume
0,0,1693526400000,0.01138,0.01138,0.01135,0.01137,2532772
1,1,1693526460000,0.01137,0.01138,0.01136,0.01137,592711
2,2,1693526520000,0.01138,0.0114,0.01137,0.01139,1225975
3,3,1693526580000,0.01139,0.0114,0.01138,0.01138,470312
4,4,1693526640000,0.01139,0.01139,0.01139,0.01139,2486
5,5,1693526700000,0.01139,0.0114,0.01139,0.0114,490381
6,6,1693526760000,0.01139,0.01139,0.01138,0.01139,627070
7,7,1693526820000,0.01138,0.01139,0.01138,0.01139,146378
8,8,1693526880000,0.01139,0.01139,0.01139,0.01139,90071
9,9,1693526940000,0.01139,0.0114,0.01139,0.01139,127423
10,10,1693527000000,0.01139,0.0114,0.01139,0.01139,164862
11,11,1693527060000,0.01139,0.01139,0.01139,0.01139,18723
12,12,1693527120000,0.01139,0.01139,0.01139,0.01139,197205
13,13,1693527180000,0.0114,0.0114,0.0114,0.0114,38730
14,14,1693527240000,0.0114,0.0114,0.01138,0.01139,255476
15,15,1693527300000,0.0114,0.01141,0.0114,0.01141,866104
16,16,1693527360000,0.01141,0.01142,0.0114,0.01142,260493
17,17,1693527420000,0.01142,0.01142,0.01141,0.01141,157116
18,18,1693527480000,0.01142,0.01142,0.01142,0.01142,166991
19,19,1693527540000,0.01142,0.01142,0.01142,0.01142,0
20,20,1693527600000,0.01142,0.01143,0.01142,0.01142,114323
21,21,1693527660000,0.01143,0.01143,0.01142,0.01142,2669
22,22,1693527720000,0.01142,0.01142,0.01141,0.01142,334485
23,23,1693527780000,0.01142,0.01142,0.01142,0.01142,357922
24,24,1693527840000,0.01141,0.01142,0.01141,0.01141,401818
25,25,1693527900000,0.01141,0.01141,0.01139,0.01139,216364
26,26,1693527960000,0.0114,0.0114,0.01139,0.0114,97291
27,27,1693528020000,0.01139,0.01141,0.01139,0.01141,423907
28,28,1693528080000,0.0114,0.01141,0.0114,0.0114,16054
29,29,1693528140000,0.0114,0.0114,0.0114,0.0114,0
30,30,1693528200000,0.01141,0.01141,0.0114,0.0114,22020
31,31,1693528260000,0.0114,0.0114,0.0114,0.0114,9031
32,32,1693528320000,0.0114,0.0114,0.0114,0.0114,9424
33,33,1693528380000,0.0114,0.01141,0.0114,0.01141,71553
34,34,1693528440000,0.01141,0.01141,0.0114,0.0114,184052
35,35,1693528500000,0.01141,0.01141,0.0114,0.0114,290989
36,36,1693528560000,0.0114,0.0114,0.01139,0.01139,250442
37,37,1693528620000,0.0114,0.0114,0.0114,0.0114,251321
38,38,1693528680000,0.0114,0.01141,0.0114,0.0114,18080
39,39,1693528740000,0.0114,0.0114,0.0114,0.0114,0
40,40,1693528800000,0.01141,0.01142,0.01141,0.01142,142746
41,41,1693528860000,0.01142,0.01144,0.01142,0.01143,211933
42,42,1693528920000,0.01144,0.01144,0.01144,0.01144,2614
43,43,1693528980000,0.01143,0.01143,0.01143,0.01143,13667
44,44,1693529040000,0.01144,0.01145,0.01143,0.01145,1108799
45,45,1693529100000,0.01145,0.01146,0.01143,0.01143,890707
46,46,1693529160000,0.01143,0.01143,0.01143,0.01143,1254
47,47,1693529220000,0.01143,0.01143,0.01143,0.01143,6127
48,48,1693529280000,0.01143,0.01143,0.01143,0.01143,201895
49,49,1693529340000,0.01142,0.01143,0.01142,0.01143,98438
50,50,1693529400000,0.01143,0.01143,0.01142,0.01142,37822
51,51,1693529460000,0.01142,0.01143,0.01142,0.01143,23865
52,52,1693529520000,0.01142,0.01142,0.01142,0.01142,445
53,53,1693529580000,0.01142,0.01142,0.01142,0.01142,7824
54,54,1693529640000,0.01142,0.01142,0.01142,0.01142,14436
55,55,1693529700000,0.01143,0.01143,0.01142,0.01142,24382
56,56,1693529760000,0.01142,0.01143,0.01142,0.01142,130396
57,57,1693529820000,0.01142,0.01142,0.01142,0.01142,6882
58,58,1693529880000,0.01142,0.01142,0.01142,0.01142,35992
59,59,1693529940000,0.01142,0.01143,0.01142,0.01143,18279
60,60,1693530000000,0.01142,0.01143,0.0114,0.0114,2404782
61,61,1693530060000,0.0114,0.01141,0.01139,0.01139,872587
62,62,1693530120000,0.0114,0.0114,0.01139,0.01139,55668
63,63,1693530180000,0.01139,0.0114,0.01139,0.0114,415654
64,64,1693530240000,0.01139,0.0114,0.01138,0.01138,112914
65,65,1693530300000,0.01138,0.01138,0.01137,0.01137,413382
66,66,1693530360000,0.01136,0.01136,0.01136,0.01136,22115
67,67,1693530420000,0.01137,0.01137,0.01136,0.01136,182652
68,68,1693530480000,0.01136,0.01137,0.01136,0.01136,139530
69,69,1693530540000,0.01136,0.01136,0.01136,0.01136,3753
70,70,1693530600000,0.01137,0.01137,0.01136,0.01136,43152
71,71,1693530660000,0.01136,0.01136,0.01136,0.01136,1359
72,72,1693530720000,0.01137,0.01137,0.01137,0.01137,3096
73,73,1693530780000,0.01136,0.01138,0.01136,0.01137,796046
74,74,1693530840000,0.01136,0.01137,0.01136,0.01137,69074
75,75,1693530900000,0.01137,0.01137,0.01137,0.01137,3065
76,76,1693530960000,0.01136,0.01137,0.01136,0.01136,27452
77,77,1693531020000,0.01136,0.01136,0.01136,0.01136,126329
78,78,1693531080000,0.01136,0.01136,0.01135,0.01136,7606
79,79,1693531140000,0.01136,0.01136,0.01136,0.01136,3065
80,80,1693531200000,0.01136,0.01137,0.01136,0.01137,673038
81,81,1693531260000,0.01136,0.01137,0.01136,0.01137,244258
82,82,1693531320000,0.01136,0.01137,0.01136,0.01137,41296
83,83,1693531380000,0.01136,0.01137,0.01136,0.01137,35195
84,84,1693531440000,0.01137,0.01137,0.01137,0.01137,3065
85,85,1693531500000,0.01137,0.01137,0.01136,0.01137,7682
86,86,1693531560000,0.01136,0.01136,0.01135,0.01135,1111082
87,87,1693531620000,0.01135,0.01135,0.01135,0.01135,372846
88,88,1693531680000,0.01135,0.01137,0.01135,0.01137,407458
89,89,1693531740000,0.01136,0.01136,0.01136,0.01136,488016
90,90,1693531800000,0.01137,0.01138,0.01136,0.01136,1015454
91,91,1693531860000,0.01136,0.01136,0.01132,0.01132,2800496
92,92,1693531920000,0.01132,0.01134,0.01132,0.01134,440074
93,93,1693531980000,0.01133,0.01134,0.01133,0.01134,7253
94,94,1693532040000,0.01134,0.01134,0.01133,0.01134,61049
95,95,1693532100000,0.01134,0.01135,0.01133,0.01133,342252
96,96,1693532160000,0.01134,0.01135,0.01134,0.01134,237829
97,97,1693532220000,0.01133,0.01134,0.01133,0.01133,406681
98,98,1693532280000,0.01133,0.01134,0.01133,0.01134,62808
99,99,1693532340000,0.01134,0.01135,0.01134,0.01135,128549
100,100,1693532400000,0.01135,0.01135,0.01133,0.01133,603302
101,101,1693532460000,0.01133,0.01133,0.01133,0.01133,170556
102,102,1693532520000,0.01134,0.01135,0.01134,0.01135,97585
103,103,1693532580000,0.01134,0.01135,0.01134,0.01135,12843
104,104,1693532640000,0.01134,0.01134,0.01134,0.01134,185455
105,105,1693532700000,0.01134,0.01135,0.01132,0.01133,1038459
106,106,1693532760000,0.01133,0.01133,0.01131,0.01131,343340
107,107,1693532820000,0.01132,0.01132,0.01131,0.01132,15434
108,108,1693532880000,0.01131,0.01132,0.01131,0.01132,13801
109,109,1693532940000,0.01132,0.01133,0.01131,0.01132,2087942
110,110,1693533000000,0.01133,0.01134,0.01132,0.01134,179431
111,111,1693533060000,0.01133,0.01134,0.01133,0.01133,44788
112,112,1693533120000,0.01133,0.01133,0.01132,0.01133,296280
113,113,1693533180000,0.01134,0.01134,0.01133,0.01133,123929
114,114,1693533240000,0.01133,0.01133,0.01132,0.01133,19942
115,115,1693533300000,0.01133,0.01133,0.01132,0.01132,38233
116,116,1693533360000,0.01132,0.01133,0.01129,0.01129,1235816
