,index,timestamp,open,high,low,close,volume
0,0,1694908800000,0.1236,0.1237,0.1234,0.1235,1396306
1,1,1694908860000,0.1234,0.1235,0.1232,0.1234,905106
2,2,1694908920000,0.1234,0.1235,0.1234,0.1235,938157
3,3,1694908980000,0.1234,0.1235,0.1233,0.1233,638600
4,4,1694909040000,0.1233,0.1234,0.1232,0.1234,1068049
5,5,1694909100000,0.1234,0.1235,0.1232,0.1234,768854
6,6,1694909160000,0.1234,0.1235,0.1234,0.1235,284847
7,7,1694909220000,0.1235,0.1237,0.1234,0.1236,807454
8,8,1694909280000,0.1235,0.1236,0.1234,0.1235,459772
9,9,1694909340000,0.1235,0.1236,0.1234,0.1234,536947
10,10,1694909400000,0.1233,0.1233,0.1228,0.1231,3826301
11,11,1694909460000,0.123,0.1231,0.1229,0.123,1218272
12,12,1694909520000,0.123,0.123,0.1227,0.1227,483338
13,13,1694909580000,0.1228,0.1229,0.1225,0.1226,1014668
14,14,1694909640000,0.1225,0.1226,0.1223,0.1224,1939450
15,15,1694909700000,0.1223,0.1224,0.1219,0.1219,1936877
16,16,1694909760000,0.122,0.1227,0.1219,0.1226,3489817
17,17,1694909820000,0.1225,0.1226,0.1223,0.1226,1203956
18,18,1694909880000,0.1226,0.1228,0.1225,0.1228,371278
19,19,1694909940000,0.1228,0.123,0.1227,0.1229,612886
20,20,1694910000000,0.123,0.1233,0.1229,0.1233,859755
21,21,1694910060000,0.1233,0.1235,0.1232,0.1234,529070
22,22,1694910120000,0.1235,0.1236,0.1232,0.1234,926969
23,23,1694910180000,0.1233,0.1234,0.1232,0.1234,534152
24,24,1694910240000,0.1234,0.1235,0.1233,0.1233,150196
25,25,1694910300000,0.1234,0.1235,0.1234,0.1235,188941
26,26,1694910360000,0.1235,0.1236,0.1233,0.1234,617911
27,27,1694910420000,0.1234,0.1234,0.1228,0.1228,1469514
28,28,1694910480000,0.1229,0.1231,0.1228,0.1229,1763068
29,29,1694910540000,0.1229,0.123,0.1227,0.1229,1550868
30,30,1694910600000,0.123,0.1232,0.1228,0.1232,930223
31,31,1694910660000,0.1233,0.1237,0.1232,0.1236,3173226
32,32,1694910720000,0.1236,0.1238,0.1235,0.1236,3716314
33,33,1694910780000,0.1236,0.1236,0.1229,0.1231,2275016
34,34,1694910840000,0.1232,0.1233,0.1232,0.1233,812145
35,35,1694910900000,0.1233,0.1235,0.1232,0.1234,984226
36,36,1694910960000,0.1235,0.1239,0.1234,0.1238,1158368
37,37,1694911020000,0.1238,0.124,0.1236,0.1237,1372279
38,38,1694911080000,0.1236,0.1239,0.1235,0.1238,763001
39,39,1694911140000,0.1238,0.1242,0.1237,0.1242,2548685
