,index,timestamp,open,high,low,close,volume
0,0,1690848000000,0.07731,0.07731,0.07713,0.07713,532701
1,1,1690848060000,0.07713,0.07722,0.07713,0.07722,202508
2,2,1690848120000,0.07721,0.07725,0.07721,0.07725,51513
3,3,1690848180000,0.07726,0.07727,0.07722,0.07722,158632
4,4,1690848240000,0.07723,0.07724,0.07721,0.07721,84947
5,5,1690848300000,0.07721,0.07721,0.07688,0.07696,852718
6,6,1690848360000,0.07697,0.07711,0.07696,0.07709,1379335
7,7,1690848420000,0.0771,0.07711,0.07706,0.07708,248371
8,8,1690848480000,0.07709,0.07714,0.07709,0.07714,97916
9,9,1690848540000,0.07714,0.07718,0.07712,0.07718,160611
10,10,1690848600000,0.07718,0.07725,0.07718,0.07721,189198
11,11,1690848660000,0.07722,0.0773,0.07722,0.07726,265146
12,12,1690848720000,0.07726,0.07732,0.07724,0.07732,617133
13,13,1690848780000,0.07731,0.07738,0.07731,0.07737,225147
14,14,1690848840000,0.07736,0.07736,0.07731,0.07733,149959
15,15,1690848900000,0.07733,0.07735,0.0773,0.07731,126566
16,16,1690848960000,0.07733,0.07736,0.07732,0.07735,43699
17,17,1690849020000,0.07735,0.07739,0.07735,0.07736,44657
18,18,1690849080000,0.07736,0.07736,0.07731,0.07735,79562
19,19,1690849140000,0.07733,0.07738,0.07727,0.07737,135251
20,20,1690849200000,0.07737,0.07744,0.07737,0.07743,118638
21,21,1690849260000,0.07744,0.0775,0.07742,0.07746,295536
22,22,1690849320000,0.07745,0.07748,0.07744,0.07745,167775
23,23,1690849380000,0.07745,0.07755,0.07745,0.07749,420400
24,24,1690849440000,0.07748,0.07749,0.07745,0.07748,116426
25,25,1690849500000,0.07748,0.07753,0.07748,0.07751,129158
26,26,1690849560000,0.07751,0.07754,0.07751,0.07751,48656
27,27,1690849620000,0.07749,0.07749,0.07747,0.07749,30177
28,28,1690849680000,0.07748,0.07748,0.07739,0.07746,351211
29,29,1690849740000,0.07747,0.07753,0.07747,0.07753,93844
30,30,1690849800000,0.07754,0.07761,0.07752,0.07759,424157
31,31,1690849860000,0.0776,0.07765,0.0776,0.07764,161911
32,32,1690849920000,0.07763,0.07763,0.07762,0.07763,75824
33,33,1690849980000,0.07762,0.07767,0.07761,0.07764,258773
34,34,1690850040000,0.07763,0.07764,0.07758,0.07759,189447
35,35,1690850100000,0.0776,0.07762,0.07759,0.07761,117801
36,36,1690850160000,0.07761,0.07761,0.07758,0.07758,86779
37,37,1690850220000,0.07759,0.07759,0.07758,0.07758,34838
38,38,1690850280000,0.07758,0.07759,0.07752,0.07759,197846
39,39,1690850340000,0.0776,0.07766,0.0776,0.07764,302681
40,40,1690850400000,0.07765,0.07765,0.0776,0.0776,70343
41,41,1690850460000,0.0776,0.07768,0.0776,0.07768,302826
42,42,1690850520000,0.07768,0.07768,0.07766,0.07766,29684
43,43,1690850580000,0.07768,0.07768,0.07764,0.07764,79242
44,44,1690850640000,0.07763,0.07764,0.07763,0.07764,20527
45,45,1690850700000,0.07766,0.0777,0.07766,0.07769,158836
46,46,1690850760000,0.07768,0.07768,0.07764,0.07765,83089
47,47,1690850820000,0.07765,0.07768,0.07764,0.07768,70850
48,48,1690850880000,0.0777,0.0777,0.07761,0.07764,157624
49,49,1690850940000,0.07764,0.07766,0.07764,0.07765,18789
50,50,1690851000000,0.07764,0.07766,0.07757,0.07757,168678
51,51,1690851060000,0.07758,0.07763,0.07758,0.0776,75118
52,52,1690851120000,0.07758,0.07758,0.07753,0.07753,63100
53,53,1690851180000,0.07754,0.07764,0.07754,0.07762,162383
54,54,1690851240000,0.07762,0.07762,0.0776,0.07762,123388
55,55,1690851300000,0.07764,0.07765,0.07762,0.07762,15982
56,56,1690851360000,0.07762,0.07762,0.07759,0.07759,63701
57,57,1690851420000,0.07759,0.07765,0.07758,0.07764,159829
58,58,1690851480000,0.07763,0.07764,0.07761,0.07761,169719
59,59,1690851540000,0.07762,0.07762,0.07757,0.07759,96514
60,60,1690851600000,0.0776,0.07764,0.07754,0.07757,818235
61,61,1690851660000,0.07758,0.07764,0.07755,0.07762,318596
62,62,1690851720000,0.07763,0.07765,0.07761,0.07762,80177
63,63,1690851780000,0.07761,0.07761,0.07756,0.07759,112833
64,64,1690851840000,0.07758,0.0777,0.07757,0.07768,555613
65,65,1690851900000,0.07768,0.07769,0.07759,0.07763,279334
66,66,1690851960000,0.07765,0.07769,0.07764,0.07767,119841
67,67,1690852020000,0.07767,0.0777,0.0776,0.0776,231690
68,68,1690852080000,0.0776,0.07764,0.07757,0.07762,137349
69,69,1690852140000,0.07764,0.07764,0.07761,0.07761,40929
70,70,1690852200000,0.07761,0.07765,0.07761,0.07763,41658
71,71,1690852260000,0.07763,0.07766,0.07763,0.07766,77163
72,72,1690852320000,0.07765,0.07765,0.07763,0.07763,76288
73,73,1690852380000,0.07764,0.07766,0.07764,0.07765,38705
74,74,1690852440000,0.07764,0.07764,0.0776,0.0776,92898
75,75,1690852500000,0.07761,0.07764,0.07752,0.07752,108828
76,76,1690852560000,0.07752,0.07755,0.07752,0.07755,108467
77,77,1690852620000,0.07755,0.07755,0.07752,0.07753,70428
78,78,1690852680000,0.07754,0.07754,0.07748,0.07748,63339
79,79,1690852740000,0.07748,0.07749,0.07748,0.07749,27858
80,80,1690852800000,0.07751,0.07751,0.07749,0.07749,73347
81,81,1690852860000,0.07751,0.07751,0.07742,0.07743,288099
82,82,1690852920000,0.07743,0.07746,0.07743,0.07744,178105
83,83,1690852980000,0.07743,0.07744,0.07739,0.07741,42251
84,84,1690853040000,0.07742,0.07743,0.07742,0.07742,11429
85,85,1690853100000,0.07741,0.07745,0.07741,0.07745,26167
86,86,1690853160000,0.07744,0.07744,0.07729,0.07734,232057
87,87,1690853220000,0.07734,0.07737,0.07733,0.07733,197700
88,88,1690853280000,0.07731,0.07733,0.0773,0.07732,322107
89,89,1690853340000,0.07732,0.07732,0.07729,0.07729,31982
90,90,1690853400000,0.07729,0.07732,0.07728,0.07729,100228
91,91,1690853460000,0.07728,0.07728,0.07717,0.07725,166663
92,92,1690853520000,0.07725,0.07725,0.07717,0.07721,174579
93,93,1690853580000,0.07721,0.07721,0.07707,0.07709,257102
94,94,1690853640000,0.07708,0.07715,0.07708,0.07715,357734
95,95,1690853700000,0.07714,0.07722,0.07714,0.07719,399084
96,96,1690853760000,0.07718,0.07724,0.07718,0.07721,163492
97,97,1690853820000,0.07721,0.07728,0.07719,0.07727,187590
98,98,1690853880000,0.07726,0.07735,0.07725,0.07734,128870
99,99,1690853940000,0.07734,0.07738,0.07733,0.07734,91423
100,100,1690854000000,0.07733,0.07735,0.07729,0.07729,213530
101,101,1690854060000,0.07729,0.07729,0.07725,0.07726,129681
102,102,1690854120000,0.07726,0.07726,0.07718,0.07723,188941
103,103,1690854180000,0.07724,0.07729,0.07724,0.07727,117648
104,104,1690854240000,0.07726,0.0773,0.07725,0.07729,55578
