,index,timestamp,open,high,low,close,volume
0,0,1694822400000,0.05918,0.05929,0.05916,0.05925,727846
1,1,1694822460000,0.05924,0.05926,0.05921,0.05923,478308
2,2,1694822520000,0.05924,0.05927,0.05922,0.05923,187760
3,3,1694822580000,0.05924,0.05931,0.05924,0.05924,560113
4,4,1694822640000,0.05924,0.05927,0.05923,0.05925,181311
5,5,1694822700000,0.05925,0.05927,0.05917,0.05927,374997
6,6,1694822760000,0.05927,0.05931,0.05927,0.05931,305411
7,7,1694822820000,0.05931,0.05933,0.05931,0.05933,69124
8,8,1694822880000,0.05934,0.05935,0.05933,0.05934,107359
9,9,1694822940000,0.05933,0.05933,0.05931,0.05933,141555
10,10,1694823000000,0.05934,0.05934,0.05933,0.05933,131247
11,11,1694823060000,0.05933,0.05934,0.05932,0.05933,83891
12,12,1694823120000,0.05933,0.05934,0.05932,0.05933,88388
13,13,1694823180000,0.05933,0.05933,0.05929,0.05929,185668
14,14,1694823240000,0.05929,0.05929,0.05925,0.05925,107120
15,15,1694823300000,0.05926,0.05926,0.05922,0.05922,146200
16,16,1694823360000,0.05921,0.05924,0.05921,0.05924,45918
17,17,1694823420000,0.05926,0.05927,0.05925,0.05925,70831
18,18,1694823480000,0.05925,0.05929,0.05925,0.05928,67336
19,19,1694823540000,0.05927,0.05931,0.05927,0.05928,33278
20,20,1694823600000,0.05928,0.05933,0.05928,0.05932,110128
21,21,1694823660000,0.05932,0.05934,0.05932,0.05934,102370
22,22,1694823720000,0.05934,0.05934,0.0593,0.0593,76313
23,23,1694823780000,0.05931,0.05933,0.05931,0.05933,15647
24,24,1694823840000,0.05933,0.05933,0.05931,0.05931,23023
25,25,1694823900000,0.05932,0.05938,0.05932,0.05937,156900
26,26,1694823960000,0.05937,0.05937,0.05934,0.05934,328397
27,27,1694824020000,0.05935,0.05937,0.05934,0.05935,258016
28,28,1694824080000,0.05935,0.05937,0.05934,0.05934,70816
29,29,1694824140000,0.05933,0.05938,0.05933,0.05937,84190
30,30,1694824200000,0.05938,0.05941,0.05937,0.05941,122079
31,31,1694824260000,0.05941,0.05946,0.05941,0.05944,109401
32,32,1694824320000,0.05945,0.05947,0.05945,0.05945,81799
33,33,1694824380000,0.05946,0.05946,0.05945,0.05946,81279
34,34,1694824440000,0.05947,0.05947,0.05944,0.05944,85857
35,35,1694824500000,0.05945,0.05945,0.05943,0.05943,75984
36,36,1694824560000,0.05943,0.05945,0.05943,0.05945,47556
37,37,1694824620000,0.05944,0.05945,0.0594,0.0594,142437
38,38,1694824680000,0.0594,0.05942,0.05939,0.05939,79154
39,39,1694824740000,0.05938,0.05939,0.05937,0.05937,76868
40,40,1694824800000,0.05938,0.05938,0.05932,0.05933,292119
41,41,1694824860000,0.05933,0.05937,0.05933,0.05933,143045
42,42,1694824920000,0.05933,0.05933,0.05923,0.05928,624202
43,43,1694824980000,0.05927,0.05929,0.05927,0.05928,45707
44,44,1694825040000,0.05927,0.05931,0.05926,0.05929,182956
45,45,1694825100000,0.0593,0.05934,0.0593,0.05934,134244
46,46,1694825160000,0.05935,0.05939,0.05935,0.05937,209553
47,47,1694825220000,0.05937,0.05941,0.05937,0.05939,180118
48,48,1694825280000,0.05939,0.05939,0.05937,0.05938,53101
49,49,1694825340000,0.05939,0.05942,0.05936,0.05942,244163
50,50,1694825400000,0.05942,0.05943,0.05941,0.05942,141432
51,51,1694825460000,0.05942,0.05942,0.0594,0.05941,132433
52,52,1694825520000,0.05941,0.05943,0.05941,0.05943,5191
53,53,1694825580000,0.05942,0.05943,0.05939,0.05939,43843
54,54,1694825640000,0.05939,0.05939,0.05934,0.05936,161411
55,55,1694825700000,0.05936,0.05938,0.05936,0.05937,81628
56,56,1694825760000,0.05938,0.05939,0.05935,0.05935,164642
57,57,1694825820000,0.05935,0.05937,0.05932,0.05933,168044
58,58,1694825880000,0.05932,0.05935,0.05929,0.05935,204461
59,59,1694825940000,0.05935,0.05935,0.05933,0.05934,48030
60,60,1694826000000,0.05935,0.05941,0.05934,0.05941,122553
61,61,1694826060000,0.05941,0.05942,0.05938,0.0594,131292
62,62,1694826120000,0.05939,0.05943,0.05939,0.05942,10502
63,63,1694826180000,0.05942,0.05945,0.05942,0.05945,46491
64,64,1694826240000,0.05945,0.05949,0.05945,0.05948,96886
65,65,1694826300000,0.05949,0.0595,0.05948,0.0595,181209
66,66,1694826360000,0.05949,0.0595,0.05949,0.05949,198070
67,67,1694826420000,0.05948,0.0595,0.05948,0.05949,46635
68,68,1694826480000,0.0595,0.05951,0.0595,0.05951,4204
69,69,1694826540000,0.0595,0.05954,0.05947,0.05953,550654
70,70,1694826600000,0.05953,0.05961,0.05953,0.05961,228146
71,71,1694826660000,0.0596,0.0596,0.05955,0.05958,149017
72,72,1694826720000,0.05958,0.05962,0.05956,0.05957,265500
73,73,1694826780000,0.05958,0.05959,0.05955,0.05956,113894
74,74,1694826840000,0.05957,0.0596,0.05957,0.0596,22545
75,75,1694826900000,0.0596,0.05963,0.0596,0.0596,132020
76,76,1694826960000,0.0596,0.05962,0.05957,0.05957,141505
77,77,1694827020000,0.05957,0.05963,0.05957,0.05963,64079
78,78,1694827080000,0.05963,0.05964,0.05957,0.05957,119449
79,79,1694827140000,0.05958,0.05958,0.05956,0.05956,16883
80,80,1694827200000,0.05956,0.05956,0.05954,0.05955,52386
81,81,1694827260000,0.05955,0.05956,0.05948,0.0595,244214
82,82,1694827320000,0.0595,0.05951,0.05949,0.05949,90720
83,83,1694827380000,0.05948,0.05949,0.05946,0.05949,85490
84,84,1694827440000,0.05949,0.05949,0.05947,0.05948,86494
85,85,1694827500000,0.05947,0.05949,0.05947,0.05948,44034
86,86,1694827560000,0.05948,0.05948,0.0594,0.05941,379508
87,87,1694827620000,0.05941,0.05941,0.0594,0.05941,58362
88,88,1694827680000,0.05942,0.05943,0.05939,0.05941,286123
89,89,1694827740000,0.05942,0.05942,0.05939,0.05939,71751
90,90,1694827800000,0.05938,0.05939,0.05933,0.05938,169648
91,91,1694827860000,0.05939,0.0594,0.05937,0.05939,80788
92,92,1694827920000,0.0594,0.05942,0.05937,0.05937,134477
93,93,1694827980000,0.05938,0.05939,0.05937,0.05939,31346
94,94,1694828040000,0.05939,0.05939,0.05937,0.05938,24022
95,95,1694828100000,0.05939,0.05939,0.05933,0.05933,186867
96,96,1694828160000,0.05933,0.05944,0.05933,0.0594,622119
