,index,timestamp,open,high,low,close,volume
0,0,1693612800000,0.5354,0.5354,0.5328,0.5329,95838.1
1,1,1693612860000,0.5328,0.5328,0.5304,0.5316,64711.2
2,2,1693612920000,0.5317,0.5323,0.5312,0.532,35321.0
3,3,1693612980000,0.5323,0.5334,0.5322,0.5333,16919.4
4,4,1693613040000,0.5334,0.5335,0.5331,0.5333,3289.9
5,5,1693613100000,0.5333,0.5334,0.5314,0.5317,50214.1
6,6,1693613160000,0.5314,0.5314,0.5304,0.5312,36809.3
7,7,1693613220000,0.5313,0.5318,0.5306,0.5307,29323.7
8,8,1693613280000,0.5308,0.5313,0.5308,0.5313,11233.3
9,9,1693613340000,0.5312,0.5319,0.5309,0.531,22707.9
10,10,1693613400000,0.5308,0.531,0.53,0.5302,56201.1
11,11,1693613460000,0.5301,0.5306,0.5299,0.5305,19564.5
12,12,1693613520000,0.5305,0.5305,0.5287,0.5303,41344.7
13,13,1693613580000,0.5303,0.5315,0.53,0.531,34753.3
14,14,1693613640000,0.5306,0.5315,0.5306,0.5315,6518.5
15,15,1693613700000,0.5316,0.5317,0.5302,0.5309,31382.4
16,16,1693613760000,0.5309,0.5318,0.5309,0.5311,14828.7
17,17,1693613820000,0.531,0.5316,0.5307,0.5307,23431.8
18,18,1693613880000,0.5309,0.531,0.5302,0.5309,14131.9
19,19,1693613940000,0.5309,0.5316,0.5304,0.5314,32253.8
20,20,1693614000000,0.5315,0.5332,0.5314,0.5321,69778.5
21,21,1693614060000,0.5322,0.5335,0.5322,0.5335,4938.0
22,22,1693614120000,0.5335,0.5347,0.5333,0.5345,22154.2
23,23,1693614180000,0.5345,0.535,0.5343,0.535,24226.9
24,24,1693614240000,0.5351,0.5369,0.5351,0.5359,52506.2
25,25,1693614300000,0.5361,0.5363,0.5344,0.535,40682.9
26,26,1693614360000,0.5351,0.5363,0.5347,0.5351,35060.1
27,27,1693614420000,0.5352,0.5361,0.5352,0.536,12743.6
28,28,1693614480000,0.5363,0.5364,0.5357,0.5364,7475.8
29,29,1693614540000,0.5364,0.5368,0.5361,0.5362,6239.6
30,30,1693614600000,0.5359,0.5364,0.5346,0.5348,29939.7
31,31,1693614660000,0.5348,0.5353,0.5347,0.5349,15983.8
32,32,1693614720000,0.5348,0.5353,0.5347,0.5351,4440.9
33,33,1693614780000,0.5351,0.5356,0.5345,0.5356,16058.2
34,34,1693614840000,0.5357,0.5375,0.5354,0.5373,37147.9
35,35,1693614900000,0.5373,0.5374,0.5367,0.5374,44287.6
36,36,1693614960000,0.5374,0.539,0.5374,0.5389,27300.9
37,37,1693615020000,0.539,0.5392,0.5381,0.5389,30284.6
38,38,1693615080000,0.5389,0.54,0.5389,0.54,14973.2
39,39,1693615140000,0.54,0.5403,0.5381,0.5393,49268.2
40,40,1693615200000,0.5392,0.5393,0.5372,0.5377,44047.8
41,41,1693615260000,0.5377,0.538,0.5372,0.5372,12514.6
42,42,1693615320000,0.5372,0.5377,0.5351,0.5352,53334.7
43,43,1693615380000,0.5351,0.5354,0.5333,0.5339,51636.9
44,44,1693615440000,0.5337,0.5348,0.5337,0.5338,44873.6
45,45,1693615500000,0.5337,0.5344,0.5326,0.5341,55200.2
46,46,1693615560000,0.5342,0.5351,0.5342,0.5343,20471.2
47,47,1693615620000,0.5343,0.5346,0.5343,0.5343,4084.9
48,48,1693615680000,0.5346,0.5346,0.5325,0.5328,29735.0
49,49,1693615740000,0.5326,0.5328,0.5302,0.5305,50786.6
50,50,1693615800000,0.5306,0.5312,0.5294,0.5304,35584.0
51,51,1693615860000,0.5304,0.532,0.5304,0.5317,29715.8
52,52,1693615920000,0.5315,0.5317,0.5312,0.5312,3579.6
53,53,1693615980000,0.5315,0.5348,0.5315,0.5342,107949.7
54,54,1693616040000,0.5342,0.5349,0.5335,0.5335,53877.9
55,55,1693616100000,0.5335,0.5346,0.5333,0.5346,38692.3
56,56,1693616160000,0.5349,0.5351,0.5347,0.5351,16896.7
57,57,1693616220000,0.5347,0.5364,0.5347,0.5364,40882.8
58,58,1693616280000,0.5362,0.5378,0.5355,0.5377,95480.8
59,59,1693616340000,0.5374,0.5378,0.5369,0.5375,32972.3
60,60,1693616400000,0.5377,0.5377,0.5343,0.5345,162897.0
61,61,1693616460000,0.5345,0.535,0.5338,0.5342,61777.6
62,62,1693616520000,0.5342,0.5356,0.5341,0.5356,23406.5
63,63,1693616580000,0.5358,0.5358,0.5351,0.5351,20216.0
64,64,1693616640000,0.5354,0.5362,0.5354,0.5362,23186.5
65,65,1693616700000,0.5362,0.5362,0.5349,0.5349,46756.0
66,66,1693616760000,0.5349,0.5349,0.5337,0.5337,49083.3
67,67,1693616820000,0.5338,0.5339,0.5332,0.5335,14662.2
68,68,1693616880000,0.5332,0.5351,0.5328,0.5346,72903.2
69,69,1693616940000,0.5347,0.5352,0.5346,0.535,11498.8
70,70,1693617000000,0.535,0.5359,0.535,0.5351,11170.0
71,71,1693617060000,0.5349,0.5351,0.5346,0.5349,5107.7
72,72,1693617120000,0.5347,0.5354,0.5346,0.5354,7558.3
73,73,1693617180000,0.5353,0.5353,0.5335,0.5341,21491.6
74,74,1693617240000,0.534,0.5347,0.534,0.5342,1952.7
75,75,1693617300000,0.5343,0.5344,0.5339,0.5344,9979.9
76,76,1693617360000,0.5345,0.5352,0.5345,0.5348,11889.5
77,77,1693617420000,0.5348,0.5362,0.5348,0.5362,13430.0
78,78,1693617480000,0.5361,0.5361,0.5358,0.5358,15296.4
79,79,1693617540000,0.5359,0.5359,0.5355,0.5355,1534.0
80,80,1693617600000,0.5357,0.536,0.5348,0.5354,21220.4
81,81,1693617660000,0.5351,0.5351,0.5337,0.5337,11893.9
82,82,1693617720000,0.5337,0.534,0.5334,0.5334,14261.1
83,83,1693617780000,0.5334,0.5338,0.533,0.533,9206.1
84,84,1693617840000,0.533,0.5332,0.5316,0.5332,46777.2
85,85,1693617900000,0.533,0.533,0.5325,0.533,2679.7
86,86,1693617960000,0.5326,0.5327,0.5323,0.5323,1286.3
87,87,1693618020000,0.5323,0.5323,0.5314,0.532,19499.8
88,88,1693618080000,0.5321,0.5323,0.5312,0.5312,15397.7
89,89,1693618140000,0.5312,0.532,0.5312,0.5318,17969.4
90,90,1693618200000,0.5319,0.5323,0.5307,0.5316,18581.3
91,91,1693618260000,0.5314,0.5316,0.5312,0.5312,2791.8
92,92,1693618320000,0.5314,0.5315,0.5312,0.5312,2720.3
93,93,1693618380000,0.5314,0.5315,0.5313,0.5313,1859.2
94,94,1693618440000,0.5312,0.5316,0.5311,0.5316,6721.2
95,95,1693618500000,0.5317,0.5324,0.5316,0.5321,6711.9
96,96,1693618560000,0.5321,0.5323,0.5319,0.5323,3990.2
97,97,1693618620000,0.5324,0.5327,0.5323,0.5323,4719.7
98,98,1693618680000,0.5324,0.5332,0.5324,0.5332,4006.2
99,99,1693618740000,0.5333,0.5336,0.5332,0.5336,3856.2
100,100,1693618800000,0.5336,0.5336,0.5324,0.5327,28571.1
101,101,1693618860000,0.5328,0.5345,0.5327,0.5344,25221.4
102,102,1693618920000,0.5345,0.5353,0.5343,0.5348,11648.3
103,103,1693618980000,0.5346,0.5346,0.5334,0.5335,6932.9
104,104,1693619040000,0.5335,0.5337,0.5333,0.5333,5101.5
105,105,1693619100000,0.5333,0.534,0.5309,0.5313,65359.9
106,106,1693619160000,0.5314,0.5319,0.5305,0.5307,35055.9
107,107,1693619220000,0.5307,0.5311,0.5302,0.5308,10298.0
108,108,1693619280000,0.5308,0.5312,0.5307,0.5312,2440.8
109,109,1693619340000,0.5312,0.5319,0.5312,0.5316,11202.2
110,110,1693619400000,0.5319,0.5323,0.5317,0.5317,14242.8
111,111,1693619460000,0.5319,0.5328,0.5319,0.5327,10999.1
112,112,1693619520000,0.5325,0.5327,0.5325,0.5327,478.4
113,113,1693619580000,0.5324,0.5331,0.5324,0.5328,9567.0
114,114,1693619640000,0.5329,0.5331,0.5322,0.5329,33229.7
115,115,1693619700000,0.533,0.5339,0.533,0.5333,28046.4
116,116,1693619760000,0.5334,0.5345,0.5334,0.5343,13769.9
117,117,1693619820000,0.5346,0.5371,0.5346,0.5368,61432.2
118,118,1693619880000,0.5369,0.5374,0.5364,0.5373,22934.5
