,index,timestamp,open,high,low,close,volume
0,0,1693699200000,40.4,40.42,40.37,40.39,1122.144
1,1,1693699260000,40.39,40.39,40.3,40.33,1090.552
2,2,1693699320000,40.34,40.35,40.3,40.31,850.039
3,3,1693699380000,40.31,40.33,40.29,40.33,410.498
4,4,1693699440000,40.33,40.35,40.29,40.3,881.605
5,5,1693699500000,40.3,40.32,40.3,40.31,366.691
6,6,1693699560000,40.31,40.31,40.26,40.28,1149.142
7,7,1693699620000,40.27,40.29,40.26,40.29,229.617
8,8,1693699680000,40.28,40.28,40.25,40.27,376.466
9,9,1693699740000,40.27,40.27,40.26,40.27,241.857
10,10,1693699800000,40.27,40.3,40.27,40.29,807.711
11,11,1693699860000,40.28,40.28,40.21,40.23,1953.399
12,12,1693699920000,40.23,40.23,40.17,40.18,929.852
13,13,1693699980000,40.18,40.22,40.17,40.22,647.654
14,14,1693700040000,40.22,40.26,40.22,40.26,408.831
15,15,1693700100000,40.26,40.27,40.23,40.25,572.318
16,16,1693700160000,40.25,40.26,40.25,40.26,207.82
17,17,1693700220000,40.25,40.25,40.21,40.21,162.421
18,18,1693700280000,40.22,40.22,40.21,40.22,321.979
19,19,1693700340000,40.22,40.23,40.22,40.23,18.522
20,20,1693700400000,40.23,40.23,40.21,40.21,35.684
21,21,1693700460000,40.21,40.21,40.12,40.14,962.558
22,22,1693700520000,40.13,40.14,40.12,40.13,57.465
23,23,1693700580000,40.13,40.14,40.12,40.14,48.051
24,24,1693700640000,40.14,40.15,40.13,40.13,129.64
25,25,1693700700000,40.13,40.15,40.13,40.15,328.453
26,26,1693700760000,40.15,40.17,40.15,40.17,204.443
27,27,1693700820000,40.16,40.17,40.16,40.17,49.939
28,28,1693700880000,40.17,40.17,40.11,40.12,195.886
29,29,1693700940000,40.13,40.13,40.11,40.13,272.945
30,30,1693701000000,40.13,40.15,40.11,40.12,682.836
31,31,1693701060000,40.11,40.13,40.08,40.13,693.513
32,32,1693701120000,40.12,40.12,40.06,40.08,881.247
33,33,1693701180000,40.08,40.13,40.08,40.13,593.057
34,34,1693701240000,40.12,40.13,40.11,40.12,298.205
35,35,1693701300000,40.13,40.17,40.13,40.17,445.737
36,36,1693701360000,40.18,40.22,40.17,40.22,561.992
37,37,1693701420000,40.21,40.23,40.19,40.22,301.904
38,38,1693701480000,40.21,40.26,40.2,40.26,536.593
39,39,1693701540000,40.25,40.27,40.24,40.26,432.151
40,40,1693701600000,40.25,40.25,40.22,40.25,799.989
41,41,1693701660000,40.24,40.27,40.24,40.27,502.072
42,42,1693701720000,40.27,40.27,40.25,40.26,427.77
43,43,1693701780000,40.27,40.29,40.27,40.28,775.519
44,44,1693701840000,40.28,40.28,40.27,40.27,30.336
45,45,1693701900000,40.28,40.31,40.28,40.3,246.982
46,46,1693701960000,40.31,40.33,40.31,40.32,152.542
47,47,1693702020000,40.32,40.33,40.31,40.32,155.301
48,48,1693702080000,40.32,40.34,40.3,40.33,467.823
49,49,1693702140000,40.33,40.37,40.33,40.35,424.724
50,50,1693702200000,40.36,40.38,40.33,40.37,633.509
51,51,1693702260000,40.37,40.39,40.36,40.38,427.499
52,52,1693702320000,40.38,40.39,40.37,40.38,182.298
53,53,1693702380000,40.39,40.39,40.37,40.37,140.405
54,54,1693702440000,40.36,40.39,40.36,40.39,202.528
55,55,1693702500000,40.4,40.45,40.4,40.45,740.337
56,56,1693702560000,40.44,40.44,40.43,40.44,234.078
57,57,1693702620000,40.45,40.48,40.44,40.48,377.62
58,58,1693702680000,40.47,40.48,40.46,40.47,335.826
59,59,1693702740000,40.46,40.46,40.42,40.43,414.005
60,60,1693702800000,40.43,40.47,40.42,40.45,451.373
61,61,1693702860000,40.45,40.47,40.44,40.44,218.431
62,62,1693702920000,40.45,40.53,40.44,40.52,1037.82
63,63,1693702980000,40.52,40.54,40.52,40.54,283.75
64,64,1693703040000,40.53,40.54,40.52,40.54,395.904
65,65,1693703100000,40.54,40.58,40.53,40.53,788.929
66,66,1693703160000,40.52,40.52,40.49,40.5,719.29
67,67,1693703220000,40.5,40.52,40.49,40.52,502.239
68,68,1693703280000,40.52,40.53,40.48,40.48,419.468
69,69,1693703340000,40.48,40.54,40.48,40.5,577.748
70,70,1693703400000,40.51,40.54,40.51,40.53,254.083
71,71,1693703460000,40.53,40.55,40.52,40.53,625.033
72,72,1693703520000,40.53,40.58,40.52,40.57,480.375
73,73,1693703580000,40.57,40.58,40.54,40.54,812.505
74,74,1693703640000,40.54,40.54,40.51,40.52,281.377
75,75,1693703700000,40.53,40.56,40.53,40.56,517.412
76,76,1693703760000,40.56,40.56,40.5,40.51,422.037
77,77,1693703820000,40.52,40.54,40.52,40.54,147.266
78,78,1693703880000,40.54,40.56,40.53,40.53,220.923
79,79,1693703940000,40.53,40.53,40.5,40.51,202.98
80,80,1693704000000,40.51,40.52,40.5,40.51,86.982
81,81,1693704060000,40.5,40.5,40.49,40.49,54.26
82,82,1693704120000,40.5,40.5,40.5,40.5,88.202
83,83,1693704180000,40.49,40.52,40.49,40.51,111.58
84,84,1693704240000,40.51,40.51,40.49,40.5,106.355
85,85,1693704300000,40.49,40.49,40.42,40.43,1308.871
86,86,1693704360000,40.44,40.49,40.44,40.48,342.839
87,87,1693704420000,40.48,40.49,40.48,40.48,48.764
88,88,1693704480000,40.47,40.48,40.45,40.48,285.936
89,89,1693704540000,40.49,40.5,40.48,40.5,105.413
90,90,1693704600000,40.49,40.49,40.48,40.49,119.22
91,91,1693704660000,40.5,40.52,40.5,40.52,633.735
92,92,1693704720000,40.51,40.51,40.49,40.49,182.44
93,93,1693704780000,40.49,40.49,40.48,40.48,119.373
94,94,1693704840000,40.49,40.5,40.49,40.5,113.138
95,95,1693704900000,40.5,40.5,40.49,40.5,155.6
96,96,1693704960000,40.5,40.51,40.48,40.48,230.632
97,97,1693705020000,40.49,40.49,40.45,40.45,169.796
98,98,1693705080000,40.44,40.44,40.4,40.42,414.758
99,99,1693705140000,40.42,40.43,40.42,40.43,119.64
100,100,1693705200000,40.43,40.44,40.42,40.43,147.89
101,101,1693705260000,40.43,40.43,40.38,40.38,639.498
102,102,1693705320000,40.37,40.37,40.34,40.36,689.31
103,103,1693705380000,40.36,40.38,40.35,40.38,719.803
104,104,1693705440000,40.38,40.42,40.38,40.39,985.191
105,105,1693705500000,40.39,40.4,40.34,40.34,1049.119
106,106,1693705560000,40.34,40.39,40.34,40.39,612.992
107,107,1693705620000,40.39,40.41,40.39,40.4,202.883
108,108,1693705680000,40.4,40.42,40.4,40.42,63.046
109,109,1693705740000,40.42,40.42,40.4,40.4,135.597
110,110,1693705800000,40.4,40.41,40.4,40.4,203.197
111,111,1693705860000,40.41,40.43,40.4,40.4,164.076
112,112,1693705920000,40.41,40.42,40.41,40.41,111.629
113,113,1693705980000,40.41,40.42,40.39,40.41,428.905
114,114,1693706040000,40.41,40.42,40.4,40.4,210.724
115,115,1693706100000,40.41,40.43,40.38,40.38,501.613
116,116,1693706160000,40.38,40.39,40.36,40.36,254.844
117,117,1693706220000,40.37,40.38,40.35,40.36,310.509
118,118,1693706280000,40.37,40.37,40.33,40.34,79.172
119,119,1693706340000,40.33,40.34,40.29,40.33,510.136
120,120,1693706400000,40.33,40.34,40.31,40.33,366.222
121,121,1693706460000,40.34,40.34,40.31,40.31,465.6
122,122,1693706520000,40.31,40.33,40.3,40.31,552.872
123,123,1693706580000,40.32,40.33,40.31,40.31,420.522
124,124,1693706640000,40.31,40.31,40.29,40.3,417.474
125,125,1693706700000,40.31,40.31,40.25,40.27,820.301
126,126,1693706760000,40.28,40.28,40.24,40.25,552.146
127,127,1693706820000,40.25,40.28,40.25,40.26,190.726
128,128,1693706880000,40.27,40.28,40.26,40.28,66.386
129,129,1693706940000,40.28,40.28,40.27,40.28,89.148
130,130,1693707000000,40.28,40.29,40.28,40.28,29.461
131,131,1693707060000,40.28,40.28,40.26,40.26,74.208
132,132,1693707120000,40.26,40.28,40.26,40.28,436.572
133,133,1693707180000,40.28,40.28,40.27,40.27,126.914
134,134,1693707240000,40.27,40.28,40.27,40.28,1.711
135,135,1693707300000,40.27,40.3,40.27,40.3,400.277
136,136,1693707360000,40.3,40.32,40.29,40.29,1281.849
137,137,1693707420000,40.29,40.31,40.29,40.31,24.319
138,138,1693707480000,40.3,40.3,40.27,40.29,210.137
139,139,1693707540000,40.29,40.3,40.29,40.29,12.397
140,140,1693707600000,40.3,40.3,40.29,40.29,5.856
141,141,1693707660000,40.29,40.29,40.27,40.27,287.38
142,142,1693707720000,40.27,40.28,40.26,40.27,78.695
143,143,1693707780000,40.28,40.28,40.28,40.28,18.936
