,index,timestamp,open,high,low,close,volume
0,0,1693872000000,0.03805,0.03809,0.03802,0.03803,204372
1,1,1693872060000,0.03803,0.03807,0.03802,0.03805,136764
2,2,1693872120000,0.03807,0.03808,0.03805,0.03805,66886
3,3,1693872180000,0.03806,0.03806,0.03802,0.03804,66614
4,4,1693872240000,0.03803,0.03806,0.03801,0.03803,102990
5,5,1693872300000,0.03803,0.03808,0.03803,0.03805,186086
6,6,1693872360000,0.03806,0.0381,0.03806,0.03808,137819
7,7,1693872420000,0.03809,0.03811,0.03809,0.0381,115444
8,8,1693872480000,0.0381,0.03813,0.03806,0.03807,125166
9,9,1693872540000,0.03806,0.03811,0.03806,0.03811,118642
10,10,1693872600000,0.0381,0.03811,0.03809,0.03809,114207
11,11,1693872660000,0.03808,0.03809,0.03806,0.03806,21668
12,12,1693872720000,0.03807,0.03807,0.03801,0.03801,53630
13,13,1693872780000,0.038,0.03802,0.03799,0.03801,106377
14,14,1693872840000,0.03801,0.03801,0.03799,0.03801,22312
15,15,1693872900000,0.038,0.03801,0.03796,0.038,230421
16,16,1693872960000,0.038,0.03801,0.03797,0.03798,36695
17,17,1693873020000,0.03798,0.03799,0.03797,0.03797,18705
18,18,1693873080000,0.03797,0.03798,0.03797,0.03798,36562
19,19,1693873140000,0.03796,0.03797,0.03795,0.03795,17039
20,20,1693873200000,0.03795,0.03795,0.0379,0.0379,173643
21,21,1693873260000,0.0379,0.03794,0.0379,0.03794,73968
22,22,1693873320000,0.03793,0.03794,0.03791,0.03794,135890
23,23,1693873380000,0.03793,0.03793,0.03785,0.03785,162625
24,24,1693873440000,0.03785,0.03788,0.03783,0.03787,114895
25,25,1693873500000,0.03787,0.03788,0.03786,0.03787,5633
26,26,1693873560000,0.03787,0.03789,0.03787,0.03788,6922
27,27,1693873620000,0.03788,0.03789,0.03786,0.03789,20672
28,28,1693873680000,0.03787,0.03787,0.03786,0.03787,8303
29,29,1693873740000,0.03789,0.03789,0.03786,0.03786,8697
30,30,1693873800000,0.03788,0.03788,0.03785,0.03786,36101
31,31,1693873860000,0.03784,0.03786,0.03784,0.03786,28258
32,32,1693873920000,0.03786,0.03795,0.03786,0.03794,53459
33,33,1693873980000,0.03796,0.03797,0.03796,0.03797,14417
34,34,1693874040000,0.03796,0.03797,0.03796,0.03797,8909
35,35,1693874100000,0.03796,0.03799,0.03795,0.03799,69111
36,36,1693874160000,0.03799,0.03801,0.03798,0.03799,51326
37,37,1693874220000,0.038,0.038,0.03796,0.03798,27292
38,38,1693874280000,0.03797,0.038,0.03797,0.038,18580
39,39,1693874340000,0.038,0.03801,0.03799,0.038,36668
40,40,1693874400000,0.03799,0.03799,0.03795,0.03798,49266
41,41,1693874460000,0.03797,0.03798,0.03794,0.03797,26141
42,42,1693874520000,0.03798,0.03798,0.03797,0.03798,55648
43,43,1693874580000,0.03798,0.03798,0.03798,0.03798,2394
44,44,1693874640000,0.03797,0.03797,0.03792,0.03792,71298
45,45,1693874700000,0.03792,0.03794,0.03791,0.03794,39759
46,46,1693874760000,0.03795,0.03795,0.03792,0.03792,19423
47,47,1693874820000,0.03793,0.03793,0.03786,0.03786,99264
48,48,1693874880000,0.03787,0.03787,0.03785,0.03786,12420
49,49,1693874940000,0.03786,0.03789,0.03786,0.03788,41427
50,50,1693875000000,0.03788,0.03788,0.03786,0.03788,19205
51,51,1693875060000,0.03788,0.03788,0.03787,0.03787,16313
52,52,1693875120000,0.03787,0.03787,0.03787,0.03787,2476
53,53,1693875180000,0.03788,0.03789,0.03788,0.03789,22567
54,54,1693875240000,0.03788,0.03788,0.03786,0.03786,17590
55,55,1693875300000,0.03787,0.03793,0.03786,0.03793,159779
56,56,1693875360000,0.03794,0.03794,0.03792,0.03793,25557
57,57,1693875420000,0.03793,0.03793,0.03791,0.03791,17420
58,58,1693875480000,0.0379,0.03794,0.0379,0.03793,11540
59,59,1693875540000,0.03793,0.03794,0.0379,0.03791,90393
60,60,1693875600000,0.03792,0.03796,0.0379,0.03795,65708
61,61,1693875660000,0.03795,0.03796,0.03793,0.03796,24494
62,62,1693875720000,0.03796,0.038,0.03795,0.038,73445
63,63,1693875780000,0.03801,0.03804,0.038,0.03804,18141
64,64,1693875840000,0.03805,0.03805,0.03804,0.03805,9997
65,65,1693875900000,0.03805,0.03807,0.03802,0.03802,159769
