,index,timestamp,open,high,low,close,volume
0,0,1694736000000,0.419,0.42,0.418,0.419,1498425.4
1,1,1694736060000,0.419,0.42,0.418,0.419,845412.9
2,2,1694736120000,0.419,0.419,0.418,0.418,188697.0
3,3,1694736180000,0.418,0.419,0.418,0.418,51153.0
4,4,1694736240000,0.419,0.42,0.418,0.418,321761.5
5,5,1694736300000,0.419,0.419,0.418,0.418,33795.1
6,6,1694736360000,0.419,0.419,0.418,0.419,16233.3
7,7,1694736420000,0.419,0.419,0.418,0.418,33271.7
8,8,1694736480000,0.419,0.419,0.418,0.418,11413.6
9,9,1694736540000,0.418,0.419,0.417,0.418,194411.2
10,10,1694736600000,0.418,0.418,0.416,0.417,153809.2
11,11,1694736660000,0.416,0.417,0.416,0.417,142268.3
12,12,1694736720000,0.417,0.418,0.416,0.416,468380.6
13,13,1694736780000,0.417,0.417,0.416,0.417,7894.2
14,14,1694736840000,0.417,0.417,0.416,0.417,17686.9
15,15,1694736900000,0.417,0.418,0.416,0.417,240018.7
16,16,1694736960000,0.418,0.418,0.417,0.417,29320.7
17,17,1694737020000,0.418,0.418,0.417,0.417,18715.4
18,18,1694737080000,0.418,0.418,0.417,0.417,14248.1
19,19,1694737140000,0.418,0.418,0.417,0.417,15190.5
20,20,1694737200000,0.418,0.418,0.417,0.417,14866.7
21,21,1694737260000,0.418,0.418,0.416,0.417,342308.6
22,22,1694737320000,0.418,0.418,0.416,0.417,609425.3
23,23,1694737380000,0.418,0.418,0.417,0.417,9818.1
24,24,1694737440000,0.418,0.418,0.417,0.417,14932.1
25,25,1694737500000,0.418,0.418,0.416,0.416,165650.5
26,26,1694737560000,0.417,0.418,0.416,0.416,521227.4
27,27,1694737620000,0.417,0.418,0.416,0.417,186350.3
28,28,1694737680000,0.418,0.418,0.416,0.416,153266.2
29,29,1694737740000,0.417,0.417,0.416,0.417,175307.7
30,30,1694737800000,0.417,0.418,0.417,0.417,37832.3
31,31,1694737860000,0.418,0.418,0.417,0.418,335829.2
32,32,1694737920000,0.418,0.419,0.417,0.418,123647.1
33,33,1694737980000,0.419,0.419,0.418,0.418,229615.3
34,34,1694738040000,0.418,0.418,0.417,0.418,758992.1
35,35,1694738100000,0.419,0.419,0.418,0.419,5129.4
36,36,1694738160000,0.419,0.419,0.418,0.418,2928.8
37,37,1694738220000,0.419,0.419,0.418,0.418,229899.1
38,38,1694738280000,0.418,0.419,0.417,0.417,603051.2
39,39,1694738340000,0.418,0.418,0.417,0.418,6945.3
40,40,1694738400000,0.418,0.418,0.417,0.418,5375.1
