,index,timestamp,open,high,low,close,volume
0,0,1694908800000,0.4703,0.4706,0.47,0.4704,12690
1,1,1694908860000,0.4702,0.4704,0.4693,0.4695,10448
2,2,1694908920000,0.4695,0.4702,0.4695,0.4701,8067
3,3,1694908980000,0.47,0.47,0.4699,0.47,1327
4,4,1694909040000,0.4699,0.4699,0.4689,0.4689,12028
5,5,1694909100000,0.4689,0.4692,0.4687,0.4692,8685
6,6,1694909160000,0.4692,0.4692,0.4691,0.4691,1517
7,7,1694909220000,0.469,0.4695,0.4685,0.4685,9174
8,8,1694909280000,0.4686,0.4696,0.4682,0.4689,33411
9,9,1694909340000,0.4688,0.4688,0.4683,0.4683,1941
10,10,1694909400000,0.4682,0.4682,0.4666,0.4681,26606
11,11,1694909460000,0.4681,0.4682,0.4675,0.4677,6598
12,12,1694909520000,0.4676,0.4677,0.4674,0.4677,2560
13,13,1694909580000,0.4674,0.4674,0.4665,0.4667,3358
14,14,1694909640000,0.4665,0.467,0.4664,0.4667,4242
15,15,1694909700000,0.4669,0.4669,0.4649,0.4651,40624
16,16,1694909760000,0.4651,0.4666,0.4645,0.4666,33934
17,17,1694909820000,0.4667,0.4669,0.4665,0.4668,6348
18,18,1694909880000,0.467,0.4671,0.467,0.4671,557
19,19,1694909940000,0.4671,0.4671,0.467,0.467,1167
20,20,1694910000000,0.4671,0.4671,0.4671,0.4671,22
21,21,1694910060000,0.4671,0.4673,0.4671,0.4673,1361
22,22,1694910120000,0.4674,0.4679,0.4674,0.4677,11841
23,23,1694910180000,0.4677,0.4677,0.4677,0.4677,0
24,24,1694910240000,0.4677,0.4677,0.4673,0.4676,5865
25,25,1694910300000,0.4677,0.4678,0.4677,0.4678,763
26,26,1694910360000,0.4677,0.4677,0.4672,0.4672,4553
27,27,1694910420000,0.4671,0.4671,0.4658,0.466,10999
28,28,1694910480000,0.466,0.4662,0.4655,0.4657,3871
29,29,1694910540000,0.4654,0.4659,0.4652,0.4655,16556
30,30,1694910600000,0.4655,0.466,0.4653,0.4659,15205
31,31,1694910660000,0.466,0.466,0.4654,0.4655,10714
32,32,1694910720000,0.4653,0.4653,0.4649,0.4652,3996
33,33,1694910780000,0.465,0.465,0.4639,0.465,22471
34,34,1694910840000,0.465,0.465,0.4644,0.4645,1715
35,35,1694910900000,0.4643,0.4649,0.4642,0.4649,7974
