,index,timestamp,open,high,low,close,volume
0,0,1693958400000,0.1281,0.1283,0.128,0.1281,167616
1,1,1693958460000,0.128,0.1282,0.128,0.1282,26043
2,2,1693958520000,0.1282,0.1282,0.1281,0.1282,86143
3,3,1693958580000,0.1282,0.1282,0.1281,0.1281,3182
4,4,1693958640000,0.1281,0.1283,0.1281,0.1283,56208
5,5,1693958700000,0.1283,0.1283,0.1282,0.1283,9681
6,6,1693958760000,0.1282,0.1285,0.1282,0.1285,51013
7,7,1693958820000,0.1285,0.1286,0.1285,0.1285,16044
8,8,1693958880000,0.1286,0.1286,0.1285,0.1286,7715
9,9,1693958940000,0.1286,0.1288,0.1286,0.1288,65468
10,10,1693959000000,0.1287,0.1288,0.1287,0.1287,5276
11,11,1693959060000,0.1287,0.1288,0.1287,0.1287,3381
12,12,1693959120000,0.1288,0.1288,0.1287,0.1288,16711
13,13,1693959180000,0.1288,0.1289,0.1288,0.1289,55060
14,14,1693959240000,0.1289,0.1289,0.1288,0.1288,8526
15,15,1693959300000,0.1289,0.1289,0.1288,0.1288,22956
16,16,1693959360000,0.1289,0.1289,0.1288,0.1289,6255
17,17,1693959420000,0.1289,0.1289,0.1288,0.1289,8320
18,18,1693959480000,0.1289,0.1289,0.1288,0.1289,4908
19,19,1693959540000,0.1289,0.1289,0.1287,0.1287,170382
20,20,1693959600000,0.1287,0.1287,0.1285,0.1285,24166
21,21,1693959660000,0.1286,0.1286,0.1285,0.1286,11998
22,22,1693959720000,0.1286,0.1286,0.1285,0.1286,7289
23,23,1693959780000,0.1285,0.1286,0.1285,0.1286,774
24,24,1693959840000,0.1286,0.1287,0.1286,0.1286,14709
25,25,1693959900000,0.1287,0.1288,0.1286,0.1286,76025
26,26,1693959960000,0.1285,0.1285,0.1284,0.1284,12810
27,27,1693960020000,0.1284,0.1285,0.1284,0.1284,20486
28,28,1693960080000,0.1284,0.1284,0.1284,0.1284,81
29,29,1693960140000,0.1285,0.1285,0.1284,0.1285,3574
30,30,1693960200000,0.1285,0.1286,0.1285,0.1285,24433
31,31,1693960260000,0.1285,0.1285,0.1281,0.1281,69277
32,32,1693960320000,0.1282,0.1282,0.1277,0.1278,137172
33,33,1693960380000,0.1278,0.128,0.1278,0.128,55871
34,34,1693960440000,0.1279,0.1283,0.1279,0.1283,62623
35,35,1693960500000,0.1283,0.1284,0.1282,0.1283,53340
36,36,1693960560000,0.1283,0.1286,0.1283,0.1285,32032
37,37,1693960620000,0.1286,0.1286,0.1284,0.1284,42733
38,38,1693960680000,0.1285,0.1285,0.1284,0.1284,444
