,index,timestamp,open,high,low,close,volume
0,0,1693958400000,2.638,2.642,2.638,2.638,3647
1,1,1693958460000,2.638,2.639,2.636,2.637,781
2,2,1693958520000,2.639,2.639,2.637,2.637,1015
3,3,1693958580000,2.637,2.638,2.637,2.638,275
4,4,1693958640000,2.638,2.638,2.637,2.638,339
5,5,1693958700000,2.639,2.64,2.639,2.639,2227
6,6,1693958760000,2.639,2.639,2.639,2.639,0
7,7,1693958820000,2.64,2.641,2.639,2.639,608
8,8,1693958880000,2.641,2.643,2.641,2.642,1376
9,9,1693958940000,2.643,2.643,2.643,2.643,23
10,10,1693959000000,2.644,2.644,2.643,2.643,358
11,11,1693959060000,2.643,2.644,2.643,2.644,257
12,12,1693959120000,2.645,2.646,2.645,2.646,52
13,13,1693959180000,2.645,2.646,2.644,2.645,648
14,14,1693959240000,2.646,2.646,2.646,2.646,11
15,15,1693959300000,2.645,2.645,2.644,2.644,202
16,16,1693959360000,2.644,2.644,2.644,2.644,3
17,17,1693959420000,2.645,2.645,2.644,2.645,376
18,18,1693959480000,2.644,2.644,2.644,2.644,91
19,19,1693959540000,2.643,2.644,2.642,2.642,1209
20,20,1693959600000,2.641,2.641,2.64,2.64,225
21,21,1693959660000,2.641,2.641,2.64,2.64,51
22,22,1693959720000,2.641,2.641,2.64,2.641,146
23,23,1693959780000,2.64,2.641,2.64,2.641,99
24,24,1693959840000,2.64,2.64,2.64,2.64,3
25,25,1693959900000,2.641,2.642,2.638,2.638,1873
26,26,1693959960000,2.637,2.637,2.637,2.637,3
27,27,1693960020000,2.637,2.638,2.637,2.638,77
28,28,1693960080000,2.637,2.637,2.636,2.636,36
29,29,1693960140000,2.636,2.637,2.636,2.636,1031
30,30,1693960200000,2.636,2.636,2.636,2.636,5
31,31,1693960260000,2.636,2.636,2.632,2.632,7557
32,32,1693960320000,2.632,2.632,2.626,2.627,4763
33,33,1693960380000,2.627,2.628,2.626,2.628,4245
34,34,1693960440000,2.627,2.629,2.627,2.629,701
35,35,1693960500000,2.63,2.631,2.629,2.631,1025
36,36,1693960560000,2.632,2.634,2.632,2.633,299
37,37,1693960620000,2.634,2.635,2.634,2.634,366
38,38,1693960680000,2.634,2.634,2.634,2.634,265
