,index,timestamp,open,high,low,close,volume
0,0,1693699200000,7.174,7.177,7.038,7.04,184576.5
1,1,1693699260000,7.039,7.068,6.95,7.027,283651.6
2,2,1693699320000,7.028,7.139,7.017,7.139,183090.0
3,3,1693699380000,7.138,7.206,7.135,7.205,139721.8
4,4,1693699440000,7.205,7.329,7.2,7.323,211037.5
5,5,1693699500000,7.324,7.329,7.256,7.276,127824.4
6,6,1693699560000,7.276,7.36,7.244,7.324,134704.7
7,7,1693699620000,7.322,7.387,7.297,7.323,123569.4
8,8,1693699680000,7.323,7.35,7.26,7.275,86000.4
9,9,1693699740000,7.275,7.319,7.246,7.252,95366.4
10,10,1693699800000,7.252,7.297,7.244,7.292,42916.2
11,11,1693699860000,7.292,7.295,7.238,7.239,33737.7
12,12,1693699920000,7.24,7.267,7.197,7.207,60662.4
13,13,1693699980000,7.208,7.245,7.174,7.186,66810.9
14,14,1693700040000,7.186,7.256,7.168,7.219,113707.6
15,15,1693700100000,7.219,7.236,7.158,7.2,103488.2
16,16,1693700160000,7.201,7.223,7.175,7.186,28930.7
17,17,1693700220000,7.185,7.2,7.169,7.184,31541.1
18,18,1693700280000,7.183,7.208,7.173,7.199,27926.7
19,19,1693700340000,7.199,7.21,7.175,7.177,17744.9
20,20,1693700400000,7.176,7.179,7.122,7.138,64946.0
21,21,1693700460000,7.138,7.145,7.086,7.101,74846.6
22,22,1693700520000,7.101,7.115,7.067,7.073,61743.1
23,23,1693700580000,7.073,7.105,7.047,7.075,80068.3
24,24,1693700640000,7.075,7.12,7.067,7.086,45358.9
25,25,1693700700000,7.085,7.091,7.04,7.043,63001.9
26,26,1693700760000,7.043,7.055,7.028,7.034,43107.9
27,27,1693700820000,7.034,7.042,7.016,7.023,29441.4
28,28,1693700880000,7.023,7.048,7.013,7.03,50378.6
29,29,1693700940000,7.03,7.06,7.025,7.03,37526.6
30,30,1693701000000,7.031,7.064,7.019,7.021,61113.0
31,31,1693701060000,7.02,7.056,6.97,7.056,119158.0
32,32,1693701120000,7.055,7.086,7.038,7.06,85539.4
33,33,1693701180000,7.06,7.09,7.052,7.077,45333.4
34,34,1693701240000,7.078,7.1,7.065,7.081,44064.0
35,35,1693701300000,7.08,7.088,7.052,7.063,33899.5
36,36,1693701360000,7.064,7.067,7.022,7.038,34211.6
37,37,1693701420000,7.038,7.042,7.009,7.016,43316.4
38,38,1693701480000,7.016,7.069,6.966,7.037,159827.0
39,39,1693701540000,7.035,7.089,7.024,7.077,54637.8
40,40,1693701600000,7.077,7.135,7.073,7.128,91343.8
41,41,1693701660000,7.129,7.135,7.106,7.135,39132.5
42,42,1693701720000,7.136,7.172,7.134,7.144,76646.0
43,43,1693701780000,7.145,7.165,7.132,7.154,35728.4
44,44,1693701840000,7.153,7.186,7.153,7.17,37759.2
45,45,1693701900000,7.169,7.185,7.134,7.141,37970.4
46,46,1693701960000,7.142,7.156,7.131,7.154,14751.1
47,47,1693702020000,7.155,7.219,7.155,7.201,77374.4
48,48,1693702080000,7.201,7.269,7.19,7.256,139369.9
49,49,1693702140000,7.256,7.3,7.253,7.285,65901.0
50,50,1693702200000,7.286,7.299,7.262,7.283,50114.8
51,51,1693702260000,7.282,7.289,7.259,7.279,25700.1
52,52,1693702320000,7.28,7.291,7.271,7.276,21578.3
53,53,1693702380000,7.277,7.283,7.234,7.25,42831.2
54,54,1693702440000,7.25,7.28,7.25,7.276,22124.5
55,55,1693702500000,7.275,7.311,7.272,7.279,55197.3
56,56,1693702560000,7.278,7.295,7.255,7.26,39447.7
57,57,1693702620000,7.259,7.274,7.255,7.258,18106.1
58,58,1693702680000,7.258,7.278,7.251,7.277,29342.6
59,59,1693702740000,7.278,7.307,7.278,7.302,33252.2
60,60,1693702800000,7.302,7.337,7.274,7.287,66314.6
61,61,1693702860000,7.289,7.409,7.277,7.385,142264.0
62,62,1693702920000,7.385,7.475,7.375,7.457,169796.7
63,63,1693702980000,7.456,7.488,7.436,7.471,79068.6
64,64,1693703040000,7.472,7.486,7.456,7.46,68206.0
