,index,timestamp,open,high,low,close,volume
0,0,1693526400000,0.0826,0.0829,0.0825,0.0826,399993.7
1,1,1693526460000,0.0827,0.0828,0.0826,0.0827,69632.9
2,2,1693526520000,0.0827,0.0829,0.0827,0.0829,88505.4
3,3,1693526580000,0.0829,0.0829,0.0827,0.0827,15655.2
4,4,1693526640000,0.0827,0.0828,0.0827,0.0827,84371.0
5,5,1693526700000,0.0828,0.0829,0.0827,0.0829,121070.0
6,6,1693526760000,0.0828,0.0829,0.0827,0.0827,97012.9
7,7,1693526820000,0.0827,0.0828,0.0827,0.0827,6572.1
8,8,1693526880000,0.0827,0.0827,0.0827,0.0827,567.1
9,9,1693526940000,0.0827,0.0827,0.0827,0.0827,14091.7
10,10,1693527000000,0.0827,0.0829,0.0827,0.0829,40163.1
11,11,1693527060000,0.0828,0.0828,0.0828,0.0828,4713.7
12,12,1693527120000,0.0828,0.0828,0.0828,0.0828,1411.5
13,13,1693527180000,0.0828,0.0828,0.0828,0.0828,3076.9
14,14,1693527240000,0.0828,0.0829,0.0828,0.0829,34661.4
15,15,1693527300000,0.083,0.083,0.0829,0.0829,23475.8
16,16,1693527360000,0.0829,0.0831,0.0829,0.0831,45337.4
17,17,1693527420000,0.083,0.0831,0.083,0.0831,139844.0
18,18,1693527480000,0.0831,0.0833,0.0831,0.0833,191445.5
19,19,1693527540000,0.0832,0.0832,0.0832,0.0832,5336.7
20,20,1693527600000,0.0833,0.0834,0.0832,0.0833,140293.6
21,21,1693527660000,0.0833,0.0834,0.0833,0.0833,14564.4
22,22,1693527720000,0.0833,0.0833,0.0832,0.0832,77089.8
23,23,1693527780000,0.0832,0.0834,0.0832,0.0832,84166.1
24,24,1693527840000,0.0832,0.0833,0.0832,0.0832,4543.4
25,25,1693527900000,0.0832,0.0833,0.083,0.083,168732.1
26,26,1693527960000,0.083,0.0832,0.083,0.0832,151075.5
27,27,1693528020000,0.0832,0.0833,0.0832,0.0832,13196.2
28,28,1693528080000,0.0832,0.0832,0.0831,0.0831,26362.7
29,29,1693528140000,0.0831,0.0832,0.0831,0.0832,5302.2
30,30,1693528200000,0.0832,0.0832,0.0831,0.0831,8697.0
31,31,1693528260000,0.0831,0.0832,0.0831,0.0832,5312.7
32,32,1693528320000,0.0832,0.0832,0.0831,0.0831,51069.4
33,33,1693528380000,0.0831,0.0831,0.0831,0.0831,657.4
34,34,1693528440000,0.0832,0.0832,0.0831,0.0832,14004.1
35,35,1693528500000,0.0831,0.0832,0.0831,0.0831,11715.6
36,36,1693528560000,0.0831,0.0831,0.083,0.083,183312.6
37,37,1693528620000,0.0831,0.0832,0.083,0.0831,95031.2
38,38,1693528680000,0.0831,0.0831,0.083,0.083,40898.6
39,39,1693528740000,0.0831,0.0831,0.083,0.0831,29797.6
40,40,1693528800000,0.0831,0.0833,0.0831,0.0832,25556.6
41,41,1693528860000,0.0832,0.0833,0.0832,0.0833,162371.0
42,42,1693528920000,0.0833,0.0833,0.0833,0.0833,2023.6
43,43,1693528980000,0.0833,0.0833,0.0833,0.0833,664.7
44,44,1693529040000,0.0833,0.0833,0.0833,0.0833,11589.8
45,45,1693529100000,0.0832,0.0834,0.0832,0.0834,110893.3
46,46,1693529160000,0.0833,0.0833,0.0833,0.0833,103.3
47,47,1693529220000,0.0834,0.0834,0.0833,0.0833,1621.1
48,48,1693529280000,0.0833,0.0833,0.0832,0.0832,80656.3
49,49,1693529340000,0.0832,0.0832,0.0832,0.0832,148.5
50,50,1693529400000,0.0833,0.0833,0.0832,0.0832,39415.6
51,51,1693529460000,0.0832,0.0833,0.0832,0.0832,2351.5
52,52,1693529520000,0.0832,0.0833,0.0832,0.0833,3268.7
53,53,1693529580000,0.0832,0.0832,0.0832,0.0832,8261.7
54,54,1693529640000,0.0832,0.0832,0.0832,0.0832,820.3
55,55,1693529700000,0.0832,0.0834,0.0832,0.0833,107030.8
56,56,1693529760000,0.0833,0.0835,0.0832,0.0834,184512.8
57,57,1693529820000,0.0834,0.0836,0.0834,0.0834,187919.2
58,58,1693529880000,0.0834,0.0835,0.0834,0.0835,26262.5
59,59,1693529940000,0.0834,0.0834,0.0834,0.0834,3929.1
60,60,1693530000000,0.0834,0.0835,0.0833,0.0833,27326.6
61,61,1693530060000,0.0833,0.0834,0.0833,0.0833,26147.9
62,62,1693530120000,0.0833,0.0833,0.0832,0.0832,16146.6
63,63,1693530180000,0.0832,0.0832,0.0832,0.0832,328.6
64,64,1693530240000,0.0832,0.0833,0.0831,0.0832,127797.1
65,65,1693530300000,0.0831,0.0832,0.0829,0.083,179702.6
66,66,1693530360000,0.0831,0.0831,0.0829,0.0829,69693.9
67,67,1693530420000,0.0829,0.083,0.0829,0.0829,34649.4
68,68,1693530480000,0.0829,0.083,0.0828,0.0828,128849.7
69,69,1693530540000,0.0828,0.0829,0.0828,0.0829,126213.3
70,70,1693530600000,0.0828,0.083,0.0827,0.0828,435610.6
71,71,1693530660000,0.0828,0.083,0.0828,0.0829,54664.4
72,72,1693530720000,0.0829,0.083,0.0829,0.0829,22105.3
73,73,1693530780000,0.0829,0.0831,0.0829,0.0831,115155.6
74,74,1693530840000,0.083,0.0831,0.0829,0.0831,106859.1
75,75,1693530900000,0.083,0.0831,0.083,0.083,6394.0
76,76,1693530960000,0.083,0.0831,0.083,0.0831,4013.7
77,77,1693531020000,0.0831,0.0831,0.0831,0.0831,2016.5
78,78,1693531080000,0.083,0.083,0.083,0.083,1248.4
79,79,1693531140000,0.083,0.083,0.083,0.083,3249.0
80,80,1693531200000,0.083,0.083,0.083,0.083,41448.5
81,81,1693531260000,0.0831,0.0831,0.083,0.083,38072.2
82,82,1693531320000,0.0831,0.0831,0.0831,0.0831,2522.5
83,83,1693531380000,0.0831,0.0831,0.0831,0.0831,13454.8
84,84,1693531440000,0.0831,0.0831,0.083,0.083,3626.9
85,85,1693531500000,0.0831,0.0831,0.083,0.083,55209.7
86,86,1693531560000,0.0831,0.0831,0.0829,0.0829,64850.4
87,87,1693531620000,0.0829,0.0829,0.0828,0.0828,87595.9
88,88,1693531680000,0.0829,0.083,0.0829,0.083,115863.6
89,89,1693531740000,0.0829,0.0829,0.0829,0.0829,1943.1
90,90,1693531800000,0.083,0.083,0.083,0.083,5484.0
91,91,1693531860000,0.083,0.083,0.0828,0.0828,231705.7
92,92,1693531920000,0.0827,0.0829,0.0827,0.0828,55742.6
93,93,1693531980000,0.0828,0.0829,0.0827,0.0828,44282.3
94,94,1693532040000,0.0828,0.0829,0.0827,0.0829,156314.9
95,95,1693532100000,0.0829,0.0829,0.0829,0.0829,51738.0
96,96,1693532160000,0.0829,0.0829,0.0829,0.0829,36892.9
97,97,1693532220000,0.0829,0.0829,0.0828,0.0828,36768.2
98,98,1693532280000,0.0828,0.0829,0.0828,0.0828,44617.1
99,99,1693532340000,0.0829,0.0831,0.0828,0.083,249269.3
