,index,timestamp,open,high,low,close,volume
0,0,1694390400000,25.58,25.62,25.55,25.6,1147.78
1,1,1694390460000,25.6,25.6,25.58,25.59,346.641
2,2,1694390520000,25.59,25.59,25.57,25.58,220.255
3,3,1694390580000,25.59,25.6,25.59,25.6,41.788
4,4,1694390640000,25.59,25.59,25.58,25.58,49.615
5,5,1694390700000,25.58,25.59,25.58,25.58,63.663
6,6,1694390760000,25.57,25.57,25.56,25.57,354.252
7,7,1694390820000,25.56,25.56,25.55,25.56,124.075
8,8,1694390880000,25.56,25.58,25.56,25.57,97.103
9,9,1694390940000,25.57,25.58,25.57,25.58,0.699
10,10,1694391000000,25.57,25.6,25.57,25.6,296.861
11,11,1694391060000,25.59,25.62,25.59,25.61,180.353
12,12,1694391120000,25.61,25.61,25.61,25.61,39.047
13,13,1694391180000,25.62,25.67,25.62,25.66,470.238
14,14,1694391240000,25.65,25.65,25.65,25.65,85.63
15,15,1694391300000,25.64,25.64,25.62,25.63,658.481
16,16,1694391360000,25.62,25.62,25.59,25.59,527.214
17,17,1694391420000,25.6,25.6,25.59,25.59,10.914
18,18,1694391480000,25.59,25.6,25.56,25.57,598.46
19,19,1694391540000,25.57,25.57,25.54,25.55,631.97
20,20,1694391600000,25.55,25.56,25.54,25.55,374.268
21,21,1694391660000,25.55,25.57,25.52,25.53,620.791
22,22,1694391720000,25.52,25.52,25.51,25.52,513.689
23,23,1694391780000,25.52,25.52,25.51,25.51,187.89
24,24,1694391840000,25.51,25.51,25.49,25.5,425.997
25,25,1694391900000,25.49,25.51,25.48,25.5,260.02
26,26,1694391960000,25.49,25.5,25.48,25.48,215.016
27,27,1694392020000,25.49,25.49,25.48,25.48,338.653
28,28,1694392080000,25.49,25.49,25.47,25.48,708.986
29,29,1694392140000,25.48,25.49,25.48,25.49,38.24
30,30,1694392200000,25.49,25.51,25.48,25.5,137.132
31,31,1694392260000,25.5,25.55,25.5,25.53,630.252
32,32,1694392320000,25.52,25.53,25.52,25.53,95.066
33,33,1694392380000,25.53,25.55,25.53,25.55,85.339
34,34,1694392440000,25.55,25.55,25.53,25.53,346.566
35,35,1694392500000,25.52,25.52,25.48,25.51,361.422
36,36,1694392560000,25.5,25.5,25.47,25.47,693.565
37,37,1694392620000,25.47,25.48,25.45,25.45,289.218
38,38,1694392680000,25.45,25.45,25.38,25.4,1472.192
39,39,1694392740000,25.4,25.43,25.37,25.41,983.107
40,40,1694392800000,25.42,25.44,25.39,25.44,428.07
41,41,1694392860000,25.43,25.44,25.39,25.43,688.236
42,42,1694392920000,25.43,25.43,25.4,25.4,321.838
43,43,1694392980000,25.4,25.41,25.34,25.38,672.368
44,44,1694393040000,25.39,25.39,25.38,25.39,221.331
45,45,1694393100000,25.39,25.39,25.37,25.39,1085.605
46,46,1694393160000,25.38,25.38,25.26,25.32,1250.286
47,47,1694393220000,25.33,25.37,25.33,25.35,836.762
48,48,1694393280000,25.35,25.37,25.35,25.37,151.291
49,49,1694393340000,25.37,25.38,25.37,25.38,190.689
50,50,1694393400000,25.39,25.41,25.39,25.41,110.594
51,51,1694393460000,25.42,25.44,25.41,25.42,493.627
52,52,1694393520000,25.42,25.45,25.42,25.45,158.883
53,53,1694393580000,25.45,25.47,25.45,25.47,83.81
54,54,1694393640000,25.46,25.47,25.45,25.47,102.294
55,55,1694393700000,25.46,25.47,25.45,25.46,230.442
56,56,1694393760000,25.46,25.47,25.45,25.45,362.685
57,57,1694393820000,25.44,25.45,25.43,25.43,115.631
58,58,1694393880000,25.43,25.44,25.38,25.38,513.067
59,59,1694393940000,25.37,25.4,25.36,25.4,223.805
60,60,1694394000000,25.4,25.4,25.36,25.39,585.027
61,61,1694394060000,25.39,25.42,25.38,25.4,359.726
62,62,1694394120000,25.4,25.42,25.4,25.4,241.921
63,63,1694394180000,25.41,25.42,25.41,25.42,108.776
64,64,1694394240000,25.42,25.44,25.42,25.44,111.836
65,65,1694394300000,25.43,25.44,25.4,25.4,288.742
66,66,1694394360000,25.39,25.39,25.36,25.36,226.885
67,67,1694394420000,25.35,25.35,25.33,25.34,334.875
68,68,1694394480000,25.34,25.34,25.33,25.34,84.399
69,69,1694394540000,25.34,25.34,25.32,25.32,65.657
70,70,1694394600000,25.31,25.35,25.31,25.35,301.743
71,71,1694394660000,25.36,25.37,25.34,25.34,197.572
72,72,1694394720000,25.33,25.35,25.33,25.34,134.724
73,73,1694394780000,25.33,25.34,25.32,25.34,180.25
74,74,1694394840000,25.34,25.34,25.33,25.34,89.765
75,75,1694394900000,25.34,25.36,25.33,25.33,195.909
76,76,1694394960000,25.33,25.38,25.33,25.37,314.302
77,77,1694395020000,25.38,25.4,25.38,25.39,643.12
78,78,1694395080000,25.38,25.4,25.38,25.39,103.248
79,79,1694395140000,25.4,25.41,25.4,25.41,15.013
80,80,1694395200000,25.4,25.4,25.37,25.37,390.346
81,81,1694395260000,25.37,25.37,25.36,25.36,220.053
82,82,1694395320000,25.35,25.35,25.34,25.34,60.406
83,83,1694395380000,25.33,25.33,25.31,25.32,140.485
84,84,1694395440000,25.33,25.37,25.33,25.35,973.06
85,85,1694395500000,25.34,25.35,25.34,25.35,123.361
86,86,1694395560000,25.36,25.37,25.36,25.37,144.264
87,87,1694395620000,25.38,25.38,25.37,25.38,69.284
88,88,1694395680000,25.38,25.38,25.37,25.37,55.044
89,89,1694395740000,25.38,25.39,25.35,25.35,101.796
