,index,timestamp,open,high,low,close,volume
0,0,1694217600000,470.0,470.0,469.1,469.4,17.641
1,1,1694217660000,469.5,470.1,468.9,470.1,16.695
2,2,1694217720000,470.0,470.2,469.9,469.9,1.398
3,3,1694217780000,469.9,470.1,469.9,470.1,1.725
4,4,1694217840000,470.1,470.3,470.1,470.3,2.162
5,5,1694217900000,470.3,470.3,470.0,470.2,3.212
6,6,1694217960000,470.3,470.5,470.3,470.4,2.156
7,7,1694218020000,470.3,470.5,470.3,470.5,1.815
8,8,1694218080000,470.5,470.5,470.1,470.1,2.3
9,9,1694218140000,470.1,470.2,470.1,470.2,0.257
10,10,1694218200000,470.2,470.3,470.0,470.0,0.514
11,11,1694218260000,470.1,470.2,470.1,470.1,0.566
12,12,1694218320000,470.1,470.1,470.0,470.0,0.642
13,13,1694218380000,470.0,470.3,470.0,470.2,1.831
14,14,1694218440000,470.2,470.2,470.2,470.2,0.0
15,15,1694218500000,470.0,470.1,470.0,470.1,0.311
16,16,1694218560000,470.0,470.0,469.9,469.9,2.214
17,17,1694218620000,469.8,469.8,469.8,469.8,0.012
18,18,1694218680000,469.7,469.8,469.7,469.8,0.192
19,19,1694218740000,469.9,469.9,469.9,469.9,0.358
20,20,1694218800000,469.9,469.9,469.7,469.9,3.893
21,21,1694218860000,469.9,469.9,469.9,469.9,0.098
22,22,1694218920000,469.9,469.9,469.9,469.9,7.759
23,23,1694218980000,470.0,470.0,470.0,470.0,1.466
24,24,1694219040000,470.1,470.2,470.1,470.2,2.674
25,25,1694219100000,470.2,470.2,470.0,470.0,2.118
26,26,1694219160000,469.9,469.9,469.9,469.9,6.9
27,27,1694219220000,470.0,470.0,469.7,469.7,3.203
28,28,1694219280000,469.7,469.7,469.7,469.7,0.507
29,29,1694219340000,469.7,469.7,469.1,469.3,11.604
30,30,1694219400000,469.1,469.3,469.1,469.1,3.885
31,31,1694219460000,469.1,469.1,469.1,469.1,0.0
32,32,1694219520000,469.1,469.2,469.0,469.2,2.855
33,33,1694219580000,469.2,469.2,469.1,469.2,4.305
34,34,1694219640000,469.3,469.3,469.1,469.2,9.338
35,35,1694219700000,469.2,469.4,469.2,469.3,2.74
36,36,1694219760000,469.1,469.4,469.1,469.4,0.138
37,37,1694219820000,469.2,469.2,469.1,469.1,1.568
38,38,1694219880000,469.2,469.2,469.2,469.2,0.123
39,39,1694219940000,469.2,469.4,469.2,469.4,0.339
40,40,1694220000000,469.3,469.3,469.0,469.1,1.903
41,41,1694220060000,469.1,469.1,469.1,469.1,0.0
42,42,1694220120000,469.2,469.4,469.1,469.1,0.294
43,43,1694220180000,469.1,469.1,469.1,469.1,0.0
44,44,1694220240000,468.8,468.9,468.6,468.9,2.751
45,45,1694220300000,468.9,468.9,468.6,468.7,1.546
46,46,1694220360000,468.8,468.9,468.8,468.9,0.82
47,47,1694220420000,468.9,468.9,468.9,468.9,0.0
48,48,1694220480000,469.0,469.0,469.0,469.0,0.121
49,49,1694220540000,469.0,469.0,469.0,469.0,0.091
50,50,1694220600000,469.0,469.3,469.0,469.0,0.639
51,51,1694220660000,469.1,469.1,469.1,469.1,0.241
52,52,1694220720000,469.2,469.2,469.0,469.0,1.946
53,53,1694220780000,468.8,468.9,468.7,468.7,0.943
54,54,1694220840000,468.8,469.0,468.8,469.0,0.124
55,55,1694220900000,468.8,468.8,468.2,468.2,2.753
56,56,1694220960000,468.2,468.2,467.6,468.1,6.54
57,57,1694221020000,468.0,468.0,468.0,468.0,0.108
58,58,1694221080000,468.1,468.3,468.1,468.3,1.001
59,59,1694221140000,468.3,468.3,468.0,468.0,1.232
60,60,1694221200000,468.1,468.2,468.0,468.2,5.337
61,61,1694221260000,468.2,468.6,468.2,468.6,2.502
62,62,1694221320000,468.6,468.6,468.5,468.5,1.399
63,63,1694221380000,468.5,469.0,468.5,469.0,1.646
64,64,1694221440000,468.9,469.1,468.9,469.1,0.75
65,65,1694221500000,469.3,469.6,469.3,469.5,2.437
66,66,1694221560000,469.4,469.4,469.4,469.4,1.5
67,67,1694221620000,469.3,469.4,469.3,469.4,1.32
68,68,1694221680000,469.5,469.8,469.5,469.8,1.566
69,69,1694221740000,469.8,469.9,469.8,469.9,1.008
70,70,1694221800000,469.9,470.3,468.9,470.3,62.902
71,71,1694221860000,470.2,470.2,470.1,470.2,0.685
72,72,1694221920000,470.2,470.3,470.2,470.3,0.685
73,73,1694221980000,470.3,470.3,470.3,470.3,0.0
74,74,1694222040000,470.3,470.3,470.3,470.3,0.0
75,75,1694222100000,470.2,470.2,469.8,469.8,6.211
76,76,1694222160000,469.8,469.8,469.5,469.8,1.08
77,77,1694222220000,469.9,470.1,469.9,470.1,1.159
78,78,1694222280000,470.1,470.1,470.1,470.1,0.0
79,79,1694222340000,470.1,470.1,470.1,470.1,0.0
80,80,1694222400000,470.0,470.0,469.9,469.9,0.963
81,81,1694222460000,469.9,469.9,469.8,469.9,0.436
82,82,1694222520000,469.8,469.8,469.6,469.6,1.862
83,83,1694222580000,469.5,469.5,469.4,469.5,1.089
84,84,1694222640000,469.4,469.4,469.3,469.4,1.167
85,85,1694222700000,469.5,469.6,469.5,469.6,0.672
86,86,1694222760000,469.5,469.9,469.5,469.9,4.409
87,87,1694222820000,469.9,469.9,469.6,469.7,0.658
88,88,1694222880000,469.7,469.9,469.7,469.9,0.742
89,89,1694222940000,469.8,470.0,469.7,469.8,3.221
90,90,1694223000000,469.9,470.0,469.9,470.0,0.269
91,91,1694223060000,470.0,470.0,470.0,470.0,0.0
92,92,1694223120000,469.9,469.9,469.9,469.9,0.06
93,93,1694223180000,469.8,469.8,469.8,469.8,0.007
94,94,1694223240000,469.9,470.0,469.9,470.0,0.054
95,95,1694223300000,470.0,470.0,470.0,470.0,0.045
