,index,timestamp,open,high,low,close,volume
0,0,1694736000000,0.06203,0.06208,0.06203,0.06206,4019609
1,1,1694736060000,0.06206,0.06211,0.06201,0.06211,7515834
2,2,1694736120000,0.0621,0.06211,0.06206,0.06208,989810
3,3,1694736180000,0.06209,0.06209,0.06206,0.06207,2428798
4,4,1694736240000,0.06208,0.06211,0.06206,0.06207,2067757
5,5,1694736300000,0.06208,0.0621,0.06207,0.06208,2039794
6,6,1694736360000,0.06208,0.06211,0.06208,0.0621,761756
7,7,1694736420000,0.06211,0.06215,0.0621,0.06214,2556765
8,8,1694736480000,0.06215,0.06215,0.06213,0.06214,517795
9,9,1694736540000,0.06213,0.06214,0.06191,0.06201,41227187
10,10,1694736600000,0.062,0.06201,0.06193,0.06193,5516372
11,11,1694736660000,0.06193,0.06194,0.06191,0.06192,3435337
12,12,1694736720000,0.06192,0.06195,0.06192,0.06192,1311221
13,13,1694736780000,0.06193,0.06193,0.06191,0.06192,517585
14,14,1694736840000,0.06192,0.06193,0.06191,0.06191,320143
15,15,1694736900000,0.06192,0.062,0.06191,0.06197,3921203
16,16,1694736960000,0.06198,0.06199,0.06194,0.06197,1131218
17,17,1694737020000,0.06198,0.06198,0.06197,0.06198,254923
18,18,1694737080000,0.06199,0.062,0.06197,0.06198,1401242
19,19,1694737140000,0.06198,0.06198,0.06196,0.06197,780321
20,20,1694737200000,0.06198,0.06198,0.06197,0.06197,86826
21,21,1694737260000,0.06198,0.06198,0.0619,0.06192,2938529
22,22,1694737320000,0.06193,0.06195,0.06191,0.06194,702788
23,23,1694737380000,0.06194,0.06196,0.06193,0.06193,692759
24,24,1694737440000,0.06194,0.06195,0.06192,0.06195,1267102
25,25,1694737500000,0.06195,0.06198,0.06195,0.06195,1598303
26,26,1694737560000,0.06195,0.06196,0.06193,0.06193,805354
27,27,1694737620000,0.06193,0.06194,0.06192,0.06194,1063165
28,28,1694737680000,0.06193,0.06196,0.06193,0.06196,717016
29,29,1694737740000,0.06197,0.062,0.06197,0.062,1551917
30,30,1694737800000,0.062,0.06207,0.062,0.06206,2051900
31,31,1694737860000,0.06207,0.06209,0.06207,0.06209,382085
32,32,1694737920000,0.06209,0.0621,0.06207,0.06209,916786
33,33,1694737980000,0.06209,0.0621,0.06204,0.06204,619567
34,34,1694738040000,0.06204,0.06211,0.06204,0.06211,1094816
35,35,1694738100000,0.0621,0.06212,0.06208,0.06209,2855047
36,36,1694738160000,0.06209,0.06211,0.06208,0.0621,814912
37,37,1694738220000,0.06211,0.06211,0.06205,0.06206,3548590
38,38,1694738280000,0.06206,0.06207,0.06203,0.06203,261942
39,39,1694738340000,0.06203,0.06206,0.06201,0.06202,1789302
40,40,1694738400000,0.06202,0.06204,0.06197,0.062,2756758
41,41,1694738460000,0.06201,0.06206,0.062,0.06206,463808
42,42,1694738520000,0.06206,0.06207,0.06204,0.06205,1929216
43,43,1694738580000,0.06205,0.06206,0.06205,0.06205,489177
44,44,1694738640000,0.06204,0.06206,0.06204,0.06205,532421
45,45,1694738700000,0.06205,0.0621,0.06202,0.06208,3450809
46,46,1694738760000,0.06208,0.06208,0.06201,0.06201,2751669
47,47,1694738820000,0.06202,0.06203,0.06201,0.06203,163687
48,48,1694738880000,0.06203,0.06205,0.06203,0.06205,182085
49,49,1694738940000,0.06206,0.06206,0.06202,0.06202,636698
50,50,1694739000000,0.06202,0.06202,0.06201,0.06201,126210
51,51,1694739060000,0.06202,0.06202,0.06197,0.06198,1706494
52,52,1694739120000,0.06198,0.062,0.06197,0.06198,1207395
53,53,1694739180000,0.06198,0.062,0.06197,0.06199,294225
54,54,1694739240000,0.06199,0.062,0.06199,0.06199,9028
55,55,1694739300000,0.06199,0.062,0.06199,0.062,30468
56,56,1694739360000,0.06199,0.062,0.06198,0.06198,212691
57,57,1694739420000,0.06198,0.06198,0.06192,0.06192,3147458
58,58,1694739480000,0.06193,0.06193,0.06183,0.06184,7877129
59,59,1694739540000,0.06184,0.06189,0.06183,0.06187,3634228
60,60,1694739600000,0.06188,0.06191,0.06186,0.0619,2646574
61,61,1694739660000,0.06191,0.06193,0.06189,0.06192,845460
62,62,1694739720000,0.06193,0.06194,0.0619,0.06194,1763241
63,63,1694739780000,0.06194,0.06194,0.06185,0.06189,2675115
64,64,1694739840000,0.06189,0.0619,0.06182,0.06182,2284657
65,65,1694739900000,0.06182,0.06185,0.06179,0.06179,2073589
66,66,1694739960000,0.06179,0.06179,0.06171,0.06172,7239729
67,67,1694740020000,0.06172,0.06175,0.06171,0.06173,2802436
68,68,1694740080000,0.06173,0.06176,0.06173,0.06175,1792992
69,69,1694740140000,0.06176,0.06183,0.06176,0.06182,3624052
70,70,1694740200000,0.06182,0.06187,0.06182,0.06185,3902350
71,71,1694740260000,0.06184,0.06189,0.06183,0.06189,2608785
72,72,1694740320000,0.06189,0.06192,0.06188,0.06189,1622579
73,73,1694740380000,0.06189,0.06192,0.06189,0.06191,1840972
74,74,1694740440000,0.0619,0.06191,0.06186,0.06187,701897
75,75,1694740500000,0.06187,0.06188,0.06183,0.06183,536000
76,76,1694740560000,0.06184,0.06189,0.06184,0.06189,1247797
77,77,1694740620000,0.06189,0.06189,0.06185,0.06186,1702517
78,78,1694740680000,0.06185,0.06188,0.06185,0.06187,363262
79,79,1694740740000,0.06188,0.06188,0.06187,0.06188,173448
80,80,1694740800000,0.06188,0.06189,0.06185,0.06186,1114039
81,81,1694740860000,0.06187,0.06192,0.06187,0.06191,1111043
82,82,1694740920000,0.06191,0.06195,0.0619,0.06194,653995
83,83,1694740980000,0.06195,0.06195,0.06193,0.06195,341532
