,index,timestamp,open,high,low,close,volume
0,0,1693612800000,4.214,4.216,4.212,4.215,20403.8
1,1,1693612860000,4.215,4.215,4.21,4.211,20787.4
2,2,1693612920000,4.211,4.213,4.21,4.212,25377.2
3,3,1693612980000,4.213,4.213,4.211,4.212,2822.5
4,4,1693613040000,4.212,4.213,4.212,4.212,6941.5
5,5,1693613100000,4.211,4.212,4.208,4.208,7870.5
6,6,1693613160000,4.209,4.209,4.207,4.208,20864.6
7,7,1693613220000,4.208,4.209,4.208,4.209,11464.5
8,8,1693613280000,4.209,4.21,4.209,4.21,1138.2
9,9,1693613340000,4.209,4.21,4.208,4.208,4792.0
10,10,1693613400000,4.207,4.208,4.207,4.207,2161.0
11,11,1693613460000,4.207,4.207,4.205,4.206,8852.1
12,12,1693613520000,4.206,4.209,4.206,4.209,8140.3
13,13,1693613580000,4.21,4.21,4.209,4.209,1472.5
14,14,1693613640000,4.21,4.21,4.209,4.209,507.4
15,15,1693613700000,4.21,4.21,4.208,4.209,4749.4
16,16,1693613760000,4.209,4.209,4.207,4.207,1953.8
17,17,1693613820000,4.208,4.208,4.207,4.208,2226.1
18,18,1693613880000,4.207,4.209,4.207,4.209,3291.0
19,19,1693613940000,4.21,4.211,4.21,4.211,1703.8
20,20,1693614000000,4.211,4.211,4.21,4.211,1112.3
21,21,1693614060000,4.211,4.211,4.21,4.21,828.4
22,22,1693614120000,4.211,4.212,4.21,4.212,4694.7
23,23,1693614180000,4.212,4.217,4.212,4.217,13147.9
24,24,1693614240000,4.217,4.218,4.216,4.216,6621.3
25,25,1693614300000,4.216,4.218,4.214,4.216,6234.2
26,26,1693614360000,4.217,4.217,4.216,4.217,1613.0
27,27,1693614420000,4.217,4.217,4.216,4.216,1595.1
28,28,1693614480000,4.217,4.218,4.216,4.217,5989.3
29,29,1693614540000,4.217,4.218,4.215,4.215,7644.8
30,30,1693614600000,4.215,4.217,4.215,4.216,5666.5
31,31,1693614660000,4.216,4.216,4.215,4.216,2755.3
32,32,1693614720000,4.216,4.217,4.215,4.217,3768.8
33,33,1693614780000,4.217,4.217,4.216,4.216,4363.6
34,34,1693614840000,4.217,4.217,4.214,4.215,4339.0
35,35,1693614900000,4.215,4.215,4.213,4.215,6373.4
36,36,1693614960000,4.214,4.217,4.214,4.216,2112.4
37,37,1693615020000,4.217,4.221,4.216,4.219,30023.9
38,38,1693615080000,4.22,4.221,4.219,4.221,4634.0
39,39,1693615140000,4.221,4.221,4.219,4.22,8539.8
40,40,1693615200000,4.22,4.22,4.216,4.216,11790.3
41,41,1693615260000,4.217,4.217,4.214,4.214,7410.2
42,42,1693615320000,4.214,4.215,4.213,4.214,2514.7
43,43,1693615380000,4.214,4.214,4.213,4.213,1198.0
44,44,1693615440000,4.214,4.214,4.213,4.213,906.3
45,45,1693615500000,4.214,4.214,4.21,4.211,12168.7
46,46,1693615560000,4.211,4.211,4.21,4.21,984.9
47,47,1693615620000,4.211,4.211,4.208,4.208,3652.2
48,48,1693615680000,4.209,4.209,4.207,4.207,2789.1
49,49,1693615740000,4.207,4.207,4.203,4.204,11746.7
50,50,1693615800000,4.204,4.204,4.201,4.202,5942.3
51,51,1693615860000,4.203,4.203,4.202,4.202,1483.7
52,52,1693615920000,4.203,4.203,4.202,4.202,1961.9
53,53,1693615980000,4.203,4.203,4.201,4.202,4394.8
54,54,1693616040000,4.203,4.203,4.202,4.203,3961.0
55,55,1693616100000,4.203,4.203,4.202,4.203,5314.9
56,56,1693616160000,4.203,4.204,4.202,4.203,2630.3
57,57,1693616220000,4.204,4.204,4.203,4.203,2625.0
58,58,1693616280000,4.204,4.204,4.203,4.203,2938.0
59,59,1693616340000,4.204,4.205,4.201,4.205,7742.3
60,60,1693616400000,4.205,4.205,4.203,4.203,6630.4
61,61,1693616460000,4.203,4.204,4.2,4.201,6741.6
62,62,1693616520000,4.201,4.205,4.2,4.205,14669.8
63,63,1693616580000,4.205,4.205,4.202,4.202,4500.3
64,64,1693616640000,4.203,4.204,4.202,4.203,3944.3
65,65,1693616700000,4.204,4.205,4.203,4.205,3850.2
66,66,1693616760000,4.206,4.206,4.204,4.204,4179.4
67,67,1693616820000,4.205,4.205,4.204,4.205,2342.2
68,68,1693616880000,4.205,4.207,4.205,4.207,7543.6
69,69,1693616940000,4.207,4.21,4.207,4.209,12659.3
70,70,1693617000000,4.208,4.208,4.206,4.206,2364.2
71,71,1693617060000,4.206,4.207,4.206,4.207,761.8
72,72,1693617120000,4.206,4.209,4.206,4.209,3470.8
73,73,1693617180000,4.209,4.209,4.208,4.209,517.8
74,74,1693617240000,4.208,4.209,4.208,4.208,758.3
75,75,1693617300000,4.208,4.21,4.205,4.209,23348.9
76,76,1693617360000,4.21,4.213,4.209,4.211,14174.3
77,77,1693617420000,4.21,4.212,4.21,4.212,1399.5
78,78,1693617480000,4.212,4.213,4.211,4.212,5427.1
79,79,1693617540000,4.213,4.213,4.21,4.21,4603.7
80,80,1693617600000,4.21,4.211,4.21,4.21,270.6
81,81,1693617660000,4.21,4.211,4.207,4.207,12384.1
82,82,1693617720000,4.208,4.208,4.206,4.206,2606.5
83,83,1693617780000,4.206,4.206,4.206,4.206,119.4
84,84,1693617840000,4.206,4.207,4.206,4.207,4595.0
85,85,1693617900000,4.208,4.208,4.208,4.208,8.5
86,86,1693617960000,4.207,4.208,4.207,4.208,320.6
87,87,1693618020000,4.208,4.211,4.207,4.211,12108.3
88,88,1693618080000,4.212,4.213,4.211,4.212,11896.2
89,89,1693618140000,4.213,4.214,4.212,4.213,1332.5
90,90,1693618200000,4.214,4.214,4.212,4.213,3326.5
91,91,1693618260000,4.212,4.213,4.211,4.211,4951.3
92,92,1693618320000,4.212,4.213,4.212,4.212,2243.3
93,93,1693618380000,4.212,4.214,4.212,4.213,11045.8
94,94,1693618440000,4.213,4.214,4.213,4.214,40.7
95,95,1693618500000,4.213,4.215,4.213,4.215,1029.0
96,96,1693618560000,4.215,4.216,4.214,4.215,1233.7
