,index,timestamp,open,high,low,close,volume
0,0,1688169600000,0.6261,0.6281,0.6257,0.6279,143150
1,1,1688169660000,0.6279,0.6279,0.6266,0.627,75906
2,2,1688169720000,0.627,0.6282,0.6268,0.6271,101425
3,3,1688169780000,0.6271,0.6276,0.6263,0.6269,71256
4,4,1688169840000,0.627,0.6277,0.6269,0.6275,48967
5,5,1688169900000,0.6275,0.6284,0.6274,0.6279,103190
6,6,1688169960000,0.628,0.6291,0.628,0.6289,30975
7,7,1688170020000,0.629,0.6304,0.6288,0.6303,90754
8,8,1688170080000,0.6304,0.6304,0.6292,0.6299,58875
9,9,1688170140000,0.6299,0.6302,0.6299,0.63,43235
10,10,1688170200000,0.6301,0.631,0.6301,0.6308,86227
11,11,1688170260000,0.6308,0.6322,0.6308,0.6312,164909
12,12,1688170320000,0.6314,0.6319,0.63,0.63,73865
13,13,1688170380000,0.63,0.63,0.6255,0.6259,87882
14,14,1688170440000,0.6259,0.6271,0.6245,0.6271,120685
15,15,1688170500000,0.6272,0.6284,0.6254,0.6284,132075
16,16,1688170560000,0.6283,0.6284,0.6264,0.6264,46987
17,17,1688170620000,0.6264,0.6264,0.6247,0.6254,113198
18,18,1688170680000,0.6254,0.6255,0.6246,0.6249,52998
19,19,1688170740000,0.6249,0.627,0.6248,0.6265,46098
20,20,1688170800000,0.6265,0.6276,0.6262,0.6262,87874
21,21,1688170860000,0.6262,0.6272,0.6249,0.6269,88894
22,22,1688170920000,0.6269,0.6278,0.6258,0.6278,41294
23,23,1688170980000,0.6277,0.6283,0.6269,0.6278,37144
24,24,1688171040000,0.6278,0.6278,0.6272,0.6275,33435
25,25,1688171100000,0.6275,0.6282,0.627,0.6272,90810
26,26,1688171160000,0.6272,0.6289,0.627,0.6289,44005
27,27,1688171220000,0.629,0.6294,0.6277,0.628,94503
28,28,1688171280000,0.6281,0.6288,0.6281,0.6288,33761
29,29,1688171340000,0.6288,0.629,0.6276,0.6276,65191
30,30,1688171400000,0.6276,0.6291,0.6271,0.629,97305
31,31,1688171460000,0.6291,0.6304,0.6288,0.6301,76848
32,32,1688171520000,0.6302,0.631,0.6296,0.631,53571
33,33,1688171580000,0.631,0.6317,0.6305,0.6316,66583
34,34,1688171640000,0.6316,0.6362,0.6311,0.636,370926
35,35,1688171700000,0.6359,0.6362,0.6324,0.6328,225937
36,36,1688171760000,0.6327,0.633,0.6309,0.631,89491
37,37,1688171820000,0.631,0.6316,0.6305,0.631,70266
38,38,1688171880000,0.6309,0.6323,0.6309,0.6317,44835
39,39,1688171940000,0.6316,0.6324,0.6307,0.6314,65011
40,40,1688172000000,0.6314,0.6321,0.6307,0.6319,46534
41,41,1688172060000,0.6318,0.6334,0.6318,0.6332,56124
42,42,1688172120000,0.6332,0.6342,0.6327,0.6336,73420
43,43,1688172180000,0.6337,0.6347,0.6336,0.6347,43470
44,44,1688172240000,0.6347,0.6377,0.6345,0.6376,132596
45,45,1688172300000,0.6375,0.6379,0.635,0.635,171498
46,46,1688172360000,0.635,0.6381,0.634,0.6371,222242
47,47,1688172420000,0.6369,0.6369,0.6347,0.6349,85651
48,48,1688172480000,0.6348,0.6369,0.6347,0.6367,84443
49,49,1688172540000,0.6366,0.6367,0.6352,0.6353,164086
50,50,1688172600000,0.6351,0.6351,0.6341,0.6344,123658
